,State,211,220,227,234,241
0,Washington,1837,46,45,45,45
1,Illinois,8044,197,240,281,314
2,California,11810,916,896,887,890
3,Arizona,4684,238,255,267,270
4,Massachusetts,8888,32,17,8,1
5,Wisconsin,1067,53,59,68,71
6,Texas,11174,974,964,1004,1018
7,Nebraska,373,16,21,21,24
8,Utah,381,19,19,21,19
9,Oregon,412,17,19,18,20
10,Florida,10049,650,539,465,412
11,New York,32837,114,119,128,132
12,Rhode Island,1028,9,7,8,7
13,Georgia,4904,270,240,220,206
14,New Hampshire,428,0,1,2,3
15,North Carolina,2465,150,161,181,184
16,New Jersey,15932,105,115,124,132
17,Colorado,1903,33,33,32,34
18,Maryland,3669,75,76,82,82
19,Nevada,1172,85,86,84,88
20,Tennessee,1488,180,179,184,190
21,Hawaii,45,23,32,38,42
22,Indiana,3191,75,74,82,81
23,Kentucky,856,39,44,49,53
24,Minnesota,1791,56,59,67,66
25,Oklahoma,709,58,69,83,89
26,Pennsylvania,7520,98,101,103,104
27,South Carolina,2401,114,92,80,77
28,District of Columbia,601,7,6,3,0
29,Kansas,419,53,70,84,93
30,Missouri,1442,115,147,187,211
31,Vermont,58,0,0,0,0
32,Virginia,2427,73,74,78,86
33,Connecticut,4458,12,24,34,43
34,Iowa,1016,33,58,73,87
35,Louisiana,4637,76,49,36,26
36,Ohio,3929,106,93,92,90
37,Michigan,6634,80,107,127,145
38,South Dakota,157,0,0,0,3
39,Arkansas,641,34,28,24,24
40,Delaware,595,19,28,30,33
41,Mississippi,2190,72,66,70,72
42,New Mexico,734,11,7,7,7
43,North Dakota,130,8,14,16,20
44,Wyoming,34,0,0,0,0
45,Alaska,29,0,0,2,6
46,Maine,128,0,1,4,6
47,Alabama,1974,81,71,67,66
48,Idaho,296,20,15,11,7
49,Montana,89,0,0,0,0
50,Puerto Rico,367,NaN,NaN,NaN,NaN
51,Virgin Islands,10,NaN,NaN,NaN,NaN
52,Guam,6,NaN,NaN,NaN,NaN
53,West Virginia,167,7,10,14,14
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
