,State,148,157,164,171,178,185,192,199
0,Washington,1245,38,31,26,21,17,13,4
1,Illinois,6537,257,212,173,141,113,92,34
2,California,5355,475,425,366,313,268,221,83
3,Arizona,1283,178,180,173,158,140,122,47
4,Massachusetts,7770,126,102,84,67,54,44,16
5,Wisconsin,719,31,25,21,16,13,11,3
6,Texas,2299,321,316,304,284,254,222,85
7,Nebraska,239,8,6,5,4,3,2,0
8,Utah,152,13,12,10,9,7,6,2
9,Oregon,187,17,16,14,12,11,8,3
10,Florida,3061,309,293,265,233,198,168,62
11,New York,31728,259,206,164,131,103,81,28
12,Rhode Island,885,28,22,17,13,10,8,2
13,Georgia,2605,218,188,159,132,108,89,33
14,New Hampshire,331,16,13,10,8,6,5,1
15,North Carolina,1188,73,65,58,50,42,34,13
16,New Jersey,14729,191,152,121,96,77,61,21
17,Colorado,1638,46,37,30,24,19,15,5
18,Maryland,3016,115,93,77,62,49,39,14
19,Nevada,475,25,21,18,16,13,11,4
20,Tennessee,508,42,37,31,26,22,17,6
21,Hawaii,17,0,0,0,0,0,0,0
22,Indiana,2491,96,80,65,53,43,34,12
23,Kentucky,520,25,21,17,14,11,9,3
24,Minnesota,1376,82,68,57,46,37,30,10
25,Oklahoma,366,24,22,19,16,14,11,4
26,Pennsylvania,6361,189,156,127,102,82,65,24
27,South Carolina,621,40,37,34,30,25,21,7
28,District of Columbia,527,7,5,3,2,1,1,0
29,Kansas,251,11,9,7,5,4,3,1
30,Missouri,950,54,46,38,31,25,20,7
31,Vermont,56,0,0,0,0,0,0,0
32,Virginia,1586,43,32,24,18,13,9,3
33,Connecticut,4226,85,66,51,39,29,22,7
34,Iowa,680,29,24,19,16,12,10,3
35,Louisiana,3062,125,109,93,76,63,52,19
36,Ohio,2633,143,120,99,79,65,53,19
37,Michigan,6061,87,65,47,34,24,17,5
38,South Dakota,78,4,3,2,2,1,1,0
39,Arkansas,208,21,19,17,15,13,10,4
40,Delaware,431,15,12,10,7,6,4,1
41,Mississippi,938,75,66,56,47,39,32,11
42,New Mexico,456,22,18,15,12,9,7,2
43,North Dakota,75,2,2,1,1,1,0,0
44,Wyoming,18,1,1,0,0,0,0,0
45,Alaska,12,0,0,0,0,0,0,0
46,Maine,102,1,1,1,0,0,0,0
47,Alabama,810,52,47,40,34,28,23,8
48,Idaho,89,3,2,2,1,1,1,0
49,Montana,20,2,1,1,1,0,0,0
50,Puerto Rico,147,2,1,1,0,0,0,0
51,Virgin Islands,6,0,0,0,0,0,0,0
52,Guam,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,88,2,2,1,1,1,0,0
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
