,State,161,171,178,185,192,199,206,213,220,227,234,241,248
0,Washington,1339,48,47,48,48,49,51,57,60,63,64,66,66
1,Illinois,6951,212,211,206,206,207,206,219,233,239,236,226,210
2,California,6169,450,472,490,548,616,667,696,702,688,657,616,568
3,Arizona,1725,238,248,262,288,304,308,300,283,260,234,207,180
4,Massachusetts,8081,124,113,101,95,92,89,87,91,93,92,88,83
5,Wisconsin,786,37,41,42,43,49,54,58,61,62,62,60,57
6,Texas,2770,227,257,297,331,359,380,393,397,394,383,368,348
7,Nebraska,276,21,20,19,19,19,18,18,17,16,15,14,13
8,Utah,173,15,19,22,24,26,28,29,29,29,29,28,27
9,Oregon,208,12,13,14,17,21,24,26,28,30,31,31,31
10,Florida,3550,291,336,379,410,430,437,432,417,395,368,338,306
11,New York,32088,166,138,123,113,106,99,101,101,99,94,88,81
12,Rhode Island,956,37,35,34,33,32,30,30,29,27,25,22,18
13,Georgia,2827,181,220,235,248,278,302,316,319,312,296,274,248
14,New Hampshire,373,19,17,17,18,18,18,20,21,22,22,21,20
15,North Carolina,1398,103,114,117,130,141,150,154,155,153,147,139,130
16,New Jersey,15078,157,123,106,97,92,87,85,89,91,89,85,80
17,Colorado,1697,40,42,42,43,44,45,50,53,56,56,56,54
18,Maryland,3205,98,95,92,92,92,91,95,101,104,103,98,92
19,Nevada,511,24,31,35,38,44,52,58,63,67,69,69,67
20,Tennessee,609,63,68,78,90,99,107,111,113,113,111,107,102
21,Hawaii,18,0,0,0,0,0,0,0,0,0,0,0,0
22,Indiana,2650,78,81,81,82,82,85,92,95,96,94,90,84
23,Kentucky,572,27,27,28,29,30,34,37,40,42,43,43,42
24,Minnesota,1482,59,61,62,63,65,67,73,80,86,90,91,89
25,Oklahoma,389,15,15,15,17,18,20,21,21,22,22,21,21
26,Pennsylvania,6684,158,155,152,148,142,146,152,152,149,143,135,126
27,South Carolina,766,76,84,97,113,125,134,139,139,135,128,118,107
28,District of Columbia,553,12,12,11,11,10,10,10,10,10,10,9,8
29,Kansas,277,11,9,9,9,10,10,10,10,10,10,10,10
30,Missouri,1033,32,35,36,35,36,39,41,42,42,41,40,39
31,Vermont,56,0,0,0,0,1,1,1,1,1,2,2,2
32,Virginia,1786,69,60,59,60,63,72,83,91,97,101,101,99
33,Connecticut,4324,44,40,36,33,30,28,28,28,27,25,24,21
34,Iowa,717,25,23,21,19,18,17,16,15,13,12,11,10
35,Louisiana,3238,84,88,91,92,99,107,111,111,108,103,96,87
36,Ohio,2876,123,119,121,125,129,133,147,160,169,172,170,164
37,Michigan,6198,73,70,71,74,76,84,95,104,110,114,115,114
38,South Dakota,93,6,6,6,6,6,6,6,5,5,5,5,4
39,Arkansas,277,36,38,42,48,53,56,58,58,57,55,52,49
40,Delaware,509,12,13,13,12,12,12,12,12,12,11,10,9
41,Mississippi,1082,89,93,93,95,102,104,103,98,91,82,72,62
42,New Mexico,500,23,24,25,25,26,26,27,29,30,31,30,29
43,North Dakota,80,3,3,2,2,2,2,2,1,1,1,1,1
44,Wyoming,20,1,1,1,1,1,1,1,1,0,0,0,0
45,Alaska,14,1,1,1,1,1,1,1,1,2,2,2,2
46,Maine,105,2,2,2,2,2,2,3,3,3,3,3,3
47,Alabama,972,90,100,108,124,142,155,162,163,157,147,134,118
48,Idaho,92,2,3,3,4,5,6,8,9,10,10,11,11
49,Montana,22,1,1,1,1,1,2,2,2,2,2,2,2
50,Puerto Rico,153,3,3,3,3,3,3,4,4,4,5,5,5
51,Virgin Islands,6,0,0,0,0,0,0,0,0,0,0,0,0
52,Guam,5,0,0,0,0,0,0,0,0,0,0,0,0
53,West Virginia,93,2,2,2,2,1,1,1,1,1,1,1,1
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
