forecast_date,target,target_end_date,location,location_name,type,quantile,value
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,point,NA,1713
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.01,999
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.025,1000
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.05,1036
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.1,1095
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.15,1172
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.2,1208
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.25,1365
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.3,1552
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.35,1562
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.4,1589
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.45,1599
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.5,1713
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.55,1781
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.6,1865
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.65,1993
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.7,2275
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.75,2513
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.8,3018
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.85,3206
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.9,3705
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.95,4967
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.975,5218
2022-04-03,1 wk ahead inc case,2022-04-09,PL72,PL72,quantile,0.99,5218
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,point,NA,415537
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.01,414823
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.025,414824
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.05,414860
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.1,414919
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.15,414996
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.2,415032
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.25,415189
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.3,415376
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.35,415386
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.4,415413
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.45,415423
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.5,415537
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.55,415605
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.6,415689
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.65,415817
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.7,416099
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.75,416337
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.8,416842
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.85,417030
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.9,417529
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.95,418791
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.975,419042
2022-04-03,1 wk ahead cum case,2022-04-09,PL72,PL72,quantile,0.99,419042
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,point,NA,1085
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.01,0
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.025,0
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.05,135
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.1,237
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.15,337
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.2,457
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.25,618
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.3,731
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.35,852
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.4,942
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.45,1004
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.5,1085
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.55,1215
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.6,1289
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.65,1418
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.7,1428
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.75,1816
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.8,1878
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.85,2160
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.9,2747
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.95,4108
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.975,4359
2022-04-03,2 wk ahead inc case,2022-04-16,PL72,PL72,quantile,0.99,4359
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,point,NA,416622
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.01,415537
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.025,415537
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.05,415672
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.1,415774
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.15,415874
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.2,415994
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.25,416155
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.3,416268
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.35,416389
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.4,416479
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.45,416541
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.5,416622
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.55,416752
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.6,416826
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.65,416955
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.7,416965
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.75,417353
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.8,417415
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.85,417697
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.9,418284
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.95,419645
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.975,419896
2022-04-03,2 wk ahead cum case,2022-04-16,PL72,PL72,quantile,0.99,419896
2022-04-03,3 wk ahead inc case,2022-04-23,PL72,PL72,point,NA,703
2022-04-03,3 wk ahead inc case,2022-04-23,PL72,PL72,quantile,0.01,0
2022-04-03,3 wk ahead inc case,2022-04-23,PL72,PL72,quantile,0.025,0
2022-04-03,3 wk ahead inc case,2022-04-23,PL72,PL72,quantile,0.05,0
2022-04-03,3 wk ahead inc case,2022-04-23,PL72,PL72,quantile,0.1,0
