id,Country,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,population
0,Andorra|||,0,0,0,0,0,576,1036,1622,2141,2390,2390,3650,7098,7098,7098,9781,9781,21733,23822,24182,26931,27613,27613,27613,30535,34646,38667,41716,41716,43008,48445,50747,50747,51044,51044,52910,52910,52910,52910,54312,54383,54383,54383,54383,54999,54999,54999,54999,54999,56095,56628,56628,57085,57085,57085,57085,77142
1,United Arab Emirates|||,0,0,836568,836568,836568,836568,836568,836568,836568,3480415,3480415,3480415,3480415,3480415,3480415,3480415,3480415,5081853,5081853,5081853,5081853,5081853,5081853,5081853,5081853,5081853,5081853,5081853,7477002,7674726,7684876,7803451,7961606,8139651,8327923,8485738,8743077,8931243,9089444,9227821,9346591,9445401,9514450,9583589,9652930,9741962,9781743,9852774,9881456,9881456,9881456,9881456,9881456,9881456,9881456,9890188,9770529
2,Afghanistan|||,0,0,0,0,0,0,0,0,0,8200,8200,8200,54000,54000,54000,120000,120000,240000,240000,240000,448878,470341,480226,481800,482952,484737,649434,699200,742934,742934,742934,742934,742934,742934,770542,770542,773002,773002,773002,773002,828601,828601,828601,828601,828601,828601,3530173,3530173,3530173,3530173,3530173,3530173,3530173,4142857,4358570,4405897,38041754
24,Antigua and Barbuda|||,0,0,0,0,0,0,0,0,0,0,0,0,25677,26424,27032,27032,28639,29754,29754,31085,31262,32469,33214,34084,34883,35768,35768,36692,36908,37316,37841,38146,38605,39039,39466,40309,41061,43681,45099,48580,53171,54435,55103,55703,56269,57058,58497,61097,61418,61420,61921,62154,62283,62283,62361,62743,97118
25,Anguilla|||,0,0,0,0,0,0,0,2762,2762,3929,3929,5000,5348,5348,5348,5348,5835,6115,6115,6115,6115,8811,9004,9044,9119,9183,9264,9300,9321,9362,9398,9428,9492,9492,9493,9493,9493,9493,9498,9498,9548,9548,9548,9548,9548,9548,9624,9906,9906,10038,10079,10079,10079,10079,10079,10157,16086
26,Albania|||,0,0,0,405,549,549,549,689,2438,6073,6073,6073,6073,6073,6073,6073,6073,6073,6073,6073,448571,472840,485162,492522,504257,515884,537018,571759,587876,602460,640047,672765,706470,750965,787510,818955,844304,896926,918307,932595,950620,962281,979655,998130,1013959,1032457,1047822,1059927,1071871,1084071,1102621,1119430,1131547,1141486,1175177,1225090,2862427
27,Armenia|||,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,565,565,565,565,10727,19249,26562,33529,46503,46503,52509,58518,58518,77449,94560,108674,120285,132529,144573,153888,176552,195290,215278,237454,264695,264695,264695,434617,497971,579360,613849,682188,738887,799403,799403,869750,903661,934028,944784,952813,952813,2957731
29,Angola|||,0,0,0,0,0,0,0,0,0,0,0,6169,49000,87022,130750,245442,245442,456349,456349,456349,586377,630984,663049,679034,774926,866381,909119,943301,951772,958373,958373,958373,969946,972978,1025762,1110558,1165755,1510880,1836547,2127405,2127405,2863708,3158501,4126328,4498272,5269623,5802574,6145451,6266044,6266044,7003795,7246240,7423668,7685417,8176125,8298224,31825295
31,Argentina|||,0,10485,31365,54608,62328,66671,77788,90307,135853,231186,346328,510552,648083,761643,950395,1233635,1433657,1633434,1802122,1966720,2050496,2199423,2355847,2759210,3143328,3485512,3877387,4361862,4802717,5284494,5709352,6025394,6266129,6397687,6540551,6658030,6759596,6823521,6881918,6976000,7057442,7139402,7402944,7834042,8154442,8376837,8517558,8596155,8669538,8762861,8835456,8904844,8951503,9021151,9127246,9193807,44938712
32,Argentina|Salta||,0,577,1037,1503,1620,1634,2054,2102,3465,6870,8783,12778,16224,18873,24211,30999,35037,38390,42411,46889,49537,53986,59322,76398,86541,94619,111458,119558,127737,134956,139668,145237,151543,156599,159942,163442,166188,168827,170241,172218,173861,176673,185326,198127,205993,211167,215167,218004,220144,222236,223715,225337,226352,227849,229929,231102,1406584
33,Argentina|Salta|La Viña|,0,0,4,7,7,7,8,8,19,40,55,79,87,121,131,256,262,277,299,318,333,345,443,519,641,699,788,820,875,912,929,965,1002,1031,1051,1073,1085,1090,1096,1115,1118,1168,1220,1331,1358,1402,1423,1432,1437,1445,1450,1457,1462,1470,1481,1486,7152
34,Argentina|Salta|Orán|,0,38,51,107,120,129,130,132,224,540,635,1026,1300,1500,2126,2544,2692,2811,3199,3640,3865,4097,4342,5898,6462,7465,9245,10161,11557,12575,13257,13812,14387,14914,15266,15602,15770,15974,16085,16228,16400,16611,18198,19275,20289,20857,21330,21750,22113,22326,22495,22619,22696,22847,23058,23147,124000
35,Argentina|Buenos Aires Province||,0,1330,10343,21966,25463,28014,30749,37023,60104,95091,146725,209734,261675,305386,382719,500225,582208,662782,734776,800980,826110,877680,928540,1067314,1200663,1333944,1480099,1659404,1852157,2073915,2240528,2369212,2479289,2538421,2584312,2630425,2665283,2689138,2710383,2753057,2779372,2813586,2914672,3103807,3223070,3313652,3368009,3390370,3422722,3468861,3497467,3526714,3548737,3584311,3639871,3671841,17370144
36,Argentina|Buenos Aires Province|Bahía Blanca|,0,12,92,191,198,227,239,335,447,773,1402,2085,2868,3563,5246,7324,8332,9445,10342,11078,11345,11919,12707,14334,16276,17748,19126,21405,22840,25605,28373,30088,31211,32022,32606,33037,33320,33536,33757,34188,34510,34806,35532,37446,38453,39239,39701,39877,40004,40751,41107,41400,41705,42138,42704,43025,301572
37,Argentina|Buenos Aires Province|Baradero|,0,2,24,69,70,70,70,71,165,271,360,540,586,595,599,826,987,1145,1221,1385,1391,1443,1584,1970,2251,2475,2587,2836,3246,3761,3794,3910,4019,4164,4252,4292,4339,4363,4405,4466,4479,4571,4881,5261,5399,5448,5501,5515,5601,5614,5638,5672,5705,5743,5823,5835,32761
38,Argentina|Buenos Aires Province|Daireaux|,0,1,32,94,112,122,122,123,262,427,550,732,755,764,767,770,860,963,1121,1186,1227,1273,1311,1450,1663,2121,2219,2648,2802,2899,2958,3031,3130,3179,3226,3275,3296,3322,3357,3410,3426,3479,3728,3858,3979,4041,4083,4119,4129,4142,4159,4187,4202,4232,4294,4322,16889
39,Argentina|Buenos Aires Province|General Madariaga|,0,0,34,49,71,92,117,117,237,405,461,694,702,724,741,967,1053,1117,1315,1414,1445,1457,1467,1608,1624,1917,2135,2392,2681,3078,3255,3632,3961,4043,4090,4127,4220,4274,4325,4404,4448,4541,4754,5139,5305,5417,5490,5538,5563,5597,5622,5649,5676,5724,5805,5857,19747
40,Argentina|Buenos Aires Province|General Pueyrredón|,0,57,296,640,737,779,819,1113,1690,2927,5728,9755,11446,13214,18268,24719,30137,35111,39413,43485,44702,47692,49678,55254,60860,64896,71038,78197,85530,95081,101804,108535,117045,121035,123290,125779,127612,128748,129725,131382,132573,133796,134544,139710,143515,148830,151404,152303,152866,155864,157468,158951,160071,161735,163628,164994,618989
