id,Country,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21
196, 1073,273,287,298,306,311,314,315,316,317,317,318,318,318,318
263, 4013,2714,2831,2898,2943,2970,2986,2995,3001,3004,3006,3007,3008,3008,3008
346, 6001,235,256,279,304,330,358,386,412,435,455,471,483,492,499
352, 6013,166,187,215,261,326,409,495,568,619,651,669,679,685,687
364, 6037,5513,5787,6028,6281,6545,6801,7025,7206,7340,7435,7499,7542,7569,7586
375, 6059,843,894,949,1018,1101,1196,1292,1380,1454,1510,1551,1579,1598,1610
379, 6067,232,263,309,364,421,479,530,573,605,629,646,658,665,670
382, 6073,646,679,713,793,945,1215,1578,1921,2139,2240,2278,2292,2297,2298
383, 6075,73,77,82,87,93,101,109,117,125,132,137,142,145,147
386, 6081,130,136,143,154,169,189,213,239,264,285,302,313,320,325
388, 6085,215,227,241,261,290,328,372,416,455,485,506,520,529,534
420, 8031,423,426,429,433,438,443,448,454,459,464,469,472,475,477
423, 8037,9,9,9,9,9,9,9,9,9,9,9,9,9,9
425, 8041,146,150,156,166,182,204,230,254,273,285,292,295,297,298
434, 8059,237,242,261,316,435,581,631,635,635,635,635,635,635,635
468, 9001,1413,1416,1421,1428,1436,1446,1458,1472,1487,1501,1514,1525,1534,1542
469, 9003,1422,1425,1429,1437,1451,1475,1511,1560,1618,1672,1715,1745,1763,1773
479,11001,603,609,616,625,637,653,671,691,710,726,739,748,755,759
485,12011,1112,1226,1313,1358,1371,1375,1376,1376,1376,1376,1376,1376,1376,1376
507,12057,533,595,642,679,704,721,732,740,744,747,749,750,751,751
522,12086,2232,2385,2515,2544,2544,2544,2544,2544,2544,2544,2544,2544,2544,2544
529,12099,1036,1078,1111,1138,1160,1177,1189,1197,1202,1206,1208,1210,1211,1211
554,13015,66,68,70,71,71,72,72,72,72,72,72,72,72,72
579,13067,362,386,405,421,436,448,456,463,467,470,472,473,474,475
590,13089,279,300,320,338,354,368,378,386,392,395,398,400,401,402
593,13095,174,176,177,179,180,180,181,181,181,182,182,182,182,182
606,13121,497,529,557,584,607,626,640,650,657,661,664,666,667,668
770,17031,4996,5036,5078,5121,5160,5197,5229,5255,5276,5293,5305,5314,5321,5326
776,17043,530,536,543,550,559,568,579,589,598,606,612,617,621,623
803,17097,455,460,465,470,477,484,490,496,501,505,508,510,512,513
905,18097,744,754,764,776,793,814,839,862,880,893,901,906,908,910
1298,22051,536,541,545,550,554,558,561,564,566,567,567,568,568,568
1308,22071,570,574,577,581,587,594,602,611,619,625,629,632,634,635
1339,23005,69,69,69,70,70,70,71,71,72,72,73,74,74,75
1367,24031,817,824,833,842,852,863,873,883,892,899,905,910,914,918
1381,25009,1194,1195,1195,1196,1196,1196,1196,1197,1197,1197,1198,1198,1199,1199
1385,25017,2007,2009,2010,2015,2029,2062,2126,2188,2213,2217,2218,2218,2218,2218
1387,25021,997,997,997,997,997,997,997,997,997,997,997,997,997,997
1389,25025,1077,1079,1080,1082,1084,1088,1093,1100,1107,1113,1119,1123,1126,1128
1440,26099,961,970,980,1004,1056,1136,1213,1261,1281,1289,1292,1292,1293,1293
1453,26125,1151,1164,1178,1199,1230,1273,1327,1384,1434,1472,1498,1514,1523,1529
1472,26163,2854,2867,2881,2901,2930,2971,3024,3082,3136,3181,3213,3235,3247,3255
1500,27053,859,873,885,895,902,908,912,914,916,918,919,919,920,920
1908,32003,994,1081,1158,1232,1292,1338,1370,1391,1405,1413,1418,1421,1423,1424
1935,34003,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036
1940,34013,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111
1942,34017,1511,1516,1521,1526,1530,1534,1537,1540,1542,1544,1545,1546,1547,1548
1945,34023,1421,1429,1437,1446,1454,1464,1474,1484,1495,1505,1515,1525,1534,1543
1946,34025,859,860,861,863,864,866,869,872,875,879,883,886,889,892
1947,34027,831,832,833,834,836,840,846,855,867,880,893,903,911,916
1948,34029,1021,1022,1023,1024,1027,1030,1034,1040,1047,1053,1060,1065,1069,1072
1949,34031,1247,1251,1256,1260,1261,1262,1262,1262,1262,1262,1262,1262,1262,1262
1951,34035,568,572,576,581,589,599,613,631,652,677,704,731,755,775
1953,34039,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
1988,36001,130,131,132,133,134,135,135,136,136,137,137,138,138,138
2001,36027,153,153,153,154,154,154,155,156,156,157,158,159,160,160
2002,36029,676,681,685,691,703,724,759,809,866,917,954,975,987,993
2015,36055,286,288,290,296,312,347,413,491,544,564,570,571,572,572
2017,36059,2195,2196,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
2018,36061,23671,23723,23777,23819,23841,23855,23862,23867,23869,23871,23871,23872,23872,23872
2023,36071,492,493,494,495,495,496,496,496,496,496,496,496,496,496
2031,36087,674,675,676,676,676,676,676,676,676,676,676,676,676,676
2039,36103,2001,2002,2003,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005
2047,36119,1449,1451,1453,1454,1454,1454,1454,1454,1454,1454,1454,1454,1454,1454
2109,37119,272,289,303,314,322,329,333,337,339,341,342,343,344,344
2141,37183,192,201,209,219,233,251,273,297,320,341,358,371,380,386
2220,39035,552,571,593,621,656,696,739,782,821,854,880,900,914,923
2401,41067,31,32,33,35,38,42,46,51,56,61,65,68,71,73
2449,42091,862,867,872,878,885,895,907,920,935,950,965,979,992,1002
2454,42101,1724,1735,1747,1765,1792,1831,1879,1930,1976,2013,2038,2054,2064,2070
2606,47037,237,246,255,265,274,283,289,295,298,301,302,303,304,304
2666,47157,353,372,386,397,403,407,409,410,411,412,412,412,412,412
2739,48113,874,937,1052,1166,1226,1259,1276,1285,1289,1291,1293,1293,1293,1293
2783,48201,2008,2215,2385,2692,3167,3731,4216,4527,4692,4771,4806,4822,4829,4832
