id,Country,2022-06-18,2022-06-25,2022-07-02,2022-07-09,2022-07-16,2022-07-23,2022-07-30,2022-08-06,2022-08-13,2022-08-20,2022-08-27,2022-09-03,2022-09-10,2022-09-17,2022-09-24
0,   60,6289,6390,6558,6837,7288,7994,9044,10492,12289,14245,16086,17593,18690,19422,19880
1,   66,50692,51464,52301,53196,54141,55123,56126,57137,58137,59110,60044,60925,61744,62497,63179
2,   69,11501,11571,11645,11723,11806,11893,11985,12080,12180,12283,12389,12498,12610,12724,12840
3,   78,20676,20879,21023,21126,21198,21250,21286,21312,21330,21343,21353,21359,21364,21367,21369
160, 1001,16232,16392,16595,16853,17179,17585,18086,18695,19421,20269,21233,22301,23443,24625,25805
161, 1003,57810,58494,59298,60250,61365,62663,64161,65872,67804,69958,72326,74887,77610,80452,83363
162, 1005,5782,5827,5882,5951,6038,6145,6277,6439,6634,6867,7142,7460,7822,8223,8658
163, 1007,6612,6678,6766,6882,7034,7229,7477,7786,8161,8605,9112,9668,10252,10838,11400
164, 1009,15209,15300,15426,15599,15836,16158,16592,17169,17923,18887,20084,21518,23166,24967,26833
165, 1011,2380,2418,2483,2588,2759,3025,3419,3961,4630,5356,6037,6595,7000,7271,7441
166, 1013,5177,5234,5310,5410,5541,5712,5931,6206,6543,6946,7409,7922,8464,9011,9537
167, 1015,32859,33057,33343,33761,34362,35221,36431,38101,40344,43248,46831,51000,55524,60075,64315
168, 1017,8640,8703,8790,8910,9075,9300,9602,10003,10524,11183,11987,12930,13981,15092,16199
169, 1019,5207,5235,5268,5309,5358,5417,5488,5572,5673,5792,5931,6094,6283,6499,6743
170, 1021,11240,11284,11341,11415,11509,11631,11787,11984,12234,12546,12932,13403,13967,14631,15392
171, 1023,2074,2080,2087,2095,2104,2113,2122,2133,2144,2156,2170,2184,2199,2215,2232
172, 1025,7243,7317,7446,7672,8061,8701,9695,11096,12823,14623,16191,17356,18119,18580,18843
173, 1027,4181,4260,4413,4706,5232,6088,7272,8580,9699,10460,10899,11128,11241,11296,11322
174, 1029,3587,3595,3605,3616,3630,3648,3669,3694,3725,3762,3807,3860,3923,3998,4086
175, 1031,13998,14121,14264,14433,14632,14862,15130,15437,15786,16179,16618,17101,17625,18185,18773
176, 1033,16689,16819,16983,17190,17449,17771,18168,18650,19229,19910,20696,21581,22551,23584,24648
177, 1035,2932,2959,2992,3032,3082,3142,3214,3301,3403,3523,3660,3815,3987,4174,4371
178, 1037,3021,3044,3075,3119,3179,3261,3372,3519,3708,3946,4231,4557,4911,5273,5620
179, 1039,9488,9550,9630,9735,9870,10043,10263,10542,10890,11317,11831,12439,13136,13913,14749
180, 1041,3897,3919,3944,3973,4004,4040,4080,4125,4174,4228,4288,4352,4423,4498,4578
181, 1043,25105,25340,25683,26183,26902,27918,29323,31203,33614,36541,39863,43356,46740,49767,52287
182, 1045,13250,13341,13445,13563,13696,13846,14014,14201,14409,14638,14888,15160,15453,15767,16099
