id,Country,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23
196, 1073,22897,23279,23481,23586,23641,23669,23683,23691,23695,23697,23698,23698,23699,23699
263, 4013,153348,158281,164406,171535,178893,185397,190364,193731,195831,197073,197785,198186,198410,198534
346, 6001,23131,23747,24431,25181,25988,26842,27728,28626,29518,30384,31205,31968,32662,33284
352, 6013,18574,19362,20446,21900,23764,26004,28477,30959,33219,35108,36586,37691,38495,39071
364, 6037,297102,322449,384295,517466,739154,982088,1147289,1225239,1255497,1266323,1270082,1271374,1271816,1271967
375, 6059,58253,60102,62428,65255,68554,72224,76093,79946,83571,86800,89540,91772,93529,94876
379, 6067,24984,25711,26458,27209,27953,28674,29362,30006,30598,31135,31613,32035,32401,32717
382, 6073,55250,60668,70252,84700,102924,120183,132574,140088,144451,147040,148619,149599,150210,150593
383, 6075,12086,12396,12781,13252,13814,14470,15211,16019,16867,17720,18544,19308,19991,20581
386, 6081,11173,11893,13154,15322,19038,25292,35515,51417,74266,103516,135775,165934,190092,207189
388, 6085,23993,25163,26724,28747,31268,34261,37611,41119,44544,47668,50344,52516,54205,55476
420, 8031,16896,18014,19037,19913,20622,21171,21580,21877,22089,22237,22340,22411,22460,22493
423, 8037,1384,1439,1523,1634,1772,1928,2071,2180,2249,2289,2310,2322,2328,2331
425, 8041,9412,10995,13240,16009,18879,21358,23175,24351,25051,25446,25664,25781,25844,25877
434, 8059,8592,11796,18478,24992,27659,28920,29584,29901,30043,30104,30131,30142,30146,30148
468, 9001,22253,23396,24938,26838,28929,30957,32692,34026,34971,35602,36007,36262,36420,36517
469, 9003,17405,19205,21970,25561,29307,32399,34488,35712,36370,36708,36878,36962,37003,37023
479,11001,16725,17313,18056,18955,19981,21071,22139,23107,23923,24571,25065,25429,25692,25880
485,12011,82608,84583,86758,89165,91765,94436,97019,99357,101343,102940,104165,105072,105726,106188
507,12057,46563,47874,49201,50542,51860,53095,54194,55121,55868,56448,56883,57202,57432,57596
522,12086,179286,179286,179286,179286,179286,179286,179286,179286,179286,179286,179286,179286,179286,179286
529,12099,50663,55206,65538,85334,112678,137161,152586,160559,164265,165893,166591,166887,167013,167066
554,13015,3545,3818,4144,4526,4958,5434,5939,6454,6960,7437,7872,8253,8580,8851
579,13067,21537,21962,22300,22563,22763,22915,23029,23113,23175,23221,23254,23279,23297,23310
