id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07
0,"Afghanistan",0,0,0,0,0,1,1,11,24,110,299,555,933,1463,2469,4033,6402,9998,14525,19551,24102,28424,30616,32672,34366,35301,36036,36710,37054,37551,37953,38143,38324,38641,38919,39192,39297,39703,40141,40768,41425,42033
1,"Albania",0,0,0,0,0,0,0,38,76,197,333,433,548,712,789,856,933,989,1122,1232,1464,1891,2330,2819,3371,4008,4637,5396,6275,7260,8275,9279,10102,11185,12226,13153,14117,15231,16774,18858,20875,23705
2,"Algeria",0,0,0,0,0,1,17,37,139,454,1251,1825,2534,3256,4295,5558,6821,8113,9267,10050,10810,11631,12968,15500,18712,22549,26764,30950,34693,38133,41068,43781,46071,48007,49623,50914,51995,52940,54203,55880,57942,61381
3,"Andorra",0,0,0,0,0,0,1,1,88,308,466,601,704,738,747,754,761,762,764,852,853,855,855,855,855,880,897,925,955,989,1045,1124,1215,1344,1564,1836,2110,2696,3377,4038,4756,5319
4,"Angola",0,0,0,0,0,0,0,0,2,5,10,19,24,25,35,43,48,61,84,88,138,176,259,346,462,687,916,1164,1572,1879,2134,2551,2935,3335,3901,4672,5370,6246,7462,9026,10805,12335
5,"Antigua and Barbuda",0,0,0,0,0,0,0,1,1,7,15,21,23,24,25,25,25,25,25,26,26,26,65,68,74,76,82,91,92,93,94,94,95,95,96,98,107,111,119,124,128,131
6,"Argentina",0,0,0,0,0,0,8,34,158,690,1451,1975,2758,3780,4681,5776,7805,11353,16214,22020,30295,41204,57744,75376,97509,122524,158334,196543,241811,289100,336802,401239,471806,546481,622934,702484,790818,883882,979119,1081336,1166924,1236851
7,"Armenia",0,0,0,0,0,0,1,18,160,407,770,967,1248,1677,2273,3175,4283,6302,8927,12364,16004,19708,23909,27900,31392,34462,36996,38841,40185,41495,42616,43626,44649,45675,47154,49072,51925,55736,63000,75523,89813,104249
8,"Australia",0,12,15,15,15,25,63,250,1071,3640,5550,6303,6568,6694,6799,6939,7044,7114,7192,7259,7320,7461,7686,8443,9797,11802,14403,17895,21084,23287,24811,25670,26278,26651,26898,27040,27135,27263,27390,27513,27595,27658
9,"Austria",0,0,0,0,0,9,79,655,2814,8271,11781,13806,14671,15148,15558,15833,16201,16486,16685,16898,17078,17323,17580,18165,18783,19573,20338,21212,21919,23179,25062,26985,29087,32696,37474,42214,47432,54423,63134,78029,104925,147220
10,"Azerbaijan",0,0,0,0,0,0,9,15,53,182,521,1058,1373,1617,1894,2422,3138,3982,5246,7239,9570,12238,15890,19801,23521,27133,29633,32157,33481,34107,35105,36174,37192,38172,39042,39895,40561,41752,44317,49013,55269,63748
11,"Bahamas",0,0,0,0,0,0,0,0,4,10,28,46,55,78,83,92,96,100,102,103,103,104,104,104,111,138,326,599,878,1252,1765,2135,2476,2928,3214,3790,4332,5023,5628,6268,6714,6947
12,"Bahrain",0,0,0,0,0,41,85,210,305,476,688,1040,1773,2588,3284,4774,6747,8802,10793,14383,17713,21331,25267,28857,32470,36004,38747,41190,43629,46430,49038,51391,54771,59586,64499,68775,72310,75287,77571,79975,81645,83264
13,"Bangladesh",0,0,0,0,0,0,0,3,25,48,70,482,2144,4998,8790,13770,20995,32078,44608,63026,84379,108775,133978,159679,181129,202066,221178,239860,255113,274525,292625,308925,323565,336044,347372,357873,367565,377073,387295,397507,407684,418764
14,"Barbados",0,0,0,0,0,0,0,0,6,26,52,68,75,79,81,84,86,92,92,92,96,97,97,97,103,104,108,122,138,150,158,170,178,180,185,190,196,206,219,227,237,242
15,"Belarus",0,0,0,0,0,1,6,27,76,94,440,2226,5297,9590,15828,22052,28681,35244,41658,47751,53241,57936,61095,63270,64767,65953,67002,67946,68738,69308,70285,71523,72663,73975,75461,77289,79852,82471,87063,91978,98482,105283
16,"Belgium",0,0,1,1,1,1,169,689,2815,9134,18431,28018,37183,45325,49517,52596,54989,56810,58186,59072,59918,60550,61209,61838,62469,63706,65727,69402,73401,77869,81468,84599,87825,92478,100748,112803,127623,156931,213115,305409,429229,494168
17,"Benin",0,0,0,0,0,0,0,0,2,6,16,35,35,54,90,284,339,135,224,261,412,650,1124,1199,1378,1602,1694,1805,1936,2063,2115,2145,2213,2242,2280,2325,2357,2411,2496,2557,2643,2745
18,"Bhutan",0,0,0,0,0,0,1,1,2,3,5,5,5,7,7,7,21,24,33,48,66,68,75,78,82,87,92,102,108,133,155,195,228,244,259,271,283,306,325,340,349,359
19,"Bolivia",0,0,0,0,0,0,0,10,19,74,139,275,493,866,1470,2437,3826,5915,9592,13358,17842,23512,30676,38071,47200,58138,68281,78793,89055,99146,108427,115354,120241,125982,130470,133592,136569,138463,139710,140779,141757,142427
20,"Bosnia and Herzegovina",0,0,0,0,0,0,3,18,93,258,624,946,1268,1486,1839,2090,2267,2391,2494,2606,2893,3273,3935,4962,6719,8161,9767,11876,13687,15801,17715,19550,21439,23138,25217,26797,27975,30345,33561,39758,50090,61212
