id,Country,2022-12-03,2022-12-10,2022-12-17,2022-12-24,2022-12-31,2023-01-07,2023-01-14,2023-01-21,2023-01-28,2023-02-04,2023-02-11,2023-02-18,2023-02-25,2023-03-04
0,"Afghanistan",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,"Albania",3594,3594,3594,3594,3594,3594,3594,3594,3594,3594,3594,3594,3594,3594
2,"Algeria",6881,6881,6881,6881,6881,6881,6881,6881,6881,6881,6881,6881,6881,6881
3,"Andorra",156,156,156,156,156,156,156,156,156,156,156,156,156,156
4,"Angola",1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923
5,"Antigua and Barbuda",146,146,146,146,146,146,146,146,146,146,146,146,146,146
6,"Argentina",130027,130030,130034,130038,130044,130048,130051,130053,130055,130057,130059,130061,130063,130064
7,"Armenia",8710,8710,8711,8711,8711,8711,8711,8711,8711,8711,8711,8711,8711,8711
8,"Australia",16185,16297,16443,16633,16869,17170,17581,18168,18945,19966,21286,22932,24883,27042
9,"Austria",21212,21242,21268,21290,21311,21332,21353,21373,21394,21416,21440,21469,21503,21548
10,"Azerbaijan",9977,9978,9978,9978,9978,9978,9978,9978,9978,9978,9978,9978,9978,9978
11,"Bahamas",833,833,833,833,833,833,833,833,833,833,833,833,833,833
12,"Bahrain",1537,1539,1541,1543,1544,1545,1546,1547,1548,1548,1549,1550,1550,1551
13,"Bangladesh",29432,29432,29433,29433,29433,29433,29433,29433,29433,29433,29433,29433,29433,29433
14,"Barbados",564,564,564,564,564,564,564,564,564,564,564,564,564,564
15,"Belarus",7118,7118,7118,7118,7118,7118,7118,7118,7118,7118,7118,7118,7118,7118
16,"Belgium",33069,33087,33106,33127,33153,33185,33231,33310,33465,33684,34109,35019,37005,40705
17,"Benin",163,163,163,163,163,163,163,163,163,163,163,163,163,163
18,"Bhutan",21,21,21,21,21,21,21,21,21,21,21,21,21,21
19,"Bolivia",22246,22247,22247,22247,22247,22247,22247,22247,22247,22247,22247,22247,22247,22247
20,"Bosnia and Herzegovina",16203,16205,16207,16209,16211,16212,16214,16215,16215,16216,16216,16216,16216,16216
21,"Brazil",689654,689943,690331,690938,691714,692987,694498,696667,699841,704544,711549,721953,737191,758569
22,"Brunei",225,225,225,225,225,225,225,225,225,225,225,225,225,225
23,"Bulgaria",38043,38055,38064,38072,38078,38084,38089,38094,38098,38101,38104,38107,38108,38110
24,"Burkina Faso",387,387,387,387,387,387,387,387,387,387,387,387,387,387
25,"Cabo Verde",412,412,412,412,412,412,412,412,412,412,412,412,412,412
26,"Cambodia",3056,3056,3056,3056,3056,3056,3056,3056,3056,3056,3056,3056,3056,3056
27,"Cameroon",1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965
28,"Canada",48096,48315,48494,48656,48823,49004,49193,49403,49644,49928,50272,50674,51154,51745
29,"Central African Republic",113,113,113,113,113,113,113,113,113,113,113,113,113,113
30,"Chad",194,194,194,194,194,194,194,194,194,194,194,194,194,194
31,"Chile",62481,62578,62679,62792,62919,63069,63250,63471,63744,64078,64484,64958,65453,66035
32,"China",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,"Colombia",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,"Congo (Brazzaville)",386,386,386,386,386,386,386,386,386,386,386,386,386,386
35,"Congo (Kinshasa)",1456,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457
36,"Costa Rica",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,"Cote d'Ivoire",830,830,830,830,830,830,830,830,830,830,830,830,830,830
38,"Croatia",17318,17332,17343,17354,17360,17374,17422,17725,19173,21617,23691,25294,27060,28862
39,"Diamond Princess",13,13,13,13,13,13,13,13,13,13,13,13,13,13
40,"Cuba",8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530
41,"Cyprus",1234,1244,1255,1268,1282,1296,1311,1327,1344,1361,1379,1397,1416,1434
42,"Czechia",41811,41826,41840,41854,41868,41883,41900,41919,41942,41969,42003,42045,42099,42169
43,"Denmark",7586,7605,7625,7646,7668,7691,7717,7745,7775,7810,7848,7891,7940,7995
44,"Djibouti",189,189,189,189,189,189,189,189,189,189,189,189,189,189
45,"Dominican Republic",4384,4384,4384,4384,4384,4384,4384,4384,4384,4384,4384,4384,4384,4384
46,"Ecuador",35942,35943,35945,35949,35954,35960,35965,35969,35973,35976,35978,35981,35983,35984
47,"Egypt",24798,24798,24798,24798,24798,24798,24798,24798,24798,24798,24798,24798,24798,24798
48,"El Salvador",4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230
49,"Equatorial Guinea",183,183,183,183,183,183,183,183,183,183,183,183,183,183
50,"Eritrea",103,103,103,103,103,103,103,103,103,103,103,103,103,103
51,"Estonia",2787,2793,2798,2803,2808,2812,2816,2819,2823,2826,2828,2831,2833,2835
52,"Eswatini",1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422
53,"Ethiopia",7572,7572,7572,7572,7572,7572,7572,7572,7572,7572,7572,7572,7572,7572
54,"Fiji",878,878,878,878,878,878,878,878,878,878,878,878,878,878
55,"Finland",7343,7464,7582,7695,7814,7943,8061,8164,8269,8378,8494,8619,8756,8909
56,"France",160029,160323,160631,160986,161404,161870,162390,162975,163642,164408,165295,166331,167548,168983
57,"Gabon",306,306,306,306,306,306,306,306,306,306,306,306,306,306
58,"Gambia",372,372,372,372,372,372,372,372,372,372,372,372,372,372
59,"Georgia",16912,16912,16912,16912,16912,16912,16912,16912,16912,16912,16912,16912,16912,16912
60,"Germany",158039,158485,158873,159236,159618,160045,160551,161192,162044,163219,164869,167190,170397,174349
61,"Ghana",1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461
62,"Greece",34287,34438,34582,34723,34860,34995,35127,35258,35387,35516,35644,35773,35903,36035
63,"Guatemala",19952,19954,19957,19960,19962,19964,19966,19967,19968,19969,19970,19970,19971,19971
64,"Guinea",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,"Guyana",1285,1286,1287,1289,1291,1293,1295,1296,1298,1299,1300,1300,1300,1300
66,"Haiti",860,860,860,860,860,860,860,860,860,860,860,860,860,860
67,"Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"Honduras",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,"Hungary",48280,48313,48355,48396,48424,48449,48472,48493,48513,48532,48550,48567,48583,48597
70,"Iceland",219,219,219,219,219,219,219,219,219,219,219,219,219,219
