id,Country,2022-06-18,2022-06-25,2022-07-02,2022-07-09,2022-07-16,2022-07-23,2022-07-30,2022-08-06,2022-08-13,2022-08-20,2022-08-27,2022-09-03,2022-09-10,2022-09-17,2022-09-24
0,"Afghanistan",7720,7774,7841,7910,7987,8078,8184,8306,8447,8607,8792,9004,10149,12319,16325
1,"Albania",3497,3497,3497,3497,3497,3497,3497,3497,3497,3497,3497,3497,3497,3497,3497
2,"Algeria",6875,6875,6875,6875,6875,6875,6875,6875,6875,6875,6875,6875,6875,6875,6875
3,"Andorra",153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
4,"Angola",1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
5,"Antigua and Barbuda",140,140,140,140,140,140,141,141,141,141,141,141,141,141,141
6,"Argentina",129019,129270,129724,130408,131202,131964,132653,133278,133844,134371,134879,135376,135889,136437,137044
7,"Armenia",8629,8630,8632,8634,8636,8638,8641,8645,8649,8654,8660,8667,8675,8686,8724
8,"Australia",9416,9995,10569,11131,11684,12264,12943,13786,14889,16318,18064,20050,22156,24242,26169
9,"Austria",19989,20031,20089,20186,20352,20648,21153,21939,22980,24130,25195,26046,26643,27022,27249
10,"Azerbaijan",9716,9720,9725,9727,9728,9728,9728,9728,9728,9728,9728,9728,9728,9728,9728
11,"Bahamas",816,827,847,871,892,912,932,952,972,992,1013,1034,1084,1194,1360
12,"Bahrain",1492,1496,1502,1514,1538,1592,1691,1823,1929,1986,2012,2023,2030,2034,2037
13,"Bangladesh",29131,29135,29140,29145,29152,29160,29170,29183,29197,29214,29233,29254,29280,29308,29341
14,"Barbados",472,477,482,486,490,494,498,503,508,515,523,532,540,546,552
15,"Belarus",6978,6978,6978,6978,6978,6978,6978,6978,6978,6978,6978,6978,6978,6978,6978
16,"Belgium",31861,31896,31926,31961,32005,32059,32128,32217,32329,32483,32728,33233,33992,35035,36306
17,"Benin",163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
18,"Bhutan",21,21,21,21,21,21,21,21,21,22,24,24,25,25,25
19,"Bolivia",21952,21956,21964,21977,21995,22015,22043,22081,22131,22197,22308,22592,23183,24444,27127
20,"Bosnia and Herzegovina",15796,15800,15803,15806,15810,15815,15821,15831,15847,15871,15911,15976,16082,16255,16539
21,"Brazil",668902,670685,673125,676017,678947,681760,684551,687323,690050,693833,701075,710924,724252,742553,767271
22,"Brunei",225,227,230,234,238,244,253,268,291,319,346,367,381,388,392
23,"Bulgaria",37230,37274,37317,37360,37406,37459,37525,37617,37751,37956,38281,38802,39637,40945,42973
24,"Burkina Faso",387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
25,"Cabo Verde",402,402,402,402,402,402,402,402,402,402,402,402,402,402,402
26,"Cambodia",3056,3056,3056,3056,3056,3056,3056,3056,3056,3056,3056,3056,3056,3056,3056
27,"Cameroon",1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
28,"Canada",41811,42195,42529,42832,43111,43374,43632,43894,44176,44864,45989,47654,50088,53921,59646
29,"Central African Republic",113,113,113,113,113,113,113,113,113,113,113,113,113,113,113
30,"Chad",193,193,193,193,193,193,193,193,193,193,193,193,193,193,193
31,"Chile",58237,58580,58981,59361,59733,60235,60588,60873,61141,61407,62533,64216,66701,69522,72162
32,"China",14630,14687,14734,14778,14817,14858,14902,14945,14991,15087,15603,16775,19481,25780,40350
33,"Colombia",139923,139973,140053,140167,140347,140642,141135,142005,143605,146632,152362,162811,180032,204095,232270
34,"Congo (Brazzaville)",385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
35,"Congo (Kinshasa)",1345,1345,1345,1345,1345,1345,1345,1345,1345,1345,1345,1345,1345,1345,1345
36,"Costa Rica",8529,8562,8617,8699,8793,8855,8872,8872,8872,8872,8872,8872,8872,8872,8872
37,"Cote d'Ivoire",801,801,801,801,801,801,801,801,801,801,801,801,801,801,801
38,"Croatia",16027,16051,16075,16096,16113,16127,16140,16152,16157,16161,16163,16165,16168,16184,16287
39,"Diamond Princess",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
40,"Cuba",8529,8529,8530,8530,8530,8530,8530,8530,8530,8530,8531,8531,8531,8531,8531
41,"Cyprus",1070,1073,1075,1078,1081,1086,1091,1098,1108,1129,1173,1251,1373,1524,1661
42,"Czechia",40308,40313,40317,40321,40325,40333,40344,40363,40393,40446,40543,40723,41048,41619,42645
43,"Denmark",6478,6537,6614,6725,6914,7265,7947,9333,12123,17495,26726,39339,51549,59936,65254
44,"Djibouti",189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
45,"Dominican Republic",4383,4390,4401,4416,4439,4474,4530,4623,4781,5055,5526,6302,7462,8961,10585
46,"Ecuador",35694,35705,35719,35735,35767,35830,35959,36240,36905,38550,42591,51417,65596,79153,86321
47,"Egypt",24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720,24720
48,"El Salvador",4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136
49,"Equatorial Guinea",183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
50,"Eritrea",103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
51,"Estonia",2587,2593,2598,2603,2607,2612,2616,2621,2626,2631,2644,2669,2710,2775,2870
52,"Eswatini",1413,1416,1418,1421,1422,1424,1426,1429,1431,1434,1438,1443,1449,1457,1467
53,"Ethiopia",7523,7531,7540,7550,7560,7568,7576,7584,7592,7607,7625,7648,7678,7718,7771
54,"Fiji",865,867,870,873,876,880,884,889,896,906,920,942,977,1032,1124
55,"Finland",4784,4869,4954,5036,5117,5199,5285,5455,5712,6086,6614,7310,8145,9043,9920
56,"France",150113,150364,150658,151014,151489,152140,153019,154187,155692,157554,159739,162144,164617,166996,169150
57,"Gabon",304,304,304,304,304,304,304,304,304,304,304,304,304,304,304
58,"Gambia",365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
59,"Georgia",16839,16848,16856,16864,16873,16881,16889,16898,16922,16965,17037,17158,17363,17706,18248
60,"Germany",140247,140746,141274,141871,142658,143775,145427,147954,151724,156857,162885,168978,174549,179784,184668
61,"Ghana",1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445
62,"Greece",30097,30308,30573,30930,31437,32219,33502,35654,39211,44688,52010,60012,67153,72617,76327
