id,Country,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13
0,"Afghanistan",1973,2078,2172,2256,2332,2400,2461,2516,2565,2609,2648,2683,2715,2743
1,"Albania",1015,1149,1287,1420,1545,1657,1752,1831,1895,1946,1985,2015,2037,2054
2,"Algeria",2628,2757,2876,2985,3084,3173,3254,3327,3392,3450,3502,3548,3588,3624
3,"Andorra",80,82,83,83,83,83,83,83,83,83,83,83,83,83
4,"Angola",363,370,375,378,381,383,385,386,387,388,389,389,389,390
5,"Antigua and Barbuda",4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,"Argentina",40821,41857,42718,43255,43620,43858,44010,44110,44173,44213,44239,44255,44266,44273
7,"Armenia",2461,2599,2700,2715,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716
8,"Australia",908,908,908,908,908,908,908,908,908,908,908,908,908,908
9,"Austria",4446,4985,5417,5699,5849,5920,5952,5965,5971,5974,5975,5975,5975,5975
10,"Azerbaijan",1984,2516,3122,3718,4227,4610,4872,5039,5140,5201,5236,5256,5268,5274
11,"Bahamas",163,163,163,163,163,163,163,163,163,163,163,163,163,163
12,"Bahrain",341,341,342,342,342,342,342,342,342,342,342,342,342,342
13,"Bangladesh",7048,7301,7549,7787,8013,8228,8431,8623,8803,8973,9132,9280,9419,9548
14,"Barbados",7,7,7,7,7,7,7,7,7,7,7,7,7,7
15,"Belarus",1265,1341,1422,1503,1579,1646,1702,1748,1782,1808,1827,1841,1851,1858
16,"Belgium",17908,18399,18722,18731,18731,18731,18731,18731,18731,18731,18731,18731,18731,18731
17,"Benin",44,44,44,44,44,44,44,44,44,45,45,45,45,45
18,"Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Bolivia",9036,9081,9133,9193,9260,9335,9419,9512,9614,9726,9846,9976,10113,10257
20,"Bosnia and Herzegovina",3223,3499,3751,3928,4055,4142,4200,4238,4262,4278,4289,4295,4300,4303
21,"Brazil",180945,186015,191840,197645,202688,206569,209280,211046,212143,212806,213199,213429,213563,213641
22,"Brunei",3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,"Bulgaria",5678,6554,7345,8007,8536,8945,9248,9468,9625,9735,9812,9865,9902,9927
24,"Burkina Faso",68,68,68,68,68,68,68,68,68,68,68,68,68,68
25,"Cabo Verde",113,117,121,124,126,128,129,130,130,131,131,132,132,132
26,"Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0
