id,Country,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19
0,"Afghanistan",1424,1431,1440,1453,1472,1500,1540,1599,1685,1808,1985,2235,2582,3054,3675
1,"Albania",334,362,389,417,443,468,492,515,535,554,571,586,600,612,622
2,"Algeria",1603,1650,1691,1727,1760,1788,1813,1835,1854,1871,1885,1898,1909,1918,1927
3,"Andorra",53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
4,"Angola",133,151,168,182,194,205,213,220,226,231,235,239,242,244,246
5,"Antigua and Barbuda",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6,"Argentina",11386,13335,15481,17663,19680,21393,22737,23724,24414,24878,25183,25380,25506,25586,25636
7,"Armenia",913,932,950,970,991,1010,1028,1043,1055,1064,1071,1076,1079,1081,1083
8,"Australia",826,890,934,968,993,1011,1024,1034,1041,1046,1050,1052,1055,1056,1057
9,"Austria",751,762,774,787,803,821,840,860,880,899,917,933,947,958,968
10,"Azerbaijan",562,580,598,615,631,647,663,677,691,704,716,727,737,747,755
11,"Bahamas",67,76,85,93,99,104,107,109,110,111,112,112,112,113,113
12,"Bahrain",207,217,231,236,236,236,236,236,236,236,236,236,236,236,236
13,"Bangladesh",4693,4912,5118,5312,5493,5661,5816,5958,6089,6208,6316,6414,6503,6583,6654
14,"Barbados",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
15,"Belarus",743,782,822,863,905,946,986,1024,1061,1096,1129,1158,1185,1210,1232
16,"Belgium",9924,9940,9957,9976,9996,10016,10035,10054,10070,10084,10096,10105,10113,10119,10124
17,"Benin",40,40,40,40,40,40,40,41,41,42,44,46,48,52,56
18,"Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Bolivia",7812,9091,10154,10928,11374,11625,11763,11840,11882,11905,11917,11924,11928,11930,11931
20,"Bosnia and Herzegovina",697,749,799,845,889,929,965,997,1025,1050,1072,1090,1106,1119,1130
21,"Brazil",130823,136146,140844,143175,144021,144342,144464,144509,144526,144532,144534,144535,144536,144536,144536
22,"Brunei",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,"Bulgaria",726,782,834,885,933,979,1022,1062,1100,1136,1169,1200,1228,1254,1278
24,"Burkina Faso",56,57,58,59,61,64,69,75,85,100,121,152,198,262,351
25,"Cabo Verde",44,47,51,54,57,60,63,65,66,68,69,70,70,71,71
26,"Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Cameroon",416,418,420,422,424,426,428,430,431,433,434,436,437,438,440
28,"Canada",9215,9244,9277,9314,9352,9392,9434,9475,9518,9559,9601,9641,9679,9716,9750
29,"Central African Republic",62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
30,"Chad",79,79,80,80,80,81,81,82,82,82,83,83,84,84,85
31,"Chile",11841,12171,12498,12718,12821,12864,12881,12888,12890,12891,12891,12892,12892,12892,12892
32,"China",4735,4738,4740,4742,4743,4744,4745,4746,4746,4747,4747,4747,4747,4748,4748
33,"Colombia",22786,24352,25651,26616,27304,27775,28089,28295,28428,28514,28568,28603,28625,28639,28648
34,"Congo (Brazzaville)",117,127,161,240,433,893,1942,4119,7856,12557,16552,18914,20008,20454,20627
35,"Congo (Kinshasa)",261,262,263,264,266,267,268,269,269,270,271,271,272,272,273
36,"Costa Rica",583,688,806,929,1043,1140,1213,1266,1302,1326,1341,1351,1357,1361,1363
37,"Cote d'Ivoire",120,124,127,131,135,139,143,148,153,159,164,170,177,183,190
38,"Croatia",213,229,245,262,278,293,306,318,329,337,345,350,355,358,361
39,"Diamond Princess",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
40,"Cuba",107,115,123,131,139,147,156,164,173,182,191,200,209,217,226
41,"Cyprus",22,23,24,24,24,24,24,24,24,24,24,24,24,24,24
42,"Czechia",453,480,518,568,630,699,772,840,898,945,980,1005,1022,1033,1040
43,"Denmark",629,633,638,646,655,667,681,696,712,728,742,753,763,770,775
44,"Djibouti",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
45,"Dominican Republic",1976,2104,2247,2425,2637,2872,3111,3333,3524,3676,3791,3873,3931,3970,3996
46,"Ecuador",12034,14552,14984,14984,14984,14984,14984,14984,14984,14984,14984,14984,14984,14984,14984
47,"Egypt",5633,5780,5932,6075,6216,6352,6484,6612,6736,6856,6972,7084,7193,7298,7400
48,"El Salvador",785,811,829,842,851,857,862,865,867,869,870,871,871,871,872
49,"Equatorial Guinea",83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
50,"Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Estonia",64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
52,"Eswatini",98,101,104,106,109,111,113,115,117,118,120,121,122,123,124
53,"Ethiopia",1014,1112,1196,1268,1330,1382,1427,1466,1498,1525,1548,1568,1584,1598,1610
54,"Fiji",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
55,"Finland",337,339,340,342,344,347,350,354,358,364,370,377,386,395,406
56,"France",30866,31046,31271,31532,31817,32112,32399,32663,32892,33082,33234,33352,33441,33506,33555
57,"Gabon",53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
58,"Gambia",100,101,102,103,104,104,105,105,105,105,105,105,105,105,105
59,"Georgia",19,20,21,22,25,28,33,39,47,58,71,85,99,112,124
60,"Germany",9355,9384,9413,9443,9472,9501,9530,9559,9587,9614,9641,9667,9692,9716,9739
61,"Ghana",285,289,294,298,302,305,309,312,315,318,321,323,325,327,329
62,"Greece",302,321,340,358,375,392,408,422,436,449,461,471,481,490,498
63,"Guatemala",2942,3038,3118,3191,3260,3324,3381,3431,3476,3514,3547,3574,3598,3617,3633
64,"Guinea",64,67,70,72,75,77,80,82,84,87,89,91,94,96,98
65,"Guyana",52,61,72,83,95,106,118,128,137,145,152,157,162,166,168
66,"Haiti",217,223,228,234,238,242,246,249,253,255,258,260,262,264,266
67,"Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"Honduras",2110,2276,2416,2518,2590,2639,2672,2695,2710,2720,2726,2731,2733,2735,2737
69,"Hungary",634,666,735,836,978,1170,1416,1708,2026,2342,2628,2865,3047,3179,3271
70,"Iceland",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
71,"India",78503,87140,96287,105622,114780,123426,131294,138217,144130,149052,153063,156274,158808,160787,162317
72,"Indonesia",8656,9525,10535,11662,12936,14367,15963,17736,19692,21835,24166,26680,29367,32213,35195
73,"Iran",23027,23807,24564,25270,25909,26486,27004,27466,27877,28241,28561,28843,29091,29307,29496
74,"Iraq",7965,8537,9136,9721,10246,10684,11026,11281,11464,11591,11678,11737,11776,11802,11819
75,"Ireland",1782,1785,1789,1793,1797,1802,1806,1811,1815,1819,1823,1826,1829,1832,1834
76,"Israel",1101,1236,1383,1487,1539,1561,1569,1572,1573,1574,1574,1574,1574,1574,1574
77,"Italy",35612,35715,35832,35958,36093,36238,36391,36552,36718,36889,37063,37238,37412,37583,37750
78,"Jamaica",44,59,73,88,103,117,130,142,154,164,173,181,187,193,198
79,"Japan",1448,1519,1575,1622,1661,1693,1720,1742,1761,1776,1789,1799,1808,1815,1821
80,"Jordan",21,26,33,41,50,62,77,94,115,139,168,200,236,276,319
81,"Kazakhstan",1645,1664,1675,1684,1690,1695,1698,1701,1703,1704,1705,1706,1706,1707,1707
82,"Kenya",615,630,642,650,656,660,663,666,667,669,669,670,671,671,671
83,"Korea, South",352,364,371,377,381,384,386,387,388,389,389,389,390,390,390
84,"Kuwait",559,575,594,607,611,612,612,613,613,613,613,613,613,613,613
85,"Kyrgyzstan",1062,1063,1064,1065,1066,1066,1066,1066,1066,1067,1067,1067,1067,1067,1067
86,"Latvia",35,35,35,36,36,36,36,36,36,36,36,36,37,37,37
87,"Lebanon",228,262,294,323,347,368,384,397,406,414,419,424,427,429,431
88,"Liberia",82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
89,"Liechtenstein",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,"Lithuania",86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
91,"Luxembourg",124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
92,"Madagascar",210,219,228,238,247,258,268,279,290,301,313,325,337,350,363
93,"Malaysia",128,128,129,130,131,133,136,140,147,156,171,192,222,264,322
94,"Maldives",32,33,34,34,34,34,34,34,34,34,34,34,34,34,34
95,"Malta",14,15,16,17,18,19,19,20,20,21,21,21,22,22,22
96,"Mauritania",162,163,164,165,165,166,167,167,168,168,168,168,169,169,169
97,"Mauritius",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
98,"Mexico",70512,73898,77243,80538,83732,86795,89695,92409,94922,97225,99317,101202,102886,104381,105701
99,"Moldova",1129,1206,1281,1354,1419,1474,1519,1554,1581,1601,1616,1626,1634,1639,1643
100,"Monaco",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"Montenegro",120,142,169,195,217,231,240,245,248,249,250,250,250,250,250
103,"Morocco",1558,1831,2133,2459,2806,3169,3541,3916,4287,4645,4986,5304,5596,5859,6095
104,"Namibia",99,112,123,132,141,147,153,157,161,163,166,167,168,169,170
105,"Nepal",339,407,482,565,656,753,856,962,1071,1180,1287,1390,1488,1580,1663
106,"Netherlands",6290,6310,6336,6367,6405,6448,6496,6544,6591,6634,6672,6703,6727,6746,6761
107,"New Zealand",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
