id,Country,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24
1,"Albania",1274,1319,1369,1441,1558,1738,2012,2427,3042,3934,5178,6829,8877,11215,13638
2,"Algeria",2832,2857,2879,2913,2974,3097,3344,3838,4825,6784,10633,18035,31701,55134,90619
3,"Andorra",88,90,92,100,113,142,196,272,342,385,404,411,414,415,415
6,"Argentina",45467,46777,48309,50224,53195,57292,62893,70497,80704,94210,111735,133915,161109,193176,229290
7,"Armenia",2979,3027,3063,3099,3216,3440,3864,4651,6058,8407,11924,16399,21036,24899,27557
8,"Australia",909,909,909,909,909,909,909,909,909,909,909,909,909,909,909
9,"Austria",7019,7374,7739,8361,9678,12556,18622,30461,50453,77122,103203,121770,132077,136987,139151
10,"Azerbaijan",3009,3083,3130,3218,3417,3834,4685,6408,9784,16022,26379,40839,56732,70091,78927
12,"Bahrain",358,362,366,375,384,396,413,435,464,504,556,623,709,814,941
15,"Belarus",1572,1635,1700,1863,2290,3404,6124,11919,21275,31134,37620,40594,41718,42109,42241
16,"Belgium",20403,20735,21120,21793,22658,24000,26058,29187,33873,40732,50446,63576,80237,99759,120580
20,"Bosnia and Herzegovina",4456,4552,4649,4869,5061,5361,5825,6541,7638,9298,11767,15345,20340,26961,35154
21,"Brazil",208888,216047,225215,248089,298116,417618,687523,1233947,2125678,3164593,3975998,4424387,4623547,4703014,4733324
22,"Brunei",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,"Bulgaria",8454,8668,8836,9063,10176,13423,22517,45315,89496,143799,181879,198670,204407,206181,206711
24,"Burkina Faso",95,98,102,112,131,170,255,437,829,1658,3377,6772,12886,22260,33544
26,"Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Canada",17845,18928,20171,22748,27144,35740,52122,82280,134147,213766,316702,423358,510682,568984,602638
31,"Chile",17376,17839,18510,19827,20839,22196,23980,26328,29412,33425,38619,45272,53684,64156,76925
32,"China",4799,4807,4837,4979,5002,5039,5098,5191,5340,5577,5956,6559,7520,9052,11493
33,"Colombia",48105,50519,53285,56762,61144,66696,73618,82224,92906,106028,122045,141395,164477,191622,222980
36,"Costa Rica",2435,2556,2713,4431,25008,91743,114436,115488,115540,115542,115542,115542,115542,115542,115542
38,"Croatia",4573,4755,4914,5323,6387,9147,15753,29179,49067,67809,78956,83757,85517,86122,86325
39,"Diamond Princess",13,13,16,33,33,33,33,33,33,33,33,33,33,33,33
41,"Cyprus",173,198,222,268,390,729,1549,3026,4652,5674,6094,6232,6274,6287,6291
42,"Czechia",14252,15888,17753,20836,25993,34396,47241,65320,87873,112113,134250,151593,163582,171158,175672
43,"Denmark",1746,1918,2058,2257,2532,2931,3497,4294,5393,6876,8812,11234,14109,17314,20644
45,"Dominican Republic",2431,2439,2449,2486,2609,3052,4449,7552,11057,12830,13341,13459,13485,13490,13492
46,"Ecuador",14272,14392,14569,15266,17376,25353,53272,130456,252813,338185,366946,373746,375196,375498,375560
47,"Egypt",8614,9258,9858,10766,12182,14434,17984,23596,32446,46384,68270,102485,155605,237194,360464
51,"Estonia",318,356,397,465,542,657,823,1057,1376,1790,2295,2865,3455,4011,4493
55,"Finland",613,637,665,728,863,1230,2210,4726,10574,21518,35555,46688,52443,54724,55525
56,"France",70186,72565,75550,81423,85850,91731,99373,109263,122095,138533,159473,185870,218665,258766,306769
59,"Georgia",2903,3012,3118,3265,3447,3687,3997,4398,4908,5546,6332,7275,8375,9616,10966
60,"Germany",46625,51796,57701,69004,89203,130830,214214,372120,641613,1028626,1464448,1836168,2082647,2218915,2286513
62,"Greece",5464,5706,5954,6373,6980,7958,9491,11910,15699,21585,30619,44221,64118,92018,128874
69,"Hungary",11243,11865,12536,13564,14854,16702,19315,22996,28124,35171,44669,57144,72980,92234,114446
70,"Iceland",29,29,29,29,29,29,29,29,29,29,29,30,30,30,30
71,"India",152340,153639,154787,156115,159129,164521,174160,191356,221937,276011,370672,533495,805273,1236888,1870772
72,"Indonesia",25640,27354,29401,33321,42061,62916,112310,227298,484564,1012303,1924651,3113746,4190182,4875076,5213211
73,"Iran",56723,57338,57970,58875,60114,61893,64428,68037,73150,80353,90417,104312,123195,148299,180724
