id,Country,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21
1,"Albania",248,280,315,370,452,577,763,1032,1407,1903,2515,3209,3922,4584
2,"Algeria",1430,1492,1554,1667,1920,2495,3776,6484,11622,19636,28935,36563,41156,43401
3,"Andorra",53,53,53,53,53,53,53,53,53,53,53,53,53,53
6,"Argentina",6700,7888,9497,11509,14084,17254,21023,25301,29914,34618,39148,43273,46841,49792
7,"Armenia",848,870,896,934,981,1037,1104,1181,1271,1370,1480,1596,1716,1837
8,"Australia",501,576,686,887,1258,1936,3146,5228,8587,13478,19629,26060,31585,35563
9,"Austria",732,738,747,762,782,815,865,940,1051,1207,1415,1672,1961,2253
10,"Azerbaijan",516,525,530,544,574,640,783,1080,1641,2533,3626,4593,5223,5553
12,"Bahrain",181,194,225,298,403,473,497,503,504,504,504,504,504,504
15,"Belarus",628,648,699,818,1111,1812,3374,6370,10735,15044,17876,19248,19809,20023
16,"Belgium",9998,10074,10150,10273,10461,10755,11200,11853,12768,13962,15391,16927,18400,19660
20,"Bosnia and Herzegovina",522,581,692,860,1180,1740,2591,3638,4631,5359,5794,6022,6133,6185
21,"Brazil",113888,121111,127532,136008,151392,173580,201481,231025,257022,276336,288908,296387,300595,302888
22,"Brunei",3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,"Bulgaria",542,579,644,751,941,1270,1825,2720,4064,5878,8006,10125,11917,13231
24,"Burkina Faso",55,55,55,55,55,55,55,55,55,55,56,56,57,58
26,"Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Canada",9114,9177,9293,9387,9546,9815,10261,10990,12144,13887,16337,19453,22945,26337
31,"Chile",10764,11132,11723,13108,14887,18344,23961,30967,37219,41278,43372,44321,44725,44892
32,"China",4711,4791,4981,5005,5043,5103,5200,5354,5600,5992,6617,7611,9194,11710
33,"Colombia",16896,19329,21962,25335,29355,34190,39808,46091,52927,60025,67090,73818,79936,85276
36,"Costa Rica",353,434,569,751,1026,1415,1931,2557,3235,3884,4430,4842,5127,5310
38,"Croatia",172,188,233,355,681,1459,2900,4613,5807,6345,6536,6597,6616,6622
39,"Diamond Princess",13,13,13,13,13,13,13,13,13,13,13,13,13,13
41,"Cyprus",20,20,20,20,20,20,20,20,20,20,20,20,20,20
42,"Czechia",407,419,437,464,509,583,700,880,1139,1485,1898,2331,2725,3041
43,"Denmark",621,621,621,621,621,621,621,621,621,621,621,621,621,621
45,"Dominican Republic",1565,1678,1785,2162,3280,6066,10331,13601,14927,15308,15405,15428,15434,15436
46,"Ecuador",6189,6350,6630,7540,9723,15734,26204,35126,38858,39894,40143,40200,40213,40216
47,"Egypt",5228,5275,5316,5384,5478,5626,5855,6210,6759,7608,8915,10915,13954,18515
51,"Estonia",63,63,63,63,63,63,63,63,63,63,63,63,63,63
55,"Finland",334,335,337,340,341,344,348,352,359,367,378,393,412,438
56,"France",30464,30616,30905,31019,31163,31344,31572,31856,32210,32647,33181,33830,34606,35522
59,"Georgia",17,17,17,17,17,17,17,17,17,17,17,17,17,17
60,"Germany",9260,9300,9354,9437,9553,9740,10036,10501,11213,12273,13779,15784,18232,20922
62,"Greece",244,276,327,405,494,621,797,1043,1380,1839,2452,3254,4273,5521
69,"Hungary",610,611,615,618,623,632,646,669,704,759,846,977,1169,1440
70,"Iceland",10,10,10,10,10,10,10,10,10,10,10,10,10,10
71,"India",56925,65482,88252,136849,242666,467909,865704,1411042,1886666,2120131,2191888,2209254,2213211,2214094
72,"Indonesia",6533,7006,7540,8346,9579,11655,15135,20914,30375,45501,68790,102646,147940,202200
73,"Iran",20631,21747,22858,24457,26584,29555,33635,39195,46657,56484,69098,84773,103477,124741
74,"Iraq",6334,6911,7618,8661,10081,12084,14812,18396,22867,28102,33791,39491,44747,49233
75,"Ireland",1775,1776,1777,1779,1781,1785,1790,1797,1809,1826,1850,1883,1925,1976
76,"Israel",751,824,904,1091,1468,2164,3154,4145,4830,5186,5342,5405,5430,5440
77,"Italy",35505,35720,35987,36330,36783,37394,38219,39327,40809,42780,45377,48764,53119,58618
79,"Japan",1173,1243,1308,1429,1642,2029,2720,3946,6072,9637,15279,23435,33794,44958
80,"Jordan",11,11,11,11,11,11,11,11,11,11,11,11,11,11
81,"Kazakhstan",1418,1421,1425,1435,1442,1455,1479,1520,1583,1666,1758,1838,1896,1934
83,"Korea, South",307,311,318,328,344,371,415,485,596,768,1023,1382,1849,2397
84,"Kuwait",517,540,572,623,696,794,908,1022,1121,1195,1246,1277,1296,1307
86,"Latvia",33,33,33,33,33,33,33,33,33,33,33,33,33,33
87,"Lebanon",119,146,187,252,340,474,670,952,1340,1843,2450,3120,3788,4392
90,"Lithuania",81,81,81,81,81,81,81,81,81,81,81,81,81,81
91,"Luxembourg",125,125,126,127,129,133,140,150,162,176,187,195,199,201
93,"Malaysia",125,125,125,125,125,125,125,125,125,125,125,125,125,125
95,"Malta",9,9,9,9,9,9,9,9,9,9,9,9,9,9
98,"Mexico",60104,64059,69808,79287,94958,120068,158366,212581,281695,358816,432886,494269,539084,568806
99,"Moldova",933,977,1022,1113,1302,1650,2217,2994,3829,4518,4969,5219,5345,5405
103,"Morocco",822,1053,1443,2011,2932,4389,6641,9988,14685,20764,27856,35179,41834,47203
106,"Netherlands",6207,6227,6258,6297,6353,6432,6541,6690,6887,7137,7444,7797,8179,8565
107,"New Zealand",22,22,22,22,22,22,22,22,22,23,23,24,25,26
111,"North Macedonia",559,576,596,651,790,1123,1775,2673,3435,3846,4012,4070,4089,4096
112,"Norway",262,262,262,262,262,262,262,262,262,262,262,262,262,262
113,"Oman",609,621,633,651,670,695,727,769,821,885,959,1043,1133,1224
114,"Pakistan",6237,6309,6411,6640,7066,7861,9331,12020,16836,25146,38597,58258,83067,109084
115,"Panama",1885,2017,2146,2326,2548,2826,3153,3513,3884,4237,4551,4813,5018,5173
118,"Peru",27731,30608,36173,44386,57356,74529,92817,108112,118457,124455,127618,129203,129975,130347
119,"Philippines",2840,3132,3637,4576,6416,9860,15761,24493,34938,44614,51611,55783,57981,59062
120,"Poland",1940,2027,2123,2270,2500,2890,3546,4625,6335,8898,12428,16761,21381,25607
121,"Portugal",1796,1816,1842,1888,1957,2092,2345,2804,3572,4712,6126,7528,8637,9362
122,"Qatar",196,202,211,219,229,241,254,270,287,304,321,338,353,366
123,"Romania",3249,3566,4169,5263,7237,10590,15841,23051,31343,39097,45034,48900,51152,52378
124,"Russia",16262,17018,18109,19854,22694,27210,34132,44170,57603,73762,90854,106607,119352,128599
128,"San Marino",42,161,457,457,457,457,457,457,457,457,457,457,457,457
129,"Saudi Arabia",3594,3789,3988,4309,4793,5546,6688,8373,10751,13910,17781,22078,26346,30136
130,"Senegal",269,293,346,465,722,1270,2410,4650,8601,14393,20901,26294,29702,31487
131,"Serbia",698,724,748,800,912,1146,1604,2424,3660,5112,6382,7224,7681,7902
133,"Singapore",27,27,27,27,27,27,27,27,27,27,27,27,27,27
134,"Slovakia",31,31,31,31,31,31,31,31,31,31,31,31,31,31
135,"Slovenia",130,133,138,145,156,173,199,238,295,378,491,638,817,1017
137,"South Africa",12972,13914,14531,15256,16612,18758,21998,26550,32339,38825,45125,50432,54384,57059
138,"Spain",28702,28768,28845,28969,29132,29373,29714,30179,30778,31498,32291,33085,33807,34406
139,"Sri Lanka",11,11,11,11,11,11,11,11,11,11,11,11,11,11
142,"Sweden",5802,5825,5856,5909,5965,6048,6170,6345,6591,6929,7373,7925,8569,9262
143,"Switzerland",1992,1993,1995,1997,2001,2008,2022,2046,2086,2145,2219,2296,2361,2406
145,"Thailand",58,58,58,58,58,58,58,58,58,58,58,58,58,59
147,"Trinidad and Tobago",12,12,12,12,12,12,12,13,13,13,13,13,13,13
148,"Tunisia",58,63,76,250,2704,16881,26022,26477,26491,26491,26491,26491,26491,26491
149,"Turkey",6096,6251,6556,7300,9097,13266,22115,37794,58301,76410,87411,92560,94660,95466
151,"Ukraine",2266,2495,2799,3895,7539,18882,45117,78908,99329,106143,107883,108293,108387,108409
152,"United Arab Emirates",369,373,384,407,455,552,732,1020,1384,1728,1972,2110,2178,2209
