id,Country,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19
1,"Albania",2142,2237,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291
2,"Algeria",3055,3077,3136,3180,3193,3203,3211,3218,3223,3227,3231,3233,3236,3237
3,"Andorra",113,114,116,117,117,117,117,117,117,117,117,117,117,117
6,"Argentina",54322,55088,55914,56328,56448,56493,56511,56517,56520,56521,56521,56521,56521,56521
7,"Armenia",3291,3353,3417,3424,3424,3424,3424,3424,3424,3424,3424,3424,3424,3424
8,"Australia",909,909,909,909,909,909,909,909,909,909,909,909,909,909
9,"Austria",9010,9194,9612,9859,9877,9883,9884,9884,9885,9885,9885,9885,9885,9885
10,"Azerbaijan",3320,3386,3721,3947,3957,3959,3960,3961,3961,3961,3961,3961,3961,3961
12,"Bahrain",495,507,522,533,539,543,546,549,550,551,552,553,553,553
15,"Belarus",2144,2197,2255,2585,4348,11576,25882,34617,36500,36764,36798,36802,36803,36803
16,"Belgium",22596,22775,23544,24102,24172,24217,24248,24269,24283,24292,24298,24302,24305,24307
20,"Bosnia and Herzegovina",5577,5761,6227,6540,6602,6634,6649,6657,6661,6663,6664,6665,6665,6665
21,"Brazil",287743,299975,312289,317257,318478,318828,318928,318957,318965,318967,318968,318968,318968,318968
22,"Brunei",3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,"Bulgaria",11722,12349,13247,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540
24,"Burkina Faso",144,144,145,145,145,145,145,145,145,145,145,145,145,145
26,"Cambodia",1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,"Canada",22634,22841,23091,23248,23307,23338,23355,23363,23368,23370,23371,23372,23372,23373
31,"Chile",22208,22950,23983,24524,24636,24675,24688,24693,24694,24695,24695,24695,24695,24695
32,"China",4840,4842,4975,5074,5074,5074,5074,5074,5074,5074,5074,5074,5074,5074
33,"Colombia",61641,62200,62650,62679,62679,62679,62679,62679,62679,62679,62679,62679,62679,62679
36,"Costa Rica",2874,2886,2888,2888,2888,2888,2888,2888,2888,2888,2888,2888,2888,2888
38,"Croatia",5745,5842,5956,6001,6008,6010,6011,6011,6011,6011,6011,6011,6011,6011
39,"Diamond Princess",13,13,1035,1801,1801,1801,1801,1801,1801,1801,1801,1801,1801,1801
41,"Cyprus",247,258,282,293,293,293,293,293,293,293,293,293,293,293
42,"Czechia",24757,26613,28404,29056,29164,29188,29194,29195,29195,29195,29195,29195,29195,29195
43,"Denmark",2402,2415,2446,2463,2463,2463,2463,2463,2463,2463,2463,2463,2463,2463
45,"Dominican Republic",3270,3317,3419,3472,3472,3472,3472,3472,3472,3472,3472,3472,3472,3472
46,"Ecuador",16402,16588,16926,17124,17156,17170,17176,17179,17180,17181,17181,17181,17181,17181
47,"Egypt",11554,11849,12247,12447,12475,12483,12486,12487,12487,12487,12487,12487,12487,12487
51,"Estonia",803,911,1034,1091,1102,1105,1106,1107,1107,1107,1107,1107,1107,1107
55,"Finland",795,807,821,828,830,831,832,832,832,832,832,832,832,832
56,"France",92132,93999,97756,100070,100378,100495,100539,100556,100563,100565,100566,100566,100567,100567
59,"Georgia",3704,3764,3863,3909,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910
60,"Germany",74611,75973,78704,80424,80686,80796,80843,80862,80871,80874,80876,80876,80876,80876
62,"Greece",7420,7900,8581,9026,9202,9299,9354,9384,9400,9409,9414,9417,9419,9420
69,"Hungary",18062,19617,21882,22737,22737,22737,22737,22737,22737,22737,22737,22737,22737,22737
70,"Iceland",29,29,29,29,29,29,29,29,29,29,29,29,29,29
71,"India",159493,160493,161513,161909,161995,162017,162023,162025,162025,162025,162025,162025,162025,162025
72,"Indonesia",39307,40183,40990,41166,41166,41166,41166,41166,41166,41166,41166,41166,41166,41166
73,"Iran",61735,62330,63036,63320,63343,63347,63348,63348,63348,63348,63348,63348,63348,63348
74,"Iraq",13926,14164,14366,14431,14457,14465,14467,14468,14468,14468,14468,14468,14468,14468
75,"Ireland",4624,4716,5506,6085,6115,6133,6145,6152,6156,6159,6160,6161,6162,6162
76,"Israel",6124,6238,6430,6548,6567,6576,6581,6583,6584,6585,6585,6585,6585,6585
77,"Italy",104297,107272,110721,112321,112708,112833,112874,112887,112892,112893,112893,112894,112894,112894
79,"Japan",8868,9197,10192,10910,11043,11124,11174,11204,11223,11234,11241,11245,11248,11250
80,"Jordan",5592,5912,6326,6470,6470,6470,6470,6470,6470,6470,6470,6470,6470,6470
81,"Kazakhstan",3207,3220,3294,3342,3342,3342,3342,3342,3342,3342,3342,3342,3342,3342
83,"Korea, South",1704,1739,1816,1867,1878,1885,1889,1891,1893,1893,1894,1894,1894,1895
84,"Kuwait",1187,1208,1229,1247,1263,1276,1287,1297,1305,1313,1319,1324,1329,1333
86,"Latvia",1818,1871,1922,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935
87,"Lebanon",5683,6070,6461,6680,6804,6877,6920,6946,6961,6970,6976,6979,6981,6982
90,"Lithuania",3459,3526,3605,3629,3629,3629,3629,3629,3629,3629,3629,3629,3629,3629
91,"Luxembourg",692,704,740,762,762,762,762,762,762,762,762,762,762,762
93,"Malaysia",1241,1270,1304,1322,1326,1327,1328,1328,1328,1328,1328,1328,1328,1328
95,"Malta",369,395,421,425,425,425,425,425,425,425,425,425,425,425
98,"Mexico",197964,201475,207385,210749,211081,211183,211214,211224,211227,211228,211228,211228,211228,211228
99,"Moldova",4488,4687,4858,4878,4878,4878,4878,4878,4878,4878,4878,4878,4878,4878
103,"Morocco",8763,8808,8856,8868,8868,8868,8868,8868,8868,8868,8868,8868,8868,8868
106,"Netherlands",16412,16672,17001,17171,17210,17224,17229,17231,17232,17232,17232,17232,17232,17232
