id,Country,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10
1,"Albania",1198,1246,1284,1311,1322,1328,1330,1331,1332,1332,1332,1332,1332,1332,1332
2,"Algeria",2774,2820,2863,2902,2929,2950,2967,2980,2991,2999,3006,3011,3015,3018,3021
3,"Andorra",85,87,89,93,93,93,93,93,93,93,93,93,93,93,93
6,"Argentina",43548,44552,45670,46251,46862,47262,47552,47750,47886,47981,48047,48092,48123,48144,48159
7,"Armenia",2854,2951,3021,3031,3037,3038,3039,3039,3039,3039,3039,3039,3039,3039,3039
8,"Australia",909,909,910,910,911,911,911,911,911,911,911,911,911,911,911
9,"Austria",6371,6827,7214,7443,7523,7555,7570,7576,7579,7580,7580,7581,7581,7581,7581
10,"Azerbaijan",2724,2947,3084,3163,3217,3252,3274,3288,3296,3302,3305,3307,3308,3309,3310
12,"Bahrain",353,355,357,359,359,360,360,360,360,360,360,360,360,360,360
15,"Belarus",1441,1506,1570,1616,1635,1643,1646,1648,1648,1649,1649,1649,1649,1649,1649
16,"Belgium",19688,20276,20816,21203,21291,21325,21338,21343,21345,21345,21346,21346,21346,21346,21346
20,"Bosnia and Herzegovina",4155,4367,4537,4662,4701,4718,4724,4727,4728,4728,4728,4728,4728,4729,4729
21,"Brazil",196069,201109,205828,210079,211406,212000,212265,212383,212435,212459,212469,212474,212476,212477,212477
22,"Brunei",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,"Bulgaria",7750,8154,8395,8426,8481,8501,8509,8512,8513,8513,8513,8513,8513,8513,8513
24,"Burkina Faso",86,93,100,105,105,105,105,105,105,105,105,105,105,105,105
26,"Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Canada",15882,16781,17745,18613,19065,19364,19564,19696,19784,19842,19880,19905,19922,19933,19940
31,"Chile",16607,16884,17256,17897,18038,18130,18190,18230,18255,18272,18283,18290,18295,18298,18300
32,"China",4785,4795,4825,4962,4963,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964
33,"Colombia",43684,45777,47989,49342,50001,50289,50414,50468,50491,50502,50506,50508,50509,50509,50509
36,"Costa Rica",2206,2288,2359,2363,2378,2383,2384,2385,2385,2385,2385,2385,2385,2385,2385
38,"Croatia",4055,4426,4661,4744,4753,4753,4753,4753,4753,4753,4753,4753,4753,4753,4753
39,"Diamond Princess",13,13,16,33,33,33,33,33,33,33,33,33,33,33,33
41,"Cyprus",125,142,162,180,183,184,184,184,184,184,184,184,184,184,184
42,"Czechia",11788,12781,13917,14503,14691,14754,14779,14787,14791,14792,14792,14792,14792,14792,14792
43,"Denmark",1329,1511,1681,1801,1864,1901,1922,1934,1941,1945,1947,1948,1949,1950,1950
45,"Dominican Republic",2413,2425,2438,2454,2460,2464,2466,2467,2468,2468,2469,2469,2469,2469,2469
46,"Ecuador",14047,14100,14165,14290,14318,14337,14349,14357,14362,14366,14368,14369,14370,14371,14371
47,"Egypt",7733,8214,8936,9518,9839,10039,10166,10246,10297,10328,10348,10361,10369,10374,10377
51,"Estonia",242,281,323,352,357,358,359,359,359,359,359,359,359,359,359
