id,Country,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08
0,"Afghanistan",155416,155545,155632,155690,155729,155755,155773,155785,155793,155798,155802,155804,155806,155807
1,"Albania",174072,176727,178831,180479,181755,182732,183471,184025,184436,184737,184956,185113,185225,185304
2,"Algeria",204556,205283,205816,206183,206419,206562,206642,206683,206704,206713,206716,206718,206718,206718
3,"Andorra",15331,15442,15580,15748,15950,16186,16457,16759,17091,17444,17811,18184,18552,18907
4,"Angola",61540,65550,70026,74989,80440,86390,92823,99732,107082,114847,122973,131415,140101,148975
5,"Antigua and Barbuda",3970,4709,5494,6245,6898,7412,7780,8021,8165,8243,8282,8300,8307,8310
6,"Argentina",5266109,5272299,5277099,5280760,5283507,5285528,5286988,5288019,5288733,5289215,5289533,5289738,5289867,5289946
7,"Armenia",270117,277578,285877,295030,305024,315801,327298,339397,351980,364878,377936,390961,403792,416246
8,"Australia",126351,140463,152918,163079,170727,175970,179187,180910,181696,181992,182081,182101,182105,182105
9,"Austria",759432,772245,784777,796824,808227,818840,828571,837352,845164,852009,857928,862972,867218,870744
10,"Azerbaijan",489173,491946,493749,494902,495627,496075,496347,496509,496604,496659,496690,496708,496717,496722
11,"Bahamas",21677,22154,22592,22992,23354,23680,23972,24232,24464,24668,24848,25005,25143,25263
12,"Bahrain",275514,275752,275896,275974,276011,276026,276032,276033,276034,276034,276034,276034,276034,276034
13,"Bangladesh",1562247,1565861,1568295,1569872,1570854,1571443,1571780,1571966,1572064,1572113,1572137,1572147,1572152,1572154
14,"Barbados",10334,12058,13876,15680,17365,18850,20086,21061,21793,22316,22674,22907,23053,23140
15,"Belarus",555544,568811,581516,593471,604528,614584,623577,631491,638343,644184,649087,653141,656442,659092
16,"Belgium",1261377,1274530,1287455,1300135,1312553,1324692,1336537,1348074,1359291,1370176,1380718,1390910,1400742,1410209
17,"Benin",24453,25058,25499,25818,26049,26214,26332,26416,26476,26518,26548,26568,26583,26593
18,"Bhutan",2617,2639,2677,2743,2855,3041,3342,3820,4560,5675,7308,9625,12801,16976
19,"Bolivia",503417,506140,509109,512327,515801,519529,523514,527746,532222,536925,541845,546958,552248,557683
20,"Bosnia and Herzegovina",240312,244684,248687,252256,255358,257987,260160,261912,263290,264348,265141,265721,266135,266423
21,"Brazil",21547500,21629438,21696310,21750757,21794809,21830282,21858510,21880727,21897882,21910894,21920515,21927463,21932330,21935647
22,"Brunei",8677,9507,10026,10296,10411,10450,10460,10462,10463,10463,10463,10463,10463,10463
23,"Bulgaria",518952,534716,552612,573027,596381,623073,653473,687834,726274,768662,814636,863502,914344,965989
24,"Burkina Faso",14464,14656,14876,15127,15413,15740,16112,16536,17018,17566,18188,18893,19692,20597
25,"Cabo Verde",37765,37873,37947,37997,38031,38054,38069,38080,38087,38091,38095,38097,38098,38099
26,"Cambodia",115600,117668,118818,119350,119550,119611,119624,119627,119627,119627,119627,119627,119627,119627
27,"Cameroon",102304,140856,259540,614488,1617895,3949828,7507558,10166075,11123753,11349286,11396872,11406521,11408490,11408886
28,"Canada",1668337,1693431,1715722,1734986,1751180,1764417,1774938,1783063,1789162,1793606,1796750,1798908,1800344,1801270
