id,Country,2022-07-02,2022-07-09,2022-07-16,2022-07-23,2022-07-30,2022-08-06,2022-08-13,2022-08-20,2022-08-27,2022-09-03,2022-09-10,2022-09-17,2022-09-24,2022-10-01
0,"Afghanistan",182673,183319,184014,184764,185575,186456,187414,188458,189600,190851,192225,193737,195405,197249
1,"Albania",279500,280014,280562,281153,281797,282507,283297,284184,285190,286343,287673,289203,290930,292923
2,"Algeria",266099,266186,266296,266436,266612,266836,267120,267480,267940,268526,269274,270231,271453,273016
3,"Andorra",44061,44449,44913,45471,46151,46979,47983,49186,50599,52210,53982,55846,57719,59515
4,"Angola",99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761,99761
5,"Antigua and Barbuda",8666,8704,8735,8760,8780,8796,8808,8817,8821,8823,8823,8823,8823,8823
6,"Argentina",9397496,9429961,9460775,9491023,9522005,9555275,9592889,9637283,9691528,9759633,9846650,9958408,10100704,10277618
7,"Armenia",423158,423233,423327,423445,423594,423784,424028,424341,424741,425245,425861,426582,427383,428230
8,"Australia",8195113,8392944,8608652,8856209,9142289,9459860,9749832,10034718,10331194,10562506,10739845,10897355,11047597,11198898
9,"Austria",4451180,4531168,4644314,4802962,5015148,5274556,5554080,5815541,6030970,6193573,6310598,6393666,6453287,6497272
10,"Azerbaijan",793347,793613,793958,794403,794963,795642,796446,797409,798576,800005,801754,803884,806561,809965
11,"Bahamas",36013,36202,36374,36532,36677,36813,36939,37058,37170,37276,37376,37472,37564,37653
12,"Bahrain",629343,642156,655829,670590,686399,702825,719508,736109,752156,766967,780005,791075,800263,807824
13,"Bangladesh",1965758,1966316,1966791,1967199,1967553,1967861,1968131,1968368,1968576,1968756,1968908,1969020,1969087,1969121
14,"Barbados",84382,85002,85547,86042,86503,86944,87367,87757,88036,88193,88214,88215,88215,88215
15,"Belarus",982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867
16,"Belgium",4233743,4265272,4304665,4354417,4417830,4499181,4603814,4737972,4906475,5102713,5312307,5427496,5531628,5624350
17,"Benin",27122,27122,27122,27122,27122,27122,27122,27122,27122,27122,27122,27122,27122,27122
18,"Bhutan",59700,59743,59809,59920,60090,60341,60794,61666,63434,67167,74996,90631,120273,158937
19,"Bolivia",926674,935657,948526,967081,993933,1032832,1088509,1165527,1269390,1402789,1563048,1739962,1917116,2077379
20,"Bosnia and Herzegovina",378585,378812,379072,379371,379718,380120,380589,381136,381777,382529,383411,384446,385662,387088
21,"Brazil",32043509,32052152,32054756,32055488,32055712,32055789,32055818,32055830,32055836,32055839,32055841,32055842,32055842,32055843
22,"Brunei",162637,166675,171575,177720,185517,195323,207098,220236,230677,238925,246362,253014,259017,264518
23,"Bulgaria",1171782,1174074,1176803,1180102,1184134,1189068,1195177,1202785,1212292,1224184,1239040,1257521,1280357,1308304
24,"Burkina Faso",21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044
25,"Cabo Verde",60171,61120,62159,63297,64542,65899,67368,68946,70625,72390,74218,76082,77946,79773
26,"Cambodia",136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262,136262
27,"Cameroon",120002,120002,120002,120002,120002,120002,120002,120002,120002,120002,120002,120002,120002,120002
28,"Canada",3953239,3967709,3983164,4000371,4020336,4044461,4074762,4114217,4167347,4241115,4346290,4499417,4725259,5058803
29,"Central African Republic",14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649
30,"Chad",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,"Chile",4005392,4054758,4102906,4153863,4207167,4268824,4344404,4442172,4574730,4761171,5028969,5357525,5623255,5920309
32,"China",2136599,2150151,2165875,2184430,2206635,2233090,2263736,2298098,2335743,2376772,2422057,2473334,2533387,2606450
33,"Colombia",6170317,6197928,6232455,6274604,6324764,6383260,6450376,6525887,6609596,6701529,6801959,6911200,7029744,7158289
34,"Congo (Brazzaville)",24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128
35,"Congo (Kinshasa)",91812,92729,93705,94743,95846,97017,98263,99586,100992,102486,104072,105758,107549,109451
36,"Costa Rica",904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934
37,"Cote d'Ivoire",83357,83800,84360,85072,85981,87148,88651,90589,93083,96260,100224,105041,110808,117668
38,"Croatia",1146376,1146659,1146778,1146850,1146913,1146987,1147099,1147316,1147835,1149347,1152064,1154016,1158061,1167194
39,"Diamond Princess",712,712,712,712,712,712,712,712,712,712,712,712,712,712
40,"Cuba",1106065,1106239,1106428,1106645,1106904,1107226,1107640,1108194,1108961,1110060,1111688,1114176,1118097,1124460
41,"Cyprus",509245,515847,524388,535512,549980,568541,589234,603057,614195,623074,630323,636524,642054,647347
42,"Czechia",3932619,3937691,3944349,3953345,3965827,3983577,4009381,4047594,4104963,4191668,4322251,4515360,4790075,5156279
43,"Denmark",3219070,3237832,3266510,3311507,3383096,3496403,3670064,3919359,4192585,4362134,4465237,4517134,4540369,4550901
44,"Djibouti",15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690
45,"Dominican Republic",610248,620443,633440,650000,671031,697554,730657,771375,820499,878336,944444,1017439,1094993,1174071
46,"Ecuador",907684,915360,924362,935332,949173,967229,991558,1025346,1073586,1144105,1246861,1387506,1576260,1811534
47,"Egypt",515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645
48,"El Salvador",169646,169646,169646,169646,169646,169646,169646,169646,169646,169646,169646,169646,169646,169646
49,"Equatorial Guinea",16041,16127,16268,16500,16882,17510,18537,20209,22911,27229,34010,44377,59601,80683
50,"Eritrea",9798,9811,9828,9848,9873,9903,9940,9985,10041,10108,10191,10292,10416,10567
51,"Estonia",580104,581154,582401,583918,585801,588179,591221,595143,600214,606747,615081,625536,638415,653981
52,"Eswatini",73128,73178,73216,73244,73266,73280,73290,73297,73303,73306,73306,73306,73306,73306
53,"Ethiopia",490141,493373,496686,500098,503624,507281,511088,515064,519230,523609,528227,533110,538286,543784
54,"Fiji",65643,65907,66251,66709,67325,68165,69325,70939,73202,76386,80839,86737,94475,104204
55,"Finland",1140892,1148935,1156787,1164757,1172971,1181705,1191360,1202396,1215441,1231378,1251468,1277519,1312059,1358450
56,"France",31150877,31796595,32611188,33597813,34728345,35937801,37135263,38230023,39158691,39897592,40457290,40865011,41153718,41361564
57,"Gabon",47905,48045,48256,48578,49069,49817,50958,52689,55291,59170,64852,72979,84243,99272
58,"Gambia",12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002
59,"Georgia",1659886,1660504,1661146,1661816,1662518,1663259,1664047,1664899,1665835,1666878,1668053,1669393,1670939,1672742
60,"Germany",28281048,28923661,29600339,30263963,30857069,31343907,31708219,31963781,32145695,32292902,32443926,32647096,32988030,33633218
61,"Ghana",166363,170053,178212,196204,235733,321667,504512,877750,1579032,2677067,4037862,5315506,6239062,6792255
62,"Greece",3674072,3757373,3860674,3978878,4103840,4222658,4323910,4401729,4456721,4493426,4516561,4530934,4540216,4546732
63,"Guatemala",909502,929621,958321,999623,1059062,1143611,1260776,1416296,1610099,1832195,2062387,2276559,2456369,2594865
