id,Country,2022-07-02,2022-07-09,2022-07-16,2022-07-23,2022-07-30,2022-08-06,2022-08-13,2022-08-20,2022-08-27,2022-09-03,2022-09-10,2022-09-17,2022-09-24,2022-10-01,2022-10-08
0,"Afghanistan",182760,183542,184216,184693,184965,185095,185160,185194,185213,185223,185229,185232,185233,185233,185233
1,"Albania",281042,281581,282069,282516,282926,283305,283651,283963,284238,284471,284663,284816,284936,285027,285097
2,"Algeria",266120,266250,266410,266607,266851,267152,267525,267987,268560,269272,270158,271261,272634,274346,276481
3,"Andorra",43827,43965,44076,44167,44244,44310,44369,44422,44471,44518,44588,44668,44757,44857,44970
4,"Angola",101320,101320,101320,101320,101320,101320,101320,101320,101320,101320,101320,101320,101320,101320,101320
5,"Antigua and Barbuda",8661,8721,8768,8805,8834,8855,8872,8883,8888,8889,8889,8889,8889,8889,8889
6,"Argentina",9378223,9414266,9446806,9477234,9506710,9536228,9566831,9599685,9636210,9679798,9735427,9806680,9900523,10027002,10200308
7,"Armenia",423294,423502,423776,424137,424620,425270,426148,427339,428957,431141,434054,437844,442593,448281,454795
8,"Australia",8291522,8737191,9200667,9693719,10223963,10791282,11593019,12514025,13513994,14530467,15581767,16471009,17140505,17673581,18159017
9,"Austria",4502689,4680465,4916162,5220633,5593688,6013705,6436553,6813868,7121380,7354200,7523737,7645578,7733218,7796823,7843821
10,"Azerbaijan",793232,793495,793928,794652,795881,797997,801686,808183,819712,840225,876567,939969,1046802,1226690,1523332
11,"Bahamas",36069,36380,36660,36915,37148,37362,37561,37746,37920,38085,38242,38392,38536,38676,38813
12,"Bahrain",629826,645203,663860,686766,714898,749015,789313,834985,884105,934095,981777,1024534,1060877,1090466,1113839
13,"Bangladesh",1974733,1977546,1980256,1983014,1985930,1989135,1992802,1997171,2002571,2009468,2018279,2028271,2036260,2041275,2044852
14,"Barbados",84838,86299,87738,89141,90488,91754,92904,93898,94687,95225,95523,95661,95719,95743,95753
15,"Belarus",982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867,982867
16,"Belgium",4267051,4353200,4466089,4615593,4814141,5075545,5411848,5827662,6313479,6842380,7375052,7872304,8307046,8668519,8959000
17,"Benin",27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216
18,"Bhutan",59775,60116,61496,68400,102076,183810,228709,238230,240230,240848,241167,241414,241661,241924,242218
19,"Bolivia",930349,945134,964213,988851,1020595,1061274,1112927,1177678,1257523,1354048,1468110,1599518,1746697,1906703,2075842
20,"Bosnia and Herzegovina",378918,379793,381013,382724,385128,388514,393275,399947,409231,422000,439258,462016,491038,526491,567583
21,"Brazil",32594321,33465279,34426786,35478509,36614001,37819636,39074201,40836249,43032810,45585654,48989739,53584678,58665110,63866812,68775816
22,"Brunei",166990,179101,193916,212021,233658,258419,285244,312076,336777,367301,393732,413678,427989,438056,445191
23,"Bulgaria",1173891,1180767,1189911,1202157,1218615,1240712,1270183,1308944,1358780,1422010,1502338,1598649,1708822,1828147,1949928
24,"Burkina Faso",21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044
25,"Cabo Verde",61297,64301,68048,72705,78452,85472,93927,103924,115456,128329,142123,156211,169862,182403,193363
26,"Cambodia",136279,136279,136279,136279,136279,136279,136279,136279,136279,136279,136279,136279,136279,136279,136279
27,"Cameroon",120076,120100,120124,120149,120175,120199,120221,120246,120272,120301,120333,120367,120405,120447,120493
28,"Canada",3963688,3997541,4033235,4072035,4115591,4166134,4226742,4301574,4396299,4518528,4677900,4886159,5163421,5575065,6142153
29,"Central African Republic",14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649,14649
30,"Chad",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,"Chile",4025886,4134438,4234194,4328436,4421231,4516454,4618034,4730736,4860444,5014792,5203709,5439817,5738192,6114668,6596447
32,"China",2143174,2176541,2217260,2268187,2333048,2417204,2528429,2677338,2880065,3159778,3551081,4106800,4905587,6072056,7803751
33,"Colombia",6186607,6232127,6289476,6362184,6455071,6573763,6724942,6916824,7157906,7457738,7826234,8272506,8805364,9431266,10155731
34,"Congo (Brazzaville)",24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128,24128
35,"Congo (Kinshasa)",91228,91612,91917,92160,92355,92511,92636,92735,92814,92878,92928,92969,93001,93027,93048
36,"Costa Rica",904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934,904934
37,"Cote d'Ivoire",83795,85243,87291,90208,94385,100393,109063,121585,139624,165342,200963,247885,307606,382293,474878
38,"Croatia",1149833,1152895,1155356,1158187,1162266,1169368,1183939,1217531,1295776,1443139,1775861,2202233,2495136,2633796,2694234
39,"Diamond Princess",712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
40,"Cuba",1106125,1106491,1106882,1107316,1107822,1108443,1109246,1110342,1111924,1114334,1118202,1124706,1136103,1156716,1194674
41,"Cyprus",507630,519546,535095,555506,582178,616399,658833,708817,763896,820134,873287,920171,959349,990894,1016440
42,"Czechia",3937227,3952237,3973569,4004544,4050213,4117868,4216974,4357175,4542999,4770010,5119407,5556190,6069393,6667853,7250076
43,"Denmark",3226243,3258543,3302303,3364032,3453744,3582011,3761991,4005859,4304487,4627089,4930149,5181863,5374120,5515507,5619711
44,"Djibouti",15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690,15690
45,"Dominican Republic",608252,617120,626452,636307,646750,657850,669680,682317,695840,710331,725874,742551,760445,779631,800185
46,"Ecuador",915171,938029,970120,1015588,1080298,1172566,1303797,1488838,1745310,2090743,2536403,3078227,3689200,4445672,5222667
47,"Egypt",515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645,515645
