id,Country,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15
0,"Afghanistan",21174.7027109997,22023.5319743125,22885.6858397153,23736.2557532678,24645.037941028,25579.2723046958,26535.4208943827,27514.7308626716,28519.3271742841,29557.1992779887,30622.9221616694,31717.0032995507,32840.826901217,33995.8056319288,35183.1963726287,36402.795220321,37655.5295761315,38942.4166982825,40264.3930856692,41622.2908453122,43016.8488765536,44449.0090458333,45919.7149596031,47429.8928365034,48980.4651844654,50572.3725311129,52206.5974038786,53884.1294121928,55605.9663300432,57373.1195427779,59186.6177045601,61047.5064826837,62956.8430645949,64915.6970234262,66925.1511320083,68986.3011724042,71100.2549121656,73268.1309132212,75491.0582668241,77770.1760818015,80106.6326845859,82501.5846859812,84956.1960657508,87471.6373149287,90049.0844489868,92689.7179175691,95394.7214509194,98165.2808583638,101002.582765033,103907.813261544,106882.156476171,109926.793075534,113042.898692588,116231.642277132,119494.184366087,122831.675275648,126245.253215866,129736.042327081,133305.150637834,136953.667944835,140682.663616367,144493.184320346,148386.251678491,152362.859848491,156423.973036603,160570.522943543,164803.406146878,169123.481423592,173531.567016979,178028.437852549,182614.822708109,187291.401343674,192058.801597434,196917.596454473,201868.301095534,206911.369933609,212047.193646696,217276.096215569,222598.331975931,228014.082694821,233523.454681633,239126.475944531,244823.093403514,250613.17017176,256496.48291721,262472.719316721,268541.475615317,274702.254303325,280954.461924298,287297.407026738,293730.298272623,300252.2427157,306862.244262377,313559.202327799,320341.910699434,327209.056620066,334159.220101644,341190.873480852,348302.381226598,355492.000008897
1,"Albania",1262.42437723481,1278.16883426697,1293.89485120778,1309.73167790427,1325.54410547941,1341.32683971751,1356.85405185822,1372.46789644001,1388.09596399774,1403.50909372997,1418.94010298054,1434.2886866837,1449.59997281547,1464.85958721503,1480.05320636782,1495.19529645921,1510.27731587586,1525.31028094873,1540.28696254403,1555.20377040513,1570.06817507921,1584.87700455149,1599.63193135764,1614.3317018989,1628.97629089818,1643.56668936868,1658.10258943296,1672.58435711114,1687.0117488497,1701.38493761475,1715.70428291198,1729.96976357924,1744.18152784018,1758.33963329664,1772.444227892,1786.49546439566,1800.49343622965,1814.43826689531,1828.33006654097,1842.16896652737,1855.95509455367,1869.68856539814,1883.36950210243,1896.99802652898,1910.5742646093,1924.09834069165,1937.57037748754,1950.99049983274,1964.35883279192,1977.6755024075,1990.94063447568,2004.15435484222,2017.31679015481,2030.42806739183,2043.48831393974,2056.49765737053,2069.45622556642,2082.36414683372,2095.22154978713,2108.02856335088,2120.78531671874,2133.49193938594,2146.14856115921,2158.7553121232,2171.31232263481,2183.81972331334,2196.27764504311,2208.68621896758,2221.04557647653,2233.35584919993,2245.61716900149,2257.8296679741,2269.99347843276,2282.10873290677,2294.17556413352,2306.19410505224,2318.16448879796,2330.08684869495,2341.96131825016,2353.78803114701,2365.56712123933,2377.29872254516,2388.98296924063,2400.61999565378,2412.20993625859,2423.75292566905,2435.24909863318,2446.69859002713,2458.10153484938,2469.45806821491,2480.76832534948,2492.03244158393,2503.2505523485,2514.42279316726,2525.54929965255,2536.63020749944,2547.66565248028,2558.6557704393,2569.6006972872,2580.50056899584
2,"Algeria",10259.4525130114,10364.5945939081,10471.1616959864,10578.2400811922,10683.7350252914,10789.5271489536,10895.3857146358,11001.3859823752,11107.2716680053,11212.9177924468,11318.592730588,11424.2428907528,11529.8500582082,11635.377353493,11740.8317107163,11846.2464042602,11951.6077621415,12056.9100841077,12162.1501690154,12267.3315404771,12372.4570409521,12477.5234365292,12582.5295775657,12687.4752230557,12792.3607230207,12897.1857938372,13001.949527763,13106.6514815225,13211.2913528865,13315.868827417,13420.3834580365,13524.8347650573,13629.2223542707,13733.5458412824,13837.804825314,13941.9988883698,14046.1276182799,14150.1906163723,14254.1874831031,14358.1178159232,14461.9812119493,14565.7772713338,14669.5055967078,14773.165790981,14876.7574575721,14980.2802011094,15083.7336277389,15187.1173448219,15290.4309606818,15393.6740847411,15496.8463276387,15599.9473012312,15702.976618533,15805.933893705,15908.8187420906,16011.6307802329,16114.3696258707,16217.0348979346,16319.6262165531,16422.1432030634,16524.5854800156,16626.9526711762,16729.2444015314,16831.4602972931,16933.5999859038,17035.6630960413,17137.6492576227,17239.5581018093,17341.389261011,17443.1423688908,17544.8170603693,17646.4129716291,17747.9297401189,17849.3670045582,17950.7244049412,18052.0015825413,18153.198179915,18254.3138409063,18355.3482106506,18456.300935579,18557.1716634221,18657.9600432139,18758.665725296,18859.2883613213,18959.8276042579,19060.2831083928,19160.654529336,19260.9415240237,19361.1437507224,19461.2608690324,19561.2925398911,19661.2384255773,19761.0981897138,19860.8714972716,19960.5580145728,20060.1574092942,20159.6693504708,20259.0935084988,20358.429555139,20457.67716352
3,"Andorra",856.030414793184,859.879669668444,864.147022407238,868.986050901091,874.436489484008,877.738077452934,880.832997826541,883.929858089174,887.024489492543,890.060771896885,892.971231860177,895.802183978636,898.569782004076,901.250180597689,903.811179788926,906.220318294075,908.54772777855,910.79777222646,912.966239969619,915.050832816982,917.054122071772,918.984634337549,920.843515580345,922.631051596906,924.348841310253,926.000088542186,927.589351005828,929.118416841695,930.589041697326,932.003339433025,933.363632624874,934.672147537107,935.930653548356,937.140939671567,938.304851592633,939.424216791766,940.500763661799,941.536068635853,942.531680878717,943.489117967144,944.409843223184,945.295252729954,946.146679539908,946.965416653064,947.752713652122,948.509771964493,949.237744408955,949.937738873426,950.610823987252,951.258028793957,951.8803428622,952.478717691725,953.054068819458,953.607277694621,954.139192418251,954.650628733669,955.142371308532,955.61517506633,956.069766356279,956.506843890393,956.927079744482,957.331120391409,957.719587695733,958.093079834477,958.452172158329,958.797418049128,959.129349757914,959.448479207281,959.755298755296,960.050281928933,960.33388413721,960.606543359409,960.868680805818,961.120701552215,961.362995151042,961.595936221309,961.819885016518,962.035187970817,962.242178224489,962.441176129958,962.632489739111,962.81641527227,962.993237569412,963.16323052439,963.32665750288,963.483771744613,963.634816750398,963.780026654511,963.919626582999,964.053832998457,964.182854031734,964.306889801078,964.426132719153,964.540767788419,964.650972885279,964.756919033436,964.85877066684,964.95668588263,965.050816684436,965.141309216415
4,"Angola",92.5887523710291,93.5301954368242,94.2103817064714,94.7196568720731,95.349566760818,96.1521167591553,97.0751828463423,98.0974204284317,99.2133490343661,100.208069111688,100.972882598098,101.651584805166,102.313171420591,102.988833278235,103.701825502834,104.436213378497,105.164693066922,105.870223128884,106.54005123317,107.162606696061,107.749534193234,108.324073083015,108.8943670901,109.460954814374,110.020517095481,110.566535889847,111.09430515881,111.602770873918,112.092991981767,112.567475860422,113.029970499711,113.482925422274,113.926256398435,114.358959327858,114.779957587031,115.188573064892,115.584946959311,115.969839715839,116.344167505752,116.708745791933,117.064125522238,117.410462277286,117.747666576712,118.075686221493,118.394613552334,118.704697658714,119.006299863114,119.299795782126,119.585499321275,119.863643914444,120.134394698199,120.39787943849,120.654233336069,120.903626235402,121.146258053675,121.382341662574,121.612083949424,121.835671823692,122.053269785782,122.265026654817,122.471084509157,122.671586122158,122.866678720693,123.056512579755,123.24123652252,123.420993927862,123.595920712243,123.76614553541,123.931791677212,124.092979227296,124.249826493438,124.402450366857,124.550965828046,124.695485030652,124.836116561825,124.972965233654,125.106132349769,125.235716219774,125.361812661667,125.484515294668,125.603915583956,125.720102728851,125.83316351699,125.943182245029,126.050240754399,126.154418561134,126.255793017958,126.354439453052,126.45043125611,126.543839912681,126.634735011029,126.723184250422,126.809253469084,126.893006695579,126.974506215676,127.053812641072,127.130984968855,127.206080627752,127.279155513702,127.350264020763
5,"Antigua and Barbuda",26.0918119336705,26.1881121108266,26.2891198961706,26.3032547541413,26.3180806444763,26.333631349688,26.3538829877696,26.37925801093,26.410208934547,26.4432796529862,26.4786034502707,26.507892343769,26.5306410270908,26.5463174790467,26.5627910443922,26.5801282309489,26.5984014167836,26.6169657477908,26.6350843731807,26.6519200416813,26.6672496313047,26.6808297303136,26.6931690438118,26.7048198590813,26.7163786805115,26.7277127638401,26.7386671929928,26.7490623864045,26.7587910203658,26.7678318779887,26.7762651740047,26.7841898315341,26.7917253078384,26.7989424889393,26.8058604152965,26.8124433835118,26.8186695746046,26.8245345712882,26.8300553544982,26.8352626309299,26.8401913735201,26.8448693681523,26.84931574065,26.8535393951013,26.8575438917983,26.8613325349466,26.8649135691794,26.86829883791,26.8715019899619,26.874536164585,26.8774124770555,26.8801395170644,26.882724097122,26.885172115199,26.8874895259422,26.8896828121773,26.8917589473722,26.8937248576554,26.8955870128284,26.897351199055,26.8990225346559,26.9006056459456,26.9021048961068,26.9035245334543,26.9048687501955,26.9061416451428,26.907347141993,26.9084889146048,26.9095703678377,26.9105946613651,26.9115647580436,26.9124834715955,26.9133534969724,26.914177417983,26.9149577008602,26.9156966831409,26.9163965675014,26.9170594248402,26.9176872056759,26.9182817541874,26.9188448204794,26.9193780685286,26.9198830798769,26.9203613548497,26.9208143136219,26.9212432985305,26.9216495780464,26.9220343518484,26.9223987560198,26.9227438675055,26.923070707544,26.9233802442394,26.923673394701,26.9239510271659,26.9242139633365,26.9244629809257,26.9246988162615,26.9249221667649,26.9251336931749,26.9253340214958
6,"Argentina",23777.3976420411,24777.1221746144,25795.6116075423,26855.7459987107,27948.1978158176,29093.6154619157,30270.2657062449,31482.4637554288,32737.9719233312,34032.6759586749,35378.3078201815,36767.6752936383,38203.7092641854,39689.1643983492,41225.2138872855,42814.2294962406,44456.4695084924,46154.1938090357,47909.4759346042,49724.0441277821,51599.9553994315,53538.8001009123,55542.7337425207,57613.8601691983,59754.255779895,61966.0813529102,64251.4991952024,66612.8302530679,69052.4168789802,71572.6418331683,74175.9542052291,76864.8552034447,79641.9273433449,82509.8023097853,85471.1688443586,88528.7783370984,91685.4429545688,94944.0389724827,98307.4998282671,101778.81830797,105361.047183464,109057.298042367,112870.740755534,116804.601101185,120862.160287468,125046.753717768,129361.769177082,133810.644907822,138396.867242521,143123.968411809,147995.523902642,153015.149458223,158186.497813706,163513.255108925,168999.137061504,174647.884752842,180463.260053823,186449.040701847,192609.015010097,198946.976209207,205466.716384022,212172.020008953,219066.657078841,226154.375826558,233438.895022564,240923.895847783,248613.013341485,256509.827425109,264617.853503566,272940.532648391,281481.221369125,290243.180983717,299229.566600817,308443.415729657,317887.636536632,327564.995771175,337478.106387435,347629.414891793,358021.188450081,368655.501792416,379534.223957627,390659.004923397,402031.262172285,413652.167247893,425522.632359437,437643.297096909,450014.515322766,462636.342309544,475508.522196145,488630.475838393,502001.289132121,515619.701889117,529484.097347948,543592.492402775,557942.528633783,572531.464222733,587356.166836284,602413.107558197,617698.355949175,633207.576309966
7,"Armenia",13803.5786524113,14508.1694955293,15242.5883187461,16016.4377502465,16851.5126314807,17713.8905303081,18618.6589851816,19557.7548734375,20540.3295405291,21572.6230964683,22642.0898953615,23758.0069314504,24921.5391366492,26134.9915485328,27399.4148787356,28713.9332420942,30081.0533910078,31501.6994404751,32977.3148015617,34508.7235739489,36096.3510549759,37741.5564254204,39445.0365834055,41207.4013582209,43029.0318504955,44910.1883475675,46851.1530610993,48851.923867754,50912.3383458855,53032.0264416566,55210.4413462105,57446.8704334142,59740.3522213859,62089.710477134,64493.5460783232,66950.2415675233,69457.9572098232,72014.6174130699,74617.9223289348,77265.3507374855,79954.1673527793,82681.4292514663,85443.9932780435,88238.5308638323,91061.5419117432,93909.3708263535,96778.2237226498,99664.1874361376,102563.250904743,105471.327000633,108384.275350021,111297.925724855,114208.101930453,117110.645952168,120001.441707749,122876.438320431,125731.672616755,128563.290624791,131367.567813028,134140.927789263,136879.959322376,139581.431528247,142242.307104117,144859.7535176,147431.152090083,149954.104971696,152426.44002473,154846.213664269,157211.711730332,159521.448491768,161774.163906878,163968.819279519,166104.591462708,168180.865770651,170197.227766094,172153.454092416,174049.502517902,175885.501355644,177661.738416039,179378.649640571,181036.807555452,182636.909672325,184179.766951075,185666.292427269,187097.490093985,188474.444115138,189798.308435052,191070.296837236,192291.673494189,193463.744039727,194587.847185835,195665.346897462,196697.625131036,197686.07513576,198632.095310927,199537.083607567,200402.432458582,201229.524218194,202019.727088862,202774.391511811
8,"Australia",7271.79477311153,7277.79582768818,7283.60833063835,7289.57418079527,7295.34483529558,7301.07219563942,7306.59808325084,7312.03428052899,7317.39944704298,7322.65123356382,7327.805082471,7332.85068060705,7337.80562312438,7342.66972811557,7347.43925751623,7352.11776076081,7356.70654258666,7361.20910048371,7365.62627113209,7369.95908345217,7374.20946607486,7378.37904171033,7382.4694930729,7386.48216034802,7390.41847874387,7394.27996014244,7398.0680377607,7401.78410904292,7405.42951758439,7409.00560761665,7412.51370619344,7415.95510547754,7419.33107100294,7422.64284340087,7425.89164386336,7429.0786703544,7432.20509646832,7435.27207341579,7438.28073082523,7441.2321773697,7444.127500481,7446.9677667248,7449.75402246208,7452.48729426057,7455.16858923256,7457.79889531819,7460.37918167605,7462.91039907688,7465.3934802465,7467.82934019604,7470.21887655051,7472.56296988612,7474.86248405737,7477.11826651166,7479.33114859851,7481.50194587486,7483.63145840587,7485.72047105895,7487.76975379145,7489.78006193331,7491.75213646471,7493.68670428841,7495.58447849683,7497.44615863398,7499.27243095251,7501.06396866594,7502.82143219612,7504.54546941596,7506.23671588756,7507.89579509587,7509.52331867788,7511.11988664756,7512.6860876164,7514.22249900993,7515.72968727999,7517.2082081131,7518.65860663484,7520.08141761032,7521.47716564088,7522.84636535712,7524.18952160816,7525.50712964741,7526.79967531477,7528.0676352154,7529.31147689508,7530.53165901224,7531.72863150681,7532.90283576571,7534.05470478538,7535.18466333112,7536.29312809339,7537.38050784127,7538.44720357286,7539.49360866293,7540.52010900774,7541.52708316708,7542.51490250369,7543.48393131996,7544.43452699206,7545.36704010156
9,"Austria",16928.9475692676,16958.7114634142,16987.6766013467,17014.9387687873,17036.9738048556,17062.4068999787,17087.5542537688,17111.8313738697,17135.2248293852,17157.8890294967,17180.67147811,17202.9542075788,17224.6969213773,17245.9618561932,17266.8255014884,17287.3496622156,17307.4481123894,17327.1348101786,17346.4339342998,17365.3624921281,17383.9262839627,17402.1205587825,17419.9559146157,17437.4423158089,17454.5870482936,17471.395566135,17487.8732577613,17504.0274212793,17519.8647326994,17535.3912481602,17550.6127917476,17565.5352568793,17580.1646317358,17594.5066573901,17608.5668984639,17622.3508266707,17635.8638470379,17649.111272298,17662.098287665,17674.8299733735,17687.3113181528,17699.5472195022,17711.5424790776,17723.301802034,17734.8298028773,17746.1310081733,17757.2098572277,17768.0707028427,17778.7178130847,17789.1553735082,17799.387488696,17809.4181835793,17819.2514048778,17828.8910226682,17838.3408319151,17847.6045538712,17856.6858374506,17865.5882606119,17874.3153317305,17882.8704909339,17891.2571113994,17899.4785006325,17907.5379017277,17915.4384946056,17923.1833972239,17930.7756667664,17938.2183008091,17945.5142384673,17952.6663615193,17959.6774955096,17966.5504108314,17973.2878237886,17979.8923976389,17986.366743616,17992.7134219335,17998.9349427698,18005.033767234,18011.0123083141,18016.8729318072,18022.6179572321,18028.2496587244,18033.7702659155,18039.1819647935,18044.4868985496,18049.6871684069,18054.7848344344,18059.7819163449,18064.6803942784,18069.4822095702,18074.1892655042,18078.8034280523,18083.3265265994,18087.7603546545,18092.1066705484,18096.3671981184,18100.5436273788,18104.6376151798,18108.6507858531,18112.5847318454,18116.4410143395
