id,Country,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19
0,"Afghanistan",34609.8042226682,34840.2062651418,35071.2665308421,35302.2594155059,35526.9843128535,35745.9404384337,35959.604972343,36170.6918079212,36380.1752456705,36584.9289295543,36785.3095107655,36984.3481599571,37182.0328659777,37377.7433104381,37569.5958952055,37758.1877919507,37944.2419934564,38127.1079905969,38306.266147785,38482.3121047664,38655.7796159873,38827.0697584247,38996.0282422399,39162.4552567835,39326.6159010872,39488.6535917949,39648.2829334297,39805.2919536484,39959.6080619911,40111.4345250576,40260.8838404139,40407.9570719053,40552.7658136821,40695.5016787855,40836.2498913206,40975.0056422573,41111.706946618,41246.3349824296,41378.9086207081,41509.4148596272,41637.8368551878,41764.2153276395,41888.6268518502,42011.1561672506,42131.8559907336,42250.7631833424,42367.9167467,42483.3406412715,42597.0336712261,42708.9892690675,42819.2106838978,42927.718862387,43034.5433760113,43139.7159601709,43243.2746169453,43345.262263438,43445.7167534776,43544.6659059872,43642.1277058553,43738.1163021688,43832.644961342,43925.7260701137,44017.3737054364,44107.60726079,44196.4514827311,44283.934076388,44370.0823852336,44454.9218886925,44538.4758351158,44620.7643804565,44701.8041998957,44781.6097398418,44860.1950735686,44937.5754436693,45013.7676808308,45088.7900853948,45162.6622643323,45235.4045545931,45307.0369625501,45377.5782501024,45447.0455332359,45515.4544668022,45582.8196608501,45649.1551268661,45714.47480813,45778.7930873112,45842.1250152667,45904.4862059966,45965.8924973166,46026.3595833664,46085.9027116092,46144.5364532943,46202.2746073563,46259.1302933149,46315.1161818759,46370.2447612255,46424.5285401369,46477.9801565949,46530.6123961208,46582.4381185214
1,"Albania",3447.32931224149,3531.9499647638,3617.95215525666,3705.29635208778,3794.02030891311,3884.21069753329,3975.90360523987,4069.16090836289,4163.84277114366,4260.0621569565,4357.94092064456,4457.31241725851,4558.22987046076,4660.67658413895,4764.62516740694,4870.19042708766,4977.3941164542,5086.25492293414,5196.79613395452,5309.03981070194,5423.00277825704,5538.70026033156,5656.14369234694,5775.35653941434,5896.35504413959,6019.14695429623,6143.7538796236,6270.19483195171,6398.49159572344,6528.66979318013,6660.74785503237,6794.74387006651,6930.67580116524,7068.56110827321,7208.41680559883,7350.2598417887,7494.10722054481,7639.97630399178,7787.88388439723,7937.8467115205,8089.88216091033,8244.00718236368,8400.23847137396,8558.59222874327,8719.08381779969,8881.72826726178,9046.54027121084,9213.53417203199,9382.72397183148,9554.12334022675,9727.7455927936,9903.60365842334,10081.710020392,10262.0767260454,10444.7153558081,10629.6369374389,10816.8519364672,11006.3702325282,11198.2011128401,11392.3532921048,11588.8348945939,11787.653434976,11988.8157991283,12192.3282227145,12398.1962676517,12606.4247986085,12817.0179604051,13029.9791584344,13245.31103699,13463.0154585173,13683.0934881123,13905.5453777403,14130.3705512508,14357.5675889223,14587.1342094628,14819.0672522124,15053.3626596663,15290.0154603446,15529.0197522129,15770.3686868594,16014.0544544829,16260.0682696861,16508.4003578997,16759.0399426499,17011.9752336572,17267.1934154294,17524.6806364049,17784.4219986283,18046.4015480334,18310.6022655717,18577.006059233,18845.5937569965,19116.3451007514,19389.2387412138,19664.2522338508,19941.3620358211,20220.5435039388,20501.7708936843,20785.0173592678,21070.2549547529
2,"Algeria",19218.7323774762,19732.444588614,20256.146231236,20790.9388007328,21337.6681033926,21897.7460304122,22473.3141528235,23067.3438079705,23675.5742490015,24298.6483737039,24937.3262625052,25592.3134122188,26264.2925128664,26953.8304432054,27661.2448486386,28386.4340054632,29129.9524409631,29892.3400840761,30674.1014617578,31475.7087329297,32297.6001876441,33140.1931779774,34003.9201064413,34889.2968564352,35796.8324211888,36727.0300967915,37680.3921379684,38657.424662357,39658.6435553149,40684.5792589447,41735.776642876,42812.7840880545,43916.1550814438,45046.4498700014,46204.2366386022,47390.0920987433,48604.6012392983,49848.3562845926,51121.9555091794,52426.0035801803,53761.1117006658,55127.8975139379,56526.984806363,57959.0030699889,59424.5870346153,60924.3762887869,62459.0150258654,64029.1516953849,65635.4385762582,67278.5312972468,68959.08832813,70677.7704590457,72435.2402710254,74232.1615825649,76069.1988491305,77947.0165232695,79866.2783816039,81827.6468219899,83831.7821309987,85879.3417191888,87970.9793208048,90107.344156403,92289.0800602896,94516.824573767,96791.208004385,99112.8524509296,101482.370793845,103900.365651149,106367.428300449,108884.137568035,111451.058685869,114068.742117316,116737.722352548,119458.5166748,122231.623898847,125057.523083341,127936.672218778,130869.506893029,133856.438936532,136897.855049441,139994.115413258,143145.55228967,146352.468609515,149615.136555008,152933.796138539,156308.653781574,159739.880897376,163227.612481458,166771.945713886,170372.938577701,174030.608497922,177744.931005749,181515.83843272,185343.218639729,189226.91378593,193166.71914264,197162.381957463,201213.600373898,205320.022411754,209481.245013705
3,"Andorra",855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855
4,"Angola",479.224647676599,500.454004178336,522.306392514584,544.663752695161,567.970646588889,592.427190941086,618.266300259981,645.182925024685,673.375746736133,703.158088852384,734.012408919644,766.232494010642,799.68476582949,834.117211338435,870.025239233671,907.401825252809,946.322244519517,986.874499365739,1029.16629185848,1073.27309905361,1119.2584703521,1167.16975076338,1217.08797834756,1269.0829314363,1323.20108938378,1379.54285867892,1438.19014132429,1499.24543213044,1562.84510969219,1629.09120463272,1698.09615871853,1769.97594916247,1844.8492082544,1922.83559222491,2004.05895866156,2088.64890659207,2176.74287226086,2268.48365462999,2364.02100184239,2463.51449969509,2567.12935349473,2675.0386907035,2787.4223459724,2904.46425973745,3026.35614970806,3153.29725447413,3285.49470943033,3423.16404231009,3566.52987142458,3715.82636639827,3871.29760518296,4033.19776434114,4201.79156331662,4377.35459886501,4560.17343476932,4750.54610233526,4948.78242785069,5155.20450644984,5370.14746862884,5593.95996811886,5827.00473961285,6069.65917251428,6322.31589070851,6585.38331946904,6859.28626083265,7144.46648802241,7441.38337650242,7750.51455075496,8072.35655859331,8407.42559879515,8756.2582677344,9119.41234311356,9497.46759412705,9891.02659241475,10300.7155501974,10727.1851812329,11171.111584931,11633.1971549256,12114.1715153011,12614.7924859121,13135.8470773308,13678.1525143058,14242.5572884648,14829.9422399048,15441.2216647861,16077.3444490059,16739.2952262638,17428.0955596504,18144.8051481951,18890.5230573829,19666.3889729223,20473.5844768833,21313.3343450648,22186.9078639708,23095.620165424,24040.8335765366,25023.9589825794,26046.4571999143,27109.8403558421,28215.6732721155
5,"Antigua and Barbuda",74.4075055545945,74.5845651204538,74.7518170625377,74.9125695998746,75.0666614714939,75.2281331341482,75.3900649450181,75.5524683206616,75.7153549606336,75.8680832470515,76.0032988411615,76.1205671571468,76.2158916754559,76.2936990446857,76.3485828835142,76.3968319447047,76.4418789660384,76.4838881841798,76.5229456815935,76.5591436847372,76.5922277144225,76.6221089632286,76.6486961306803,76.6718953539932,76.6918749434428,76.7089901875111,76.7236160023537,76.7362359556414,76.7472356021312,76.7571444573124,76.7661003249381,76.7741591096728,76.7813740230571,76.7877974592105,76.7934808218466,76.7984831173256,76.8028670257506,76.8066990542784,76.810049695963,76.8129870123617,76.8155719256615,76.8178575534023,76.8198863139086,76.821692096557,76.8232964715601,76.8247181200401,76.825974797881,76.8270833796742,76.8280598571347,76.8289193417764,76.8296758540679,76.8303422050025,76.8309298709143,76.831448861233,76.8319077424616,76.8323137797654,76.8326730986174,76.8329909224064,76.8332717620084,76.8335197042776,76.8337384733175,76.8339314444622,76.8341016575121,76.8342518303396,76.8343843727646,76.8345014060166,76.8346047856241,76.8346961279841,76.8347768408793,76.8348481541577,76.8349111476557,76.834966775797,76.8350158868974,76.8350592382374,76.8350975043387,76.835131283924,76.8351611067011,76.8351874399881,76.8352106951641,76.8352312339356,76.8352493742751,76.835265395938,76.8352795454569,76.8352920405004,76.8353030735792,76.8353128151485,76.8353214161777,76.8353290103032,76.8353357156603,76.8353416365549,76.8353468650039,76.8353514821452,76.8353555595179,76.835359160214,76.8353623399033,76.8353651477362,76.8353676271309,76.8353698164572,76.8353717496283,76.8353734566153
6,"Argentina",100993.97772706,104575.50968323,108248.484473209,112021.134414589,115899.514001396,119889.416546402,123996.524690217,128221.77770009,132563.458126799,137019.918255906,141594.268087523,146285.703350536,151093.53558142,156016.182102707,161053.789484325,166217.980625964,171511.77485011,176937.945623484,182498.769971224,188196.174472797,194031.729028477,200006.62746914,206122.061519884,212379.445969746,218780.429336146,225326.507603067,232019.343053173,238860.766329002,245852.86376584,252997.85001415,260297.111225356,267751.863944264,275363.162083886,283131.925454953,291058.958246231,299144.969416429,307390.596208743,315796.398334296,324362.833122493,333090.228084033,341978.783477892,351028.54888958,360239.398106645,369610.99521974,379142.76895478,388833.963445324,398683.638963284,408690.672262481,418853.754767704,429171.389287449,439641.885008831,450263.35042371,461033.686416329,471950.581052339,483011.506387031,494213.715037172,505554.238565644,517029.887924116,528637.256766307,540372.727150266,552232.471779411,564212.456484617,576308.442987368,588515.992122292,600830.467653317,613247.040842008,625760.695960289,638366.236777206,651058.293931668,663831.333072961,676679.66381446,689597.449392173,702578.71689487,715617.367864426,728707.189090817,741841.863853117,755014.983594534,768220.060015605,781450.537555612,794699.806221009,807961.214706251,821228.083736262,834493.719554957,847751.427487892,860994.525513278,874216.357770465,887410.307940747,900569.812443266,913688.373401942,926759.571351249,939777.077631018,952734.666420712,965626.226364131,978445.771737149,991187.453113495,1003845.56748703,1016414.56781366,1028889.071941,1041263.87089909,1053533.93652978
7,"Armenia",31858.76387204,32328.2668576343,32789.2399283317,33242.5909866714,33689.0752911019,34132.4117752756,34568.620655701,34992.0670818133,35407.5583807077,35815.2285766946,36215.2066606852,36607.5175387101,36992.0892477015,37368.3509873496,37736.1826806813,38096.1878301988,38448.4151876271,38792.901540356,39129.6708909834,39458.7464554161,39780.163186038,40094.0341411738,40400.5015718948,40699.6466230815,40991.5537331441,41276.3126054246,41554.0205288711,41824.7834349636,42088.7154706727,42345.9299639794,42596.5355849695,42840.6436559832,43078.3680777625,43309.8249942075,43535.1321189942,43754.4078446451,43967.7702972459,44175.3374313286,44377.2276270295,44573.5594263489,44764.4512463177,44950.0210994627,45130.3863654257,45305.663647577,45475.9687318388,45641.416527851,45802.1209264494,45958.1946725468,46109.749258182,46256.8948372398,46399.7401579784,46538.3925047535,46672.9576371082,46803.5397281292,46930.2413125573,47053.1632438961,47172.4046590713,47288.0629488311,47400.2337323496,47509.0108353955,47614.4862728454,47716.7502361785,47815.8910853483,47911.995344449,48005.1477007079,48095.431006507,48182.9262842926,48267.7127342985,48349.8677449017,48429.466905324,48506.5840204406,48581.2911274936,48653.6585145495,48723.7547405502,48791.6466568146,48857.3994298296,48921.0765651819,48982.739932492,49042.4497912279,49100.2648172858,49156.2421302292,49210.4373210857,49262.9044806022,49313.6962278703,49362.8637392388,49410.4567774371,49456.5237208396,49501.1115928047,49544.2660910288,49586.0316168591,49626.4513045132,49665.5670501609,49703.419540824,49740.0482830555,49775.4916313645,49809.7868163528,49842.9699725369,49875.0761658276,49906.1394206463,49936.1927466569
8,"Australia",10025.4573265539,10285.1813357335,10557.9581206631,10846.5108666961,11152.1013806148,11476.1827586391,11820.9768977921,12186.7195247033,12574.3960340992,12984.9577144062,13420.1561188622,13881.5666549447,14370.8189469467,14889.5720380886,15439.3816864213,16022.0375595209,16639.4703727195,17293.7828121706,17987.1365472608,18721.7938837413,19500.1255463132,20324.6242228262,21197.9441691018,22122.8874823166,23102.4044603407,24139.5884180893,25237.6896667726,26400.1244200022,27630.4837632998,28932.5416568271,30310.2571450057,31767.7792427886,33309.4524431797,34939.8239220496,36663.6493098379,38485.8976616928,40411.7554542426,42446.6295895751,44596.1502378496,46866.1729916891,49262.7800780572,51792.2801394309,54461.2065658203,57276.3142451502,60244.5746082997,63373.1688291232,66669.4788724629,70141.0761275309,73795.7073692223,77641.2778382213,81685.8312063836,85937.5261871084,90404.6095429189,95095.3852386848,100018.179515866,105181.301689165,110593.000498785,116261.415882601,122194.526075443,128400.089995983,134885.584947041,141658.139733229,148724.463387047,156090.769791632,163762.698595014,171745.232927477,180042.614558597,188658.257261847,197594.659289384,206853.315994421,216434.633769853,226337.846595428,236560.936596991,247100.56011492,257951.980849264,269109.011690766,280563.966854604,292307.625902426,304329.211164079,316616.379950271,329155.232779503,341930.338627027,354924.777942087,368120.203876195,381496.921825664,395033.98702402,408709.319534215,422499.835598119,436381.593914296,450329.955047721,464319.751840277,478325.468401087,492321.425022538,506281.966200559,520181.648843497,533995.427736886,547698.83539273,561268.153549404,574680.573796852,587914.345073352
9,"Austria",18869.374563891,18953.3497744566,19035.6535972,19116.3502053704,19196.0141109113,19275.1074694569,19353.5848978306,19430.4316377522,19506.1881628295,19580.8283512681,19654.4274280338,19727.0620798929,19798.7417685953,19869.414851045,19939.0288532391,20007.6611695536,20075.3266808539,20142.0457921986,20207.8315032105,20272.688214932,20336.619641435,20399.6369593798,20461.759923866,20523.0005080567,20583.3702868323,20642.8796384488,20701.5385822221,20759.3578896535,20816.3492782922,20872.5245330556,20927.8943590513,20982.4692854038,21036.2596953701,21089.2759680932,21141.5285265131,21193.0277419872,21243.7837999691,21293.806666028,21343.1062018576,21391.6921751039,21439.5742664545,21486.7620585833,21533.2650171531,21579.0924821113,21624.2536759041,21668.7577173689,21712.6136218674,21755.8303001113,21798.4165558735,21840.3810848786,21881.7324760993,21922.4792143984,21962.6296824161,22002.1921608403,22041.1748286922,22079.5857638076,22117.4329436881,22154.7242466151,22191.4674527369,22227.6702449446,22263.3402096101,22298.4848373852,22333.1115240681,22367.22757152,22400.8401885892,22433.9564920068,22466.5835072569,22498.7281694425,22530.3973241686,22561.5977284344,22592.3360515271,22622.6188759125,22652.4526981183,22681.8439296148,22710.7988976966,22739.3238463636,22767.4249372012,22795.1082502584,22822.3797849208,22849.2454607817,22875.7111185097,22901.7825207131,22927.4653528017,22952.7652238441,22977.6876674216,23002.2381424772,23026.422034161,23050.2446546704,23073.7112440867,23096.8269712056,23119.5969343645,23142.0261622629,23164.1196147789,23185.88218378,23207.3186939281,23228.4339034795,23249.232505079,23269.7191265482,23289.8983316684,23309.7746209567
