id,Country,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29
1,"Albania",984.803675488619,1001.57833558316,1019.69366396611,1038.56984640747,1059.29702831293,1082.1054989979,1107.25419246816,1133.29219508247,1160.33014082353,1188.61685496324,1218.80539957563,1252.50105951729,1290.26451861242,1330.85981332978,1375.88339847396,1424.54184240825,1477.16640082366,1534.08350990159,1595.73231330201,1662.47090522401,1734.67322267155,1812.72744437042,1897.25046153254,1988.92203338484,2088.47539302386,2196.65358936057,2314.09224318971,2441.43611252038,2579.56366354491,2729.26379284007,2891.52188996604,3067.40432301034,3258.06903828244,3464.76285068392,3688.84247643468,3931.78611196705,4195.20662875748,4480.83972271488,4790.55118642037,5126.34622279978,5490.38530557301,5885.01653134504,6312.79744355568,6776.4916042033,7279.10483023803,7823.89030534444,8414.36857853081,9054.34861122675,9747.95163466258,10499.6351947866,11314.2185549173,12196.9093925754,13153.3350191191,14189.5762637253,15312.2040454679,16528.3180935374,17845.5859697484,19272.2836574789,20817.3409422957,22490.3871580915,24301.8010702563,26262.7634179639,28385.3121461362,30682.4001184871,33167.9553723567,35856.9438059269,38765.4341455936,41910.6645841701,45311.110590362,48986.5532764681,52958.1476484833,57248.4901468261,61881.6845935049,66883.4050919813,72280.9547204305,78103.3181857948,84381.2064947575,91147.0913925532,98435.2270156214,106281.655842938,114724.195666692,123802.403928054,133557.515436087,144032.349156009,155271.179456899,167319.56696235,180224.143956651,194032.34923454,208792.107411078,224551.44797024,241358.059874676,259258.778366106,278299.001719189,298522.037210195,319968.377463083,342674.910659396,366674.070847236,391992.937730939,418652.298814295,446665.690513769
2,"Algeria",8598.16211724461,9701.78910826407,11117.9686056771,12961.6863247936,15377.9668518154,18559.633762675,22764.6256683863,28341.2438712785,35758.2035521015,45641.4216600024,58829.3175870201,76452.4357358112,100020.809331568,131556.009359619,173748.387860902,229961.978299899,304829.582492651,404478.596702861,536982.064140053,712929.89773449,946126.816680098,1254415.5446486,1660590.60586156,2193310.71671818,2887817.31643517,3786106.4190999,4935980.30970919,6388159.82104812,8190453.56895432,10378132.6992561,12960569.4082032,15905976.8611569,19129313.1542596,22490834.3080533,25812021.1780181,28908900.4210723,31632099.2945753,33896358.0141722,35687118.0336749,37045335.2927712,38042307.991737,38756836.1289681,39260738.2884099,39612624.6780128,39857117.052928,40026696.9248476,40144340.645679,40226024.1168487,40282763.5471758,40322147.0800943,40349425.2851397,40368258.2553415,40381214.1052489,40390099.0585951,40396179.8238963,40400338.6555925,40403184.8627642,40405135.970578,40406476.4301302,40407399.4213884,40408036.0902347,40408475.6686716,40408779.1389383,40408988.4177661,40409132.4854405,40409231.4658238,40409299.3555518,40409345.8747847,40409377.7468679,40409399.5986452,40409414.5991655,40409424.9117962,40409432.0112855,40409436.9034857,40409440.2759265,40409442.600095,40409444.2005137,40409445.3012829,40409446.0574843,40409446.5764847,40409446.9325184,40409447.1767753,40409447.3444416,40409447.4596334,40409447.5388487,40409447.5933675,40409447.630908,40409447.6567602,40409447.6745581,40409447.6868036,40409447.6952227,40409447.7010068,40409447.7049786,40409447.7077054,40409447.7095777,40409447.7108638,40409447.7117478,40409447.7123557,40409447.712774,40409447.7130619
3,"Andorra",764.577543422415,767.81935065028,771.381077393671,775.602853577648,780.912384501794,786.816691432944,793.726568351554,802.158485930296,812.761696729699,826.094648047789,842.859022115635,863.936244271879,890.433162745893,923.481804444035,965.016602438545,1016.54356766591,1080.44005093993,1159.76982642331,1258.27579105243,1380.52027084254,1532.31297318602,1720.77034202851,1954.57977043695,2244.30141814466,2602.76907477032,3045.48097677916,3591.00336217164,4261.35197069873,5082.35711743766,6083.69932982873,7298.94613352376,8764.86337300143,10520.0937715212,12602.9302226606,15047.9359706516,17881.2450779716,21114.7644885119,24739.7953889854,28721.1628648005,32993.4495884621,37461.167389648,42004.2792957813,46489.2591032121,50784.0664421373,54773.7955681152,58373.1271432178,61532.7366027549,64238.8575206004,66507.3514718854,68374.8675818181,69889.6922943216,71104.0723401971,72068.7733011686,72829.8442818886,73427.1401617869,73894.0407611203,74257.8702911056,74540.6496108365,74759.9436257046,74929.6696202262,75060.8050389554,75161.9778015416,75239.946256254,75299.985394932,75346.1970526761,75381.7592005198,75409.1261080983,75430.1884001689,75446.4001443399,75458.8788717563,75468.4835619977,75475.8749174636,75481.5616166478,75485.9356393911,75489.2992000166,75491.885310653,75493.8735427786,75495.402169196,75496.5775597451,75497.4814712739,75498.1767057129,75498.7114939459,75499.1228819974,75499.4393373229,75499.682748351,75499.8699549902,75500.0139189447,75500.124618988,75500.2097369858,75500.2751848686,75500.325510469,75500.3642106883,75500.3939733792,75500.4168641271,75500.4344703093,75500.4480120136,75500.4584272869,75500.4664375622,75500.4725978315,75500.4773351186
6,"Argentina",11780.0288538302,14281.3953506077,17729.8955063804,22471.6062273983,29036.0534901028,38144.6532185417,50814.3654831762,68509.7454320665,93223.9591102266,127794.578379138,176211.835151099,244011.260796135,338873.879697779,471516.451323405,656713.39840868,914368.256070971,1271813.36572741,1765692.25972466,2444237.96313093,3369192.41073794,4616390.77074373,6273146.58934652,8429600.35281443,11160667.2390796,14496417.9963287,18384231.5283424,22656795.6377433,27031319.4539801,31162588.5076338,34741917.4268061,37591019.5020421,39692835.3381946,41150346.4198412,42115968.0620428,42736524.9405334,43128234.7448844,43373410.4000434,43526624.8166952,43622667.1967429,43683221.0909331,43721647.7801883,43746155.9424309,43761813.8389882,43771791.5901838,43778109.2634965,43782076.4504008,43784548.4305326,43786080.5954939,43787028.3353908,43787615.2561145,43787980.0750998,43788208.0473145,43788351.3405532,43788441.8814218,43788499.2929598,43788535.7335975,43788558.8204594,43788573.3843737,43788582.520598,43788588.2214886,43788591.7656868,43788593.9662429,43788595.3340757,43788596.1868518,43788596.7206762,43788597.0562528,43788597.2679491,43788597.4017808,43788597.4864135,43788597.5398494,43788597.5734837,43788597.5945727,43788597.6077476,43788597.6159579,43788597.6210702,43788597.6242567,43788597.6262473,43788597.6274947,43788597.6282787,43788597.6287726,43788597.6290841,43788597.6292807,43788597.6294045,43788597.6294823,43788597.6295311,43788597.6295616,43788597.6295806,43788597.6295925,43788597.6295999,43788597.6296046,43788597.6296075,43788597.6296093,43788597.6296104,43788597.6296112,43788597.6296116,43788597.6296119,43788597.6296121,43788597.6296122,43788597.6296123,43788597.6296123
7,"Armenia",6212.7528752653,6922.28619634173,7757.20591053665,8747.12053252503,9939.52999159486,11364.35760447,13065.4221910468,15112.1319761925,17571.2620696673,20521.1679652959,24080.3615373762,28345.7964442138,33500.1328878651,39732.4775365569,47250.5799608811,56267.7019934508,67076.250189119,80020.4499049744,95502.7859783274,113988.094980039,136014.340068988,162196.213741023,193223.598813132,229861.29961385,272939.975567013,323332.489457349,381930.367123706,449585.545754076,527049.955223797,614896.537164951,713428.826050989,822571.013653105,941768.676918735,1069912.68366286,1205307.89192949,1345705.45188357,1488411.56285219,1630470.29098035,1768898.81312038,1900938.58002434,2024278.85825244,2137213.01917318,2238707.47561167,2328381.79141812,2406418.92342756,2473434.43630816,2530334.57775397,2578185.48489817,2618106.82174466,2651194.44055502,2678470.51774978,2700856.25813834,2719161.21666202,2734083.68775909,2746217.66863995,2756063.13223255,2764037.47722695,2770486.866965,2775696.7959235,2779901.59498034,2783292.79873249,2786026.39785355,2788229.0522298,2790003.35876617,2791432.27368683,2792582.78969242,2793508.96649161,2794254.40908304,2794854.28169674,2795336.93707832,2795725.23128368,2796037.58381491,2796288.83293692,2796490.92656909,2796653.48099307,2796784.232907,2796889.4051182,2796974.00208913,2797042.04843282,2797096.78103962,2797140.80360635,2797176.21078165,2797204.68784488,2797227.59074467,2797246.01040377,2797260.82442781,2797272.73872313,2797282.32101547,2797290.02785419,2797296.22636564,2797301.21176932,2797305.22147314,2797308.44640859,2797311.0401413,2797313.12619143,2797314.8039156,2797316.15323373,2797317.23842948,2797318.11120675,2797318.81314916
8,"Australia",7158.29487126545,7241.8629648398,7347.1901936845,7486.01671973281,7665.47101845143,7903.85439050964,8222.00630830444,8640.36109727604,9198.62820612205,9947.88656236779,10954.186081888,12305.4843890825,14125.1611062687,16574.2232925278,19869.5552840915,24287.8601124335,30211.7894221634,38155.8820026385,48808.3287863712,63092.0007122039,82240.4457359031,107901.938236903,142278.261015192,188300.509647035,249860.935520359,332110.248164405,441831.361235377,587895.505850163,781801.819422664,1038271.22443616,1375832.42268083,1817248.39053154,2389536.91589322,3123174.83503273,4049905.51743738,5198476.87936395,6587808.40454342,8217820.5117015,10059696.4880357,12049435.7549733,14089915.3004684,16065086.892366,17864196.025566,19406774.4796475,20656946.6418179,21621679.0244943,22337116.9762269,22851956.7854085,23214698.9232567,23466835.9868679,23640766.0483436,23760359.0216428,23842558.66449,23899116.5934677,23938078.5668838,23964927.0964535,23983405.8744407,23996089.1468463,24004762.146442,24010670.2819417,24014682.8009564,24017403.3645298,24019247.6913301,24020499.5001601,24021350.9599125,24021931.5757976,24022328.4380472,24022600.1590836,24022786.3200388,24022913.7961112,24023000.9532875,24023060.4170953,24023100.8993689,24023128.4140428,24023147.1007446,24023159.7945764,24023168.4263875,24023174.305072,24023178.3154029,24023181.0550485,24023182.9282693,24023184.2092989,24023185.0848811,24023185.6826866,24023186.0902812,24023186.3678253,24023186.5566411,24023186.6850518,24023186.7724071,24023186.8318796,24023186.8724117,24023186.9000644,24023186.9189458,24023186.9318435,24023186.9406535,24023186.9466686,24023186.9507722,24023186.9535694,24023186.9554746,24023186.9567716
9,"Austria",16557.3181816076,16741.5126759115,16955.1417048122,17210.0621683567,17522.327932774,17889.4280829495,18334.3579438983,18869.5264982285,19518.482610073,20298.3123094777,21251.7310751216,22422.7726393113,23856.6189282416,25619.5931754785,27784.3579632644,30420.9617735638,33632.5279900178,37546.4865694487,42317.0284976536,48130.2122539122,55215.5101651214,63849.5824765172,74369.1911659046,87181.7358217876,102781.91513641,121764.112641037,144842.389788355,172873.747223877,206880.089846913,248075.779122704,297899.355474444,358038.313562918,430453.235507135,517395.360324193,621411.45126067,745326.792424121,892197.7550671,1065219.8985122,1267578.78234249,1502230.28340557,1771604.59520182,2077237.11187583,2419348.780432,2796424.52800792,3204864.5785444,3638804.28059076,4090200.1490003,4549246.32656171,5005118.22479783,5446950.53416293,5864876.92415429,6250924.89023232,6599592.90142164,6908027.03585975,7175822.95768197,7404562.53915613,7597227.81807474,7757620.02564613,7889868.58156389,7998067.54488627,8086040.19236529,8157211.12812882,8214557.60811571,8260612.74496483,8297498.44654129,8326972.22783474,8350477.73493514,8369193.23556777,8384075.36379738,8395897.24723714,8405281.10703688,8412725.82252496,8418630.05576919,8423311.51011538,8427022.84244278,8429964.69736608,8432296.28941044,8434143.92185087,8435607.79400717,8436767.40997357,8437685.86086751,8438413.210882,8438989.17665825,8439445.2518264,8439806.39573485,8440092.37838048,8440318.85244781,8440498.20748281,8440640.24948349,8440752.74046175,8440841.82588284,8440912.372646,8440968.23600796,8441012.47031391,8441047.49544577,8441075.22843973,8441097.18770716,8441114.57566894,8441128.34433074,8441139.24733491
10,"Azerbaijan",4044.12613087566,4381.29059102489,4755.53032257256,5182.70861371197,5678.08642979319,6248.1853650066,6914.71035235407,7685.36226278395,8583.81870265929,9623.56441220047,10835.7290008319,12257.5530358219,13925.5281697937,15889.9397840734,18206.2185585228,20907.4557599096,24058.7356315587,27738.3626721953,32036.3552965151,37056.720749854,42921.6849730305,49772.1327368219,57773.6384226169,67117.8661239386,78029.1187891916,90766.7102424083,105629.812993534,122964.2946286,143167.784853905,166696.931787927,194080.641000854,225924.802913057,262920.488847071,305852.688502919,355608.585948163,413184.439697808,479690.918122622,556354.862271613,644516.865204412,745622.076586353,861202.876760658,992850.717275641,1142174.36376657,1310742.55832985,1500009.06141864,1711218.58248612,1945296.35694089,2202725.02016633,2483416.34380785,2786589.40985728,3110670.49501638,3453232.21597885,3810989.52383795,4179866.41936467,4555139.7785646,4931655.61412438,5304100.6589411,5667301.07458543,6016513.41943751,6347673.09616455,6657572.65345062,6943954.56137348,7205517.49472198,7441847.93104552,7653297.37190507,7840828.7022016,8005853.68886966,8150078.95679656,8275371.8216028,8383651.61743897,8476807.56995022,8556641.16661336,8624829.28900221,8682903.7891875,8732243.34319851,8774073.96532099,8809475.27196311,8839390.27848073,8864637.11474853,8885921.5267879,8903849.39636186,8918938.77716442,8931631.13789535,8942301.63913443,8951268.36794301,8958800.52221495,8965125.58328745,8970435.54523766,8974892.28635023,8978632.17550008,8981770.00631453,8984402.34723963,8986610.38804422,8988462.35442443,8990015.55334928,8991318.10331677,8992410.39611802,8993326.33012786,8994094.34949178,8994738.31873477
12,"Bahrain",8535.27834062201,8907.03013815992,9282.47714003906,9676.75504636593,10079.9367240756,10492.8227132441,10917.1924673835,11345.2783523568,11777.141868416,12233.1570437553,12711.4114031478,13212.1760756979,13726.5982632389,14255.1752258323,14805.5068678085,15372.7260443147,15957.3924107764,16560.7273097712,17182.6921359424,17824.1406003812,18485.9288640812,19168.8273031968,19874.3738291194,20604.2353134129,21358.3886418236,22136.9795305094,22940.1407385339,23768.8115170745,24623.9672219416,25505.9842107971,26415.707005341,27354.0017984397,28321.6988127394,29319.7018910587,30348.9147362262,31410.2404591832,32504.5889686043,33632.8087529599,34795.6698918381,35994.0078672698,37228.7138389274,38500.7402547222,39811.0340133986,41160.5324878719,42550.2155901071,43981.0674928523,45454.0747230189,46970.2291856029,48530.5217336233,50135.9417115844,51787.4764890688,53486.1102928825,55232.8289341701,57028.6263947939,58874.4993038723,60771.4418071621,62720.4395217311,64722.4688402232,66778.4965160086,68889.4746682287,71056.3387176616,73280.0053205831,75561.3698748547,77901.3043866998,80300.6552113144,82760.2406611957,85280.848535477,87863.233060753,90508.1110444796,93216.1582250541,95988.0058039976,98824.2372560591,101725.384986575,104691.926806444,107724.282605246,110822.810994014,113987.80592129,117219.493302433,120518.027638738,123883.48864239,127315.87788493,130815.115483762,134381.03688451,138013.389817059,141711.831426517,145475.925581321,149305.140352742,153198.845694653,157156.311356153,161176.705030138,165259.090759102,169402.427619758,173605.568705436,177867.260427379,182186.142155132,186560.746215032,190989.498264685,195470.718056698,200002.620598388,204583.317713393
15,"Belarus",35015.2266188915,36747.7246229629,38577.1943771241,40519.3842076193,42586.7595938576,44790.584690768,47149.6038965885,49683.6240861613,52412.8961450541,55362.3913597247,58557.0335480063,62032.8654969017,65822.758116467,69967.554107901,74507.4755980185,79404.2606237748,84690.6511331101,90402.250622054,96576.9828956995,103255.760547955,110482.972449495,118305.952385196,126775.171405397,135944.523517947,145871.111630281,156615.587680725,168241.151540804,180814.179398012,194403.548832555,209080.92810777,224930.603983492,242042.154354175,260510.574673455,280436.460852802,301926.104630209,325091.510263259,350050.443376028,376926.42388555,405848.64137815,436951.839979851,470376.098321872,506266.648297217,544773.537356252,586051.267258614,630258.287565845,677555.211727903,728103.639875003,782064.777531644,839597.828597536,900858.159198952,965995.231925746,1035150.30243225,1108453.88565278,1186023.00855946,1267958.26987506,1354340.74481008,1445228.76833072,1540654.66229705,1640621.46977718,1745099.78368904,1854024.88274295,1967294.20487699,2084765.27225118,2206254.18365222,2331534.78508295,2460338.61827291,2592355.73053138,2727236.40573003,2864593.84642388,3004007.80292665,3145029.10697782,3287185.0295495,3429985.34364625,3572928.93913435,3715510.80797485,3857229.18918004,3997592.6592659,4136126.95495758,4272381.32683804,4405934.24481071,4536398.30705141,4663424.2412357,4786703.927679,4905972.41586291,5021008.94597018,5131637.02326263,5237723.62355633,5339177.6316228,5435947.63047217,5528019.1682729,5615411.63213585,5698174.85418122,5776385.56674881,5850143.81155493,5919569.39327378,5984798.45255186,6045980.217824,6103273.98025834,6156846.32228896,6206868.61787764
