id,Country,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05
0,"Afghanistan",1821.46772195719,1970.47417569437,2133.44646357135,2313.69500161627,2513.51642093927,2735.30932816362,2980.0795068505,3251.00384850383,3549.53001580745,3879.73249710989,4243.69804671015,4655.33332573009,5120.68804264845,5617.33665230775,6166.00105993123,6772.30550125125,7442.19600877021,8182.13567023236,8999.15996532274,9901.16288880748,10896.6891057512,11995.27756185,13207.2011181742,14543.8546389865,16016.1383566279,17635.5381865981,19418.4118331196,21380.2480844984,23537.7431515083,25908.8779808755,28512.9678132596,31370.6991318776,34504.1167508195,37936.6246601202,41692.9201126464,45798.9378060974,50281.7097337941,55169.414907696,60491.2529562838,66276.6681579843,72555.2645826037,79356.3908926821,86708.6402085522,94639.2639199703,103173.498956111,112333.81639198,122139.095377741,132603.741839269,143736.767596535,155540.863718201,168011.474302691,181135.927825214,194892.745105674,209251.085509074,224170.412181754,239600.424591245,255481.298301569,271744.259228678,288312.502205699,305102.443913743,322025.277685504,338988.776443097,355899.270166826,372663.712302264,389191.739640968,405397.623434766,421202.024841227,436533.479372344,451329.55473298,465537.649464072,479115.423674607,492030.875541831,504262.096182098,515796.749717963,526631.334226358,536770.282902681,546224.963638926,555012.63053701,563155.373999453,570679.107240116,577612.617979877,583986.705339409,589833.414053218,595185.371427269,600075.227080416,604535.191442178,608596.666120153,612289.957439715,615644.063508282,618686.524884635,621443.329159779,623938.860312462,626195.88448489,628235.564724035,630077.498174977,631739.77014056,633239.02029914,634590.51717695,635808.237691557,636904.949214063
1,"Albania",766.145409239463,799.647476714905,835.279015228513,873.240538328991,913.811850379439,957.229280518177,1003.334304415,1052.45221880297,1104.65821357627,1160.64704738918,1221.30896607754,1288.62843422204,1363.24731544404,1442.16754849091,1526.99578419387,1618.20923179368,1716.31743835118,1821.85540795142,1935.391905019,2057.58473538788,2189.1275609379,2330.7859904274,2483.32438999599,2647.47903044114,2823.81139216618,3012.86011573498,3215.60698366911,3432.9334349743,3665.75181438269,3915.00228946115,4181.64997291898,4466.68032165769,4771.08668506057,5095.86289387641,5441.990215039,5810.43179844139,6202.1295751544,6618.01856899383,7059.02342920379,7525.9975317562,8019.72238066129,8540.89110183263,9090.09100358305,9667.78531855982,10274.2945166788,10909.7783487908,11574.2183897581,12267.4020778314,12988.9078325242,13738.0913969974,14514.0719409346,15315.7202581502,16141.6556266735,16990.2455007021,17859.6099806458,18747.631380698,19651.9690724939,20570.0795964265,21499.241760453,22436.5863097747,23379.1295073612,24323.8098753569,25267.5272324347,26207.1832239824,27139.7223068499,28062.1716212363,28971.6787732547,29865.5465131134,30741.2634316717,31596.5299722788,32429.2792552775,33237.6924312917,34020.2084922823,34775.5286728431,35502.6157483181,36200.6886780236,36869.2131375915,37507.8885563629,38116.6323453287,38695.5619998377,39244.9757404064,39765.3323109912,40257.2304929633,40721.3888205231,41158.6259044292,41569.8416906984,41955.9999029406,42318.1118444997,42657.2216716549,42974.3931935766,43270.6982082924,43547.206344786,43804.9763511873,44045.0487466095,44268.4397386445,44476.1362988813,44669.092284066,44848.22548976,45014.4155256914,45168.5024066774
2,"Algeria",3691.45141690325,3894.27503548789,4110.22864097539,4341.23234522845,4589.88663975286,4860.20584969835,5155.85414765816,5479.74773828008,5834.78498350657,6224.47844865679,6652.75271178811,7133.59763962081,7674.26333965599,8248.4019937425,8875.7095388775,9561.85390747559,10313.0178828641,11135.8698465674,12037.4241747235,13025.1345227935,14107.0559974297,15291.9236938133,16589.1498522192,18008.8475360427,19560.4779500714,21253.7092345058,23103.2081741072,25122.7512038074,27327.068898245,29731.8704197694,32353.8693139102,35210.825396845,38321.5709246553,41706.0082369735,45385.0858076999,49380.7601128075,53715.9365927504,58414.5752339365,63501.6732251034,69002.5735812659,74942.9792284951,81348.7001568377,88245.3509760821,95657.9946580038,103610.727099985,112126.202366579,121225.101925909,130925.552654636,141242.500169986,152187.047973557,163765.75342592,175979.909902202,188824.915008893,202289.664975186,216356.030141554,230998.443074851,246183.631051637,261870.523107964,278010.357609835,294547.009503695,311417.54745033,328553.02030784,345879.460357948,363319.08040222,380791.628662843,398215.847936681,415510.98616871,432598.2991169,449402.485647557,465853.000095021,481885.193682747,497441.247554932,512470.872523189,526931.764034423,540789.813957435,554019.092558172,566601.623563495,578526.98227568,589791.751469495,600398.871343068,610356.91916447,619679.351747376,628383.740027301,636491.020321587,644024.781815539,651010.604815003,657475.459637494,663447.17187815,668953.956293835,674024.018743933,678685.223486959,682964.82158141,686889.23512959,690483.891537954,693773.101758121,696779.976535407,699526.374951854,702032.879944539,704318.795955294,706402.16438377
3,"Andorra",749.201561907829,755.189468099697,760.726711646649,765.954231694092,770.849209879562,775.680111716839,780.579399436456,785.568977174438,790.604124794498,795.687915493407,800.840477557639,806.158810639075,811.715522268897,816.913994982378,822.023003388429,827.073321183167,832.086127300028,837.085812002028,842.076488665135,847.051811755448,852.003275843066,856.925434441296,861.812262049993,866.655767215991,871.439803041194,876.141528163128,880.783477349148,885.36857450265,889.897530314805,894.369461363108,898.781554096258,903.130512568397,907.41332968473,911.627466351821,915.7706444703,919.840903864503,923.836766352924,927.757871498297,931.605536276469,935.379477513467,939.07917455218,942.704018743903,946.253425005484,949.72697364487,953.12445397514,956.445854266997,959.69133836062,962.861236153211,965.95602963903,968.976326594666,971.922787566864,974.796009226102,977.59663445406,980.325371724779,982.983005015791,985.570396463438,988.088479277086,990.538247295381,992.920744752053,995.237057178969,997.488302528025,999.675622820076,1001.80017719217,1003.86313963087,1005.86570463895,1007.80908567087,1009.69451217484,1011.52322581114,1013.29647629311,1015.01551748905,1016.68160402232,1018.29598837759,1019.85991845996,1021.37463561322,1022.8413730844,1024.26135486252,1025.63579459498,1026.96589405052,1028.2528415873,1029.4978107181,1030.70195883178,1031.8664261036,1032.9923345869,1034.08078746224,1035.13286841888,1036.14964114545,1037.1321489055,1038.08141417297,1038.99843830614,1039.88420125724,1040.73966134988,1041.56575512808,1042.36339727497,1043.1334805952,1043.87687605284,1044.59443285638,1045.28697858381,1045.95531934193,1046.60023995514,1047.22250418058
4,"Angola",27.8889892308612,28.8908774898692,29.8930041606951,30.8953995201526,31.8980976899744,32.8757376054886,33.9521344614023,35.1398296869632,36.452957310799,37.8820468223244,39.4418243088351,41.1806348970982,43.1085142197657,45.0413272538178,47.0923581545074,49.276588722646,51.6108992787752,54.11430921621,56.8114736042829,59.7144543567924,62.8352521386894,66.1855963068113,69.7799080028272,73.6325691313897,77.7536480391571,82.1532167151352,86.8660087016874,91.9167813192945,97.3315321393442,103.137415227948,109.362616192628,116.035767336353,123.187603306466,130.851235544666,139.062488208193,147.859900432248,157.285075608036,167.383617662936,178.205637908741,189.80319525448,202.231809500881,215.550742418078,229.82332500999,245.117342035635,261.505539414803,279.065985626946,297.882443907911,318.044748777513,339.6492297677,362.799144241147,387.605045891058,414.185135230024,442.665978978929,473.183128037603,505.881777498322,540.917468068197,578.456826766366,618.678336146979,661.773154041743,707.94598867971,757.416035451433,810.417976908841,867.203052594714,928.040215402332,993.217387355868,1063.04278020467,1137.84630144608,1217.98105073483,1303.82491226788,1395.78224962286,1494.28571160908,1599.79815586787,1712.81469706309,1833.86488642257,1963.51502987246,2102.37065189098,2251.07911077066,2410.33236981438,2580.86993365948,2763.48195714927,2959.01253411199,3168.36317321163,3392.49646764758,3632.43996471956,3889.29024058072,4164.21718463194,4458.46849695809,4773.37440086838,5110.35257100912,5470.91327579342,5856.66473097597,6269.31865832251,6710.69604016661,7182.73305694804,7687.48719052951,8227.14347113305,8804.0208400829,9420.57859409025,10079.4228694906,10783.3131165668
5,"Antigua and Barbuda",24.2153934580452,24.477158703584,24.7952682995572,25.1818343417915,25.6515650296527,26.1792672652054,26.7773814328203,27.4610083082808,28.2484738992204,29.1620123301262,30.2715803036325,31.619048970114,33.2551409967401,35.1950354119944,37.4932584825045,40.2135609707877,43.4302990904348,47.2299602585451,51.722011537578,57.0353443120886,63.3212897153347,70.756927995087,79.5486425161857,89.9267700658335,102.154689275441,116.531272914379,133.402152817047,153.156309981177,176.226676054953,203.08851463772,234.254633797972,270.264489252137,311.668597628407,359.005935925239,412.773337310615,473.386499253488,541.134881426247,616.130172510758,698.253541338482,787.106517467338,881.976005725351,981.821686125559,1085.29392783775,1190.78696598237,1296.52661149768,1400.68439154949,1501.50375295698,1597.42027091222,1687.15835182032,1769.79166963202,1844.7625101476,1911.86312929079,1971.18840599011,2023.07176771972,2068.01611189692,2106.62889944152,2139.5671405744,2167.494710411,2191.05196921742,2210.8361640247,2227.39043641019,2241.19920003841,2252.68792366993,2262.22574969111,2270.12977954721,2276.67019807853,2282.07567673956,2286.53869086239,2290.22052546969,2293.25584243516,2295.75675069548,2297.81636837859,2299.51189671125,2300.90724422967,2302.05524918601,2302.99955069169,2303.77615748776,2304.41475909264,2304.93981891174,2305.37148356735,2305.72633777844,2306.01802978604,2306.25778858851,2306.45485104434,2306.61681412947,2306.74992522766,2306.85932123815,2306.94922547389,2307.02310977833,2307.08382798709,2307.13372577825,2307.17473106427,2307.2084283484,2307.23611987059,2307.25887587636,2307.27757593612,2307.29294290552,2307.30557083722,2307.31594792266,2307.3244753495
6,"Argentina",4229.65024569174,4491.68517765992,4776.90693413469,5090.88783690417,5439.25002682796,5826.83327337857,6253.41414598121,6722.17440645678,7237.39957649933,7805.54498039272,8434.78966214116,9149.15081411759,9962.55356722843,10848.8463047655,11830.8458551261,12919.4917581124,14126.4799922382,15464.3560069179,16946.7466465587,18589.280021943,20409.3348340987,22426.0989522127,24660.4654367091,27134.97260748,29871.5776279364,32893.0501746282,36229.0863444181,39909.783765739,43967.3767517711,48436.2830710828,53353.1140440009,58756.6178452482,64687.4411831539,71187.8558117188,78301.3964589766,86072.4203726032,94545.5710014345,103765.443487063,113775.954334157,124618.729335523,136332.198536449,148950.330713406,162501.232284535,177005.637014629,192475.32899029,208911.569278637,226303.590943699,244627.244764468,263843.884647298,283899.586800437,304724.758629906,326234.240923357,348328.061171367,370892.775928634,393803.42201713,416926.030200557,440120.610890314,463244.480909369,486155.767420536,508716.907355886,530797.958284585,552279.551025531,573055.343515935,593033.87860287,612139.792994076,630314.365383994,647515.442821301,663716.817775869,678907.15298303,693088.564372647,706274.974964746,718490.346400603,729766.88205644,740143.279048505,749663.088210332,758373.223204396,766322.643541089,773561.222481154,780138.800124669,786104.413732499,791505.691732293,796388.394460815,800796.0830628,804769.897681955,808348.426756548,811567.65054712,814460.943714654,817059.123632608,819390.533008371,821481.147212754,823354.698400939,825032.81000762,826535.136514227,827879.504513429,829082.052045543,830157.363968357,831118.601764363,831977.626706436,832745.115712833,833430.669542168
7,"Armenia",1879.28956025992,1961.14331597784,2047.09849320669,2137.51360093373,2232.55912278671,2332.06197803784,2436.43780382905,2545.53822077587,2659.13060053158,2777.53966608049,2901.50383635133,3034.99400953802,3179.00008175966,3323.64321474155,3474.96051573373,3633.19305245636,3798.56439313651,3971.2993111171,4151.6613920777,4339.89184549676,4536.26869174259,4741.1190507723,4954.76263636956,5177.46563121402,5409.08572994088,5649.3557866949,5899.03957025925,6158.32071842813,6427.36832664322,6706.3370533958,6995.36526650722,7294.56909586871,7604.04245064367,7923.85090270179,8254.0238784756,8594.55217499238,8945.39012320787,9306.49424813095,9677.83583978181,10059.2976542241,10450.7255791301,10851.9274046607,11262.6716262366,11682.6864852451,12111.6596711562,12549.2381478618,12995.0287075255,13448.5994510244,13909.4817292799,14377.1721215534,14851.1310330681,15330.7802001361,15815.509726582,16304.6808395839,16797.6289803511,17293.6672195834,17792.089966142,18292.1768968386,18793.1970788002,19294.4132018289,19795.0858191755,20294.4775334357,20791.8571000004,21286.5037061228,21777.7114984058,22264.7935652526,22747.0856960845,23223.9498747025,23694.7774680895,24158.9920777426,24616.0520296067,25065.4524841859,25506.7271578334,25939.4496567374,26363.2344323316,26777.7373709369,27182.6560129752,27577.729392793,27962.7375480964,28337.5007250452,28701.8783077489,29055.7675029389,29399.1018118807,29731.849322012,30054.0108506453,30365.6179721882,30666.7309586926,30957.4366614396,31237.8463589693,31508.0935959404,31768.3320366264,32018.7333526609,32259.485162125,32490.7890345829,32712.858574234,32925.9175910209,33130.1983673389,33325.9400259601,33513.3870029386,33692.7876276232
8,"Australia",6760.13872714118,6800.29368341371,6840.6123073814,6881.46383633479,6922.92491525953,6966.60981843819,7013.87518621598,7066.0133587454,7123.6095219966,7187.50552786802,7258.60631756157,7338.79568859861,7429.33975586804,7525.63633930648,7629.99471055562,7743.54687585331,7867.53333748231,8003.36047143456,8152.40290750339,8316.03574586,8495.64354759495,8692.72290667395,8908.86110820503,9145.73946727905,9405.00565265442,9688.35691485958,9998.38765980201,10337.7246339958,10709.1988201044,11115.8571252125,11560.9671697539,12048.0506099502,12580.9160303707,13163.6945525751,13800.8650647958,14497.2851614673,15258.2248909305,16089.4220948608,16997.1320438836,17988.0620692213,19069.4179800882,20248.9302644715,21534.8796319984,22936.1223533124,24462.1108760503,26122.9086347309,27929.1973516,29892.2766980478,32024.0539002703,34337.0209687331,36844.2143863346,39559.1553104125,42495.783115471,45668.3657224914,49091.3864673882,52779.4048737677,56746.8887470551,61008.0158571886,65576.4440947976,70465.0498963125,75685.6356802627,81248.6085164628,87162.6339702699,93434.2713648502,100067.598785008,107063.836504469,114420.981360456,122133.466358838,130191.861462626,138582.632611294,147287.976241536,156285.745776451,165549.4845573,175048.576457624,184748.520946438,194611.333819094,204596.068454963,214659.445757085,224756.574568588,234841.738555156,244869.2210224,254794.136326983,264573.235743416,274165.65697953,283533.589889234,292642.836005241,301463.2458356,309969.024865298,318138.906277167,325956.19499874,333408.693335147,340488.522834104,347191.860000385,353518.605022097,359472.002905675,365058.235547504,370286.001555907,375166.098352389,379711.018485988,383934.569415609
9,"Austria",15385.8918342849,15503.3367180417,15622.3435321926,15744.730661111,15872.491817311,16007.9946511817,16152.17835928,16306.3502440581,16470.9665871956,16647.3464086739,16837.01924909,17045.9473011378,17276.4128934923,17514.1917656317,17766.8069687311,18035.8685339751,18322.9480862964,18629.5509279576,18957.0599855011,19306.8980822338,19680.4850773689,20079.3414585858,20504.990832728,20958.9319582295,21442.0861962532,21955.1842048433,22500.7710943138,23080.7373884267,23696.9660425207,24351.3320930041,25045.7053233552,25781.9596141885,26561.963260807,27387.5730446042,28260.6149102771,29182.8739948692,30156.0866451242,31181.9963732452,32262.3688240762,33398.7737781691,34592.6347487472,35845.2082352556,37157.5615160844,38530.5487447187,39964.7847306024,41460.6186757487,43018.107776592,44636.9925141979,46316.6730856178,48056.1872187723,49854.1830380861,51708.8915935589,53618.1238681236,55579.2657973195,57589.2787166469,59644.7057694942,61741.6847380657,63875.9677042407,66042.9475910876,68237.6914947467,70454.9803888144,72689.3546821736,74935.1649464373,77186.6275726195,79437.8845869979,81683.064613946,83916.3442814389,86132.0087450714,88324.5100281331,90488.5219423829,92618.9904598257,94711.1785661702,96760.7048139396,98763.5750111319,100716.206701169,102615.446306874,104458.578972814,106243.331313254,107967.86757043,109630.779780533,111231.072647107,112768.143889734,114241.760871424,115652.03431416,116999.389891387,118284.538443617,119508.445503086,120672.300740916,121777.487870355,122825.555459212,123818.189025247,124757.184704081,125644.42470288,126481.854683793,127271.463159736,128015.262932166,128715.274555998,129373.51178054,129991.968886749,130572.609819545
