id,Country,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13
1,"Albania",47592,53194,58611,63557,67848,71406,74246,76446,78110,79345,80250,80907,81380,81720
2,"Algeria",93889,108773,140088,203194,320208,506626,740440,956971,1106244,1188889,1229070,1247359,1255431,1258945
3,"Andorra",7162,7162,7162,7162,7162,7162,7162,7162,7162,7162,7162,7162,7162,7162
6,"Argentina",1483572,1497822,1505330,1509149,1511074,1512058,1512555,1512808,1512936,1513001,1513034,1513050,1513059,1513063
7,"Armenia",144134,144172,144172,144172,144172,144172,144172,144172,144172,144172,144172,144172,144172,144172
8,"Australia",28047,28228,28611,29419,31118,34680,42092,57266,87333,143187,235356,360709,491704,594727
9,"Austria",315274,320170,321485,321835,321928,321953,321959,321961,321962,321962,321962,321962,321962,321962
10,"Azerbaijan",176515,222672,271760,314430,345364,364797,375963,382038,385247,386915,387776,388217,388444,388560
12,"Bahrain",88495,88495,88495,88495,88495,88495,88495,88495,88495,88495,88495,88495,88495,88495
15,"Belarus",161521,188522,226180,270320,312318,344693,365822,378116,384796,388290,390081,390990,391448,391679
16,"Belgium",597643,597643,597643,597643,597643,597643,597643,597643,597643,597643,597643,597643,597643,597643
20,"Bosnia and Herzegovina",99624,104169,107454,109722,111254,112275,112949,113390,113677,113864,113985,114064,114115,114148
21,"Brazil",6849271,7120877,7361389,7560521,7716780,7834312,7919862,7980679,8023180,8052530,8072630,8086317,8095602,8101884
22,"Brunei",154,165,204,350,878,2650,7328,14211,18479,19822,20145,20217,20232,20236
23,"Bulgaria",179242,194782,205709,212632,216729,219056,220345,221051,221434,221641,221753,221814,221846,221864
24,"Burkina Faso",3763,4877,7053,11319,19609,35468,64930,116758,199641,313529,440487,551987,630668,677854
26,"Cambodia",391,596,1355,4187,14639,51683,165989,402616,628910,722493,746937,752474,753686,753950
28,"Canada",473278,577579,729297,916052,1102230,1250932,1349918,1407872,1439279,1455581,1463855,1468005,1470076,1471105
31,"Chile",567417,571385,573198,574023,574397,574567,574644,574679,574694,574702,574705,574706,574707,574707
32,"China",94422,96038,98597,102669,109157,119479,135908,162042,203593,269599,374309,540058,801525,1211754
33,"Colombia",1408904,1445775,1471833,1491241,1504678,1514278,1521020,1525719,1529018,1531310,1532908,1534021,1534794,1535331
36,"Costa Rica",150835,155303,158521,160803,162358,163429,164152,164640,164968,165188,165336,165434,165500,165544
38,"Croatia",165127,174232,178503,180318,181071,181383,181511,181563,181585,181593,181597,181599,181599,181599
39,"Diamond Princess",712,712,712,712,712,712,712,712,712,712,712,712,712,712
41,"Cyprus",14558,18664,24255,29962,34263,36797,38076,38671,38936,39053,39103,39125,39135,39139
42,"Czechia",556927,556927,556927,556927,556927,556927,556927,556927,556927,556927,556927,556927,556927,556927
43,"Denmark",102844,113122,120931,126458,130175,132589,134120,135078,135671,136037,136261,136399,136483,136534
45,"Dominican Republic",155492,175929,218132,288337,369777,430777,462684,476214,481432,483369,484078,484337,484431,484465
46,"Ecuador",205922,232971,295184,411154,557496,668471,723195,744363,751759,754249,755077,755352,755442,755472
47,"Egypt",121601,127274,135887,148973,168809,198661,243217,308838,403633,536795,716644,946974,1222499,1526117
51,"Estonia",17053,18944,20204,21010,21513,21822,22009,22122,22190,22231,22256,22270,22279,22284
55,"Finland",30837,39130,55887,84235,120008,151056,170085,179303,183251,184850,185484,185733,185830,185868
56,"France",2395246,2432252,2454906,2469666,2478248,2483663,2486922,2488899,2490110,2490839,2491283,2491553,2491716,2491815
