id,Country,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11
1,"Albania",1210.97047728775,1242.52713462424,1276.99132638139,1315.40756109442,1356.58755586916,1399.9779129886,1443.91166885559,1489.1321480123,1535.70605715012,1585.06396011551,1637.82366825228,1696.52390915993,1763.89610055138,1837.58950810036,1918.29726756432,2005.15291983436,2097.75920334105,2196.27319972233,2300.73094906822,2411.81288572937,2530.77645768249,2658.95732248849,2797.71913858486,2948.36314642577,3111.9023846302,3289.30267411599,3481.04855225246,3687.17026860054,3908.39439364101,4145.54493823313,4399.8877392424,4673.04682924083,4966.86309330992,5283.42545929655,5624.87416184141,5993.21070428236,6390.37733713629,6818.2613298245,7278.77080131328,7773.95039402299,8306.03076362218,8877.57774942576,9491.61423559831,10151.4752560701,10860.7934380899,11623.4106839652,12443.313489787,13324.6113849554,14271.5144666299,15288.3728589941,16379.7756376627,17550.615679754,18806.1535455902,20152.0541448214,21594.3897863642,23139.6279440056,24794.5820541735,26566.3383791065,28462.2216045922,30489.7689039547,32656.7275858509,34971.0681577031,37440.999345603,40074.9826385049,42881.7280744425,45870.1549460328,49049.3284171984,52428.3727050878,56016.3690098099,59822.2468297581,63854.672154983,68121.9400263205,72631.8740744775,77391.7216547485,82408.0405599661,87686.5709164507,93232.088980655,99048.2437735258,105137.379047459,111500.347940277,118136.331304168,125042.667548156,132214.701314877,139645.656093829,147326.533922699,155246.04469352,163390.566395515,171744.137702752,180288.486730022,189003.10021623,197865.337698255,206850.59439368,215932.514530484,225083.254453639,234273.791686663,243474.272802438,252654.390767416,261783.780864281,270832.423620206,279771.043219839
2,"Algeria",10593.7876802772,11634.5219313717,12908.4726156753,14480.4816215622,16438.1013825843,18913.7451565083,22070.492139984,26336.0844492555,32093.0884502327,39852.6770048163,50294.6661175801,64319.1534854298,83121.4594812724,107831.629067447,140351.436145603,183173.227737704,239544.700472516,313657.261583394,410840.959223732,537761.819389065,702308.021674576,913663.473705491,1181951.59613083,1517404.09541446,1928856.28218947,2421439.84036827,2993792.92444438,3634802.76362858,4321645.82702146,5020582.069505,5691634.54667593,6296565.8626546,6807354.89699378,7211534.59087355,7512197.13923072,7723603.67272734,7865149.81705402,7956230.54101244,8013175.94890288,8048185.26645052,8069594.45052307,8082736.69139419,8090876.79558119,8095967.51852825,8099172.25035167,8101192.52127871,8102460.89813954,8103250.70160352,8103737.70440413,8104035.48053901,8104216.74497165,8104327.16986666,8104394.80797157,8104436.57211618,8104462.56199335,8104478.81926867,8104489.00099338,8104495.36022418,8104499.30974234,8104501.74625759,8104503.24077516,8104504.15472389,8104504.71396241,8104505.05747571,8104505.26967607,8104505.40148107,8104505.48364492,8104505.53490412,8104505.56681894,8104505.58661046,8104505.59882648,8104505.60633686,8104505.61094478,8104505.61377322,8104505.61551406,8104505.61658975,8104505.617257,8104505.61767193,8104505.61793009,8104505.61809048,8104505.61818984,8104505.61825119,8104505.61828898,8104505.61831221,8104505.6183265,8104505.61833531,8104505.61834076,8104505.61834413,8104505.61834622,8104505.61834753,8104505.61834833,8104505.61834883,8104505.61834914,8104505.61834933,8104505.61834945,8104505.61834952,8104505.61834956,8104505.61834959,8104505.61834961,8104505.61834962
3,"Andorra",872.890781309205,900.1250222385,933.984510661434,975.801560830199,1027.69579034279,1092.01372530311,1171.60377781371,1269.65881678338,1390.46741761276,1538.86423673999,1720.24224514831,1922.9390398559,2167.24625416424,2456.91931036464,2797.73085544883,3195.04290764453,3653.29002232739,4175.18179630346,4760.92768241847,5407.42725991325,6107.66087396509,6850.32284293241,7620.11359792511,8398.69765250232,9168.36919659255,9909.73457083924,10605.8807017959,11243.6773254063,11814.6669282618,12315.1754087915,12745.7606579729,13110.2369430198,13414.559457536,13665.792124175,13871.2919658077,14038.1433082338,14172.8204084395,14280.982564502,14367.4967690906,14436.4647839768,14491.2951536273,14534.7898484794,14569.2323178939,14596.4700259858,14617.9885629239,14634.9763903475,14648.3803011447,14658.952092334,14667.2872724443,14673.8567359305,14679.0329779389,14683.1104091362,14686.3216064341,14688.8502021654,14690.8410956294,14692.4085460401,14693.6425926315,14694.6141497921,14695.3790485095,14695.98123706,14696.4553109235,14696.8285083535,14697.1222818019,14697.3535265323,14697.5355480458,14697.6788234931,14697.7916014823,14697.8803749724,14697.9502542737,14698.0052612286,14698.0485610969,14698.0826451854,14698.1094745627,14698.1305930733,14698.1472161711,14698.1603007349,14698.1706000348,14698.1787070143,14698.185088385,14698.1901114845,14698.1940654331,14698.1971777938,14698.1996276864,14698.2015561062,14698.2030740434,14698.2042688693,14698.2052093618,14698.2059496605,14698.2065323807,14698.206991066,14698.2073521187,14698.2076363204,14698.207860029,14698.2080361201,14698.208174729,14698.2082838339,14698.2083697148,14698.2084373152,14698.2084905263,14698.208532411
6,"Argentina",22163.429399063,26107.5919392465,31570.8821706797,39302.8159777509,50345.6917605145,66345.2068365106,89674.9645739078,123606.04743506,173026.768126992,244076.180567422,345880.532835699,490928.919234733,695757.63930206,981232.784313012,1371592.47201267,1891140.04871014,2557193.31157179,3368613.2338795,4293112.9744682,5261114.71830768,6177964.12996609,6956300.69931335,7549830.05486846,7962648.51558925,8231022.14514865,8398396.90005529,8500651.92811909,8562620.23403404,8600036.27400669,8622520.87131651,8635936.27838887,8643882.71562305,8648570.35945706,8651336.32190536,8652973.53885587,8653945.81821889,8654523.89120325,8654867.06151234,8655070.17402839,8655190.10922989,8655260.9120074,8655302.77985701,8655327.59188769,8655342.31437927,8655351.04708459,8655356.2191403,8655359.27761563,8655361.08519757,8655362.15418526,8655362.78717263,8655363.1623489,8655363.38474093,8655363.51647584,8655363.59443616,8655363.64054748,8655363.66782509,8655363.68397201,8655363.69353643,8655363.69920313,8655363.70255961,8655363.70454665,8655363.70572249,8655363.70641827,8655363.7068301,8655363.70707397,8655363.7072184,8655363.70730394,8655363.70735459,8655363.70738457,8655363.70740231,8655363.70741282,8655363.70741903,8655363.70742272,8655363.7074249,8655363.70742619,8655363.70742695,8655363.7074274,8655363.70742767,8655363.70742783,8655363.70742792,8655363.70742798,8655363.70742801,8655363.70742803,8655363.70742804,8655363.70742805,8655363.70742805,8655363.70742806,8655363.70742806,8655363.70742806,8655363.70742806,8655363.70742806,8655363.70742806,8655363.70742806,8655363.70742806,8655363.70742806,8655363.70742806,8655363.70742806,8655363.70742806,8655363.70742806,8655363.70742806
7,"Armenia",11676.0726268253,13004.6732932981,14550.0062735842,16346.2569028362,18448.8698271191,20900.7211892746,23807.742578941,27242.8987508454,31294.3708164908,36075.6024284331,41764.9083085724,48501.5227211544,56491.3562058993,65869.9640474121,76838.7791274594,89480.2489017431,103947.294772691,120364.989339471,138815.886084683,159318.73286096,181812.800014715,206132.96246526,232006.704477907,259053.986385321,286799.181952083,314693.160037917,342160.7592488,368642.416717858,393648.345743835,416788.985798588,437804.760002118,456562.247059582,473043.521911933,487325.1328482,499552.413470367,509913.671101575,518618.025192855,525877.932429071,531897.044057252,536862.801937251,540942.817070216,544283.685608885,547011.599857723,549233.782725691,551040.495949902,552507.064471086,553695.968277065,554658.766689927,555437.818980039,556067.792515839,556576.968251928,556988.354948903,557320.633254797,557588.947430286,557805.562766383,557980.405932317,558121.507518272,558235.3616339,558327.218350501,558401.3202465,558461.094776836,558509.3098907,558548.200068962,558579.568486135,558604.86984593,558625.277503504,558641.737814506,558655.014069679,558665.721953341,558674.358126109,558681.323258818,558686.940587914,558691.470873938,558695.1244623,558698.071018088,558700.447380821,558702.363905916,558703.909585421,558705.156182421,558706.161567704,558706.972411304,558707.626352503,558708.153748763,558708.579085196,558708.922110626,558709.198753496,558709.421860528,558709.601792575,558709.74690537,558709.863937394,558709.958322834,558710.034444057,558710.095835259,558710.14534669,558710.185277072,558710.217480356,558710.243451787,558710.264397308,558710.281289523,558710.294912832
8,"Australia",7317.83384597065,7411.12794009946,7528.93560788445,7666.16732284172,7832.51890071993,8027.338388519,8254.70794886806,8567.79504348058,9005.73230009435,9609.81884625474,10418.9666837413,11506.1448149637,12944.814566443,14765.0537475177,17091.8703331995,20095.542566755,24015.3637481791,29156.8427917706,35939.3675033533,44912.8105566287,56701.2797567535,72098.3029810184,92124.7667771248,118114.97191248,151774.180782277,195299.637977091,251551.761491203,324046.608365834,417000.412814524,535305.531710987,684421.150690158,870038.767050189,1097493.85954623,1370919.37295447,1691873.33308159,2057621.40267888,2459423.88959456,2881565.11593489,3301985.97854503,3695216.78126931,4037492.50792469,4312388.57235759,4514610.59983755,4650133.70701941,4732715.5748939,4778650.86114745,4802270.79095675,4813759.55633846,4819213.09702702,4821822.50905846,4823112.37442213,4823778.31549653,4824136.2324307,4824333.65981746,4824443.19578488,4824503.05679341,4824534.74414519,4824550.85920079,4824558.76182056,4824562.55822825,4824564.38706032,4824565.29000712,4824565.75231096,4824565.9974191,4824566.1304485,4824566.20316305,4824566.24253933,4824566.26338368,4824566.27408799,4824566.27942273,4824566.28202811,4824566.2832968,4824566.28392455,4824566.28424413,4824566.28441175,4824566.28450157,4824566.2845501,4824566.28457618,4824566.28458996,4824566.28459708,4824566.28460067,4824566.28460244,4824566.28460332,4824566.28460375,4824566.28460397,4824566.28460409,4824566.28460415,4824566.28460418,4824566.2846042,4824566.28460421,4824566.28460421,4824566.28460422,4824566.28460422,4824566.28460422,4824566.28460422,4824566.28460422,4824566.28460422,4824566.28460422,4824566.28460422,4824566.28460422
9,"Austria",16838.959013873,16915.0191603628,17005.797543814,17110.9669920354,17233.4129645442,17380.0468611618,17556.2337873276,17765.4004248311,18027.0446386402,18348.3602893477,18747.9806784286,19231.5150224113,19818.0942057027,20529.9778112229,21395.0842675427,22447.5779376733,23728.3845106043,25287.2241692184,27185.2215397346,29493.5794317445,32299.0147355668,35704.4696242842,39836.0105492571,44844.5508019671,50910.3044920834,58247.2619400886,67107.9849721954,77788.548399157,90632.9224822891,106036.045758452,124445.625679518,146359.967051346,172321.211646294,202900.630320826,238674.820199664,280190.133569921,327913.926193093,382172.792229084,443080.793971861,510464.789051777,583798.634038273,662161.81161483,744239.466094172,828376.862760403,912691.671852027,995232.867889942,1074160.59151722,1147912.7918041,1215326.49311747,1275694.03625896,1328752.51566115,1374620.57319237,1413705.30938867,1446602.15565059,1474004.70561712,1496633.59753211,1515186.6793894,1530308.26613862,1542573.31804467,1552482.11831435,1560461.68249886,1566871.07040728,1572008.64633129,1576120.01596384,1579405.85454095,1582029.17254924,1584121.78896189,1585789.93059579,1587118.9712806,1588177.37999123,1589019.97352763,1589690.57590299,1590224.18125623,1590648.70606941,1590986.40393374,1591255.00430787,1591468.62647415,1591638.51124298,1591773.60562439,1591881.02941872,1591966.44731043,1592034.36549921,1592088.36811828,1592131.30560804,1592165.44474733,1592192.58808841,1592214.16899109,1592231.32721539,1592244.96903912,1592255.8150673,1592264.43825519,1592271.29414996,1592276.74494329,1592281.07860044,1592284.52407152,1592287.26338633,1592289.44127008,1592291.17278829,1592292.54942467,1592293.64391358
10,"Azerbaijan",6845.06264683291,7477.51520329593,8189.54575962131,8944.70866775463,9902.82819888257,10913.8754104544,12172.6371808712,13645.2774803438,15342.377781272,17303.8791349328,19627.6685712037,22105.1586108905,25200.6809872519,28828.765253493,33117.5056988205,38046.1226514439,43882.3088640521,50354.6656236379,58147.3851601654,67109.7184573068,77438.4191616421,89470.3758979904,103528.212497703,119373.031124332,137956.094741132,159129.73222906,183372.66287952,211266.406214138,243228.923469646,278926.40343196,319783.292155414,365365.048824169,416180.379693284,472762.04177477,535084.61951678,602526.594053945,676012.842579533,754051.885659261,836232.683601092,921995.845200063,1009866.5068573,1098123.22449956,1186188.76892645,1271494.94832243,1353034.04821082,1429646.79427295,1500021.21943744,1563437.61745724,1619925.22561505,1668973.55458851,1711167.99314211,1746957.66509621,1776877.77639276,1801694.23539819,1822167.93933622,1838845.11169779,1852449.35823185,1863466.31915082,1872356.30003288,1879526.86614823,1885297.59226764,1889917.02667697,1893628.80421714,1896592.66994921,1898959.69026123,1900850.00400696,1902356.13919432,1903554.5776272,1904511.25685155,1905271.33400065,1905877.15049697,1906359.73979293,1906743.84256642,1907049.73864905,1907293.70825829,1907487.59028108,1907642.18035646,1907765.15742058,1907862.95653924,1907940.78475699,1908002.71309626,1908051.9029425,1908091.09520849,1908122.24177866,1908147.02807493,1908166.76019938,1908182.46365537,1908194.95461215,1908204.90919972,1908212.82146566,1908219.1214628,1908224.13402415,1908228.12035244,1908231.29100051,1908233.81487377,1908235.8203816,1908237.41734183,1908238.68745936,1908239.69799658,1908240.50225593
12,"Bahrain",13490.0047449365,14125.7410724995,14781.9148901749,15564.5699335773,16430.3237391512,17273.3357193438,18194.4061410699,19246.6024859838,20359.6774859576,21506.4010578655,22770.2445022203,24154.2682096245,25600.4928294867,27128.516889598,28793.5990694871,30572.2538339608,32435.3207711173,34416.8247414728,36539.5181287335,38774.8928480404,41117.0960711271,43594.1321300099,46205.4805628906,48928.430914441,51767.3022053199,54734.664217694,57817.0634414595,60998.5541055545,64281.8591912561,67664.1366185712,71126.721370669,74656.6584152673,78249.3666148575,81891.5451226517,85563.7410519885,89253.0272651529,92948.3289805707,96632.4881848149,100288.154775809,103902.707970066,107463.231363307,110954.573990199,114363.872510647,117681.265615671,120896.81657333,124000.957529592,126986.733354029,129849.089996129,132583.50360256,135186.738916352,137657.533519198,139995.790269613,142202.103533886,144278.194797983,146226.910878333,148051.693928639,149756.451430959,151345.699437737,152824.395520367,154197.669253546,155470.794873176,156649.202000108,157738.341024342,158743.572763256,159670.167435338,160523.285244293,161307.907186789,162028.802992027,162690.53790427,163297.460425856,163853.679352374,164363.064000572,164829.25439089,165255.660909879,165645.464571664,166001.627781585,166326.90575529,166623.853359168,166894.833944909,167142.031724163,167367.462771655,167572.984219195,167760.304538123,167930.99441943,168086.496330944,168228.133284396,168357.117834348,168474.560720923,168581.478581073,168678.80118818,168767.378497652,168847.987168678,168921.336468426,168988.07381213,169048.789985091,169104.023915039,169154.267028825,169199.967310146,169241.533055802,169279.336297177
15,"Belarus",46664.2776338541,48284.8070287869,49987.7830261038,51781.9169899166,53676.4470729959,55684.2309318484,57822.402092063,60108.4921960724,62559.253282454,65193.4541528385,68033.902998837,71104.0257688846,74436.4482231888,78060.653972986,82008.8195005571,86235.4214828942,90763.1225307063,95615.6933851802,100818.260793667,106397.334502197,112380.462250444,118795.762862257,125671.857980435,133037.924442319,140923.415148411,149357.508407233,158368.891237577,167984.530542321,178229.740984835,189127.593658667,200707.324443625,212997.030135868,226023.253274687,239810.49953598,254380.7118787,269752.744701459,285941.857483401,302959.193681657,320811.239953996,339499.309242589,359019.087270957,379360.221696847,400506.068094191,422433.478230813,445112.706142794,468506.581079824,492570.451619766,517252.270091779,542492.831132339,568226.171748714,594380.131517801,620877.064665413,647634.693439434,674567.087358886,701585.744590144,728600.744872562,755521.942769386,782260.160406308,808728.348705236,834842.682707282,860523.620174567,885696.847390008,910294.089333422,934253.76720683,957521.492730347,980050.395388317,1001801.28529485,1022742.65993678,1042850.56767328,1062108.34459338,1080506.24401543,1098040.97927879,1114715.20119022,1130536.93069901,1145518.96610636,1159678.27926522,1173035.41570454,1185613.91125107,1197439.73530882,1208540.76860288,1218946.32098278,1228686.69287459,1237792.78222326,1246295.73729707,1254226.65452787,1261616.31961691,1268494.98943399,1274892.21173308,1280836.67939563,1286356.11575192,1291477.18761348,1296225.44271548,1300625.26840459,1304699.86859394,1308471.25622614,1311960.25872291,1315186.534146,1318168.59603909,1320923.84515831,1323468.60652476
