id,Country,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31
1,"Albania",6271,8948,13567,21167,31510,43212,53213,59618,62918,64395,65016,65269,65371,65412
2,"Algeria",35980,53733,88898,152822,251387,367647,469240,541143,588190,618560,637928,650015,657392,661817
3,"Andorra",912,923,932,938,942,945,948,949,950,951,951,952,952,952
6,"Argentina",207147,268066,334709,397585,448988,486236,510900,526265,535473,540862,543974,545756,546772,547349
7,"Armenia",38784,39982,40789,41346,41732,41999,42184,42311,42399,42459,42500,42528,42547,42560
8,"Australia",18631,25672,37149,55062,81172,115614,155436,194901,228358,253103,269592,279821,285887,289387
9,"Austria",21416,22862,24780,27275,30439,34324,38909,44070,49581,55137,60424,65182,69253,72586
10,"Azerbaijan",43492,76116,134700,197859,224871,232953,235327,236009,236204,236259,236275,236280,236281,236281
12,"Bahrain",38488,38423,38437,38439,38438,38438,38438,38438,38438,38438,38438,38438,38438,38438
15,"Belarus",67624,68097,68500,68857,69175,69457,69707,69929,70124,70296,70447,70580,70697,70799
16,"Belgium",70642,80985,101753,135800,174559,202707,217431,224389,227644,229168,229883,230218,230376,230451
20,"Bosnia and Herzegovina",13545,19949,29927,41768,51955,58484,61936,63603,64381,64741,64907,64985,65022,65039
21,"Brazil",2610925,2727586,2785230,2812687,2825565,2831567,2834358,2835655,2836258,2836539,2836670,2836731,2836759,2836772
22,"Brunei",141,141,141,141,141,141,141,141,141,141,141,141,141,141
23,"Bulgaria",12096,13836,15500,17061,18502,19813,20989,22031,22944,23736,24418,24999,25493,25910
24,"Burkina Faso",1142,1236,1397,1671,2136,2927,4265,6511,10244,16336,25986,40573,61121,87326
26,"Cambodia",242,246,247,248,248,248,248,248,248,248,248,248,248,248
28,"Canada",123001,139755,175274,242232,343694,454450,537933,584386,605862,614924,618598,620064,620645,620874
31,"Chile",347678,348608,348807,348849,348857,348859,348859,348859,348860,348860,348860,348860,348860,348860
32,"China",88017,91224,97335,109029,131413,174173,255751,410827,703703,1250032,2245890,3986282,6811297,10874426
33,"Colombia",304202,374803,443239,500799,543592,572539,590877,602013,608603,612442,614658,615931,616660,617077
36,"Costa Rica",19327,24388,29321,33718,37333,40113,42142,43565,44537,45188,45619,45901,46086,46205
38,"Croatia",5675,7052,9145,12186,16319,21448,27131,32679,37452,41125,43716,45430,46517,47187
39,"Diamond Princess",712,712,712,712,712,712,712,712,712,712,712,712,712,712
41,"Cyprus",1095,1171,1309,1573,2055,2918,4405,6752,10039,13939,17733,20727,22651,23701
42,"Czechia",17606,21755,28694,39580,55024,74028,93627,110406,122582,130381,134979,137558,138964,139719
43,"Denmark",14024,14588,15421,16636,18374,20789,24016,28107,32955,38261,43577,48448,52555,55778
45,"Dominican Republic",76252,98254,123116,144363,158472,166305,170220,172073,172928,173317,173493,173573,173609,173625
46,"Ecuador",86076,91127,95229,98492,101045,103017,104525,105669,106533,107181,107667,108030,108300,108501
47,"Egypt",97299,104586,113881,125654,140427,158738,181096,207896,239311,275188,314948,357571,401657,445594
51,"Estonia",2047,2070,2101,2142,2201,2280,2390,2540,2745,3023,3396,3892,4543,5378
55,"Finland",7488,7631,7854,8189,8697,9483,10678,12498,15225,19183,24675,31757,40013,48496
56,"France",226506,239958,260466,290814,333742,390698,460101,536302,610830,675798,726913,763945,789187,805679
59,"Georgia",1244,1461,1812,2351,3219,4570,6645,9789,14363,20710,28904,38479,48372,57249
60,"Germany",212434,222315,238020,262529,299682,353584,426958,518547,621094,722624,811431,880952,930740,964146
62,"Greece",4510,4984,5662,6684,8145,10270,13329,17665,23744,32062,43105,57180,74167,93339
69,"Hungary",4685,5326,6906,10722,19546,37984,69339,107180,137102,153518,160714,163550,164619,165016
70,"Iceland",1848,1852,1855,1858,1860,1862,1863,1865,1866,1867,1867,1868,1868,1869
71,"India",2241527,4114086,8046866,13745621,18158206,20297985,21470052,22286928,22869250,23263172,23516108,23672548,23766993,23823166
72,"Indonesia",118335,155351,219994,330359,511456,789930,1177576,1647393,2128108,2540135,2841958,3038152,3155851,3223063
73,"Iran",318072,363676,433615,532090,655455,789066,914215,1018313,1097767,1154787,1193866,1219745,1236466,1247090
74,"Iraq",149379,219900,332521,481166,621802,718506,769939,794250,805372,810431,812750,813821,814319,814552
75,"Ireland",26025,26220,26465,26771,27152,27621,28193,28882,29701,30658,31754,32980,34316,35733
76,"Israel",79992,104980,127341,141302,148097,150995,152160,152618,152796,152864,152891,152901,152905,152907
77,"Italy",247353,248626,249702,250610,251374,252017,252557,253011,253392,253712,253980,254204,254393,254551
79,"Japan",42377,76831,173124,414649,842172,1268333,1564026,1801244,2015671,2189304,2308252,2379490,2418628,2439098
81,"Kazakhstan",142540,270065,398247,441630,444304,444463,444471,444471,444471,444471,444471,444471,444471,444471
83,"Korea, South",14494,14794,15047,15262,15444,15597,15727,15837,15930,16008,16074,16130,16177,16217
84,"Kuwait",64997,66031,66474,66696,66798,66847,66870,66881,66886,66888,66889,66890,66890,66890
86,"Latvia",1244,1310,1432,1652,2049,2758,3982,5980,8939,12743,16858,20617,23621,25807
