id,Country,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15
1,"Albania",90094,92975,94433,95172,95545,95735,95830,95878,95903,95915,95921,95924,95926,95927
2,"Algeria",110333,111590,112579,113380,114015,114523,114930,115254,115514,115721,115887,116019,116125,116209
3,"Andorra",10312,10312,10312,10312,10312,10312,10312,10312,10312,10312,10312,10312,10312,10312
6,"Argentina",2016093,2051481,2079224,2101570,2119093,2132996,2143993,2152651,2159496,2164887,2169136,2172484,2175120,2177197
7,"Armenia",168586,168853,168954,168992,169007,169012,169014,169015,169015,169015,169016,169016,169016,169016
8,"Australia",28885,28905,28918,28927,28932,28936,28938,28940,28941,28942,28942,28942,28943,28943
9,"Austria",427903,430713,431978,432684,433008,433176,433260,433301,433322,433332,433338,433340,433341,433342
10,"Azerbaijan",231719,232223,232563,232803,232964,233076,233153,233205,233242,233267,233284,233295,233303,233309
12,"Bahrain",110140,111455,111990,112208,112297,112334,112349,112355,112357,112358,112358,112359,112359,112359
15,"Belarus",263419,267054,268858,269754,270200,270422,270532,270586,270613,270627,270634,270637,270639,270639
16,"Belgium",732346,737500,740235,741720,742503,742925,743149,743269,743334,743368,743386,743396,743401,743404
20,"Bosnia and Herzegovina",125193,126078,126561,126824,126969,127048,127091,127115,127128,127135,127139,127141,127142,127143
21,"Brazil",9727186,9887844,9986570,10047118,10084167,10106800,10120612,10129036,10134171,10137300,10139207,10140370,10141078,10141509
22,"Brunei",182,182,182,182,182,182,182,182,182,182,182,182,182,182
23,"Bulgaria",227226,229671,232369,233869,235386,236650,237466,238318,238895,239376,239805,240095,240366,240573
24,"Burkina Faso",11367,11367,11367,11367,11367,11367,11367,11367,11367,11367,11367,11367,11367,11367
26,"Cambodia",476,476,476,476,476,476,476,476,476,476,476,476,476,476
28,"Canada",825682,839990,850050,857162,862150,865663,868131,869867,871086,871943,872545,872967,873264,873473
31,"Chile",768913,784872,796974,806202,813174,818453,822438,825444,827711,829418,830704,831672,832400,832948
32,"China",100557,100645,100678,100692,100698,100700,100701,100701,100701,100701,100702,100702,100702,100702
33,"Colombia",2188793,2214638,2229286,2237588,2242289,2244949,2246452,2247302,2247783,2248054,2248208,2248294,2248343,2248371
36,"Costa Rica",198811,199760,200154,200318,200387,200416,200428,200434,200436,200437,200437,200437,200437,200437
38,"Croatia",236173,236423,236464,236470,236471,236472,236472,236472,236472,236472,236472,236472,236472,236472
39,"Diamond Princess",712,712,712,712,712,712,712,712,712,712,712,712,712,712
41,"Cyprus",32162,32330,32380,32396,32400,32402,32402,32402,32402,32402,32402,32402,32402,32402
42,"Czechia",1053584,1066752,1072351,1075319,1076582,1077208,1077498,1077633,1077697,1077727,1077741,1077748,1077751,1077752
43,"Denmark",204315,205946,207220,208083,208699,209165,209475,209708,209873,209988,210074,210133,210176,210207
45,"Dominican Republic",228195,233011,236233,238385,239822,240779,241416,241840,242122,242310,242435,242518,242573,242610
46,"Ecuador",263307,268126,271595,274086,275874,277155,278073,278730,279200,279537,279777,279950,280073,280161
47,"Egypt",172038,173766,174855,175551,175989,176267,176442,176554,176624,176669,176697,176715,176726,176734
51,"Estonia",49536,50061,50183,50212,50219,50221,50221,50221,50221,50221,50221,50221,50221,50221
55,"Finland",49422,50957,52097,52954,53593,54070,54426,54692,54891,55039,55149,55232,55293,55339
56,"France",3440954,3476258,3491051,3499001,3502345,3504014,3504785,3505143,3505315,3505394,3505432,3505449,3505458,3505461
59,"Georgia",264088,265374,266034,266378,266552,266642,266688,266712,266724,266730,266734,266735,266736,266736
60,"Germany",2351194,2443889,2553258,2680925,2828717,2997452,3187490,3398105,3627444,3872404,4128718,4391186,4654074,4911602
62,"Greece",168613,171627,173264,174156,174643,174908,175053,175132,175175,175198,175211,175218,175222,175224
69,"Hungary",381294,383700,384629,384990,385130,385185,385206,385214,385218,385219,385219,385220,385220,385220
70,"Iceland",6027,6029,6030,6030,6030,6030,6030,6030,6030,6030,6030,6030,6030,6030
71,"India",10900109,10968737,11031251,11088222,11140072,11187290,11230269,11269389,11304991,11337387,11366863,11393680,11418074,11440265
72,"Indonesia",1216743,1285450,1348576,1406556,1459767,1508544,1553226,1594123,1631531,1665725,1696964,1725488,1751519,1775266
73,"Iran",1501788,1533737,1558891,1578863,1594566,1606969,1616737,1624432,1630490,1635259,1639011,1641963,1644286,1646112
74,"Iraq",635650,639610,641701,642812,643403,643717,643883,643972,644019,644044,644057,644064,644068,644070
75,"Ireland",206775,208962,210058,210616,210892,211032,211102,211137,211155,211164,211168,211171,211172,211172
