id,Country,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19
0,Washington,1,1,1,1,1,11,122,603,1997,4465,7825,10609,11978,13521,15185,16891,18433,19828,21702,23729,25834,28680,31752,35898,40656,46946
1,Illinois,1,2,2,2,2,3,7,66,1049,4596,11259,20852,30357,43903,61499,77741,94191,110304,120260,127757,132543,136762,141723,147251,155048,162750
2,California,2,3,6,8,10,12,95,373,1651,5863,15034,22800,31431,43559,54903,67600,80166,94069,111951,130657,152349,178657,215487,264681,324543,386906
3,Arizona,1,1,1,1,1,1,4,12,152,919,2269,3542,4933,6534,8640,11119,13945,16377,19936,26989,35706,52591,73920,98103,122467,143624
4,Massachusetts,0,1,1,1,1,1,22,138,640,4955,12500,25475,38674,55753,69318,79676,88500,95708,100468,103436,105603,107061,108667,109974,111597,113534
5,Wisconsin,0,0,0,0,0,0,0,28,381,1164,2320,3341,4346,5912,7964,10219,12543,15277,18403,20835,22758,24819,27743,31577,36448,42315
6,Texas,0,0,0,0,0,0,11,63,643,2792,7209,13677,19260,24967,31998,39258,48396,55861,64652,75408,88523,112944,150722,197421,262762,335257
7,Nebraska,0,0,0,0,0,0,1,17,51,108,364,791,1474,3030,5661,8171,10177,12134,14101,15664,16730,17812,18899,19929,21172,22583
8,Utah,0,0,0,0,0,0,1,18,162,720,1601,2303,3069,4123,5175,6251,7238,8392,9797,12066,14313,17462,21100,24952,29484,34117
9,Oregon,0,0,0,0,0,1,14,36,161,548,1068,1527,1910,2311,2680,3228,3623,3927,4243,4662,5636,6937,8341,10230,12170,14579
10,Florida,0,0,0,0,0,0,10,100,1004,4246,12350,19895,26314,31532,36078,40596,45588,50867,56163,63938,75568,97291,141075,200111,269811,350047
11,New York,0,0,0,0,0,0,106,615,15800,59648,123160,189033,243382,288045,316415,335395,350121,361515,370770,378097,383324,387936,392539,397131,401706,406807
12,Rhode Island,0,0,0,0,0,1,3,20,83,294,922,2665,4706,7439,9477,11274,12674,14065,14928,15441,15947,16337,16661,16991,17312,17793
13,Georgia,0,0,0,0,0,0,5,99,621,2651,6647,12452,18301,23486,28665,33580,37579,42902,47063,51898,57681,64701,77210,95516,116935,143129
14,New Hampshire,0,0,0,0,0,0,4,7,73,214,621,929,1390,1864,2518,3071,3596,4149,4651,5043,5318,5544,5747,5897,6054,6203
15,North Carolina,0,0,0,0,0,0,2,32,305,1191,2649,4570,6601,8997,11770,14938,18673,23365,28785,35625,44264,52801,62248,72992,85771,99803
16,New Jersey,0,0,0,0,0,0,5,72,1914,13386,37505,61850,85301,109038,126744,138754,146504,154154,160445,164164,166881,169142,171182,173402,175298,176783
17,Colorado,0,0,0,0,0,0,8,136,595,2308,4950,7307,9730,13441,16635,19703,21938,24174,26364,27987,29115,30524,32290,34048,36895,40124
18,Maryland,0,0,0,0,0,0,5,24,244,1239,3617,8225,12847,18581,25462,32587,38804,46313,52778,57973,61701,64306,66777,69632,73109,78131
19,Nevada,0,0,0,0,0,0,4,20,190,920,1855,2836,3728,4734,5472,6120,6949,7881,8628,9669,11201,13240,17160,22418,27683,35765
20,Tennessee,0,0,0,0,0,0,3,32,393,1720,3633,5508,7070,9667,13177,14985,17359,20111,22566,26493,30343,35102,40172,51316,61960,78115
21,Hawaii,0,0,0,0,0,0,1,6,53,149,371,499,580,606,620,632,640,643,652,675,728,814,899,1023,1220,1381
22,Indiana,0,0,0,0,0,0,2,20,204,1513,4411,7928,11211,15012,19933,24126,27778,31376,34574,37397,39909,42423,44930,48201,51612,56571
23,Kentucky,0,0,0,0,0,0,1,18,103,438,955,1963,2960,4085,5130,6440,7688,8571,9704,11287,12445,13750,15232,16376,19389,23161
24,Minnesota,0,0,0,0,0,0,1,21,167,503,935,1621,2356,3602,6663,11271,15668,20573,24850,27886,30471,32920,35549,38136,42281,46204
25,Oklahoma,0,0,0,0,0,0,1,4,67,429,1254,1970,2567,3254,3972,4589,5310,6037,6418,7150,8231,10516,12947,15931,20235,25266
26,Pennsylvania,0,0,0,0,0,0,6,47,509,3432,11589,22938,32902,42616,51225,59939,65700,71563,76129,79908,83203,85935,89863,94403,99794,105384
27,South Carolina,0,0,0,0,0,0,2,19,196,774,2049,3320,4377,5498,6626,7653,8816,10096,11861,14302,18795,24661,33320,44847,56648,69986
28,District of Columbia,0,0,0,0,0,0,0,0,102,342,1002,1875,2793,3841,5016,6272,7123,8110,8801,9332,9767,10020,10248,10482,10847,11261
29,Kansas,0,0,0,0,0,0,1,8,65,330,751,1344,1905,3277,5156,6951,7953,9004,9700,10406,11101,12136,13847,16081,18981,21996
