id,Country,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13
0,Washington,5502,5572,5646,5724,5802,5878,5949,6013,6068,6114,6150,6177,6196,6209,6217,6222,6224,6226,6227,6227,6227,6227,6227,6227,6227,6227,6227,6227,6227
1,Illinois,24292,24473,24635,24785,24917,25032,25129,25207,25268,25314,25346,25368,25383,25392,25397,25399,25401,25401,25402,25402,25402,25402,25402,25402,25402,25402,25402,25402,25402
2,California,61771,62183,62518,62803,63035,63220,63363,63468,63543,63594,63626,63646,63657,63663,63666,63668,63669,63669,63669,63669,63669,63669,63669,63669,63669,63669,63669,63669,63669
3,Arizona,17320,17409,17504,17603,17701,17793,17874,17941,17992,18027,18050,18064,18071,18074,18076,18076,18077,18077,18077,18077,18077,18077,18077,18077,18077,18077,18077,18077,18077
4,Massachusetts,17611,17677,17731,17776,17812,17842,17865,17883,17896,17906,17912,17916,17919,17921,17922,17922,17922,17923,17923,17923,17923,17923,17923,17923,17923,17923,17923,17923,17923
5,Wisconsin,7568,7644,7711,7773,7828,7874,7912,7942,7964,7980,7992,7999,8004,8006,8008,8009,8009,8009,8009,8009,8009,8009,8009,8009,8009,8009,8009,8009,8009
6,Texas,50257,50625,50986,51347,51704,52045,52369,52666,52930,53160,53352,53508,53629,53720,53786,53831,53861,53879,53890,53896,53899,53901,53901,53901,53902,53902,53902,53902,53902
7,Nebraska,2250,2270,2288,2304,2318,2329,2339,2346,2351,2355,2357,2359,2360,2360,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361,2361
8,Utah,2198,2218,2237,2256,2275,2293,2309,2324,2338,2349,2358,2365,2371,2375,2377,2379,2380,2381,2381,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382
9,Oregon,2501,2530,2563,2601,2642,2685,2729,2771,2810,2846,2876,2900,2918,2932,2942,2948,2951,2954,2955,2955,2955,2956,2956,2956,2956,2956,2956,2956,2956
10,Florida,35218,35657,36065,36437,36763,37038,37259,37428,37552,37639,37695,37731,37752,37763,37769,37772,37773,37774,37774,37774,37774,37774,37774,37774,37774,37774,37774,37774,37774
11,New York,52304,52639,52902,53106,53260,53370,53447,53497,53529,53548,53559,53564,53567,53569,53569,53570,53570,53570,53570,53570,53570,53570,53570,53570,53570,53570,53570,53570,53570
12,Rhode Island,2673,2683,2693,2703,2712,2720,2727,2732,2737,2740,2743,2744,2745,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746,2746
13,Georgia,20206,20464,20709,20946,21168,21371,21553,21710,21841,21947,22029,22091,22135,22166,22186,22199,22206,22210,22213,22214,22214,22214,22215,22215,22215,22215,22215,22215,22215
14,New Hampshire,1304,1322,1336,1348,1358,1366,1372,1376,1379,1381,1382,1383,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384
15,North Carolina,12684,12842,12997,13149,13292,13422,13536,13632,13707,13764,13805,13832,13849,13859,13865,13868,13869,13870,13870,13870,13870,13870,13871,13871,13871,13871,13871,13871,13871
16,New Jersey,25605,25810,25971,26096,26191,26259,26308,26340,26360,26373,26380,26384,26386,26387,26388,26388,26388,26388,26388,26388,26388,26388,26388,26388,26388,26388,26388,26388,26388
17,Colorado,6295,6351,6408,6465,6521,6574,6624,6669,6709,6742,6770,6791,6807,6819,6827,6832,6836,6838,6839,6839,6839,6839,6839,6839,6839,6839,6839,6839,6839
18,Maryland,8753,8850,8931,9000,9056,9100,9134,9159,9176,9188,9196,9201,9204,9206,9207,9207,9207,9207,9207,9207,9207,9207,9207,9207,9207,9207,9207,9207,9207
19,Nevada,5474,5537,5596,5656,5715,5770,5821,5867,5907,5941,5969,5991,6008,6020,6028,6034,6038,6040,6041,6042,6042,6042,6042,6042,6042,6042,6042,6042,6042
20,Tennessee,12202,12271,12335,12404,12475,12542,12602,12651,12689,12715,12733,12743,12749,12752,12753,12753,12754,12754,12754,12754,12754,12754,12754,12754,12754,12754,12754,12754,12754
21,Hawaii,484,488,492,496,499,501,503,505,506,507,508,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509
22,Indiana,13340,13405,13464,13520,13572,13619,13661,13698,13728,13752,13771,13786,13796,13803,13807,13810,13811,13812,13813,13813,13813,13813,13813,13813,13813,13813,13813,13813,13813
23,Kentucky,6531,6637,6738,6837,6929,7015,7094,7162,7221,7270,7309,7339,7361,7377,7388,7396,7400,7403,7404,7405,7406,7406,7406,7406,7406,7406,7406,7406,7406
24,Minnesota,7221,7287,7345,7396,7440,7474,7502,7522,7536,7546,7552,7556,7558,7559,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560,7560
25,Oklahoma,6797,6816,6833,6848,6862,6874,6885,6893,6900,6905,6909,6912,6914,6916,6917,6917,6918,6918,6918,6918,6918,6918,6918,6918,6918,6918,6918,6918,6918
26,Pennsylvania,26249,26562,26836,27079,27286,27457,27594,27698,27775,27828,27863,27885,27898,27905,27909,27910,27911,27911,27912,27912,27912,27912,27912,27912,27912,27912,27912,27912,27912
27,South Carolina,9506,9580,9645,9702,9751,9793,9827,9855,9877,9893,9906,9914,9920,9924,9927,9929,9929,9930,9930,9930,9930,9931,9931,9931,9931,9931,9931,9931,9931
28,District of Columbia,1107,1112,1117,1121,1124,1127,1128,1129,1130,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131
29,Kansas,4950,4972,4995,5022,5053,5085,5115,5143,5166,5184,5197,5205,5209,5212,5213,5214,5214,5214,5214,5214,5214,5214,5214,5214,5214,5214,5214,5214,5214
30,Missouri,9166,9250,9334,9421,9509,9595,9678,9755,9825,9886,9938,9980,10013,10038,10057,10069,10077,10083,10086,10087,10088,10089,10089,10089,10089,10089,10089,10089,10089
31,Vermont,247,250,251,253,254,254,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
32,Virginia,10765,10856,10928,10984,11027,11057,11078,11092,11100,11105,11107,11109,11109,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
33,Connecticut,8103,8151,8190,8224,8251,8273,8290,8303,8312,8318,8323,8325,8327,8328,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329
34,Iowa,5945,5977,6006,6033,6057,6079,6098,6113,6126,6136,6144,6150,6154,6157,6158,6159,6160,6160,6161,6161,6161,6161,6161,6161,6161,6161,6161,6161,6161
35,Louisiana,10392,10454,10515,10575,10631,10682,10726,10762,10790,10812,10827,10837,10843,10847,10849,10850,10851,10851,10851,10851,10851,10851,10851,10851,10851,10851,10851,10851,10851
36,Ohio,19190,19194,19198,19201,19204,19206,19208,19210,19211,19211,19212,19212,19213,19213,19213,19213,19213,19213,19213,19213,19213,19213,19213,19213,19213,19213,19213,19213,19213
37,Michigan,18799,19230,19576,19860,20080,20244,20362,20443,20495,20529,20548,20560,20566,20569,20571,20571,20572,20572,20572,20572,20572,20572,20572,20572,20572,20572,20572,20572,20572
38,South Dakota,1965,1972,1977,1981,1985,1988,1990,1991,1992,1993,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994
39,Arkansas,5737,5762,5788,5816,5844,5872,5899,5925,5949,5970,5989,6005,6018,6028,6036,6042,6045,6048,6050,6051,6051,6051,6052,6052,6052,6052,6052,6052,6052
40,Delaware,1629,1644,1658,1669,1678,1684,1688,1690,1692,1692,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693
41,Mississippi,7207,7242,7278,7314,7349,7382,7410,7432,7448,7460,7467,7471,7473,7474,7475,7475,7475,7475,7475,7475,7475,7475,7475,7475,7475,7475,7475,7475,7475
42,New Mexico,4065,4098,4132,4166,4200,4232,4262,4290,4314,4335,4351,4365,4374,4381,4386,4389,4391,4392,4393,4393,4393,4393,4393,4393,4393,4393,4393,4393,4393
43,North Dakota,1520,1526,1531,1537,1542,1547,1551,1555,1558,1560,1562,1563,1564,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565,1565
44,Wyoming,708,711,713,716,720,723,726,729,732,735,737,738,739,740,741,741,741,741,741,741,742,742,742,742,742,742,742,742,742
45,Alaska,351,361,370,380,389,398,407,415,422,428,433,437,440,442,443,445,445,446,446,446,446,446,446,446,446,446,446,446,446
46,Maine,782,793,802,810,817,822,826,828,830,831,831,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832,832
47,Alabama,10907,10989,11078,11164,11243,11310,11363,11403,11431,11449,11460,11467,11470,11471,11472,11472,11472,11472,11472,11472,11472,11472,11472,11472,11472,11472,11472,11472,11472
48,Idaho,2053,2070,2086,2103,2120,2136,2150,2161,2170,2176,2180,2182,2183,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184
49,Montana,1573,1587,1600,1614,1627,1639,1650,1659,1665,1670,1673,1676,1677,1677,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678
50,Puerto Rico,2336,2442,2534,2603,2651,2682,2700,2710,2715,2717,2718,2719,2719,2719,2719,2719,2719,2719,2719,2719,2719,2719,2719,2719,2719,2719,2719,2719,2719
51,Virgin Islands,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
52,Guam,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
53,West Virginia,2688,2724,2757,2788,2816,2841,2863,2881,2896,2907,2916,2922,2926,2928,2930,2931,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932,2932
54,Northern Mariana Islands,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
