id,Country,2022-08-13,2022-08-20,2022-08-27,2022-09-03,2022-09-10,2022-09-17,2022-09-24,2022-10-01,2022-10-08,2022-10-15,2022-10-22,2022-10-29,2022-11-05,2022-11-12
0,Washington,13786,13885,13996,14112,14222,14315,14394,14444,14476,14494,14505,14511,14516,14519
1,Illinois,39048,39138,39224,39305,39375,39434,39481,39518,39547,39569,39587,39602,39613,39623
2,California,94085,94449,94840,95235,95603,95933,96205,96420,96583,96703,96791,96855,96903,96938
3,Arizona,30870,30913,30962,31014,31070,31131,31197,31268,31344,31424,31506,31591,31677,31762
4,Massachusetts,21261,21315,21375,21439,21502,21561,21612,21654,21689,21717,21737,21754,21767,21778
5,Wisconsin,14963,14982,15002,15024,15049,15075,15102,15126,15151,15176,15201,15225,15248,15270
6,Texas,89677,89881,90083,90272,90436,90574,90684,90770,90836,90885,90922,90950,90971,90987
7,Nebraska,4372,4375,4378,4380,4382,4385,4387,4389,4391,4393,4395,4397,4399,4401
8,Utah,4944,4966,4989,5012,5034,5055,5073,5091,5107,5123,5137,5150,5163,5175
9,Oregon,8285,8375,8466,8555,8637,8711,8777,8833,8881,8920,8953,8980,9003,9021
10,Florida,78592,79108,79618,80102,80533,80903,81213,81468,81675,81841,81972,82077,82163,82233
11,New York,70653,70851,71036,71209,71374,71530,71676,71813,71940,72059,72170,72276,72375,72470
12,Rhode Island,3634,3636,3639,3643,3647,3650,3653,3657,3660,3663,3666,3668,3671,3673
13,Georgia,39269,39425,39619,39854,40123,40413,40716,41029,41340,41639,41916,42166,42384,42570
14,New Hampshire,2637,2640,2644,2648,2652,2656,2661,2667,2674,2682,2691,2702,2715,2729
15,North Carolina,25722,25773,25827,25887,25952,26020,26091,26166,26243,26324,26406,26489,26574,26657
16,New Jersey,34394,34471,34553,34635,34712,34780,34836,34882,34918,34945,34966,34982,34995,35004
17,Colorado,13085,13127,13165,13200,13235,13267,13296,13321,13342,13359,13372,13383,13391,13399
18,Maryland,15037,15067,15104,15165,15271,15425,15605,15809,16037,16282,16531,16772,16994,17189
19,Nevada,11284,11325,11368,11407,11437,11458,11472,11482,11490,11495,11499,11502,11505,11507
