id,Country,2022-11-19,2022-11-26,2022-12-03,2022-12-10,2022-12-17,2022-12-24,2022-12-31,2023-01-07,2023-01-14,2023-01-21,2023-01-28,2023-02-04,2023-02-11,2023-02-18
0,Washington,14689,14737,14776,14811,14851,14890,14919,14923,14923,14923,14923,14923,14923,14923
1,Illinois,40219,40346,40477,40590,40627,40631,40631,40631,40631,40631,40631,40631,40631,40631
2,California,97239,97372,97499,97625,97770,97912,97932,97932,97932,97932,97932,97932,97932,97932
3,Arizona,31640,31679,31727,31778,31856,31946,31959,31959,31959,31959,31959,31959,31959,31959
4,Massachusetts,22281,22385,22484,22569,22647,22705,22717,22717,22717,22717,22717,22717,22717,22717
5,Wisconsin,15560,15605,15651,15696,15745,15792,15831,15836,15836,15836,15836,15836,15836,15836
6,Texas,91364,91464,91557,91647,91741,91755,91755,91755,91755,91755,91755,91755,91755,91755
7,Nebraska,4640,4674,4714,4761,4819,4875,4882,4882,4882,4882,4882,4882,4882,4882
8,Utah,5083,5094,5108,5122,5136,5137,5137,5137,5137,5137,5137,5137,5137,5137
9,Oregon,8763,8792,8820,8854,8859,8859,8859,8859,8859,8859,8859,8859,8859,8859
10,Florida,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,New York,73561,73735,73910,74084,74240,74319,74376,74383,74383,74383,74383,74383,74383,74383
12,Rhode Island,3732,3741,3750,3757,3764,3769,3772,3772,3772,3772,3772,3772,3772,3772
13,Georgia,40876,40977,41082,41188,41307,41327,41327,41327,41327,41327,41327,41327,41327,41327
14,New Hampshire,2802,2825,2844,2861,2874,2876,2876,2876,2876,2876,2876,2876,2876,2876
15,North Carolina,27287,27319,27352,27384,27413,27422,27423,27423,27423,27423,27423,27423,27423,27423
16,New Jersey,35022,35074,35127,35178,35228,35274,35313,35318,35318,35318,35318,35318,35318,35318
17,Colorado,13506,13543,13588,13648,13715,13744,13747,13747,13747,13747,13747,13747,13747,13747
18,Maryland,15638,15668,15698,15729,15760,15785,15793,15793,15793,15793,15793,15793,15793,15793
19,Nevada,11588,11601,11616,11633,11649,11658,11659,11659,11659,11659,11659,11659,11659,11659
20,Tennessee,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,Hawaii,1720,1726,1730,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731
22,Indiana,25079,25180,25271,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284,25284
23,Kentucky,17472,17554,17640,17747,17834,17846,17846,17846,17846,17846,17846,17846,17846,17846
24,Minnesota,13983,14054,14117,14125,14125,14125,14125,14125,14125,14125,14125,14125,14125,14125
25,Oklahoma,17190,17219,17247,17277,17307,17324,17339,17341,17341,17341,17341,17341,17341,17341
26,Pennsylvania,48105,48257,48402,48552,48709,48853,48872,48872,48872,48872,48872,48872,48872,48872
27,South Carolina,18688,18728,18771,18817,18851,18855,18855,18855,18855,18855,18855,18855,18855,18855
28,District of Columbia,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402
29,Kansas,9631,9639,9647,9657,9667,9676,9686,9687,9687,9687,9687,9687,9687,9687
30,Missouri,21965,21998,22031,22065,22100,22132,22160,22163,22163,22163,22163,22163,22163,22163
31,Vermont,770,782,796,807,816,824,828,828,828,828,828,828,828,828
32,Virginia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,Connecticut,11578,11637,11693,11750,11802,11853,11901,11907,11907,11907,11907,11907,11907,11907
34,Iowa,10245,10269,10292,10316,10339,10348,10349,10349,10349,10349,10349,10349,10349,10349
35,Louisiana,18231,18250,18266,18282,18299,18315,18326,18327,18327,18327,18327,18327,18327,18327
36,Ohio,40282,40320,40359,40401,40433,40437,40437,40437,40437,40437,40437,40437,40437,40437
37,Michigan,39768,40046,40332,40604,40839,40954,40968,40968,40968,40968,40968,40968,40968,40968
38,South Dakota,3086,3096,3105,3115,3127,3140,3142,3142,3142,3142,3142,3142,3142,3142
39,Arkansas,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,Delaware,3149,3151,3152,3153,3154,3154,3154,3154,3154,3154,3154,3154,3154,3154
41,Mississippi,13013,13024,13034,13043,13051,13057,13058,13058,13058,13058,13058,13058,13058,13058
42,New Mexico,8694,8718,8741,8763,8780,8781,8781,8781,8781,8781,8781,8781,8781,8781
43,North Dakota,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232,2232
44,Wyoming,1920,1924,1928,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929
45,Alaska,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413
46,Maine,2735,2765,2794,2816,2835,2851,2853,2853,2853,2853,2853,2853,2853,2853
47,Alabama,20642,20690,20731,20736,20736,20736,20736,20736,20736,20736,20736,20736,20736,20736
48,Idaho,5245,5256,5266,5275,5284,5286,5286,5286,5286,5286,5286,5286,5286,5286
49,Montana,3586,3594,3601,3608,3614,3616,3617,3617,3617,3617,3617,3617,3617,3617
50,Puerto Rico,5309,5324,5338,5354,5367,5377,5381,5381,5381,5381,5381,5381,5381,5381
51,Virgin Islands,124,124,124,124,124,124,124,124,124,124,124,124,124,124
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,7569,7586,7603,7619,7635,7648,7650,7650,7650,7650,7650,7650,7650,7650
54,Northern Mariana Islands,41,41,41,41,41,41,41,41,41,41,41,41,41,41
55,American Samoa,34,34,34,34,34,34,34,34,34,34,34,34,34,34
