id,Country,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22
0,Washington,4777,4869,4931,4980,5016,5044,5065,5080,5092,5101,5107,5112,5116,5119
1,Illinois,22369,22620,22823,22986,23117,23221,23304,23370,23422,23463,23496,23521,23541,23557
2,California,49004,51033,52542,53759,54732,55507,56121,56607,56991,57293,57531,57718,57865,57980
3,Arizona,15337,15778,16067,16274,16422,16527,16602,16654,16691,16718,16736,16749,16758,16765
4,Massachusetts,15812,16161,16440,16669,16857,17010,17134,17235,17316,17381,17433,17475,17509,17536
5,Wisconsin,6860,6965,7046,7113,7168,7215,7253,7284,7310,7332,7350,7364,7376,7386
6,Texas,42245,43469,44306,44915,45339,45640,45853,46002,46108,46182,46235,46271,46297,46316
7,Nebraska,2015,2032,2045,2056,2065,2072,2078,2083,2088,2091,2094,2096,2098,2099
8,Utah,1821,1856,1886,1910,1929,1945,1958,1968,1977,1983,1989,1993,1996,1999
9,Oregon,2159,2190,2214,2235,2253,2268,2281,2292,2302,2310,2317,2323,2327,2332
10,Florida,29755,30669,31495,32282,33020,33708,34343,34926,35456,35936,36368,36755,37100,37406
11,New York,46695,47537,48288,48945,49517,50010,50435,50800,51112,51378,51604,51797,51961,52099
12,Rhode Island,2375,2414,2446,2474,2499,2520,2538,2554,2567,2578,2588,2596,2603,2609
13,Georgia,16569,17128,17579,17956,18269,18525,18735,18905,19043,19155,19245,19317,19375,19422
14,New Hampshire,1149,1170,1187,1202,1216,1227,1237,1245,1253,1259,1264,1269,1273,1276
15,North Carolina,10809,11181,11486,11736,11939,12104,12236,12342,12427,12495,12549,12591,12625,12652
16,New Jersey,22728,23093,23440,23785,24122,24447,24759,25053,25327,25582,25815,26028,26220,26392
17,Colorado,5871,5939,5997,6050,6101,6147,6191,6231,6268,6302,6334,6363,6389,6414
18,Maryland,7704,7833,7939,8028,8103,8166,8219,8264,8300,8331,8357,8378,8395,8410
19,Nevada,4815,4932,5023,5096,5155,5204,5242,5274,5299,5319,5335,5348,5358,5366
20,Tennessee,11145,11449,11705,11913,12083,12221,12333,12424,12498,12558,12606,12645,12676,12701
21,Hawaii,426,427,427,428,428,429,429,429,429,429,429,429,429,429
22,Indiana,12397,12631,12814,12957,13067,13152,13217,13268,13307,13336,13359,13377,13390,13401
23,Kentucky,4440,4622,4761,4872,4959,5027,5080,5122,5154,5179,5199,5214,5226,5236
24,Minnesota,6483,6538,6588,6631,6670,6704,6734,6760,6783,6804,6822,6837,6851,6863
25,Oklahoma,4173,4341,4467,4556,4619,4664,4695,4718,4733,4744,4752,4757,4761,4764
26,Pennsylvania,23416,23898,24325,24712,25055,25357,25623,25854,26055,26229,26379,26509,26620,26716
27,South Carolina,8212,8452,8670,8867,9037,9182,9305,9408,9494,9565,9624,9672,9711,9743
28,District of Columbia,997,1020,1038,1051,1062,1069,1076,1080,1084,1086,1088,1090,1091,1092
29,Kansas,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370
30,Missouri,7812,7853,7883,7907,7925,7939,7949,7958,7964,7969,7973,7976,7978,7980
31,Vermont,195,201,208,215,221,228,234,241,247,253,259,265,271,276
32,Virginia,7140,7297,7446,7585,7701,7788,7851,7893,7920,7938,7949,7956,7960,7963
33,Connecticut,7525,7633,7704,7762,7812,7854,7890,7921,7946,7968,7986,8002,8015,8025
34,Iowa,5327,5420,5494,5562,5622,5676,5724,5766,5804,5838,5867,5894,5917,5937
35,Louisiana,9414,9535,9610,9665,9705,9734,9756,9771,9782,9790,9796,9800,9803,9806
36,Ohio,16470,16495,16515,16532,16546,16557,16567,16574,16580,16585,16589,16592,16595,16597
37,Michigan,16213,16306,16383,16448,16500,16544,16580,16610,16634,16654,16671,16684,16696,16705
38,South Dakota,1859,1882,1904,1927,1950,1974,1997,2021,2045,2069,2093,2116,2138,2160
39,Arkansas,5364,5479,5557,5610,5646,5671,5687,5698,5706,5711,5714,5717,5718,5719
40,Delaware,1305,1325,1342,1357,1371,1383,1393,1401,1408,1415,1420,1424,1428,1431
41,Mississippi,6596,6725,6830,6913,6979,7032,7073,7105,7131,7151,7166,7179,7189,7196
42,New Mexico,3597,3667,3723,3771,3813,3848,3879,3904,3926,3944,3959,3972,3983,3992
43,North Dakota,1462,1464,1466,1467,1468,1469,1470,1471,1472,1473,1473,1474,1474,1474
44,Wyoming,662,662,662,662,662,662,662,662,662,662,662,662,662,662
45,Alaska,287,287,287,287,287,287,287,287,287,287,287,287,287,287
46,Maine,657,666,672,676,680,682,684,686,687,688,689,689,689,690
47,Alabama,9468,9755,9945,10087,10195,10276,10338,10384,10418,10444,10464,10478,10489,10497
48,Idaho,1821,1842,1861,1877,1892,1906,1918,1929,1939,1948,1956,1964,1970,1976
49,Montana,1338,1350,1359,1367,1374,1380,1384,1388,1392,1394,1397,1399,1400,1401
50,Puerto Rico,1941,1966,1989,2012,2033,2053,2072,2090,2107,2123,2138,2152,2165,2177
51,Virgin Islands,25,25,25,25,25,25,25,25,25,25,25,25,25,25
52,Guam,130,130,130,130,130,130,130,130,130,130,130,130,130,130
53,West Virginia,2252,2300,2336,2365,2387,2404,2418,2429,2437,2443,2448,2452,2455,2457
54,Northern Mariana Islands,2,2,2,2,2,2,2,2,2,2,2,2,2,2
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
