id,Country,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25
0,Washington,1491.37419707818,1533.51212612088,1577.90212899275,1625.97379005722,1677.71857726426,1733.33870549844,1793.11361632913,1857.24771633717,1925.98885584432,1999.56603991327,2078.20997793132,2162.14289498481,2251.57654001784,2346.70837023711
1,Illinois,7572.9197495358,7652.60072863525,7728.90233448933,7803.72717147203,7876.94943194289,7948.51533612835,8018.39348503592,8086.5599244751,8152.99602792051,8217.6882167543,8280.62777899575,8341.8106559175,8401.23720798718,8458.91196787998
2,California,8260.12895817594,8853.83042442921,9488.5841296,10259.0592518782,11187.5260967727,12301.2563509418,13629.8142263691,15203.9798087692,17054.2644866542,19208.6939525335,21689.8651587059,24511.4016351292,27674.1210153093,31162.459696171
3,Arizona,3242.26621935776,3658.44938581801,4033.74970410806,4387.09476678829,4712.65827463871,5013.75177841894,5291.29834764329,5546.64985511977,5781.22972635871,5996.35377305885,6193.3610699829,6373.5318300472,6538.10451004312,6688.26137736737
4,Massachusetts,8525.9844166838,8642.61043062679,8760.28693668752,8876.4103286947,8990.99372066552,9103.98606632303,9215.35392557763,9325.07097151722,9433.11398630262,9539.46229830932,9644.09772228067,9747.00452297146,9848.16936828387,9947.5812755176
5,Wisconsin,884.362430539857,926.545136974339,981.973707816306,1052.86114358085,1143.83128928149,1261.04750585673,1410.63342942532,1601.69777319513,1844.61029562858,2151.58039804868,2537.45185253632,3018.28755156655,3611.45824336818,4334.12519346099
6,Texas,4893.18026995331,6062.24054880963,7265.79833493199,8495.86602148537,9888.4103550169,11452.338832716,13198.1672458684,15134.7200773916,17267.8023084222,19599.2389654844,22125.9866647923,24839.3699434251,27724.5502646897,30760.3367630818
7,Nebraska,325.98860847272,353.761778834218,388.653100181129,432.439228627426,487.341692560508,555.9767856533,641.539228265916,747.7910784316,879.115951302483,1040.48588006939,1237.35894247397,1475.45713801733,1760.38843597348,2097.08620220443
8,Utah,271.101393315658,298.017209901195,318.759864822488,334.587142856911,346.641615471081,355.81153922562,362.781842429044,368.07724144481,372.098531996832,375.151310251266,377.468283578526,379.226481797363,380.560478343123,381.572514666214
9,Oregon,290.503226594909,321.656515783077,348.157534242086,370.272474413326,388.718016429694,404.094227346975,416.906069907168,427.577312795297,436.462912797808,443.859798748874,450.016099726141,455.138987232911,459.4013125506,462.947206821989
10,Florida,5787.49670637931,6689.68380190335,7667.46096428489,8753.71692843366,9983.67657902537,11362.3873316343,12891.2885151755,14566.7797455559,16379.2870569182,18312.7684243561,20344.7616186997,22447.0748056191,24587.1326330605,26729.8727895755
11,New York,32589.730010609,32696.23081992,32808.599359717,32929.2150971567,33058.2931485356,33195.7615226809,33342.9205381209,33499.916705935,33667.4808250358,33846.3767338887,34037.143237205,34240.6100887596,34457.5034672956,34688.601378419
12,Rhode Island,1007.19348508995,1027.62610041641,1049.94778234046,1076.63161262471,1107.03234842175,1142.30504928441,1182.95923170715,1229.84545673803,1283.85569617977,1345.99875412384,1417.40950250038,1499.34462088223,1593.19397855789,1700.47740769535
13,Georgia,3415.42115864166,3646.95513276866,3858.0276368265,4050.43275404811,4225.1225210833,4383.24605481836,4525.99102330841,4654.54158278761,4770.05688294355,4873.65527051226,4966.40272467361,5049.30497812035,5123.3027233452,5189.26931465759
14,New Hampshire,404.388873167487,409.317161100162,413.490094641668,416.920128392229,419.762552963604,422.115053349849,424.060954112973,425.671362721841,427.003670658567,428.106030044284,429.018071840237,429.772652237681,430.396949199045,430.913451694101
15,North Carolina,1808.07085111877,1952.47395059745,2105.80502860121,2274.22985853928,2458.57002095058,2659.70767108762,2878.44725702047,3115.47150364243,3371.30465143722,3646.27360565049,3940.46846628868,4253.70470249285,4585.48945650726,4934.99468307153
16,New Jersey,15845.8467355118,16009.7718167104,16161.2535234104,16308.151421367,16448.0744150375,16582.0021735737,16710.0739074706,16832.5116530239,16949.5747449714,17061.4724132433,17168.4263292549,17270.6423397278,17368.3209005334,17461.6543898557
17,Colorado,1787.52958795818,1823.87159812787,1862.77288928832,1904.30081644111,1948.58465978507,1995.7442440866,2045.89549519495,2099.14819442825,2155.6040498442,2215.35462440562,2278.47912114377,2345.042060374,2415.09088893083,2488.65356926836
18,Maryland,3470.67716325615,3595.99940185602,3761.1475502175,3979.29554206962,4266.48602383317,4643.02648239711,5134.08031612736,5770.01873678859,6586.17971561033,7621.56123546478,8915.86961231467,10504.3867197881,12410.4954857459,14636.5767724185
19,Nevada,731.806056768983,819.322811697589,894.170158811348,958.769676858533,1014.30169137866,1061.90363615666,1102.61776002572,1137.37598697116,1167.00252563002,1192.22085540943,1213.66215268078,1231.87425049597,1247.33060618375,1260.43892875809
20,Tennessee,939.291992009396,1044.99533103573,1155.5535745347,1273.24067485542,1397.84723843715,1529.15904466569,1666.8594299411,1810.5167723341,1959.58411873166,2113.40293443802,2271.21112434898,2432.15551728679,2595.3085779604,2759.68875780779
21,Hawaii,25.6140978353542,27.8819644062662,30.3936435823337,33.2025939693228,36.3430214997453,39.8530734117575,43.7749410271433,48.1552747307553,53.0455885375247,58.5026645703495,64.5889613746041,71.3730194894383,78.9298533418711,87.341315162059
22,Indiana,2901.80258551141,2991.15615898873,3096.98698704847,3222.01988310256,3369.37327257882,3542.54555044955,3745.39377633909,3982.09164957837,4257.05119298366,4574.7964557573,4939.77913876882,5356.12891144205,5827.33703198668,6355.88150248421
23,Kentucky,691.191778325241,724.07733325571,770.393525250034,835.073676519817,926.342759884426,1053.98284922825,1232.50949172325,1481.12710818032,1825.55290272171,2299.38164948811,2944.7754278771,3812.15903823559,4956.96810317307,6432.16464766132
24,Minnesota,1604.62424101389,1626.93746362043,1640.55925537074,1648.08180145288,1652.24772398545,1654.55390407836,1655.83021908717,1656.53650479683,1656.92733390142,1657.14359862112,1657.26326723571,1657.32948469365,1657.36612536627,1657.38640002931
25,Oklahoma,481.614136595606,517.835799483048,555.035744458983,596.250664065491,643.756845739879,698.268604393465,760.620490932505,831.676250886546,912.305678542211,1003.35539073713,1105.60948101828,1219.74102995253,1346.25584543042,1485.4309803658
26,Pennsylvania,7119.08337460845,7226.57029322052,7350.57636584824,7492.82606897791,7656.69253478261,7844.83458432205,8060.85856952068,8308.65574042288,8592.53141218138,8917.39141235765,9288.58920295026,9712.0553733253,10194.2518295081,10742.156235917
27,South Carolina,1382.05548740163,1631.2997825089,1895.17415324994,2171.29995675342,2459.22549684396,2759.05937923681,3070.01466333122,3391.54996119629,3722.85249035132,4063.02703410546,4411.04598202894,4765.77336802909,5125.97498819483,5490.33440343555
28,District of Columbia,587.992065363266,603.547185419376,625.741117845454,657.518772674312,702.874323349101,767.336259953005,858.458167702862,986.238838950218,1163.45097196944,1405.46098394718,1729.09399433517,2149.90580143149,2677.49100891592,3309.39567204505
29,Kansas,328.178298658233,344.727967678568,361.114948635259,378.753812616975,397.67043191825,417.907533258581,439.508369018541,462.510201741473,486.942108678906,512.823435472105,540.162293712297,568.954099006002,599.180210600226,630.806738196508
