id,Country,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18
0,Washington,1419.53221491638,1430.18264429508,1441.14434003563,1452.38055291261,1463.84747224938,1475.60736221647,1487.68952799687,1500.08783036093,1512.99195178919,1526.52712122326,1540.60645909031,1555.13024409356,1569.96337133143,1585.04484547032,1600.5174579046,1616.25450450988,1632.04152792544,1647.94683417121,1664.02762278685,1680.34311464612,1696.92319418338,1713.69906461183,1730.68521513616,1747.85555109369,1765.2301167794,1782.82169443537,1800.6363877466,1818.67232221854,1836.92285754141,1855.39068168219,1874.07670868779,1892.98590045937,1912.12095175636,1931.48304114817,1951.07260621585,1970.89042873304,1990.93839981857,2011.21828769822,2031.73198502158,2052.48092128247,2073.46633330581,2094.68946348698,2116.15167144583,2137.85439990487,2159.79902108185,2181.98684456337,2204.41908937911,2227.09693975379,2250.02156869867,2273.19413548258,2296.61576605586,2320.28753567587,2344.21047189414,2368.38555681174,2392.81373383541,2417.49590711766,2442.43293739813,2467.62563761051,2493.07477076095,2518.78105008448,2544.74513878162,2570.96764938266,2597.44914201472,2624.19012249961,2651.19104079292,2678.45228984956,2705.97420464062,2733.75706100516,2761.80107437527,2790.10639841118,2818.6731236964,2847.50127652677,2876.59081775669,2905.9416416477,2935.55357469729,2965.42637446979,2995.55972844839,3025.95325292475,3056.60649192298,3087.51891614912,3118.68992196134,3150.11883036386,3181.80488603061,3213.74725636322,3245.94503058473,3278.39721886921,3311.10275150702,3344.06047810753,3377.26916684146,3410.7275037252,3444.43409194891,3478.38745124953,3512.5860173301,3547.02814132676,3581.71208932498,3616.63604192684,3651.7980938706,3687.1962537042,3722.82844351378,3758.69249870867,3794.78616786411
1,Illinois,7371.001179375,7413.93166365927,7457.46148244337,7502.16850707436,7548.09867058963,7595.41729559283,7644.23276264067,7694.63357896465,7747.08691616321,7801.73382214705,7857.92474412624,7915.72369123025,7975.20511061648,8036.50045059493,8099.71527127532,8164.56502477184,8231.3519814829,8300.19396839383,8371.16778310357,8444.35286340223,8519.82088677896,8597.64014274348,8677.87699943152,8760.56208720989,8845.71609285893,8933.41919919396,9023.75287708663,9116.79906342983,9212.63513077819,9311.33577988076,9413.0074437098,9517.73896068543,9625.61639920621,9736.72643900987,9851.15618065768,9968.99386053412,10090.3292407478,10215.2539021808,10343.8645527419,10476.264344998,10612.55815615,10752.8526100168,10897.2561729643,11045.8797021242,11198.8368726434,11356.241600296,11518.2095982166,11684.8587572421,11856.3092604426,12032.6837232284,12214.1072812744,12400.7076502915,12592.6151637373,12789.9625218228,12992.8844015349,13201.5174473118,13416.000257681,13636.4733609739,13863.0791394607,14095.9617081745,14335.2670081395,14581.1427696268,14833.7384376524,15093.2050797081,15359.695272005,15633.3629670162,15914.363343263,16202.8526378463,16498.9879854355,16802.9272764371,17114.8290028214,17434.8520910013,17763.1557217218,18099.8991404604,18445.241461586,18799.3414472863,19162.35727059,19534.4462645891,19915.7646584345,20306.4673010662,20706.707373493,21116.6360904366,21536.402392193,21966.1526256207,22406.0302120088,22856.1753021246,23316.7244188441,23787.8100878226,24269.5604564247,24762.0989008956,25265.5436233966,25780.0072398798,26305.5963596982,26842.4111578843,27390.5449410435,27950.0837078274,28521.1057049731,29103.6809799153,29697.8709311553,30303.7278578603,30921.2945102574
2,California,6963.98402041667,7073.84506838235,7188.26795869144,7306.1323933411,7428.36816868785,7555.91527825663,7687.02583467931,7821.26692180586,7961.23881758248,8105.15423649035,8254.93441776067,8409.91608193871,8569.76272246673,8737.47122534132,8917.79714820528,9105.98474028761,9304.51370613094,9511.86468108818,9728.77681174472,9955.47731304805,10190.8889978832,10432.724370456,10685.3775763317,10948.9854575775,11225.0007266027,11514.0806879748,11817.2027085768,12135.4706246794,12469.0482366727,12816.4801974101,13178.4107552186,13554.9427102489,13946.857105689,14354.9113986522,14780.0294015145,15223.6277654126,15687.6770702355,16172.8044847988,16679.7469309868,17208.9274564695,17760.790861795,18335.724990846,18934.069283318,19556.4389828547,20204.2149596755,20878.761657018,21581.5734726191,22314.0497081309,23077.5044481876,23873.1160579472,24701.8055745806,25564.1743133345,26460.9757931708,27393.0853459678,28361.5967105756,29367.7931864705,30413.1385619902,31499.2550258786,32627.8028595837,33800.239642295,35017.8570699683,36281.7785676511,37593.0270804926,38952.5835295704,40361.4533943329,41820.7538801194,43331.7875387791,44895.9615852321,46514.7226554335,48189.471335161,49921.4984917827,51711.9368832641,53561.7322084034,55471.6581703441,57442.3970474912,59474.5944000127,61568.8998118492,63725.9753532933,65946.4789822842,68231.0250600119,70580.1224294491,72994.102314729,75473.08054293,78016.9449417701,80625.3684608545,83297.8366086747,86033.6808878164,88832.1098532362,91692.2251123262,94613.0083437142,97593.2918919915,100631.721016722,103726.719058203,106876.462788797,110078.872903017,113331.622705721,116632.163363708,119977.753649135,123365.486570404,126792.30701937,130255.018848508
3,Arizona,2083.91427964077,2130.3054342738,2176.53474190841,2222.91932991517,2269.97846908575,2317.57444185836,2366.01313183666,2415.02931746103,2464.56559597846,2514.75023451748,2565.41248281134,2616.31174687774,2667.47121684956,2718.80926222733,2770.4301380505,2822.35178444663,2874.47578099308,2926.89551431582,2979.69234357716,3032.82918811592,3086.34265683335,3140.16665458938,3194.28902037065,3248.68989577548,3303.34039313517,3358.22232653012,3413.3342856335,3468.67303059038,3524.24122618863,3580.03394033109,3636.04454895182,3692.27337192937,3748.71379723336,3805.35266963811,3862.17867378817,3919.17695310193,3976.33652079231,4033.64651944649,4091.09680411027,4148.67866219098,4206.38412741136,4264.20479377998,4322.13192043289,4380.15597369211,4438.2671310233,4496.45538653316,4554.71002521745,4613.02008225808,4671.37480642957,4729.76354016113,4788.17598669403,4846.60195263544,4905.03134636846,4963.45413371703,5021.86023825232,5080.23948433558,5138.58162223916,5196.87634732078,5255.1133535445,5313.28235418106,5371.37309618574,5429.37541362418,5487.27925160578,5545.07465841075,5602.75178570531,5660.30086948174,5717.71222814564,5774.97626052566,5832.08344686225,5889.02435691335,5945.78966261608,6002.37014976714,6058.75672908272,6114.94044416529,6170.91247850227,6226.66416188741,6282.18697345404,6337.47254318295,6392.51265403363,6447.29924416758,6501.82441063225,6556.08041339527,6610.05967975973,6663.75480897922,6717.15857659055,6770.26393813012,6823.06403226471,6875.55218334419,6927.7219035561,6979.56689472538,7031.08104977807,7082.25845408438,7133.09338678149,7183.58032203342,7233.71393021992,7283.48907895099,7332.90083387361,7381.94445923325,7430.61541816259,7478.90937270115,7526.82218357259
4,Massachusetts,8286.87845304219,8306.22299699893,8325.89349519871,8345.73486885514,8365.90106454656,8386.32449983134,8407.16432181047,8428.30485128357,8449.52274701694,8470.92616192454,8492.64855410305,8514.64394628013,8537.00473367144,8559.66178114535,8582.72635743778,8606.33913098442,8630.47415743035,8655.10741706314,8680.26595611681,8705.91590091005,8732.13394192117,8758.95286640248,8786.32457733842,8814.27757289797,8842.82085479016,8871.96855100317,8901.73277233813,8932.13276879452,8963.17885116014,8994.87782787497,9027.24503186911,9060.29373929598,9094.03787975722,9128.49134074807,9163.66827413334,9199.58202769345,9236.24640869799,9273.67629867032,9311.88649548698,9350.89201937573,9390.70804543119,9431.34993366385,9472.83321610565,9515.17374775725,9558.38768473851,9602.49136363124,9647.50134182912,9693.43439662708,9740.30753461993,9788.13799787153,9836.94327301547,9886.74107832922,9937.5493521785,9989.38625836329,10042.2701860112,10096.2197495724,10151.2537873342,10207.3913587258,10264.6517397742,10323.0544198375,10382.6190995999,10443.3656879055,10505.314298096,10568.4852437594,10632.8990340296,10698.576368554,10765.5381323646,10833.8053904406,10903.3993817189,10974.3415126491,11046.6533502987,11120.3566150316,11195.4731727642,11272.0250267858,11350.0343090924,11429.5232712074,11510.5142744966,11593.0297799714,11677.0923375722,11762.7245749192,11849.9491855159,11938.7889163897,12029.2665551603,12121.4049165287,12215.2268281791,12310.7551160833,12408.0125891991,12507.0220235553,12607.8061457147,12710.3876156106,12814.7890087518,12921.0327977915,13029.1413334567,13139.1368248363,13251.0413190259,13364.8766801303,13480.6645676246,13598.4264140769,13718.1834022365,13839.9564414937,13963.7661437179
5,Wisconsin,813.416284247555,818.065986752414,822.946673256965,828.150575077249,833.659840990804,839.482855662722,845.57012252164,851.933812855602,858.543633681041,865.427443723915,872.465152942229,879.643237682605,886.999564174502,894.52344873175,902.108243823814,909.759372435699,917.441849732939,925.188681672309,932.993317771879,940.805784320132,948.621709406253,956.494182150828,964.408184788559,972.358789541328,980.346737837519,988.368074380003,996.419224698176,1004.50336767571,1012.62477774085,1020.78062671789,1028.96986101524,1037.19199100398,1045.44634846337,1053.73274327167,1062.0514770269,1070.40243307759,1078.78485715978,1087.19829666148,1095.64238650953,1104.11677994164,1112.62117705619,1121.1552622123,1129.71863045952,1138.31083533176,1146.93147530318,1155.58015653851,1164.25648131857,1172.9600448328,1181.69042737705,1190.44719449623,1199.22990779733,1208.03813039557,1216.87142063188,1225.72933027851,1234.6114041616,1243.51718019359,1252.44619053803,1261.39796292056,1270.37202056513,1279.36788133436,1288.38505765424,1297.42305668722,1306.48138058449,1315.55952676961,1324.65698809456,1333.77325282906,1342.90780465738,1352.06012279878,1361.22968215583,1370.415953459,1379.61840339548,1388.83649471542,1398.06968633092,1407.3174334305,1416.57918761038,1425.85439700701,1435.14250642719,1444.44295747575,1453.75518868287,1463.07863563421,1472.41273110524,1481.75690519816,1491.11058547933,1500.47319711721,1509.8441630211,1519.22290398115,1528.60883881,1538.0013844857,1547.39995629564,1556.80396798112,1566.21283188268,1575.62595908622,1585.04275956983,1594.46264235128,1603.88501563607,1613.30928696593,1622.73486336755,1632.16115150176,1641.58755781276,1651.01348867764,1660.43835055582
6,Texas,3090.07660767435,3179.12616738706,3272.58476418893,3370.22994335518,3473.24320393108,3580.64333390505,3692.65084346757,3809.22839755991,3929.71874358622,4054.10593636516,4183.48591543249,4316.10354412219,4453.70890331111,4595.75026379838,4742.28435413155,4897.0597697674,5060.01643653273,5230.76119238452,5410.69248553945,5599.12975998884,5797.13412000366,6005.44197399163,6222.04082451585,6447.93616227835,6683.63592015785,6929.58749427414,7186.45198144582,7454.77996475718,7735.22640802151,8028.50049694225,8335.00946896711,8655.20203022574,8989.60498123155,9338.65462876405,9702.89143776902,10082.799074393,10478.8304156815,10891.6724734519,11321.9735864394,11770.3877858844,12237.580599502,12724.2089144256,13230.9302247325,13758.3920663613,14307.2253323387,14878.0709644168,15471.5762081598,16088.3869364375,16729.1554336985,17394.5302141691,18085.1603025091,18801.6973786415,19544.7729128653,20314.9992255887,21112.9664346062,21939.238619447,22794.3515607348,23678.8094623584,24593.0824124893,25537.6042877038,26512.7680995712,27518.9213818921,28556.3620091059,29625.3330736308,30726.0184178307,31858.5375670731,33022.9402371081,34219.2026717637,35447.2237990395,36706.821583237,37997.7296738302,39319.5942513506,40671.9711888718,42054.3235021615,43466.0190844886,44906.3289736464,46374.4261892805,47869.3851422776,49390.1817314887,50935.6941084187,52504.7041907677,54095.8999895104,55707.8786230688,57339.1500482757,58988.1415023989,60653.2026368689,62332.6113253209,64024.5801137147,65727.263276702,67438.7644394057,69157.1447002074,70880.4311826529,72606.6259407494,74333.7151302512,76059.6783579175,77782.4981135596,79500.1691846672,81210.7079635646,82912.1615567259,84602.6166089949,86280.2077603016
7,Nebraska,285.90503289846,287.811392237075,289.708997073116,291.611111804856,293.539490045363,295.514028392012,297.541624332019,299.564975664713,301.573205583324,303.561538904557,305.535546675736,307.516451934184,309.51460091059,311.509433787574,313.52082063382,315.581153109998,317.687914783459,319.83595793511,322.001628490332,324.171610729156,326.360470538499,328.571152006051,330.779857423124,333.000972647279,335.239757117029,337.500859203187,339.785624103282,342.0936434941,344.427447320512,346.787769244909,349.170672797945,351.573085698927,353.99261449653,356.429481793774,358.885389125748,361.36057381455,363.855115850346,366.371629373331,368.911134257445,371.473980802279,374.059918493495,376.668556099066,379.299619463892,381.952569619535,384.626768989556,387.322103721161,390.038831191774,392.777490311549,395.538609045873,398.322541798148,401.129620227793,403.960154030374,406.81416015176,409.691543622893,412.592182319481,415.51600370708,418.463001294554,421.433216108774,424.426765318122,427.443854962085,430.484713675755,433.549549010241,436.638515634417,439.75171664112,442.889222729498,446.051075609999,449.237293055733,452.447903032593,455.682957048752,458.942532950815,462.226728147119,465.535650871005,468.869413997329,472.228125780256,475.611879105444,479.020748965383,482.454795071274,485.914068037526,489.398615355594,492.908485188458,496.443729655831,500.00440724803,503.590581236783,507.20231649209,510.839676001191,514.502718259884,518.19149576845,521.906054301835,525.646433280892,529.412667402483,533.204788521059,537.022827176735,540.866813368446,544.736776605838,548.632745490814,552.55474690121,556.502804907473,560.476939890526,564.477168048023,568.503501318644,572.555947613313
8,Utah,208.551829522857,212.131945742485,215.718274474633,219.291252973833,222.878374831027,226.490611042323,230.136641469539,233.786055737383,237.482394175275,241.2309533555,245.034524435549,248.866592596173,252.723977824595,256.612197009781,260.55340577309,264.516323894386,268.506860036603,272.526607880782,276.578770884819,280.664702183871,284.785020703244,288.939729141964,293.1311400033,297.358431883071,301.620317544625,305.915200786079,310.243380361183,314.605418170549,319.001498504236,323.430137308695,327.892112454808,332.387811325807,336.9175291704,341.481340398176,346.079221984246,350.711101803466,355.376901732359,360.076362905784,364.809268815505,369.575483723985,374.374981960301,379.20771298603,384.073579736923,388.972463709058,393.904349175545,398.869160304779,403.866786167101,408.897085087763,413.959898993755,419.055059555334,424.182391145668,429.341710770296,434.532841081661,439.75560763158,445.009833036793,450.295328525733,455.611894985205,460.959325703785,466.337407434229,471.745912237563,477.184600919711,482.653224846986,488.151527568749,493.679245487959,499.236108121516,504.821838158039,510.436151525061,516.078756494045,521.749352925452,527.447631894019,533.173275916003,538.92595911497,544.705347195832,550.511097338474,556.342858689409,562.200272634041,568.082972954197,573.990585877017,579.922730077867,585.87901666442,591.859049155596,597.862423454345,603.8887278847,609.937543287328,616.008443149615,622.100993728353,628.214754169026,634.349276635559,640.504106457189,646.678782249621,652.872836024782,659.085793296782,665.317173191746,671.566488565169,677.833246128663,684.116946587103,690.417084787329,696.733149874478,703.064625452184,709.410989744374,715.771715759281
9,Oregon,232.878571760682,235.710448656932,238.579531738875,241.48985378674,244.469302096155,247.529387864754,250.698346838958,253.996092780264,257.450710062717,260.982965956823,264.589932941218,268.267331562056,272.013658237482,275.831598664906,279.727338896201,283.708845157232,287.787324923296,291.967805426213,296.255394262013,300.653258813452,305.163854056459,309.787441148258,314.522609305792,319.365441090187,324.318413679994,329.384458813155,334.56711549885,339.870345471676,345.298213114848,350.854597257535,356.543024720799,362.366366258644,368.3273044172,374.428310732382,380.671792189361,387.060145914059,393.595943904121,400.282088984814,407.122054380631,414.119390085686,421.277690584585,428.600546978978,436.091510714389,443.75408133827,451.591717553926,459.607863208497,467.806001037219,476.189671442548,484.762494739242,493.528182875196,502.490547497811,511.65349310024,521.020996445018,530.597064099238,540.385728014275,550.391043441401,560.617090683988,571.067980024936,581.747858067337,592.660913648572,603.81138204185,615.203544982721,626.841729105543,638.730302370064,650.87366919706,663.276264514529,675.942547876137,688.876998806773,702.084115305427,715.568412579596,729.334421835125,743.386688806306,757.729771741232,772.368238681929,787.306664019362,802.549624408769,818.101694341893,833.967441482153,850.151421912174,866.658175395307,883.492220744159,900.65805130013,918.160130432644,936.00288679977,954.19070933424,972.727941930765,991.618877834875,1010.86775375724,1030.47874375265,1050.45595290755,1070.80341087676,1091.52506528876,1112.62477503189,1134.10630342287,1155.97331125062,1178.22934968072,1200.87785300423,1223.92213122133,1247.36536247065,1271.21058531893,1295.46069092927
