id,Country,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07
0,Washington,1328.39586034325,1337.18177943498,1346.37032643577,1355.90364103809,1365.72705804081,1375.98877351312,1386.57380446592,1397.22798519589,1408.1533941287,1419.53200920589,1431.30505766495,1443.14033150668,1454.85660845227,1466.69436294363,1478.0766551789,1489.56870849834,1500.86610740372,1512.01183107187,1522.9484277066,1533.82349389703,1544.61050032667,1556.15542175956,1567.75088927555,1579.3804806841,1591.01347546311,1602.62131834857,1614.19779758463,1625.74941875113,1637.26562087295,1648.7766654247,1660.27417101138,1671.77129393853,1683.27898529992,1694.81311509608,1706.3799595476,1717.98813277599,1729.58581094334,1741.1686152544,1752.73305795313,1764.27761713183,1775.80271222175,1787.30922788793,1798.79763953754,1810.26920529528,1821.7231348101,1833.1591850566,1844.57616196459,1855.97201410433,1867.34342641031,1878.68641819527,1889.99613450806,1901.27106487697,1912.50990888773,1923.71152661084,1934.8748109211,1945.99855340226,1957.0814057299,1968.12189968159,1979.11838492875,1990.06915899843,2000.97242550023,2011.82635440246,2022.62913961737,2033.37908856316,2044.0746757415,2054.71461415314,2065.29763841932,2075.82249156397,2086.28791442082,2096.69264317565,2107.03541598443,2117.31498262132,2127.53011332171,2137.67961242161,2147.7623240172,2157.77714084855,2167.72300960661,2177.59893262791,2187.40396356746,2197.1371991421,2206.79776548963,2216.38481846091,2225.89754482837,2235.33516428664,2244.69693174304,2253.9821393016,2263.19011772009,2272.32023736458,2281.37190830953,2290.3445800646,2299.23774068828,2308.05091549196,2316.78366555294,2325.43558642985,2334.00630735671,2342.49549130569,2350.90283503778,2359.22806907926,2367.47095756712,2375.63129793631
1,Illinois,6927.79570414538,6953.45487123429,6979.34492443907,7005.85107535801,7032.97556660546,7060.44469100952,7088.34692162559,7115.37018120205,7141.89423469861,7167.5708089557,7192.23365124199,7215.84810921781,7238.6022651479,7260.74372904294,7283.09963760634,7305.35819407061,7327.18902506503,7348.29668172467,7368.45961118294,7387.65065869577,7405.82166009385,7423.56810578492,7440.82037669953,7457.62049026512,7474.01208676441,7490.02541424648,7505.67157924328,7520.9398421958,7535.78921595603,7550.15558620188,7563.99953937942,7577.31987935688,7590.15000938096,7602.54886147622,7614.57897144518,7626.30647938841,7637.73216402928,7648.85752673499,7659.67582342772,7670.17581856811,7680.34666702005,7690.18242951281,7699.6846119365,7708.86557664943,7717.74417816802,7726.3433499745,7734.68538922839,7742.78800604631,7750.66179804895,7758.3104101597,7765.73094166065,7772.92168987727,7779.8827135605,7786.61706885289,7793.13118741971,7799.43436370832,7805.53753495451,7811.45182648308,7817.18679720448,7822.74991470874,7828.14632778728,7833.37923844444,7838.45070833312,7843.36266544867,7848.11776916801,7852.72008634947,7857.17480912024,7861.48786531905,7865.66538289891,7869.71315498514,7873.6362386495,7877.43877819773,7881.12406171244,7884.69482161066,7888.15355859098,7891.50284867225,7894.74555858218,7897.88492617926,7900.92449949421,7903.86797138944,7906.71895232142,7909.48080200271,7912.15653285195,7914.74879805142,7917.25995482,7919.69217585413,7922.0475721957,7924.32829368358,7926.53657636309,7928.67474051802,7930.74514827637,7932.7501384948,7934.69195999931,7936.57272216553,7938.39437441321,7940.15871853593,7941.86744261284,7943.52216434958,7945.1244713232,7946.67594833228
2,California,6070.84871351156,6165.42623831881,6264.91298445222,6367.83785712546,6473.02563525807,6580.95925515376,6691.90351793215,6795.99894167662,6894.77901418515,6988.51543282849,7077.48798284076,7161.76682421854,7241.28321355923,7312.95025832215,7383.12031103492,7449.08432311467,7511.05933288853,7569.24311023619,7623.80404280517,7674.90443658074,7722.60478079718,7767.74897173746,7810.08176464142,7849.76651887294,7886.95937849506,7921.81074272188,7954.4679985873,7985.07596505177,8013.78799401075,8040.6806694299,8065.8665437029,8089.45204419403,8111.53766235603,8132.21799556042,8151.58148844927,8169.71009263485,8186.6776670756,8202.55752433184,8217.418469557,8231.32500710481,8244.33754543818,8256.51261653641,8267.90314436595,8278.5587768296,8288.52642551986,8297.85004110095,8306.57079374184,8314.72724912935,8322.35553994727,8329.48953092089,8336.16097155671,8342.3996285011,8348.23337289117,8353.6883008467,8358.7888468214,8363.55788959879,8368.01685069872,8372.18578513224,8376.08346506435,8379.72745787169,8383.13420290307,8386.31908324844,8389.29649278163,8392.07989878999,8394.68190055962,8397.11428432846,8399.3880750006,8401.51358489453,8403.50045935939,8405.35771947347,8407.09380203176,8408.71659701664,8410.23348272567,8411.65135870329,8412.97667659611,8414.21546903362,8415.3733766647,8416.45567347035,8417.46729046349,8418.4128378767,8419.29662593093,8420.12268427173,8420.89478015561,8421.61643546707,8422.29094264082,8422.92137955873,8423.51062348645,8424.06136411044,8424.57611573254,8425.05722867596,8425.5068999534,8425.9271832444,8426.31999822645,8426.68713930106,8427.03028375391,8427.35099938527,8427.65075164502,8427.93091030417,8428.19275569283,8428.43748453256
3,Arizona,1632.47735351548,1668.31864249892,1705.0481324353,1743.02152836397,1781.30066469149,1819.445557371,1859.10268668489,1902.60672635211,1946.51486405069,1990.70747124166,2035.07723281099,2079.58792143674,2124.19865764832,2168.83221534522,2213.46050183132,2258.24961533117,2303.08520717147,2347.88758211071,2392.54742433296,2437.02486736873,2481.31272134868,2525.28072390254,2568.62314543976,2611.27729663214,2653.18894123615,2694.31128908766,2734.60032886188,2774.01470607319,2812.51798462881,2850.0762048818,2886.6462653122,2922.19243009399,2956.68402840952,2990.09720962038,3022.4105757457,3053.60311530091,3083.66149018613,3112.59031409744,3140.3979367203,3167.09585975937,3192.69823775008,3217.22164776959,3240.68489708781,3263.10872570891,3284.51562327192,3304.93024274226,3324.37900817451,3342.88985806136,3360.49191077126,3377.21536425459,3393.09150936919,3408.15238587173,3422.42993370427,3435.95584690689,3448.76145913785,3460.87765509151,3472.33479401754,3483.16264217899,3493.39031837557,3503.04624726351,3512.15809268032,3520.7527064522,3528.85608602506,3536.49334421982,3543.6886802317,3550.46534649681,3556.84562744449,3562.85085308296,3568.50141638536,3573.81679320496,3578.81556372277,3583.51543504717,3587.93326474319,3592.0850848938,3595.98612651176,3599.65084533217,3603.09294850964,3606.32542202556,3609.36055845929,3612.20998523886,3614.88469371862,3617.39506873889,3619.75091730964,3621.96149635608,3624.03553950743,3625.98128294305,3627.80649031761,3629.51847678868,3631.12413217933,3632.62994330968,3634.04201548141,3635.36609311193,3636.60757951703,3637.77155584924,3638.86279918897,3639.88579976583,3640.84477729589,3641.74369647471,3642.58628166545,3643.37603082036
4,Massachusetts,8116.25515428355,8137.24746752774,8156.50592826781,8173.8937671338,8188.27829160412,8199.46803947225,8207.9101533875,8215.5421483364,8222.19241966534,8227.88048129495,8232.65863714099,8236.59174324114,8239.82472976491,8242.52487677613,8244.84058724991,8246.8004435772,8248.44640075402,8249.82189085823,8250.96973175615,8251.93125047326,8252.74083180107,8253.42396387108,8253.9979093607,8254.47917061549,8254.88254531189,8255.22091443306,8255.50515577885,8255.74411017934,8255.94490983215,8256.11345915177,8256.25490279745,8256.37362580993,8256.4733168734,8256.55704996214,8256.62737721235,8256.68643024969,8256.73600632992,8256.77762808398,8256.81257596203,8256.84192283472,8256.86656667636,8256.88725997299,8256.90463488631,8256.91922332493,8256.93147259784,8256.94175811969,8256.95039479617,8256.95764685709,8256.96373616161,8256.96884909255,8256.97314222918,8256.97674705734,8256.97977394785,8256.98231555156,8256.98444966004,8256.9862416002,8256.98774623373,8256.98900962925,8256.99007046702,8256.99096122262,8256.99170916384,8256.99233718717,8256.99286451902,8256.99330730367,8256.9936790969,8256.99399128078,8256.99425341235,8256.99447351636,8256.99465833106,8256.99481351442,8256.99494381727,8256.9950532287,8256.99514509823,8256.99522223832,8256.99528701055,8256.99534139786,8256.99538706526,8256.99542541081,8256.99545760842,8256.9954846438,8256.9955073446,8256.99552640578,8256.99554241089,8256.9955558499,8256.99556713423,8256.99557660935,8256.99558456533,8256.99559124572,8256.99559685505,8256.99560156504,8256.99560551987,8256.99560884063,8256.99561162897,8256.99561397026,8256.99561593616,8256.99561758688,8256.99561897293,8256.99562013676,8256.99562111399,8256.99562193455
5,Wisconsin,782.081403324094,787.277791787304,792.606419835869,798.188174065182,804.053261737403,810.259587039321,816.746568405479,823.170696153948,829.543914311714,835.730588698427,841.64261878673,847.181753565366,852.348267102973,857.155500600973,861.770495606086,866.111948059689,870.104383491118,873.664345411551,876.75870896938,879.392681620279,881.633087937628,883.690766797288,885.532521848726,887.163441672438,888.595375307155,889.848154703027,890.946014919334,891.914738514218,892.776615031574,893.538070544209,894.208845934459,894.799059549474,895.31867302001,895.776810584509,896.181322073411,896.538548661308,896.85349108009,897.131027623146,897.375626731822,897.591281630183,897.781484162696,897.949253355591,898.097202863528,898.227633581503,898.342619850179,898.44400087521,898.533395462697,898.612223434889,898.681731006873,898.743015879445,898.797048774154,898.844689010568,898.886694166358,898.923731258163,898.956387620472,898.985180899254,899.010567755683,899.032951196449,899.052686713959,899.070087635706,899.085430111988,899.098957584694,899.110884719208,899.121400828688,899.130672856312,899.138847993463,899.146056003053,899.152411289513,899.158014724554,899.162955251712,899.167311296112,899.171152005636,899.174538346389,899.177524070738,899.180156571946,899.182477637107,899.184524110313,899.186328477056,899.187919379575,899.189322071467,899.19055881869,899.191649253113,899.192610684157,899.193458373502,899.194205777306,899.194864759788,899.195445781573,899.195958065751,899.196409744292,899.196807987124,899.19715911594,899.197468704548,899.197741667347,899.197982337341,899.198194534921,899.198381628507,899.198546588023,899.198692032033,899.198820269316,899.19893333551
6,Texas,2453.09113186646,2493.52647411126,2538.22487203406,2587.40857024367,2641.63801166662,2700.9799575293,2766.56934867982,2838.04163368476,2914.79508306971,2996.57319317547,3083.10891909661,3174.8098556888,3269.94460325261,3368.71344546713,3462.37329699069,3549.64222601844,3629.07154271889,3700.11381464061,3762.14610328251,3816.89951349591,3863.37677824593,3909.2774239012,3954.02277525391,3997.35079530971,4039.00138903846,4078.71622776886,4116.21048471432,4151.25977935224,4183.62306115316,4213.40969119342,4240.78602235967,4265.98414275458,4289.26698711845,4310.93265177747,4331.21877455182,4350.4127953273,4368.49623450262,4385.47351541389,4401.35980585532,4416.18133679849,4429.97575606018,4442.79365876866,4454.69663891815,4465.75840671898,4476.05100154549,4485.64241460529,4494.59376552175,4502.95779241114,4510.77710492872,4518.08626410454,4524.90944664675,4531.27250436346,4537.20210268968,4542.72532077569,4547.86922297159,4552.66039887567,4557.12442272675,4561.28537007121,4565.16526951657,4568.78409187427,4572.15983503845,4575.30872649726,4578.24549483143,4580.98372262539,4583.53612872731,4585.91495637111,4588.13188715294,4590.19798640983,4592.12366251804,4593.91864182895,4595.59196114811,4597.1519817388,4598.60642340053,4599.96242206917,4601.22659010783,4602.40507552346,4603.50361530525,4604.52757985964,4605.48200489007,4606.37161308667,4607.20082092867,4607.97374922507,4608.69423627392,4609.36585318375,4609.99192081314,4610.57552768474,4611.11954804277,4611.626659248,4612.09935753196,4612.53997193619,4612.95067640827,4613.3335002191,4613.6903369955,4614.02295282161,4614.33299378503,4614.62199354905,4614.89138080111,4615.14248646665,4615.37655059179,4615.59472881606
7,Nebraska,271.308316746069,273.692606989513,276.101038332261,278.471127896232,280.765953994226,283.048709547533,285.364126618775,287.675283477946,289.921117316047,292.039145251998,294.06841908257,296.153075445728,298.347786864208,300.644032948858,302.800757606131,304.889352749418,306.92170694991,308.855458381587,310.590260119774,312.131892606329,313.51548382123,314.97944362604,316.426717510538,317.857134015286,319.277644507499,320.687408602284,322.062275203374,323.373494085542,324.596545217721,325.752519354982,326.846465106286,327.882264321967,328.868462972472,329.823017795441,330.761005289496,331.691425626918,332.598391827468,333.477211610542,334.323692085552,335.133356050506,335.902615061762,336.631845655564,337.325541052494,337.991332802407,338.633365447752,339.25486070752,339.858276459296,340.444844678807,341.013774972161,341.562899258647,342.089628125725,342.593574547051,343.075176700673,343.535563720913,343.976509922634,344.400236542098,344.808852490561,345.203842149627,345.585734434507,345.954634521972,346.31038732319,346.652713334634,346.981383047232,347.296446833047,347.598352477525,347.88792593778,348.166077254318,348.433684398478,348.691504940077,348.940104687267,349.17982101587,349.410799527994,349.633089145661,349.84676604503,350.051980800727,350.248979534961,350.438104248415,350.619770352015,350.794419491158,350.96246490579,351.124247431934,351.280030292969,351.430009028416,351.574331559818,351.713124884806,351.84652306891,351.9746874522,352.097812972425,352.216118928879,352.32983490264,352.439185644925,352.544377799837,352.645591184411,352.742977030615,352.836663155732,352.926763787617,353.013389012379,353.096651995914,353.176672947074,353.253579380563
8,Utah,170.599331717093,173.275581277572,176.001406843042,178.731962889409,181.437815033772,184.137093269471,186.855008263196,189.674375875803,192.53167799389,195.410646902218,198.282008883821,201.135150179331,203.98012914311,206.836738083578,209.784768896351,212.740069193143,215.702686409384,218.675291483134,221.659159367152,224.653455117277,227.650089159612,230.645852291164,233.638718431625,236.629064912272,239.618218371116,242.606728976744,245.593529391301,248.570597172629,251.536553195515,254.489924777243,257.428918783911,260.35151752736,263.255639294945,266.139730411706,269.00240195265,271.842342867325,274.658126944368,277.448127738411,280.21056988296,282.943648057089,285.646091622966,288.316659545881,290.954149142403,293.557423349508,296.125431939761,298.657221329651,301.151898918997,303.608623361028,306.026601041176,308.405097388941,310.743455407077,313.041111227967,315.297601588048,317.512528221102,319.68555902622,321.816428676429,323.90493724557,325.950947208413,327.954379581828,329.915212524645,331.833480625569,333.709274456328,335.542739306339,337.334072525591,339.083519625149,340.791369651359,342.457952955866,344.083638796217,345.668832796328,347.213974399842,348.719534430235,350.186012822252,351.613936356975,353.003856348988,354.356346261402,355.671999300215,356.951426082551,358.195252467418,359.404117606421,360.578672054563,361.719575953754,362.82749730032,363.903110299337,364.947093800932,365.960129809175,366.942902065293,367.896094710785,368.820391038119,369.716472333711,370.585016811823,371.426698632011,372.242186988571,373.032145270902,373.797230292922,374.538091588934,375.255370773109,375.949700960073,376.621706244631,377.272001238609,377.901190662339
9,Oregon,206.21117251884,208.489717247512,210.849667716816,213.261432942753,215.672633128954,218.019266227735,220.364294149024,222.909322216604,225.488073328086,228.106585428456,230.770714715602,233.480812603707,236.235101644093,239.027885270835,241.855076627675,244.7285267832,247.646355874411,250.605398603528,253.604629137116,256.647163181134,259.741505564511,262.891744609255,266.086083753213,269.325160481187,272.609174693691,275.937871879495,279.310947864335,282.72821175672,286.189902011198,289.696592995627,293.247966181169,296.843824543849,300.484203586949,304.16921929298,307.898746824542,311.671978094945,315.487720244869,319.345616811186,323.245232268463,327.186080657655,331.167657418612,335.189441946832,339.25088793117,343.351388879522,347.490248310861,351.666742065751,355.880107178481,360.129521402467,364.414093074046,368.732875055633,373.084913642006,377.469277860145,381.884997229331,386.331065323053,390.806441402435,395.310049764069,399.840778871389,404.397481156658,408.978975374034,413.584051328762,418.211470285467,422.859966240154,427.528248811883,432.215007080498,436.918912627134,441.638619119027,446.372759684502,451.119948740052,455.878783665485,460.647846458646,465.425705534271,470.210917689389,475.002030195729,479.797582842631,484.596109755448,489.39614128574,494.196205913912,498.994832046701,503.790549634,508.581891651493,513.367395690055,518.145605816702,522.915074402692,527.674363927365,532.422048757485,537.156716890327,541.876971646668,546.581433301933,551.268740655402,555.937552549655,560.586549332584,565.21443425813,569.819934830023,574.401804098382,578.958821916391,583.489796147893,587.993563804881,592.468992113907,596.914979509815,601.330456555214
