id,Country,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16
0,Washington,2199,2258,2325,2395,2470,2549,2632,2716,2801,2884,2964,3040,3111,3175,3233
1,Illinois,9221,9444,9679,9997,10223,10429,10610,10764,10892,10995,11077,11140,11189,11227,11255
2,California,16556,17032,17526,17945,18315,18633,18901,19121,19299,19441,19554,19642,19711,19765,19806
3,Arizona,5770,5853,5933,6034,6135,6239,6339,6430,6508,6572,6621,6659,6686,6706,6721
4,Massachusetts,9601,9750,9925,10149,10426,10766,11164,11608,12074,12536,12966,13345,13661,13914,14109
5,Wisconsin,1451,1550,1658,1752,1831,1891,1933,1962,1981,1993,2001,2006,2009,2011,2012
6,Texas,16959,17634,18319,19404,19997,20483,20858,21135,21332,21468,21562,21625,21667,21695,21714
7,Nebraska,522,552,587,626,658,683,700,711,718,722,725,726,727,728,728
8,Utah,512,554,602,644,680,710,732,748,758,766,770,774,776,777,778
9,Oregon,603,635,678,736,816,918,1041,1174,1304,1419,1512,1580,1628,1661,1682
10,Florida,15249,15844,16408,17135,17591,17977,18292,18544,18742,18895,19012,19101,19168,19218,19256
11,New York,33248,33334,33446,33564,33695,33831,33967,34095,34210,34310,34392,34458,34510,34550,34580
12,Rhode Island,1130,1142,1157,1177,1194,1211,1226,1241,1253,1264,1273,1280,1285,1290,1294
13,Georgia,7357,7553,7727,7901,8033,8135,8210,8265,8303,8329,8347,8359,8367,8373,8377
14,New Hampshire,450,459,471,486,503,525,552,584,621,663,711,762,816,870,922
15,North Carolina,3763,3904,4062,4241,4395,4536,4668,4786,4890,4982,5060,5127,5183,5230,5268
16,New Jersey,16172,16214,16266,16328,16391,16458,16528,16601,16674,16747,16817,16884,16946,17003,17054
17,Colorado,2106,2148,2200,2257,2321,2392,2466,2542,2615,2684,2746,2800,2846,2884,2914
18,Maryland,3987,4012,4039,4069,4099,4128,4156,4181,4203,4221,4236,4249,4258,4266,4272
19,Nevada,1664,1719,1779,1833,1881,1921,1952,1975,1991,2002,2010,2016,2019,2021,2023
20,Tennessee,2768,2980,3211,3484,3651,3779,3873,3941,3988,4021,4044,4059,4070,4077,4082
21,Hawaii,169,185,201,223,255,301,363,443,537,638,735,820,887,937,972
22,Indiana,3771,3879,4007,4216,4534,4970,5465,5919,6257,6471,6592,6656,6689,6706,6714
23,Kentucky,1249,1305,1374,1461,1539,1610,1669,1715,1748,1772,1788,1799,1806,1811,1814
24,Minnesota,2179,2252,2332,2419,2499,2574,2642,2702,2754,2796,2830,2858,2879,2896,2909
25,Oklahoma,1100,1152,1202,1252,1289,1315,1333,1344,1351,1356,1359,1360,1361,1362,1362
26,Pennsylvania,8303,8442,8627,8850,9131,9462,9824,10189,10527,10816,11047,11221,11347,11436,11497
27,South Carolina,3546,3647,3753,3841,3921,3989,4046,4093,4131,4161,4184,4202,4216,4227,4235
28,District of Columbia,636,642,648,655,662,668,674,679,684,688,691,694,697,698,700
29,Kansas,765,826,893,954,1013,1067,1116,1158,1194,1224,1249,1268,1284,1296,1305
30,Missouri,2313,2463,2610,2835,3151,3534,3905,4194,4381,4489,4545,4574,4589,4596,4599
31,Vermont,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
32,Virginia,3351,3447,3502,3502,3502,3502,3502,3502,3502,3502,3502,3502,3502,3502,3502
33,Connecticut,4531,4548,4569,4596,4624,4655,4688,4723,4758,4794,4829,4862,4893,4922,4947
34,Iowa,1454,1532,1611,1715,1777,1827,1863,1889,1907,1919,1926,1932,1935,1937,1939
35,Louisiana,5635,5728,5825,5888,5930,5957,5974,5985,5991,5995,5997,5998,5999,6000,6000
36,Ohio,5024,5181,5371,5558,5748,5934,6109,6266,6402,6517,6611,6687,6746,6793,6828
37,Michigan,7221,7326,7445,7586,7720,7852,7978,8093,8195,8282,8355,8415,8462,8500,8529
39,Arkansas,1538,1660,1780,1900,2007,2097,2167,2220,2259,2286,2305,2318,2327,2332,2336
40,Delaware,655,668,682,704,722,739,756,771,783,792,799,804,808,810,812
41,Mississippi,3102,3201,3306,3417,3505,3578,3635,3678,3709,3731,3746,3757,3764,3769,3772
42,New Mexico,905,930,964,1019,1099,1211,1353,1509,1656,1775,1859,1914,1947,1966,1977
46,Maine,142,143,144,146,148,151,157,165,176,191,207,224,240,251,260
47,Alabama,2661,2743,2845,2914,2972,3018,3053,3079,3097,3111,3120,3127,3131,3135,3137
