id,Country,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21
0,Washington,1768,1858,1940,2024,2071,2100,2118,2129,2136,2141,2144,2146,2147,2147,2148
1,Illinois,7951,8090,8241,8401,8527,8633,8728,8809,8881,8943,8997,9044,9086,9122,9153
2,California,11290,12210,13122,14225,15195,16107,16978,17809,18599,19350,20060,20732,21366,21964,22526
3,Arizona,4468,4712,4851,5024,5200,5371,5536,5697,5852,6002,6146,6284,6418,6546,6668
4,Massachusetts,8822,8955,9086,9352,9515,9664,9823,9992,10173,10366,10571,10790,11023,11271,11534
5,Wisconsin,1032,1077,1125,1166,1205,1240,1273,1303,1332,1358,1382,1404,1425,1444,1461
6,Texas,10264,11522,12791,13884,14867,15759,16569,17302,17963,18560,19098,19582,20016,20406,20755
7,Nebraska,363,380,398,414,430,445,460,475,488,502,515,527,539,550,561
8,Utah,363,385,409,429,449,467,486,503,521,537,554,569,585,599,613
9,Oregon,390,423,453,488,512,530,544,556,565,572,578,582,586,589,591
10,Florida,9309,10350,11205,12053,12703,13248,13709,14100,14431,14711,14948,15149,15318,15461,15582
11,New York,32834,32884,32988,33058,33128,33206,33294,33392,33502,33626,33765,33920,34094,34288,34505
12,Rhode Island,1022,1028,1035,1040,1046,1051,1056,1061,1066,1071,1076,1080,1084,1088,1092
13,Georgia,4632,5032,5416,5822,6188,6533,6861,7170,7462,7737,7995,8236,8460,8670,8864
14,New Hampshire,423,424,426,426,427,427,428,428,428,429,429,429,429,429,429
15,North Carolina,2334,2465,2625,2761,2897,3041,3194,3354,3523,3700,3885,4079,4280,4489,4705
16,New Jersey,15910,15962,16014,16087,16155,16228,16311,16405,16511,16631,16766,16918,17089,17282,17499
17,Colorado,1892,1920,1943,1969,1989,2006,2022,2036,2049,2061,2072,2082,2090,2098,2106
18,Maryland,3641,3702,3785,3851,3915,3983,4055,4129,4207,4288,4372,4459,4549,4643,4738
19,Nevada,1063,1180,1282,1384,1457,1514,1559,1596,1625,1648,1666,1681,1692,1701,1709
20,Tennessee,1344,1463,1607,1731,1852,1974,2099,2224,2350,2476,2602,2728,2854,2978,3100
21,Hawaii,41,49,63,78,85,89,91,93,93,94,94,94,94,95,95
22,Indiana,3126,3219,3315,3408,3499,3590,3678,3765,3851,3935,4017,4098,4178,4255,4332
23,Kentucky,809,843,890,923,951,977,1001,1022,1042,1060,1076,1091,1105,1117,1129
24,Minnesota,1746,1794,1840,1883,1930,1978,2028,2080,2132,2186,2242,2298,2356,2414,2474
25,Oklahoma,651,701,744,781,813,839,861,879,893,905,915,922,929,934,938
26,Pennsylvania,7451,7567,7675,7788,7887,7979,8066,8147,8223,8295,8363,8426,8486,8542,8594
27,South Carolina,2236,2438,2617,2761,2881,2982,3067,3138,3197,3247,3288,3323,3352,3377,3397
28,District of Columbia,595,600,605,616,622,628,634,639,645,651,657,664,670,676,682
29,Kansas,408,431,455,486,504,516,525,531,535,539,541,543,544,545,545
30,Missouri,1372,1421,1467,1506,1538,1564,1585,1603,1618,1629,1639,1647,1654,1659,1664
31,Vermont,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
32,Virginia,2381,2456,2529,2540,2540,2540,2540,2540,2540,2540,2540,2540,2540,2540,2540
33,Connecticut,4453,4455,4461,4463,4464,4465,4467,4468,4469,4470,4471,4473,4474,4475,4475
34,Iowa,977,1026,1093,1141,1183,1222,1260,1296,1329,1361,1391,1419,1445,1470,1494
35,Louisiana,4466,4684,4859,5044,5154,5232,5290,5334,5366,5391,5409,5422,5433,5440,5446
36,Ohio,3805,3944,4075,4225,4335,4423,4497,4559,4611,4654,4691,4721,4747,4768,4786
37,Michigan,6573,6627,6681,6736,6765,6782,6792,6798,6801,6803,6805,6805,6806,6806,6806
39,Arkansas,597,662,736,771,791,804,813,819,822,825,826,827,828,828,828
40,Delaware,594,597,600,609,612,615,617,619,621,623,625,627,628,630,631
41,Mississippi,2069,2226,2403,2533,2644,2744,2832,2911,2981,3043,3097,3146,3189,3226,3260
42,New Mexico,707,729,756,775,792,807,820,832,844,854,863,871,879,886,892
46,Maine,126,128,130,131,132,132,133,133,133,133,133,133,133,133,133
47,Alabama,1915,2053,2190,2297,2388,2467,2537,2597,2650,2696,2735,2770,2799,2825,2847
