id,Country,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20
0,Washington,2619,2756,2936,3052,3101,3124,3135,3140,3143,3144,3144,3144,3145,3145
1,Illinois,11681,12598,13674,14237,14533,14676,14753,14793,14814,14825,14831,14833,14835,14836
2,California,18485,18832,19285,19608,19768,19854,19901,19926,19939,19947,19951,19953,19954,19954
3,Arizona,6439,6687,6983,7172,7287,7358,7402,7430,7448,7458,7465,7469,7472,7474
4,Massachusetts,10472,10716,11015,11211,11347,11436,11498,11541,11569,11589,11603,11612,11618,11622
5,Wisconsin,2894,3108,3361,3491,3509,3512,3513,3513,3513,3513,3513,3513,3513,3513
6,Texas,20696,21786,23109,23992,24275,24397,24449,24471,24481,24485,24487,24487,24488,24488
7,Nebraska,860,979,1118,1182,1195,1198,1199,1199,1199,1199,1199,1199,1199,1199
8,Utah,765,839,926,970,983,986,987,988,988,988,988,988,988,988
9,Oregon,791,838,897,939,964,980,991,997,1001,1004,1006,1007,1007,1008
10,Florida,17848,18313,18852,19172,19318,19393,19435,19457,19469,19475,19479,19480,19481,19482
11,New York,34167,34386,34667,34852,34968,35042,35091,35122,35143,35156,35165,35170,35174,35176
12,Rhode Island,1301,1357,1427,1467,1487,1497,1502,1505,1507,1507,1508,1508,1508,1508
13,Georgia,9173,9520,10137,10679,10755,10785,10798,10803,10805,10805,10806,10806,10806,10806
14,New Hampshire,509,528,556,579,593,603,609,613,615,617,618,619,619,619
15,North Carolina,4938,5121,5313,5444,5509,5545,5564,5574,5580,5583,5584,5585,5585,5586
16,New Jersey,16685,16887,17146,17314,17415,17477,17517,17542,17558,17567,17573,17577,17579,17581
17,Colorado,2705,2953,3271,3473,3554,3590,3605,3611,3614,3615,3616,3616,3616,3616
18,Maryland,4376,4501,4664,4780,4837,4868,4885,4894,4899,4901,4903,4903,4904,4904
19,Nevada,1969,2060,2171,2232,2251,2258,2260,2261,2261,2261,2261,2261,2261,2261
20,Tennessee,4127,4478,4962,5246,5407,5493,5546,5577,5595,5605,5611,5615,5617,5618
21,Hawaii,223,225,226,227,228,228,228,228,228,228,228,228,228,228
22,Indiana,5205,5713,6453,7737,9313,10693,11541,11954,12131,12204,12233,12244,12248,12250
23,Kentucky,1728,1830,1948,2026,2057,2072,2079,2082,2083,2084,2084,2084,2084,2084
24,Minnesota,3176,3599,4171,4505,4612,4650,4664,4669,4670,4671,4671,4671,4671,4671
25,Oklahoma,1608,1742,1923,2024,2056,2067,2071,2072,2072,2072,2073,2073,2073,2073
26,Pennsylvania,9546,9996,10590,11028,11361,11607,11795,11939,12046,12127,12187,12233,12267,12292
27,South Carolina,4214,4324,4448,4518,4544,4553,4557,4559,4559,4560,4560,4560,4560,4560
28,District of Columbia,665,673,682,684,684,684,684,684,684,684,684,684,684,684
29,Kansas,1280,1414,1579,1669,1709,1727,1737,1741,1744,1745,1745,1745,1746,1746
30,Missouri,3571,3889,4262,4456,4515,4535,4541,4543,4544,4544,4544,4544,4544,4544
31,Vermont,59,59,59,59,59,59,59,59,59,59,59,59,59,59
32,Virginia,3879,3992,4106,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128,4128
33,Connecticut,4825,4949,5111,5217,5282,5322,5348,5364,5374,5380,5384,5387,5389,5390
34,Iowa,2179,2504,2881,3037,3062,3066,3067,3067,3067,3067,3067,3067,3067,3067
35,Louisiana,6462,6638,7005,7213,7249,7257,7260,7260,7260,7260,7260,7260,7260,7260
36,Ohio,5930,6299,6787,7108,7244,7307,7336,7349,7355,7358,7359,7359,7360,7360
37,Michigan,8766,9416,10237,10680,10807,10848,10862,10866,10868,10868,10868,10868,10868,10868
39,Arkansas,2317,2472,2640,2707,2722,2726,2727,2727,2727,2727,2727,2727,2727,2727
40,Delaware,750,777,813,837,848,854,857,859,861,861,862,862,862,862
41,Mississippi,3617,3733,3860,3922,3939,3944,3946,3946,3946,3947,3947,3947,3947,3947
42,New Mexico,1323,1477,1649,1760,1829,1872,1898,1914,1924,1930,1934,1936,1938,1939
46,Maine,175,197,222,242,253,259,264,266,268,269,269,269,270,270
47,Alabama,3350,3507,3711,3836,3864,3873,3876,3877,3877,3877,3877,3877,3877,3877
