id,Country,2022-05-21,2022-05-28,2022-06-04,2022-06-11,2022-06-18,2022-06-25,2022-07-02,2022-07-09,2022-07-16,2022-07-23,2022-07-30,2022-08-06,2022-08-13,2022-08-20,2022-08-27
0,Washington,1555928,1576572,1597280,1618151,1639285,1660775,1682702,1705127,1728093,1751618,1775690,1800267,1824491,1847286,1869423
1,Illinois,3256017,3295827,3325700,3342742,3351551,3355678,3357494,3358297,3358668,3358850,3358945,3358999,3359031,3359052,3359067
2,California,9462707,9547266,9624494,9685469,9728855,9758044,9777417,9790483,9799630,9806333,9811501,9815702,9819305,9822560,9825651
3,Arizona,2039235,2047942,2058887,2072524,2089213,2109091,2131907,2156922,2182945,2208557,2232440,2253659,2270995,2284885,2295877
4,Massachusetts,1840292,1840292,1840292,1840292,1840292,1840292,1840292,1840292,1840292,1840292,1840292,1840292,1840292,1840292,1840292
5,Wisconsin,1657260,1675259,1695289,1717759,1743100,1771657,1803621,1837030,1871066,1904578,1936328,1965411,1991368,2014147,2033989
6,Texas,6897011,6917455,6935778,6951380,6964629,6975956,6985842,6994311,7001620,7008374,7014824,7021186,7027646,7034381,7041558
7,Nebraska,485766,488524,491832,495854,500797,506926,514519,523865,535293,549048,565216,582583,600660,618680,635753
8,Utah,944183,951119,961063,974692,992359,1013366,1035751,1056927,1074850,1088727,1098843,1105710,1110078,1112982,1114932
9,Oregon,751268,762535,774879,788456,803427,819946,838144,858117,879906,903474,928693,955335,982402,1008951,1035026
10,Florida,6110671,6174635,6242354,6309186,6370786,6424379,6469155,6505092,6532736,6554475,6571684,6585491,6596771,6606181,6614207
11,New York,5364082,5415765,5458831,5494963,5525903,5553168,5578058,5601628,5624722,5648082,5672402,5698374,5726779,5758710,5786901
12,Rhode Island,387730,390539,393528,396971,399741,403063,406403,409690,413057,416315,419487,422608,425651,428634,431537
13,Georgia,2541713,2541713,2541713,2541713,2541713,2541713,2541713,2541713,2541713,2541713,2541713,2541713,2541713,2541713,2541713
14,New Hampshire,320445,320445,320445,320445,320445,320445,320445,320445,320445,320445,320445,320445,320445,320445,320445
15,North Carolina,2719056,2743121,2770118,2800549,2834897,2873590,2916924,2964971,3017490,3073854,3133035,3193655,3254123,3312823,3368328
16,New Jersey,2352675,2388349,2422160,2450572,2472371,2488207,2499489,2507584,2513533,2518058,2521640,2524596,2527141,2529426,2531561
17,Colorado,1418901,1418901,1418901,1418901,1418901,1418901,1418901,1418901,1418901,1418901,1418901,1418901,1418901,1418901,1418901
18,Maryland,1070230,1086947,1106311,1128846,1155127,1185722,1221125,1261649,1307296,1357565,1409944,1463652,1516880,1567869,1615169
19,Nevada,722262,722262,722262,722262,722262,722262,722262,722262,722262,722262,722262,722262,722262,722262,722262
20,Tennessee,2043360,2047670,2052453,2057893,2064203,2071666,2080622,2091478,2104698,2120774,2140162,2163182,2189874,2219865,2252287
21,Hawaii,266579,274037,282334,291429,301221,311549,322203,332944,343536,353775,363510,372650,381157,389039,396339
22,Indiana,1721977,1721977,1721977,1721977,1721977,1721977,1721977,1721977,1721977,1721977,1721977,1721977,1721977,1721977,1721977
23,Kentucky,1344366,1344366,1344366,1344366,1344366,1344366,1344366,1344366,1344366,1344366,1344366,1344366,1344366,1344366,1344366
24,Minnesota,1494999,1508622,1520743,1530205,1537032,1541761,1545008,1547266,1548879,1550072,1550990,1551727,1552343,1552879,1553365
25,Oklahoma,1046749,1049863,1053770,1058509,1063934,1069679,1075253,1080231,1084388,1087710,1090313,1092350,1093969,1095288,1096398
26,Pennsylvania,2881201,2903063,2921658,2936056,2946804,2954948,2961434,2966966,2972054,2977103,2982476,2988552,2995749,3004524,3015314
27,South Carolina,1487728,1487728,1487728,1487728,1487728,1487728,1487728,1487728,1487728,1487728,1487728,1487728,1487728,1487728,1487728
28,District of Columbia,147295,150266,153943,158509,164177,171179,179740,190032,202101,215795,230721,246258,261666,276233,289421
29,Kansas,783600,783600,783600,783600,783600,783600,783600,783600,783600,783600,783600,783600,783600,783600,783600
30,Missouri,1452373,1460818,1470322,1481131,1493532,1507848,1524430,1543645,1565842,1591317,1620256,1652669,1688330,1726738,1767121
31,Vermont,130166,132148,133901,135353,136525,137483,138297,139032,139735,140447,141205,142041,142980,144031,145167
32,Virginia,1755290,1755290,1755290,1755290,1755290,1755290,1755290,1755290,1755290,1755290,1755290,1755290,1755290,1755290,1755290
33,Connecticut,799889,815404,830677,844560,856638,866767,875077,881840,887366,891938,895797,899137,902099,904794,907306
34,Iowa,772761,777024,782138,788318,795746,804393,814181,824755,835572,846038,855664,864175,871508,877752,883073
35,Louisiana,1184547,1189525,1195382,1202393,1210897,1221295,1234041,1249591,1268333,1290460,1315831,1343852,1362979,1378426,1390691
36,Ohio,2746362,2765217,2783087,2798039,2809365,2817436,2823040,2826932,2829679,2831668,2833152,2834295,2835205,2835954,2836594
37,Michigan,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863
38,South Dakota,239182,239724,240344,241066,241922,242951,244205,245744,247645,249991,252876,256382,260570,265450,270957
39,Arkansas,840435,842556,844939,847385,849668,851611,853149,854308,855154,855763,856200,856517,856750,856925,857058
40,Delaware,271877,276416,281986,288544,296008,304174,312692,321147,329145,336393,342733,348078,352312,355747,358523
41,Mississippi,804546,807797,811740,816643,822866,830876,841248,854623,871595,892500,917132,944523,972980,996427,1007619
42,New Mexico,529757,532949,536661,541048,546306,552689,560515,570172,581997,596163,612952,631734,651937,672854,693440
43,North Dakota,243462,244335,245320,246446,247740,249234,250956,252922,255136,257573,260177,262863,265526,268056,270371
44,Wyoming,157461,157861,158334,158903,159598,160456,161525,162859,164523,166583,169102,172116,175626,179570,183822
45,Alaska,258302,260196,262205,264351,266657,269130,271757,274497,277276,279998,282568,284915,286969,288729,290246
46,Maine,258267,258267,258267,258267,258267,258267,258267,258267,258267,258267,258267,258267,258267,258267,258267
47,Alabama,1307883,1307883,1307883,1307883,1307883,1307883,1307883,1307883,1307883,1307883,1307883,1307883,1307883,1307883,1307883
48,Idaho,449265,449265,449265,449265,449265,449265,449265,449265,449265,449265,449265,449265,449265,449265,449265
49,Montana,275146,275341,275496,275621,275724,275812,275890,275961,276029,276096,276164,276235,276312,276395,276489
50,Puerto Rico,632324,661626,687252,708427,725349,738752,749485,758302,765802,772445,778587,784521,790501,796772,803582
51,Virgin Islands,18977,19849,20754,21675,22594,23493,24351,25154,25889,26549,27131,27637,28071,28440,28750
52,Guam,48715,48900,49084,49271,49463,49664,49877,50106,50354,50627,50930,51269,51653,52092,52598
53,West Virginia,509773,513406,517004,520112,522523,524281,525542,526460,527154,527701,528094,528427,528725,529005,529282
54,Northern Mariana Islands,11317,11328,11336,11343,11348,11349,11349,11349,11349,11349,11349,11349,11349,11349,11349
55,American Samoa,6080,6125,6152,6169,6179,6186,6191,6192,6192,6192,6192,6192,6192,6192,6192
