id,Country,2022-05-21,2022-05-28,2022-06-04,2022-06-11,2022-06-18,2022-06-25,2022-07-02,2022-07-09,2022-07-16,2022-07-23,2022-07-30,2022-08-06,2022-08-13,2022-08-20,2022-08-27
0,Washington,1549655,1569892,1591985,1616177,1642616,1671300,1702752,1736626,1772443,1809575,1847214,1884459,1920421,1954333,1985623
1,Illinois,3258921,3306556,3348573,3379534,3399897,3412487,3420087,3424664,3427405,3429058,3430069,3430698,3431098,3431356,3431529
2,California,9427379,9491045,9549543,9596537,9632074,9657925,9676596,9690265,9700510,9708439,9714803,9720110,9724712,9728860,9732744
3,Arizona,2040427,2049879,2062277,2078404,2099011,2124598,2155093,2189567,2226167,2263005,2297623,2328149,2353724,2374324,2390466
4,Massachusetts,1845239,1876964,1906324,1931847,1953197,1970857,1985683,1998456,2009852,2020435,2030667,2040945,2051619,2062989,2084442
5,Wisconsin,1657411,1676297,1697903,1722807,1751413,1783895,1820753,1863620,1911832,1964990,2022324,2082667,2144549,2206355,2266504
6,Texas,6895491,6917782,6938378,6956941,6973416,6987919,7000689,7012027,7022198,7031490,7040093,7048663,7058207,7068007,7078278
7,Nebraska,486097,488713,491746,495326,499619,504826,511253,519253,529197,541490,556487,574388,595094,618107,642505
8,Utah,945099,952907,964587,981503,1004854,1036071,1074686,1116593,1156643,1190670,1217085,1236917,1252047,1263475,1272466
9,Oregon,750629,763478,778897,797391,819461,845523,875804,910212,948231,988874,1031563,1074992,1117233,1156945,1193182
10,Florida,6064855,6122036,6186582,6255593,6325011,6390652,6450161,6501712,6544892,6580357,6609225,6632719,6651992,6668027,6681569
11,New York,5362621,5417433,5465330,5507346,5544608,5578216,5609187,5638499,5667201,5696642,5728887,5789303,5893937,6009735,6116896
12,Rhode Island,388051,394719,401784,408847,415525,421566,426882,431517,435585,439223,442563,445721,448792,451842,454996
13,Georgia,2544975,2557307,2572258,2591140,2614808,2642670,2673246,2703467,2730199,2760097,2791944,2828654,2862719,2893140,2919623
14,New Hampshire,321477,324595,327333,329619,331582,333376,335095,336868,338670,340530,342588,344919,347567,350707,353887
15,North Carolina,2722409,2747218,2775504,2807981,2845422,2888607,2938229,2994758,3058267,3129910,3208853,3293830,3383040,3474151,3564566
16,New Jersey,2352295,2394383,2441953,2491930,2540435,2584043,2620740,2650081,2672739,2689891,2702779,2712480,2719845,2725511,2729941
17,Colorado,1420769,1433359,1443730,1451095,1455876,1459436,1462155,1464453,1466568,1468634,1470799,1473175,1475879,1479037,1482754
18,Maryland,1069319,1085964,1105569,1128812,1156467,1189363,1228302,1273943,1326954,1388145,1456612,1531084,1609498,1689202,1767340
19,Nevada,722262,722262,722262,722262,722262,722262,722262,722262,722262,722262,722262,722262,722262,722262,722262
20,Tennessee,2044123,2049377,2055988,2064993,2077997,2097245,2125071,2162013,2204381,2245037,2278305,2302959,2320687,2338304,2383976
21,Hawaii,267623,275427,284390,294639,306259,319263,333566,348964,365133,381658,398079,413955,428917,442703,455170
22,Indiana,1720444,1726768,1732339,1736436,1739218,1741062,1742284,1743124,1743727,1744182,1744543,1744844,1745108,1745350,1745580
23,Kentucky,1345178,1352676,1359754,1365304,1369115,1371563,1373117,1374127,1374813,1375305,1375679,1375981,1376239,1376472,1376693
24,Minnesota,1494956,1510598,1525785,1539198,1550125,1558522,1564750,1569303,1572634,1575101,1576964,1578407,1579555,1580493,1581284
25,Oklahoma,1047178,1050562,1055131,1061237,1069255,1079453,1091832,1105961,1120943,1135626,1148964,1160312,1169493,1176676,1182194
26,Pennsylvania,2885454,2913272,2941870,2969198,2993571,3014206,3031028,3044431,3055031,3063455,3070252,3075858,3080610,3084764,3088520
27,South Carolina,1489616,1494721,1497967,1499354,1499703,1499741,1499742,1499742,1499742,1499742,1499742,1499742,1499742,1499742,1499742
28,District of Columbia,147371,151013,156167,163402,173378,186720,203759,224179,246788,269692,290921,309105,323753,335076,343645
29,Kansas,784675,788332,791700,794248,795957,797013,797635,798000,798218,798352,798439,798499,798543,798577,798605
30,Missouri,1448273,1457411,1468981,1483677,1501753,1522758,1547970,1577829,1611422,1646375,1680183,1710913,1737443,1759511,1777467
31,Vermont,130601,133480,136846,140708,145015,149649,154427,159136,163573,167581,171076,174034,176481,178466,180044
32,Virginia,1757281,1776052,1791535,1801806,1807589,1810981,1812910,1814088,1814843,1815352,1815718,1815994,1816212,1816392,1816548
33,Connecticut,800075,816373,833110,849621,865278,879601,892322,903371,912832,920877,927712,933545,938563,942927,946769
34,Iowa,773380,778059,783888,791181,800150,810795,823231,837936,853798,869855,885086,898685,910227,919660,927183
35,Louisiana,1184225,1189233,1195413,1203269,1213506,1227071,1245137,1268889,1298964,1334573,1373551,1425598,1484689,1543624,1597068
36,Ohio,2748983,2766977,2782474,2793356,2799831,2803647,2805821,2807117,2807922,2808443,2808800,2809055,2809248,2809401,2809528
37,Michigan,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863,2501863
38,South Dakota,239259,239829,240509,241346,242408,243791,245628,248090,251388,255731,261255,267904,275334,282951,290109
39,Arkansas,840405,842643,845305,848253,851264,854108,856605,858666,860292,861536,862474,863179,863710,864114,864426
40,Delaware,271646,276337,282288,289732,298834,309625,322607,337537,353929,371134,388358,404817,419897,433803,445913
41,Mississippi,804624,808077,812536,818571,827031,839124,856356,880107,910630,945893,981678,1013622,1039379,1066237,1093724
42,New Mexico,529503,532600,536254,540653,546033,552697,561014,571407,584696,601584,622536,647688,678121,713947,752452
43,North Dakota,243263,244046,244944,245998,247260,248786,250635,252853,255459,258445,261765,265324,268982,272575,275961
44,Wyoming,157516,157938,158457,159115,159972,161111,162647,164723,167498,171107,175583,180773,186309,191704,196528
45,Alaska,258564,260461,262484,264685,267119,269849,272936,276446,280438,284962,290042,295666,301768,308227,314873
