id,Country,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07
0,Washington,62299,66948,71160,74937,78293,81250,83838,86088,88033,89707,91142,92368,93411,94298
1,Illinois,192229,203259,214431,225538,236378,246768,256556,265627,273906,281357,287980,293801,298867,303238
2,California,555747,608001,656564,700611,739675,773633,802638,827046,847326,863999,877589,888587,897436,904524
3,Arizona,189687,202088,212378,220805,227613,233057,237375,240777,243443,245524,247143,248399,249373,250126
4,Massachusetts,120598,123472,126512,129696,132998,136388,139830,143288,146723,150100,153384,156544,159554,162394
5,Wisconsin,59584,65480,71242,76764,81958,86759,91124,95034,98492,101512,104124,106362,108265,109873
6,Texas,491700,535207,572667,604415,631040,653167,671412,686361,698547,708437,716436,722888,728081,732252
7,Nebraska,28424,30503,32570,34579,36490,38272,39900,41363,42655,43782,44752,45577,46274,46858
8,Utah,43562,45968,47925,49500,50756,51752,52537,53154,53636,54012,54304,54532,54709,54846
9,Oregon,20975,23185,25339,27427,29443,31378,33229,34991,36662,38241,39726,41120,42423,43638
10,Florida,534828,587142,630005,663994,690266,710174,725033,736000,744028,749869,754100,757155,759355,760938
11,New York,419891,423875,427536,430888,433945,436723,439241,441515,443565,445409,447063,448545,449870,451054
12,Rhode Island,19900,21034,22440,24130,26085,28247,30522,32794,34944,36881,38546,39921,41020,41876
13,Georgia,212261,234362,254544,272567,288370,301991,313564,323277,331344,337987,343418,347833,351405,354283
14,New Hampshire,6802,6993,7178,7356,7527,7690,7846,7994,8136,8270,8397,8517,8631,8738
15,North Carolina,136931,149958,162953,175711,188081,199917,211105,221555,231209,240037,248036,255221,261627,267300
16,New Jersey,184998,188843,193330,198548,204565,211438,219205,227879,237434,247804,258880,270504,282485,294604
17,Colorado,50355,53565,56612,59473,62134,64587,66832,68869,70707,72354,73822,75125,76276,77288
