id,Country,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27
0,Washington,214265,214265,214265,214265,214265,214265,214265,214265,214265,214265,214265,214265,214265,214265,214265
1,Illinois,879428,879428,879428,879428,879428,879428,879428,879428,879428,879428,879428,879428,879428,879428,879428
2,California,1753974,1753974,1753974,1753974,1753974,1753974,1753974,1753974,1753974,1753974,1753974,1753974,1753974,1753974,1753974
3,Arizona,435036,435036,435036,435036,435036,435036,435036,435036,435036,435036,435036,435036,435036,435036,435036
4,Massachusetts,309247,309247,309247,309247,309247,309247,309247,309247,309247,309247,309247,309247,309247,309247,309247
5,Wisconsin,482443,482443,482443,482443,482443,482443,482443,482443,482443,482443,482443,482443,482443,482443,482443
6,Texas,1551749,1551749,1551749,1551749,1551749,1551749,1551749,1551749,1551749,1551749,1551749,1551749,1551749,1551749,1551749
7,Nebraska,153400,153400,153400,153400,153400,153400,153400,153400,153400,153400,153400,153400,153400,153400,153400
8,Utah,243918,243918,243918,243918,243918,243918,243918,243918,243918,243918,243918,243918,243918,243918,243918
9,Oregon,100511,103285,104056,104225,104263,104272,104274,104274,104274,104274,104274,104274,104274,104274,104274
10,Florida,1168483,1168483,1168483,1168483,1168483,1168483,1168483,1168483,1168483,1168483,1168483,1168483,1168483,1168483,1168483
11,New York,815469,815469,815469,815469,815469,815469,815469,815469,815469,815469,815469,815469,815469,815469,815469
12,Rhode Island,77290,77290,77290,77290,77290,77290,77290,77290,77290,77290,77290,77290,77290,77290,77290
13,Georgia,568396,568396,568396,568396,568396,568396,568396,568396,568396,568396,568396,568396,568396,568396,568396
14,New Hampshire,34264,34264,34264,34264,34264,34264,34264,34264,34264,34264,34264,34264,34264,34264,34264
15,North Carolina,457660,457660,457660,457660,457660,457660,457660,457660,457660,457660,457660,457660,457660,457660,457660
16,New Jersey,419330,419330,419330,419330,419330,419330,419330,419330,419330,419330,419330,419330,419330,419330,419330
17,Colorado,300414,300414,300414,300414,300414,300414,300414,300414,300414,300414,300414,300414,300414,300414,300414
18,Maryland,243984,243984,243984,243984,243984,243984,243984,243984,243984,243984,243984,243984,243984,243984,243984
19,Nevada,196379,196379,196379,196379,196379,196379,196379,196379,196379,196379,196379,196379,196379,196379,196379
20,Tennessee,493230,493230,493230,493230,493230,493230,493230,493230,493230,493230,493230,493230,493230,493230,493230
21,Hawaii,20309,21159,21946,22607,23119,23492,23750,23924,24038,24111,24158,24188,24207,24219,24227
22,Indiana,447190,447190,447190,447190,447190,447190,447190,447190,447190,447190,447190,447190,447190,447190,447190
23,Kentucky,234020,234020,234020,234020,234020,234020,234020,234020,234020,234020,234020,234020,234020,234020,234020
24,Minnesota,389171,389171,389171,389171,389171,389171,389171,389171,389171,389171,389171,389171,389171,389171,389171
25,Oklahoma,248204,248204,248204,248204,248204,248204,248204,248204,248204,248204,248204,248204,248204,248204,248204
26,Pennsylvania,534948,534948,534948,534948,534948,534948,534948,534948,534948,534948,534948,534948,534948,534948,534948
27,South Carolina,262774,262774,262774,262774,262774,262774,262774,262774,262774,262774,262774,262774,262774,262774,262774
28,District of Columbia,25830,25830,25830,25830,25830,25830,25830,25830,25830,25830,25830,25830,25830,25830,25830
29,Kansas,197931,197931,197931,197931,197931,197931,197931,197931,197931,197931,197931,197931,197931,197931,197931
30,Missouri,365678,365678,365678,365678,365678,365678,365678,365678,365678,365678,365678,365678,365678,365678,365678
31,Vermont,6351,6991,7485,7834,8063,8208,8297,8351,8383,8401,8413,8419,8423,8425,8427
32,Virginia,296093,296093,296093,296093,296093,296093,296093,296093,296093,296093,296093,296093,296093,296093,296093
33,Connecticut,160102,160102,160102,160102,160102,160102,160102,160102,160102,160102,160102,160102,160102,160102,160102
34,Iowa,262210,262210,262210,262210,262210,262210,262210,262210,262210,262210,262210,262210,262210,262210,262210
35,Louisiana,279321,279321,279321,279321,279321,279321,279321,279321,279321,279321,279321,279321,279321,279321,279321
36,Ohio,596178,596178,596178,596178,596178,596178,596178,596178,596178,596178,596178,596178,596178,596178,596178
37,Michigan,487356,487356,487356,487356,487356,487356,487356,487356,487356,487356,487356,487356,487356,487356,487356
38,South Dakota,93197,93197,93197,93197,93197,93197,93197,93197,93197,93197,93197,93197,93197,93197,93197
39,Arkansas,194543,194543,194543,194543,194543,194543,194543,194543,194543,194543,194543,194543,194543,194543,194543
40,Delaware,48768,48768,48768,48768,48768,48768,48768,48768,48768,48768,48768,48768,48768,48768,48768
41,Mississippi,187904,187904,187904,187904,187904,187904,187904,187904,187904,187904,187904,187904,187904,187904,187904
42,New Mexico,126045,126045,126045,126045,126045,126045,126045,126045,126045,126045,126045,126045,126045,126045,126045
43,North Dakota,89063,89063,89063,89063,89063,89063,89063,89063,89063,89063,89063,89063,89063,89063,89063
44,Wyoming,40593,40593,40593,40593,40593,40593,40593,40593,40593,40593,40593,40593,40593,40593,40593
45,Alaska,42856,42856,42856,42856,42856,42856,42856,42856,42856,42856,42856,42856,42856,42856,42856
46,Maine,18758,21650,23977,25556,26506,27036,27320,27468,27545,27584,27604,27615,27620,27623,27624
47,Alabama,310335,310335,310335,310335,310335,310335,310335,310335,310335,310335,310335,310335,310335,310335,310335
48,Idaho,126878,126878,126878,126878,126878,126878,126878,126878,126878,126878,126878,126878,126878,126878,126878
49,Montana,75483,75483,75483,75483,75483,75483,75483,75483,75483,75483,75483,75483,75483,75483,75483
50,Puerto Rico,65939,69428,71612,72845,73482,73805,73963,74041,74078,74097,74105,74110,74112,74113,74113
51,Virgin Islands,1921,2051,2130,2170,2187,2195,2198,2199,2200,2200,2200,2200,2200,2200,2200
52,Guam,7183,7183,7183,7183,7183,7183,7183,7183,7183,7183,7183,7183,7183,7183,7183
53,West Virginia,68485,68485,68485,68485,68485,68485,68485,68485,68485,68485,68485,68485,68485,68485,68485
