id,Country,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17
0,Washington,16789.8444595286,17105.866628135,17383.9349979052,17628.4206673125,17843.234831289,18031.8668537165,18197.4217877472,18342.6565450825,18470.0141804716,18581.6559628134,18679.4910595756,18765.2037761487,18840.2783743997,18906.021552075,18963.5827026023,19013.9720979873,19058.0771496703,19096.6769063895,19130.4549466157,19160.0108177614,19185.8701664795,19208.4936949545,19228.2850679036,19245.5978845631,19260.7418196192,19273.988027098,19285.5738918216,19295.707204258,19304.5698264869,19312.3209095943,19319.0997160676,19325.0280946844,19330.212649912,19334.7466429407,19338.7116571012,19342.1790565249,19345.2112634546,19347.8628765512,19350.1816498376,19352.2093495281,19353.9825038897,19355.5330594174,19356.8889549791,19358.0746241432,19359.1114346427,19360.0180728183,19360.8108799123,19361.5041462299,19362.1103684356,19362.6404745965,19363.1040210106,19363.5093643518,19363.8638122236,19364.1737548274,19364.4447801118,19364.6817744739,19364.8890108245,19365.070225601,19365.2286861156,19365.36724945,19365.488413958,19365.5943643029,19365.6870108417,19365.7680240651,19365.8388647135,19365.900810113,19365.9549772042,19366.0023426802,19366.0437605958,19366.0799777668,19366.1116472346,19366.1393400408,19366.1635555239,19366.1847303219,19366.203246246,19366.2194371644,19366.2335950226,19366.2459751073,19366.2568006494,19366.2662668496,19366.2745443974,19366.2817825495,19366.2881118208,19366.2936463374,19366.2984858952,19366.3027177587,19366.3064182351,19366.3096540494,19366.3124835486,19366.3149577527,19366.3171212755,19366.3190131287,19366.3206674254,19366.322113995,19366.3233789216,19366.3244850135,19366.3254522155,19366.3262979677,19366.3270375204,19366.3276842087
1,Illinois,77166.5185188979,80072.8831793356,82410.5633519904,84282.8918050812,85777.4099638454,86967.1091039418,87912.1027893411,88661.4260513284,89254.7785055212,89724.1137052527,90095.0325464303,90387.9723393977,90619.2020853853,90801.6437914604,90945.543063708,91059.0122443662,91148.4676147431,91218.9796585424,91274.552644232,91318.3471526627,91352.8567990499,91380.0483339675,91401.4725608437,91418.3520552305,91431.650479595,91442.1273190543,91450.3810821269,91456.883383511,91462.0058247325,91466.0411892273,91469.220151111,91471.7244451868,91473.6972463959,91475.2513492007,91476.475612747,91477.4400391937,91478.1997748889,91478.7982627462,91479.2697258119,91479.6411238716,91479.9336948793,91480.1641692885,91480.3457266859,91480.4887494085,91480.601416224,91480.6901700139,91480.7600861991,91480.8151629718,91480.8585499298,91480.8927281846,91480.9196522438,91480.94086178,91480.9575696768,91480.970731389,91480.9810995798,91480.9892671629,91480.9957012086,91481.0007696533,91481.0047623405,91481.0079075954,91481.0103852822,91481.0123370896,91481.0138746335,91481.0150858397,91481.0160399721,91481.0167915936,91481.0173836864,91481.0178501098,91481.0182175366,91481.0185069785,91481.0187349875,91481.0189146024,91481.0190560948,91481.019167556,91481.0192553599,91481.0193245279,91481.0193790152,91481.0194219377,91481.0194557502,91481.019482386,91481.0195033685,91481.0195198976,91481.0195329184,91481.0195431756,91481.0195512558,91481.0195576209,91481.0195626351,91481.0195665851,91481.0195696966,91481.0195721478,91481.0195740787,91481.0195755998,91481.019576798,91481.0195777419,91481.0195784855,91481.0195790713,91481.0195795327,91481.0195798962,91481.0195801825,91481.0195804081
2,California,67320.1764563139,70034.9050646473,72364.8858854559,74362.202563318,76072.5546087642,77535.8541275016,78786.8223068848,79855.5645363602,80768.1108407295,81546.9140770958,82211.3024868879,82777.8860636391,83260.918102068,83672.6144851123,84023.433941242,84322.3228175533,84576.9279801532,84793.7813573976,84978.4594453438,85135.7208421129,85269.6245990268,85383.6318918125,85480.6932380612,85563.3232255919,85633.6644749052,85693.5423395748,85744.5116516331,85787.8966441321,85824.8250288369,85856.2570718236,85883.0103918417,85905.7811038675,85925.161841584,85941.6571159408,85955.6964009746,85967.6452813406,85977.814947306,85986.4702812021,85993.8367435781,86000.1062367073,86005.4420969448,86009.9833450952,86013.8483048736,86017.1376832648,86019.9371926996,86022.3197831263,86024.347541959,86026.0733112834,86027.5420643682,86028.7920772854,86029.8559261213,86030.7613357317,86031.5319021337,86032.1877073417,86032.7458426567,86033.2208540382,86033.6251211573,86033.969180005,86034.2619974605,86034.5112049712,86034.7232974337,86034.9038024572,86035.0574244201,86035.1881670727,86035.2994378812,86035.3941368325,86035.4747320134,86035.5433239334,86035.601700269,86035.651382454,86035.6936653312,86035.7296508997,86035.7602770348,86035.7863419319,86035.808524909,86035.8274041112,86035.8434715792,86035.8571460726,86035.8687839839,86035.8786886271,86035.8871181429,86035.8942922264,86035.9003978525,86035.90559415,86035.9100165476,86035.9137803045,86035.9169835142,86035.9197096603,86035.9220297936,86035.9240043826,86035.9256848902,86035.9271151149,86035.928332332,86035.9293682654,86035.9302499141,86035.9310002564,86035.9316388479,86035.9321823322,86035.9326448737,86035.9330385276
3,Arizona,11128.6938479667,11699.5208716388,12198.7066335009,12634.6237678455,13014.8194005417,13346.0573123898,13634.3693821907,13885.1120920213,14103.0249370177,14292.2884540196,14456.5802812221,14599.1282054213,14722.7595680965,14829.946709646,14922.848353828,15003.3469903321,15073.08241794,15133.4816766184,15185.7856342596,15231.0725105855,15270.2786230947,15304.2166324921,15333.5915512658,15359.0147615087,15381.0162685474,15400.05539673,15416.5301137162,15430.7851503842,15443.1190653827,15453.7903866055,15463.0229465498,15471.0105146326,15477.920817066,15483.8990237322,15489.070771589,15493.5447853538,15497.4151484708,15500.7632705499,15503.6595914898,15506.1650572582,15508.3323977251,15510.2072329511,15511.8290308479,15513.2319360948,15514.4454875557,15515.4952391495,15516.4032971297,15517.1887850027,15517.8682458092,15518.4559901947,15518.9643975623,15519.4041766237,15519.7845908173,15520.1136533247,15520.3982957839,15520.6445142424,15520.8574954212,15521.0417259418,15521.2010868156,15521.338935183,15521.4581750217,15521.5613183127,15521.6505379512,15521.7277135173,15521.7944708679,15521.8522163853,15521.9021666035,15521.9453738351,15521.9827483391,15522.0150774966,15522.0430423984,15522.0672321925,15522.0881564964,15522.1062561322,15522.1219124141,15522.1354551812,15522.1471697463,15522.1573029067,15522.1660681433,15522.1736501187,15522.1802085668,15522.1858816582,15522.1907889116,15522.195033711,15522.1987054843,15522.2018815871,15522.2046289322,15522.2070053997,15522.2090610563,15522.2108392097,15522.2123773215,15522.213707796,15522.2148586633,15522.2158541693,15522.216715287,15522.2174601582,15522.2181044756,15522.2186618135,15522.2191439135,15522.2195609325
4,Massachusetts,77323.9716778139,78796.8177327982,79844.9853978721,80588.0157890974,81113.2765689566,81483.8615319577,81744.9549746482,81928.726250004,82057.9846704641,82148.8563613891,82212.7194117058,82257.5904543494,82289.1121225929,82311.2532946497,82326.8042028497,82337.7257820108,82345.3958149508,82350.7821883483,82354.5647573642,82357.2210203396,82359.086329941,82360.3961985273,82361.3160175403,82361.9619327794,82362.4155062257,82362.7340132166,82362.9576739759,82363.1147320452,82363.2250206027,82363.3024668677,82363.3568507706,82363.3950399369,82363.4218569202,82363.4406881906,82363.4539117779,82363.4631975696,82363.4697181847,82363.4742970533,82363.4775123999,82363.479770262,82363.4813557648,82363.4824691274,82363.4832509463,82363.4837999507,82363.4841854694,82363.484456186,82363.4846462871,82363.4847797788,82363.4848735185,82363.4849393439,82363.4849855674,82363.4850180262,82363.4850408192,82363.4850568248,82363.4850680642,82363.4850759566,82363.4850814988,82363.4850853906,82363.4850881235,82363.4850900425,82363.4850913901,82363.4850923364,82363.4850930009,82363.4850934675,82363.4850937952,82363.4850940253,82363.4850941869,82363.4850943003,82363.48509438,82363.485094436,82363.4850944753,82363.4850945028,82363.4850945222,82363.4850945358,82363.4850945454,82363.4850945521,82363.4850945568,82363.4850945601,82363.4850945624,82363.4850945641,82363.4850945652,82363.485094566,82363.4850945666,82363.485094567,82363.4850945673,82363.4850945675,82363.4850945676,82363.4850945677,82363.4850945677,82363.4850945678,82363.4850945678,82363.4850945678,82363.4850945678,82363.4850945678,82363.4850945679,82363.4850945679,82363.4850945679,82363.4850945679,82363.4850945679,82363.4850945679
5,Wisconsin,10088.6055442366,10534.5655064408,10926.0016793656,11269.1009170003,11569.4639150853,11832.1316529575,12061.6190191221,12261.9526352509,12436.7106058547,12589.0625157293,12721.8084802332,12837.4164360122,12938.0571558638,13025.636695361,13101.8261440895,13168.0886728957,13225.7039506499,13275.7900582549,13319.323060894,13357.1544173499,13390.0264119511,13418.585793656,13443.3958004866,13464.9467378721,13483.6652678347,13499.9225533637,13514.0413894618,13526.3024397229,13536.9496851978,13546.1951809497,13554.2232051791,13561.1938761698,13567.2463035672,13572.5013326256,13577.0639330077,13581.0252774266,13584.4645498413,13587.4505179652,13590.0429004916,13592.2935555925,13594.2475138735,13595.9438760044,13597.4165926526,13598.6951420711,13599.8051187166,13600.7687445317,13601.6053130228,13602.3315749386,13602.9620732129,13603.5094338306,13603.9846184061,13604.3971435072,13604.7552710957,13605.0661738838,13605.3360789078,13605.5703921849,13605.7738069441,13605.9503975942,13606.1037013072,13606.2367888485,13606.3523260707,13606.4526273012,13606.5397016916,13606.6152934572,13606.6809168101,13606.7378862883,13606.7873430843,13606.8302779032,13606.8675508069,13606.8999084409,13606.9279989909,13606.9523851656,13606.9735554689,13606.9919339851,13607.0078888741,13607.0217397455,13607.0337640618,13607.0442026956,13607.0532647553,13607.0611317736,13607.0679613441,13607.073890278,13607.079037345,13607.0835056522,13607.0873847097,13607.0907522237,13607.0936756529,13607.0962135603,13607.0984167858,13607.1003294649,13607.1019899129,13607.1034313924,13607.1046827793,13607.1057691418,13607.1067122422,13607.1075309729,13607.108241735,13607.1088587666,13607.1093944283,13607.1098594505
6,Texas,38903.268331906,40390.576792643,41707.5256376149,42872.5386276152,43902.2918450428,44811.8229632337,45614.6480089087,46322.880799849,46947.3514707854,47497.7215053233,47982.5934958582,48409.6144847182,48785.5722257534,49116.4840719506,49407.6784642327,49663.8691892064,49889.2227059139,50087.4189274457,50261.7058938037,50414.9487966824,50549.673821974,50668.107267374,50772.210374748,50863.7102931917,50944.1275614069,51014.800468951,51076.9066263797,51131.4820452361,51179.4380008431,51221.5759243627,51258.6005458111,51291.1314867997,51319.7134807343,51344.8253790189,51366.8880844169,51386.2715370146,51403.3008641093,51418.2617926818,51431.4054117943,51442.9523621576,51453.0965211267,51462.0082433954,51469.8372105767,51476.7149365778,51482.7569701165,51488.064830816,51492.7277109672,51496.8239712183,51500.4224550621,51503.5836440141,51506.3606727384,51508.8002210656,51510.9432978027,51512.8259294403,51514.479765278,51515.9326090996,51517.2088863024,51518.3300543092,51519.314963143,51520.1801722124,51520.9402286205,51521.6079116695,51522.1944476638,51522.7096986182,51523.1623280405,51523.5599465715,51523.9092399304,51524.2160813137,51524.485630137,51524.7224187778,51524.9304287785,51525.1131577888,51525.2736783729,51525.4146896712,51525.5385627829,51525.6473806337,51525.7429729991,51525.8269472701,51525.9007154808,51525.9655180516,51526.0224446455,51526.0724524914,51526.1163824787,51526.1549732978,51526.1888738602,51526.2186542102,51526.2448151104,51526.2677964617,51526.2879847005,51526.3057192965,51526.3212984607,51526.3349841606,51526.3470065243,51526.3575677107,51526.3668453087,51526.3749953234,51526.3821547992,51526.3884441246,51526.3939690561,51526.3988224968
7,Nebraska,8319.04676129344,8804.93304282881,9216.32666815065,9563.01838143493,9854.02660990735,10097.4793084649,10300.5770289541,10469.611801932,10610.0213884747,10726.4634518325,10822.8986008616,10902.6748329789,10968.6086398916,11023.06003188,11068.0001243271,11105.0708536761,11135.6369723262,11160.8308131078,11181.5904906236,11198.6922754464,11212.7778781794,11224.3773415583,11233.9281787711,11241.7913271243,11248.2644156642,11253.5927778306,11257.9785780972,11261.5883659279,11264.5593215122,11267.004415419,11269.0166680378,11270.6726638427,11272.0354494769,11273.1569227682,11274.0798014696,11274.8392452345,11275.4641916168,11275.9784563226,11276.4016391802,11276.7498700464,11277.0364228681,11277.2722211625,11277.4662540875,11277.6259189001,11277.7573028121,11277.8654149598,11277.9543773107,11278.027581773,11278.0878194876,11278.137387227,11278.1781749524,11278.2117378658,11278.239355702,11278.2620815189,11278.2807818478,11278.2961697312,11278.3088319105,11278.3192511964,11278.3278248791,11278.3348798758,11278.3406851961,11278.3454621992,11278.3493930344,11278.3526275864,11278.3552891902,11278.3574793343,11278.3592815299,11278.3607644959,11278.3619847785,11278.3629889078,11278.3638151719,11278.3644950767,11278.3650545474,11278.3655149169,11278.3658937394,11278.3662054596,11278.3664619636,11278.3666730321,11278.3668467132,11278.3669896295,11278.3671072305,11278.3672040004,11278.3672836291,11278.3673491528,11278.3674030701,11278.3674474368,11278.3674839446,11278.3675139857,11278.3675387055,11278.3675590465,11278.3675757845,11278.3675895576,11278.3676008911,11278.367610217,11278.3676178909,11278.3676242056,11278.3676294017,11278.3676336774,11278.3676371957,11278.3676400908
8,Utah,6173.21251868354,6399.20339164282,6596.95874214289,6769.7839830584,6920.65210799373,7052.22330769135,7166.86734376259,7266.68723205683,7353.54316724218,7429.07592813391,7494.72924703883,7551.77081472134,7601.31173471678,7644.32434529754,7681.65840216901,7714.05566655572,7742.16297722644,7766.54390565249,7787.68910442985,7806.02546307909,7821.92418448401,7835.70789113753,7847.65686422008,7858.01451121075,7866.99214984601,7874.7731882307,7881.51677306699,7887.36097048969,7892.42553699721,7896.81433150842,7900.61741367988,7903.91286828347,7906.76839065098,7909.24266391045,7911.38655493121,7913.24415252207,7914.85366845006,7916.24821922543,7917.45650429641,7918.50339427852,7919.41044107678,7920.19632021492,7920.87721433823,7921.46714568138,7921.97826426846,7922.42109772155,7922.80476777822,7923.13717794441,7923.42517612309,7923.67469554997,7923.89087692557,7924.07817424922,7924.24044652742,7924.38103724019,7924.50284319803,7924.60837420513,7924.69980475535,7924.77901882454,7924.84764868053,7924.90710850958,7924.95862355125,7925.00325534153,7925.04192358397,7925.07542509903,7925.10445024197,7925.12959712744,7925.15138395365,7925.17025967997,7925.18661327809,7925.20078174706,7925.21305705755,7925.2236921682,7925.23290623825,7925.2408891436,7925.24780538954,7925.25379750062,7925.2589889577,7925.2634867424,7925.26738354178,7925.27075965824,7925.27368466437,7925.27621883665,7925.27841439753,7925.2803165916,7925.28196461799,7925.28339243808,7925.28462947545,7925.28570122211,7925.28662976391,7925.28743423563,7925.28813121527,7925.28873506573,7925.28925823078,7925.28971149144,7925.29010418821,7925.29044441354,7925.29073917857,7925.29099455761,7925.29121581336,7925.2914075053
9,Oregon,3194.93761312016,3304.51834961519,3402.40728383579,3489.81064578964,3567.8187439115,3637.41531766915,3699.48652797813,3754.82949986665,3804.1603633818,3848.12176332303,3887.28982721209,3922.18059500498,3953.25592432957,3980.92889226302,4005.56871949374,4027.50524567794,4047.03298633947,4064.41480212637,4079.88521091321,4093.65337234764,4105.90577316002,4116.80864002161,4126.51010505466,4135.14214734503,4142.82233204282,4149.65536690171,4155.73449443195,4161.14273624592,4165.95400467136,4170.23409530183,4174.0415728509,4177.42856147393,4180.44144961867,4183.12151845687,4185.50550203131,4187.62608641851,4189.51235445207,4191.19018186923,4192.68259012754,4194.01006058428,4195.19081423283,4196.24106074273,4197.17522014865,4198.00612017393,4198.74517185206,4199.40252582163,4199.98721141236,4200.50726040996,4200.96981718186,4201.38123666229,4201.74717153176,4202.07264977958,4202.36214370819,4202.61963132183,4202.84865093858,4203.05234977283,4203.23352715307,4203.39467296647,4203.53800185718,4203.66548364669,4203.77887039345,4203.87972046259,4203.96941993607,4204.04920165678,4204.1201621681,4204.18327678123,4204.23941297726,4204.2893423279,4204.33375109852,4204.37324967919,4204.40838097319,4204.4396278582,4204.46741982269,4204.49213886864,4204.51412476171,4204.533679701,4204.55107247249,4204.56654214337,4204.58030134784,4204.59253920968,4204.6034239417,4204.6131051578,4204.62171592934,4204.62937461423,4204.63618648373,4204.64224516943,4204.64763395019,4204.65242689683,4204.65668989027,4204.66048152704,4204.66385392469,4204.66685343821,4204.66952129715,4204.67189417236,4204.67400467999,4204.67588182987,4204.67755142424,4204.67903641239,4204.68035720614,4204.68153196036
