id,Country,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22
0,Washington,42925.6084409302,43585.346973111,44249.5058431492,44912.5393158847,45575.7267378581,46239.9757840735,46906.1162887669,47574.1777051832,48248.9611947181,48923.0925314256,49596.3876319478,50267.675422428,50933.5565683307,51573.9067432261,52220.4675688783,52866.3128213203,53510.9095289661,54153.8655344644,54795.1469871939,55434.6290069328,56072.1153392903,56707.3389576968,57340.0127561129,57969.4977948212,58595.6223893638,59218.2159922006,59837.1775193685,60452.6340287319,61066.1116189474,61677.0469426609,62285.3168659143,62890.8267337179,63493.5025602974,64093.2677043157,64690.0489641002,65283.7817235796,65874.4153986319,66461.9157556764,67046.2902130059,67627.5584820411,68205.7533099415,68780.9165757991,69353.0842267595,69922.1898042369,70488.2010507807,71051.0919812609,71610.841346817,72167.4315326981,72720.8489819429,73271.084229599,73818.1315868787,74361.9884316418,74902.6542933458,75440.1281466004,75974.4075334821,76505.4875770075,77033.3601960928,77558.0142975749,78079.4425687469,78597.6393936701,79112.6005376953,79624.3229159678,80132.8044218347,80638.0437150729,81140.0399938272,81638.7927730282,82134.30169651,82626.5663990255,83115.5865433246,83601.3619193843,84083.8926172716,84563.1792647812,85039.2232677073,85512.0266045368,85981.5917491343,86447.9216097652,86911.0194798255,87370.8889969797,87827.5341139811,88280.9590830428,88731.1684542088,89178.1670863583,89621.9601682904,90062.5532386973,90499.9522007463,90934.1633259337,91365.1932421275,91793.0489045832,92217.7375789457,92639.2668283686,93057.6445039162,93472.8787376721,93884.9779381632,94293.9507874617,94699.8062391604,95102.5535163328,95502.2021086262,95898.7617677495,96292.2425013265,96682.6545653701
1,Illinois,157133.096479808,157842.748432678,158508.662842054,159122.031809212,159692.647568443,160215.504905598,160703.270003883,161167.355614034,161601.165727461,162005.240265424,162381.099885862,162731.373273037,163057.916794477,163363.322244158,163649.097090453,163915.683511801,164164.278957973,164396.150539455,164612.537246661,164814.528055818,165003.128885543,165179.174823626,165343.4283088,165496.68575138,165639.700138693,165773.168947119,165897.731249806,166013.977590831,166122.453725877,166223.674177959,166318.126705683,166406.26580714,166488.513830096,166565.263495772,166636.881001286,166703.708393349,166766.065793489,166824.252406203,166878.54715471,166929.210080754,166976.483774464,167020.594685984,167061.754244242,167100.159840454,167135.995677873,167169.433604066,167200.633963836,167229.746393112,167256.910544302,167282.256748462,167305.90662827,167327.973671018,167348.563771756,167367.775745243,167385.701801201,167402.42798526,167418.0345893,167432.596534683,167446.18373077,167458.861410365,167470.690442815,167481.727625736,167492.025957007,167501.634888604,167510.600563615,167518.966037537,167526.771484841,167534.05439168,167540.84973567,167547.190153655,167553.106098265,167558.625984038,167563.77632378,167568.581855805,167573.065662661,167577.249281914,167581.152809522,167584.794996302,167588.19333795,167591.364159032,167594.32269136,167597.083147129,167599.658787149,167602.061984527,167604.304284078,167606.396457766,167608.348556432,167610.169958066,167611.86941284,167613.455085139,167614.934592765,167616.315043532,167617.603069403,167618.804858342,167619.926184038,167620.972433638,167621.948633625,167622.859473958,167623.709330607,167624.502286567
2,California,360257.176340593,372074.439913478,384199.927872771,396762.523296691,409597.345135878,422633.872294038,435894.625891291,450030.98903998,464500.923750017,479634.291446253,495417.859475301,511943.293634191,529292.330732827,547416.501714017,565581.297002876,584333.876741465,603591.21818725,623422.936471193,643868.284886036,665018.901136671,686996.50513232,709906.463278606,733568.613312751,758027.025087959,783240.839598441,809186.190066237,835828.616719852,863135.824181185,891109.796675001,919919.825684836,949587.488315106,980158.670204442,1011656.15576924,1044089.35078263,1077442.24066821,1111668.5477081,1146702.28865005,1182545.44291009,1219195.06978799,1256664.20263685,1294973.79393954,1334151.91202864,1374228.30205137,1415222.25065943,1457108.27824356,1499857.09040051,1543430.39368319,1587788.30278469,1632893.27012863,1678715.85837324,1725240.14647077,1772464.8756567,1820383.20986672,1868983.10925235,1918243.22366111,1968131.63965515,2018605.52307714,2069612.69656109,2121096.08799859,2173003.81293315,2225288.74935318,2277909.01814878,2330826.57866493,2384005.06571722,2437406.77649715,2490989.23320947,2544702.46332955,2598491.08486504,2652296.17079756,2706057.70350329,2759716.86694669,2813217.93537072,2866509.37488549,2919543.73602333,2972275.72519559,3024660.74007898,3076653.68449486,3128208.38638519,3179277.65785216,3229814.01005992,3279770.92455611,3329104.38318082,3377773.7711298,3425742.28500421,3472976.84179335,3519447.62214279,3565127.40601965,3609990.89506979,3654014.23940027,3697175.00637154,3739452.42973197,3780827.82773096,3821285.04939657,3860810.8305014,3899394.96695743,3937030.25396392,3973712.20126191,4009438.6593806,4044209.44895045,4078026.06646385
3,Arizona,132964.31189025,136963.918820528,141037.672650133,145244.306053295,149589.463253376,154127.557209113,158947.654949742,163839.290690285,168864.773607177,174037.038529999,179365.906837808,184853.089130167,190499.544337799,196297.596510972,202224.259925773,208286.49844624,214482.364576376,220807.536241018,227255.492447502,233818.489539423,240487.528353535,247253.527102202,254109.652431544,261047.071797932,268056.058869291,275126.250977435,282246.910981876,289407.074838785,296595.720503024,303801.783834532,311013.837448811,318220.347395058,325409.798212217,332570.793678437,339692.130008589,346762.854741678,353772.306864961,360710.157580448,367566.498254689,374331.900738558,380997.465466609,387554.859583109,393996.348001881,400314.818806879,406503.805129808,412557.503270567,418470.780699373,424239.176818178,429858.897589049,435326.804926409,440640.401434692,445797.810921813,450797.75486068,455639.524990112,460322.953037557,464848.378243396,469216.613262638,473428.908935872,477486.918372239,481392.660755542,485148.485285103,488757.035664591,492221.215460845,495544.154595745,498729.177185514,501779.770901768,504699.557993041,507492.268072656,510161.71274441,512711.762101154,515146.323103375,517469.319821844,519684.675509375,521796.296450675,523808.057525802,525723.789411573,527547.267336693,529282.201300662,530932.227663055,532500.902007975,533991.693188132,535407.97845389,536753.039574526,538030.059861748,539242.12200909,540392.206664841,541483.191660541,542517.851821737,543498.859292426,544428.784309423,545310.09636768,546145.165722316,546936.265177623,547685.572117792,548395.170738211,549067.054440238,549703.128356043,550305.211973654,550875.041835585,551414.274287489
4,Massachusetts,112465.567868339,112786.200024694,113122.310497811,113474.922187629,113844.359622257,114235.200899699,114651.628811492,115087.771232639,115546.512900478,116029.242379782,116537.420335242,117072.580176358,117636.462290403,118230.306721992,118854.83561098,119511.917691715,120203.238353073,120930.52838727,121695.558726241,122500.134121569,123346.062354926,124235.241114825,125169.762611102,126151.746903484,127183.377605023,128266.903896408,129404.643703117,130598.988404357,131852.413547768,133167.476238589,134546.793925067,135993.048248915,137508.983262429,139097.402869573,140761.1671588,142503.187179857,144326.416881206,146233.844027836,148228.483114212,150313.366323815,152491.533187056,154766.018871104,157139.841085357,159615.985664196,162197.391119932,164886.932202165,167687.402003464,170601.492750281,173631.775336558,176780.677684186,180050.462036823,183443.20130624,186960.754566419,190604.741805524,194376.51814427,198277.14774235,202307.377641825,206467.61182178,210757.88576215,215177.8418375,219726.705889147,224403.26535037,229205.849310616,234132.310912196,239180.012473904,244345.813729772,249626.063557225,255016.595546366,260512.727729661,266109.266748186,271800.516678515,277580.292683512,283441.93958146,289378.355352271,295382.019518356,301445.026252785,307559.121980792,313715.74715483,319906.081800631,326121.094354421,332351.593241923,338588.280590235,344821.807416019,351042.829599324,357242.063932911,363410.343532971,369538.671908634,375618.275014579,381640.650652282,387597.614639921,393481.343236843,399284.411383735,404999.826402102,410621.056883613,416142.056589157,421557.283266352,426861.71238064,432050.845836818,437120.715843141,442067.884137501
5,Wisconsin,39030.0199443947,40071.2176096889,41175.078281963,42352.6899469292,43605.0645907168,44939.1994665915,46380.3090760606,47906.9740896414,49531.0850947509,51259.3273785556,53098.783515175,55055.7269979444,57137.3059703266,59350.5998766318,61699.2994782828,64191.5476454279,66834.6797372702,69636.0115732379,72602.7523911452,75742.1186148442,79061.1648569816,82566.754710307,86266.1148567491,90166.0897643536,94273.2050145614,98593.6019843127,103132.977623156,107896.49546907,112888.713128555,118113.504950966,123573.879712938,129271.901446886,135208.590990639,141383.828164072,147796.254639156,154443.183260281,161320.512772242,168422.650270406,175742.460254971,183271.227328399,190998.637711494,198912.781915,207000.18088346,215245.836967644,223633.311062652,232144.826685688,240761.398616695,249462.985178898,258228.662106283,267036.815202493,275865.348268037,284691.902213535,293494.080770144,302249.677840812,310936.901680313,319534.591119329,328022.419299315,336381.080800415,344592.458609317,352639.768049324,360507.6755573,368182.391006795,375651.733062806,382905.16781373,389933.821623922,396730.469761297,403289.502860103,409606.873668982,415680.026804111,421507.814377858,427090.400416789,432429.156930504,437526.554359513,442386.048932491,447011.969217611,451409.403875307,455584.092325754,459542.319746746,463290.817527223,466836.670026877,470187.228239414,473350.03073022,476332.732020991,479143.038424969,481788.65119651,484277.21674639,486616.283587363,488813.265610671,490875.411250572,492809.778067768,494623.212271051,496322.332696959,497913.518777192,499402.902041019,500796.360722698,502099.517070674,503317.736984398,504456.131635012,505519.560756867,506512.637327211
6,Texas,289645.231788233,299375.698023886,309149.114420441,318997.793584199,328945.301134131,339077.173406518,349453.2622625,359896.46158946,370446.189835338,381098.247540668,391860.836677004,402738.483424272,413732.828272762,424833.010780768,436017.754217714,447289.02098278,458643.21349529,470076.844126239,481584.726319128,493160.283895312,504795.786439057,516484.021862115,528219.886969182,539997.290366554,551809.828216511,563650.727569035,575513.043756666,587389.838982588,599274.350261415,611159.938976261,623039.805973679,634907.112359746,646755.019451354,658576.74184299,670365.579172932,682114.926570582,693818.262617021,705469.14279162,717061.232062717,728588.324568123,740044.360103419,751423.435194827,762719.811060883,773927.921049149,785042.380609199,796057.999360885,806969.79011585,817772.976267101,828462.997794781,839035.51647117,849486.420602155,859811.829329409,870008.096102906,880071.810946754,889999.801794223,899789.135008425,909437.115184854,918941.284264087,928299.419940291,937509.533345477,946569.866038698,955478.886382554,964235.285361412,972837.971885844,981286.067619442,989578.901363901,997716.003043613,1005697.09733785,1013522.09700968,1021191.09597512,1028704.36215324,1036062.33013647,1043265.59371969,1050314.89832608,1057211.13336628,1063955.32456542,1070548.62628957,1076992.31390128,1083287.77617182,1089436.50777567,1095440.10189095,1101300.24292714,1107018.69939939,1112597.31696639,1118038.01164712,1123342.76322947,1128513.60888228,1133552.63698018,1138461.98114932,1143243.81453998,1147900.34433101,1152433.80646931,1156846.46064639,1161140.58551287,1165318.47413056,1169382.42966088,1173334.76128729,1177177.78036872,1180913.79682026,1184545.1157165
7,Nebraska,22129.8177293668,22504.4812780352,22922.1171310755,23388.571219854,23909.2643547703,24495.3672895778,25156.3179254235,25890.9577204545,26710.659355056,27625.2709108662,28645.3502838206,29782.2695156275,31048.4329784394,32456.2016820211,34018.2020766164,35749.5736714328,37665.7129389327,39782.5488021881,42116.3816395797,44683.6525290417,47500.6074308763,50583.1062013088,53946.3179191404,57603.8982299045,61567.4844353955,65846.0633614609,70445.2960320777,75366.8270655161,80607.620730541,86159.3266606712,92007.729037451,98132.4097447143,104506.611775004,111097.358080328,117865.857340678,124768.208886859,131756.394259614,138779.523173119,145785.275631556,152721.449526896,159537.519761181,166186.110386879,172624.288927294,178814.609370819,184725.854853485,190333.458252322,195619.605935709,200573.054598902,205188.708453683,209467.014346085,213413.235582542,217036.662424628,220349.809980865,223367.644450187,226106.86796992,228585.281851347,230821.238755751,232833.186834695,234639.303180815,236257.210023678,237703.764730393,238994.913529318,240145.598656219,241169.70905197,242080.065579041,242888.432782733,243605.550363876,244241.178656643,244804.153457043,245302.446490754,245743.228628444,246132.933650787,246477.320940081,246781.535942088,247050.16761352,247287.302361537,247496.574204953,247681.211054679,247844.077134112,247987.711647716,248114.363865782,248226.024831627,248324.45591948,248411.214481148,248487.676820616,248555.058730436,248614.433814279,248666.749807674,248712.843095084,248753.451606687,248789.226263399,248820.741123988,248848.502374085,248872.956283523,248894.496245978,248913.469003303,248930.180146305,248944.898974033,248957.862784748,248969.280663838
8,Utah,30824.1819716147,31289.3483256644,31749.2491877804,32203.9795026815,32653.1619708697,33094.6551500921,33527.6468299313,33949.4406987728,34359.7776785878,34756.2271786313,35137.7820145965,35504.566465097,35856.3684622612,36197.1320307303,36531.5665229702,36858.0253247786,37176.3781689072,37486.4754866791,37788.1537512438,38081.2616500654,38365.7613777644,38641.6590197599,38909.1143406118,39168.3103400581,39419.5782141887,39663.3244781482,39899.9707573945,40129.9737970132,40353.5911274858,40570.8266585307,40781.7778795194,40986.5548864605,41185.2821815385,41378.100269716,41565.1658597494,41746.6463326299,41922.7178559553,42093.5571719452,42259.3403274296,42420.2342536083,42576.3920097696,42727.9511730478,42875.0310047005,43017.7427212807,43156.2034087745,43290.5310615641,43420.8439276976,43547.259716115,43669.894669609,43788.8625749001,43904.2740302092,44016.2357784142,44124.8504667231,44230.2164642614,44332.4281445516,44431.5764517069,44527.7495884782,44621.0339020313,44711.5142389179,44799.2735343938,44884.3926586007,44966.9502908984,45047.0228316892,45124.6843613836,45200.00665267,45273.0592245347,45343.9094366641,45412.6226024432,45479.2621183354,45543.889584371,45606.5648992816,45667.3463220182,45726.2904866573,45783.4523980107,45838.8854499958,45892.6414535726,45944.7706732001,45995.3218701815,46044.3423506357,46091.8780153568,46137.9734093239,46182.671768575,46226.0150632566,46268.0440357195,46308.7982338909,46348.3160410885,46386.6347039761,46423.7903611827,46459.8180737105,46494.7518559565,46528.6247068454,46561.4686406051,46593.3147167805,46624.1930691844,46654.1329336253,46683.1626743624,46711.309809371,46738.601034567,46765.0622472128,46790.7185687281
9,Oregon,13184.5211160374,13551.436258761,13926.7759637056,14311.0084345294,14704.414824112,15108.5876178322,15524.3608207482,15953.6990245417,16396.4797551006,16853.6272909269,17325.0871840114,17810.1201371013,18309.0946001882,18823.6865248306,19350.9320374853,19892.6606685786,20449.3807698217,21021.6378843872,21609.9819072812,22214.9837234577,22837.1220447274,23476.8419191949,24134.4529798568,24810.3003408633,25504.6761156496,26217.9002700101,26950.3825086875,27702.5331714469,28474.6494670998,29267.3091667641,30080.9774495596,30916.1120891172,31773.1594820328,32652.5531979413,33554.7109759817,34480.0412534661,35428.9451695922,36401.8274921002,37399.0937008054,38421.1544388493,39468.4233680416,40541.3095453975,41640.2168282818,42765.5529549091,43917.7057164982,45097.0508069356,46303.9513242363,47538.7575730246,48801.8069768976,50093.4242406778,51413.9209748732,52763.5951252883,54142.729442053,55551.5900844799,56990.4247541951,58459.4608775527,59958.9043013043,61488.9379524979,63049.7196551813,64641.3817850321,66264.030260775,67917.7435195883,69602.5714520032,71318.5342860333,73065.6213981667,74843.7900922157,76652.964361651,78493.0337146928,80363.8520570134,82265.2366759349,84196.96733034,86158.785413074,88150.3931947835,90171.4532235608,92221.5877437024,94300.3781889607,96407.364757119,98542.0460748982,100703.878963363,102892.278316135,105106.617099968,107346.226486258,109610.396116099,111898.374501713,114209.369563553,116542.549301726,118897.042602584,121271.94018041,123666.295648107,126079.126720707,128509.416551189,130956.115197308,133418.141217116,135894.383389746,138383.702556701,140884.933577765,143396.887394524,145918.353193836,148448.100662887,150984.882327032
