id,Country,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17
0,Washington,16790.9620451952,17111.0961930032,17395.7357381265,17648.7626987989,17873.6498965085,18073.5002880655,18251.0834265803,18408.8690312376,18549.0577201731,18673.6090125203,18784.2667399043,18882.5820285082,18969.9340236583,19047.548532319,19116.5147570327,19177.8002892993,19232.2645223809,19280.6706339852,19323.696278913,19361.9431210543,19395.9453234637,19426.1771048712,19453.0594610814,19476.9661403746,19498.2289533136,19517.1424893051,19533.9683048705,19548.9386418216,19562.2597273997,19574.1147028745,19584.6662220835,19594.0587568762,19602.4206423736,19609.8658913233,19616.4958035786,19622.4003938316,19627.6596581407,19632.344697487,19636.518714543,19640.2378980094,19643.5522072542,19646.5060685475,19649.1389929032,19651.4861244062,19653.5787268935,19655.444615965,19657.1085425068,19658.592533209,19659.9161929341,19661.0969732441,19662.1504109023,19663.0903397341,19663.9290788468,19664.6775998685,19665.345675563,19665.9420119142,19666.4743655328,19666.9496480309,19667.374018823,19667.7529676495,19668.0913879679,19668.3936422343,19668.6636199769,19668.9047894648,19669.1202436854,19669.3127412617,19669.484742872,19669.6384436701,19669.7758021492,19669.8985658434,19670.0082942152,19670.1063790405,19670.1940625672,19670.272453692,19670.3425423732,19670.405212475,19670.4612532132,19670.511369358,19670.5561903284,19670.5962783,19670.6321354345,19670.664210326,19670.6929037511,19670.7185737958,19670.741540431,19670.7620895924,19670.7804768224,19670.7969305187,19670.8116548339,19670.8248322636,19670.8366259558,19670.8471817733,19670.8566301345,19670.865087657,19670.8726586258,19670.8794363033,19670.8855041006,19670.8909366227,19670.8958006029,19670.9001557369
1,Illinois,77846.3153174497,80734.8569050884,83398.3275217727,85863.2165245463,88158.0627602214,90312.6670549337,92345.0127578313,94273.58785447,96113.3089763328,97938.0110999968,99761.8096154669,101422.028591681,103031.706040994,104598.709413081,106130.014490203,107631.381965518,109107.062135083,110560.762598695,111995.470138128,113413.660255342,114811.35432269,116183.370356615,117540.533648787,118883.954890017,120214.429457573,121532.448919571,122838.250791834,124131.90646455,125413.327401478,126682.293369242,127938.466559007,129181.982692102,130413.589263608,131633.147142568,132840.472266586,134035.350942649,135217.556911492,136386.866454956,137543.067574968,138685.970341978,139815.416281302,140931.287928736,142033.464175193,143121.759514981,144195.999196408,145256.022147578,146301.683035781,147332.853180233,148349.420368933,149351.288008436,150338.373415752,151310.605247906,152267.91996314,153210.262212029,154137.59093479,155049.879129978,155947.113401852,156829.293338804,157696.430806227,158548.549240098,159385.68299621,160207.876832448,161015.185608707,161807.674305969,162585.418031496,163348.50149115,164097.018455076,164831.071234151,165550.770181524,166256.233227432,166947.585448591,167624.95866879,168288.491080325,168938.326867619,169574.615803975,170197.51281986,170807.17758723,171403.774121226,171987.470399131,172558.437995335,173116.851730186,173662.889330443,174196.731099144,174718.5595935,175228.559310973,175726.916386317,176213.818302701,176689.453616444,177154.011694714,177607.682465545,178050.656179585,178483.123183167,178905.273702442,179317.297638531,179719.38437377,180111.722589117,180494.50009258,180867.903658252,181232.118875545,181587.330008254
2,California,67701.0334398503,70058.6733288656,72257.7352513699,74286.7193870966,76278.5835766955,78277.1324882564,80019.3533386141,81684.5087738504,83283.3333034705,84831.6073062075,86322.2330227546,87738.4809384849,89113.2808731063,90450.7171262238,91753.9119178103,93023.7896727914,94263.1639644243,95478.9913410096,96673.2747428327,97847.7999578167,99004.2598455056,100144.65096484,101270.938880966,102384.213295499,103485.48406829,104575.695557854,105655.720748318,106726.277134597,107787.893706443,108841.039675657,109886.121876489,110923.479679658,111953.380824325,112976.03369151,113991.609041386,115000.241092111,116002.029755981,116997.044690657,117985.331286864,118966.915690011,119941.806771683,120909.998489664,121871.472455833,122826.200371046,123774.145899997,124715.266048943,125649.512532172,126576.833034732,127497.172298439,128410.473012491,129316.676571339,130215.723763426,131107.555372645,131992.112689897,132869.337946677,133739.17468923,134601.568103746,135456.465293199,136303.815510535,137143.570354714,137975.683935391,138800.113009806,139616.817094349,140425.758553879,141226.902671693,142020.217702545,142805.674910587,143583.248593864,144352.916096985,145114.657813385,145868.457178348,146614.300653865,147352.177706231,148082.080777247,148804.005249771,149517.949408266,150223.914394946,150921.904162036,151611.925420633,152293.987586577,152968.102723737,153634.285485032,154292.553051526,154942.925069858,155585.42358828,156220.072991539,156846.8999348,157465.933276833,158077.20401262,158680.745205562,159276.591919433,159864.781150214,160445.351757954,161018.344398752,161583.801456991,162141.766977909,162692.286600612,163235.407491603,163771.17827892,164299.648986933
3,Arizona,11126.1330535065,11686.3629704448,12169.955839005,12587.5143390855,12948.1874160545,13259.8592975267,13529.317870206,13762.4033027082,13964.1383015506,14138.8416367961,14290.2266558244,14421.4864789318,14535.3674813445,14634.2325417792,14720.1153972736,14794.7673001621,14859.6970335509,14916.2052109537,14965.4136662111,15008.2906323225,15045.6723123712,15078.2813617712,15106.7427277597,15131.5972284221,15153.3131985234,15172.2964820448,15188.8990106207,15203.4261721917,15216.1431443363,15227.2803412335,15237.0381014301,15245.5907250026,15253.0899528562,15259.6679673959,15265.4399822857,15270.5064791974,15274.9551410841,15278.8625243725,15282.2955063892,15285.3125391377,15287.9647361133,15290.2968150576,15292.3479163175,15294.1523137112,15295.7400324361,15297.1373865281,15298.3674466473,15299.4504474793,15300.4041427631,15301.2441148621,15301.9840448556,15302.6359483171,15303.2103812494,15303.7166200492,15304.1628188555,15304.5561471908,15304.9029104203,15305.2086552217,15305.4782619701,15305.7160256961,15305.9257270583,15306.1106945856,15306.2738592835,15306.4178025579,15306.5447982881,15306.6568497755,15306.7557222012,15306.8429711482,15306.9199676709,15306.9879203358,15307.0478946056,15307.100829889,15307.1475545426,15307.1887990719,15307.2252077518,15307.2573488563,15307.2857236666,15307.3107744043,15307.3328912191,15307.352418345,15307.3696595247,15307.3848827895,15307.3983246723,15307.4101939209,15307.420674772,15307.4299298376,15307.4381026498,15307.4453199055,15307.4516934456,15307.4573220011,15307.462292733,15307.4666825912,15307.4705595126,15307.4739834791,15307.4770074505,15307.4796781877,15307.4820369798,15307.484120285,15307.4859602968,15307.4875854433
4,Massachusetts,77579.420596231,78976.4791141958,80180.4536368297,81224.2749498133,82135.2145347458,82934.0577529616,83637.5677480529,84259.3147584704,84806.2694663322,85308.9675898774,85775.3720598119,86155.4649988038,86498.2160191695,86808.6178691668,87090.6725872499,87347.593060349,87582.0740648416,87796.425039622,87992.6670112999,88172.8723428446,88337.5442354491,88486.9512644286,88624.8920174113,88752.3504023376,88870.1845032324,88979.157493721,89079.9620469067,89173.232431181,89259.5519149423,89339.4569497746,89413.4214479957,89481.9484784403,89545.5815054167,89604.6698856909,89659.5374730312,89710.4860431583,89757.7975272407,89801.7352852715,89842.545069982,89880.4558913407,89915.6809237307,89948.4197155233,89978.8546875151,90007.1468014633,90033.4464589268,90057.8941238522,90080.6208318743,90101.7486432788,90121.3910877984,90139.6536120213,90156.6340288644,90172.4229606254,90187.1041850208,90200.7552490262,90213.4484194703,90225.2509902702,90236.2255768451,90246.4304027362,90255.9195803606,90264.7433850421,90272.9485208962,90280.578377251,90287.6732748871,90294.2707073776,90300.4055593005,90306.1102774437,90311.4150339266,90316.347881377,90320.9349000183,90325.2003364087,90329.166733642,90332.8550529108,90336.2847864353,90339.4740618106,90342.4397375003,90345.1974903807,90347.7618978804,90350.1465148696,90352.3639454644,90354.4259099313,90356.3433069089,90358.1262711936,90359.7842273598,90361.3259395022,90362.7595574071,90364.0926594955,90365.3322928465,90366.4850104615,90367.556905933,90368.5536456784,90369.4804989017,90370.3423654391,90371.1438016421,90371.8890444399,90372.5820337187,90373.2264331391,90373.8256495023,90374.3828507609,90374.9009827663,90375.3827848403
5,Wisconsin,10093.4485525976,10558.3908585673,10980.2477387349,11362.8062216105,11709.5639000958,12023.7421003076,12308.3004668461,12565.9523776092,12799.1807236125,13010.2536929962,13201.2402850782,13374.0253518049,13530.3240221881,13671.695412149,13799.5555593804,13915.1895519391,14019.7628417042,14114.3317507766,14199.8531913993,14277.1936289103,14347.1373233407,14410.393889142,14467.605214665,14519.3517838284,14566.1584422347,14608.4996490699,14646.8042546848,14681.4598419494,14712.8166674393,14741.1912363436,14766.8695427595,14790.1100048149,14811.1461218787,14830.1888790061,14847.4289217516,14863.038522567,14877.1733582067,14889.9741158803,14901.5679443283,14912.069764552,14921.5834535894,14930.2029135026,14938.0130366153,14945.0905770061,14951.5049373224,14957.3188791214,14962.589164161,14967.3671333549,14971.6992294591,14975.6274689725,14979.1898682024,14982.4208279679,14985.3514809757,14988.0100055128,14990.4219087423,14992.6102825705,14994.596034759,14996.3980976988,14998.0336170216,14999.5181220146,15000.8656796102,15002.0890335477,15003.1997301511,15004.2082320208,15005.1240208141,15005.9556901722,15006.7110297472,15007.3971011933,15008.020306896,15008.5864521428,15009.1008013677,15009.5681290403,15009.9927657152,15010.3786397081,15010.7293148162,15011.0480244652,15011.3377026239,15011.6010117952,15011.8403683643,15012.0579655559,15012.2557942281,15012.4356617094,15012.5992088649,15012.7479255598,15012.8831646732,15013.0061547977,15013.1180117517,15013.2197490145,15013.3122871872,15013.3964625713,15013.4730349473,15013.5426946297,15013.6060688652,15013.6637276373,15013.7161889315,15013.7639235126,15013.8073592594,15013.8468850985,15013.8828545738,15013.915589087
6,Texas,38910.1950881915,40424.2295413846,41784.0367198297,43004.7461597845,44100.1183945658,45082.6456105037,45963.6498342292,46753.3774629595,47461.0893138447,48095.1456602331,48663.0859528416,49171.7031023059,49627.1123353686,50034.8147378496,50399.7556702465,50726.3782920115,51018.6724630074,51280.2193092922,51514.2317484446,51723.591269738,51910.8812587012,52078.417145641,52228.273644871,52362.3093367091,52482.1888285803,52589.4027153759,52685.2855430422,52771.031963507,52847.7112537578,52916.2803572941,52977.5955924061,53032.423158829,53081.4485623141,53125.2850655382,53164.4812635268,53199.52787236,53230.8638113215,53258.8816507953,53283.9324910679,53306.3303306967,53326.3559772195,53344.2605476511,53360.2686013928,53374.5809438371,53387.3771350224,53398.8177341643,53409.0463077073,53418.1912256817,53426.3672685778,53433.677064641,53440.2123754183,53446.0552455223,53451.279030914,53455.9493185035,53460.1247485303,53463.8577499778,53467.1951982021,53470.1790029892,53472.8466343875,53475.2315928935,53477.3638298707,53479.2701234643,53480.9744147179,53482.4981081025,53483.8603402226,53485.078220066,53486.1670438109,53487.140486881,53488.0107756592,53488.7888410122,53489.4844555521,53490.1063563576,53490.6623546947,53491.1594341126,53491.6038381479,53492.0011487357,53492.356356314,53492.6739224998,53492.9578361245,53493.2116633324,53493.4385923704,53493.641473632,53493.8228554584,53493.9850161459,53494.1299925617,53494.2596057273,53494.3754836917,53494.4790819798,53494.5717018751,53494.6545067637,53494.7285367478,53494.7947217099,53494.8538929925,53494.9067938402,53494.9540887359,53494.9963717468,53495.0341739867,53495.0679702865,53495.0981851593,53495.1251981321
7,Nebraska,8416.52148833418,8900.31414561248,9355.54472712593,9786.06505878749,10199.5701623032,10595.1307259163,10973.6431083953,11338.5801741882,11703.5300791385,12069.3023629133,12409.715958289,12742.8310810332,13070.1883511656,13393.0886056884,13712.1245245465,14028.1277911923,14341.9817923356,14654.3254407949,14964.3478826495,15271.1241875207,15576.7250862014,15881.4050541095,16185.3178822229,16488.5297296138,16791.0870843041,17092.9834828229,17394.1446427258,17694.4460194883,17993.868156218,18292.5165632186,18590.2955487206,18887.0894406791,19182.7697927095,19477.2020282631,19770.2453895687,20061.7567335073,20351.5964649402,20639.6332278856,20925.73222956,21209.740500099,21491.506235055,21770.8803876441,22047.7177046756,22321.8772102303,22593.2227968438,22861.6235166438,23126.9533146654,23389.0902837909,23647.9171195464,23903.3231902235,24155.2047869775,24403.4652527306,24648.0150351807,24888.771712681,25125.6599777454,25358.611603973,25587.5654508978,25812.467557636,26033.2712091618,26249.9368078422,26462.4317183726,26670.7300955452,26874.8127005171,27074.6667068395,27270.2854991821,27461.6684653765,27648.8207770321,27831.7531485548,28010.4815751377,28185.0270669237,28355.4153812762,28521.676754323,28683.8456324743,28841.9604045583,28996.0631349792,29146.1992982806,29292.4175159971,29434.769297739,29573.3087885691,29708.0925232346,29839.1791876874,29966.6293882609,30090.5054288484,30210.8710964057,30327.7914551067,30441.3326494838,30551.5617168447,30658.5464091135,30762.3550240739,30863.0562459561,30960.7189952779,31055.4122878271,31147.2051026451,31236.1662588442,31322.3643010655,31405.8673933467,31486.7432211397,31565.0589011956,31640.8808990241,31714.2749536284
8,Utah,6211.18822664628,6408.86194010075,6593.99633475444,6767.93769290047,6932.26603319202,7088.15723411287,7236.88709182459,7379.33363811941,7515.91287233168,7651.47680694956,7786.968133454,7910.46969065646,8030.39788436938,8147.25867742953,8261.50890243529,8373.52487837768,8483.63325470125,8592.09326101717,8699.12823078614,8804.96691673224,8909.38794238519,9012.07264430027,9113.90741877147,9215.02494644595,9315.53510114095,9415.5261377674,9515.06933313286,9614.22107014071,9713.02705509557,9811.52385387416,9909.7364812878,10007.7221456013,10105.5825263074,10203.3451399224,10301.0318780911,10398.6602099236,10496.2444402014,10593.7966734098,10691.3277084501,10788.847636734,10886.3663815123,10983.8945673757,11081.4400895122,11179.0031387255,11276.5827275133,11374.1769660036,11471.7832630056,11569.3984372349,11667.0187577697,11764.6399122204,11862.2569239559,11959.8640180589,12057.4543967867,12155.0203458306,12252.5538567717,12350.0466629343,12447.4902570876,12544.8758960774,12642.194599521,12739.4371485373,12836.5940912567,12933.655760421,13030.6123089622,13127.4537739514,13224.1701384012,13320.7513391091,13417.187273503,13513.4678069894,13609.5827819709,13705.5220291165,13801.2753809543,13896.8326872049,13992.1838307137,14087.3187421578,14182.2274105175,14276.8998890484,14371.3263015874,14465.4968492628,14559.4018175416,14653.0315834332,14746.3766225989,14839.4275160924,14932.1749564916,15024.6097532752,15116.7228374685,15208.505265881,15299.9482253199,15391.0430367254,15481.7811591654,15572.154193628,15662.1538865661,15751.7721331692,15841.0009803614,15929.8326295529,16018.2594391871,16106.2739271287,16193.868772912,16281.0368198343,16367.7710768817,16454.0647204819
9,Oregon,3195.66453751215,3308.20325496874,3410.88345533881,3504.56137606125,3590.02132795517,3667.98120049485,3739.09765393652,3803.97099340373,3863.14972619598,3917.13480826186,3966.3835892419,4011.3134679663,4052.30527198207,4089.70637574472,4123.83357267564,4154.97571646776,4183.39614691131,4209.33491518001,4233.01082302712,4254.62328973687,4274.35405999867,4292.36876514749,4308.81834946904,4323.84037251835,4337.56019766027,4350.09207631936,4361.54013673128,4371.99928532443,4381.55602823052,4390.28921982926,4398.2707446756,4405.56613863722,4412.23515458619,4418.33227753878,4423.90719372193,4429.00521766041,4433.667681025,4437.93228665653,4441.8334308813,4445.40249695938,4448.66812225595,4451.65644149586,4454.39130825127,4456.89449662028,4459.18588487892,4461.28362272891,4463.20428361784,4464.96300347512,4466.57360708621,4468.0487232171,4469.3998895006,4470.63764800461,4471.77163231924,4472.81064692417,4473.76273952841,4474.63526701245,4475.43495554548,4476.16795539884,4476.83989092952,4477.45590616505,4478.02070638187,4478.53859603422,4479.01351335807,4479.44906194573,4479.84853955991,4480.21496443207,4480.55109926762,4480.85947316097,4481.14240160479,4481.40200476174,4481.64022415158,4481.8588378931,4482.05947462787,4482.24362624133,4482.41265948662,4482.56782660721,4482.71027504572,4482.84105631865,4482.96113412974,4483.07139178815,4483.17263899191,4483.26561803167,4483.35100946497,4483.42943730685,4483.50147377867,4483.5676436531,4483.62842823022,4483.68426897642,4483.73557085504,4483.7827053753,4483.82601338359,4483.86580761915,4483.90237505434,4483.93597903795,4483.96686125812,4483.9952435405,4484.02132949543,4484.04530602715,4484.06734471663,4484.08760308871
