id,Country,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07
0,Washington,21650.3828127188,21936.4687687243,22241.1244342117,22599.6479146515,22988.5883751239,23394.6232116164,23821.6746094037,24261.8797286555,24718.4014328657,25204.0486428823,25722.7854050477,26274.0821597904,26858.6106156898,27474.6548255034,28121.6735400801,28802.883621949,29522.0988535576,30282.3360401825,31086.2872199332,31935.6827177806,32831.7833722714,33776.5347018973,34772.6221192439,35823.1154509183,36931.3067236136,38100.3910977277,39333.3414368509,40633.1345833566,42002.9553986195,43446.2640519887,44966.8044677761,46568.5186803041,48255.4383631207,50031.6581976456,51901.3709696481,53868.9147195979,55938.8128554411,58115.7812947865,60404.7015511786,62810.5888540956,65338.5737200829,67993.8980331195,70781.9210075278,73708.1237706447,76778.1029393427,79997.5535514283,83372.2469369744,86908.0084732419,90610.6979980402,94486.1919732555,98540.363930628,102779.060479298,107208.07227027,111833.100880052,116659.723248484,121693.354812966,126939.211355712,132402.268878376,138087.220852899,143998.432678722,150139.893765431,156515.168003266,163127.343346476,169978.981005923,177072.064570523,184407.949366855,191987.312517971,199810.104371836,207875.502114403,216181.866417074,224726.701925691,233506.622336871,242517.320773239,251753.546169179,261209.086385089,270876.758746471,280748.408637577,290814.91667161,301066.214828093,311491.311809658,322078.327731946,332814.53811872,343686.427023919,354679.748941383,365779.598995445,376970.490740454,388236.440743487,399561.058988429,410927.644024314,422319.281687504,433718.946157074,445109.60205762,456474.306305914,467796.308408963,479059.14796118,490246.748155787,501343.504217253,512334.365773891,523204.912318925,533941.421050449
1,Illinois,126509.028924674,138712.180219916,152384.704915365,167383.64660825,183580.92689216,201613.708039093,220529.200807909,245965.404366511,285756.925481439,341303.051822867,410577.07487414,491839.986725944,583521.627653759,683484.425335272,799560.739283894,946534.407406013,1137019.46266021,1373970.81413406,1649656.98686245,1950360.27433411,2258863.68536032,2569483.7177714,2893901.86100165,3245219.69437843,3621528.3916706,4002028.95085315,4357719.94354582,4665976.99913533,4923283.49826504,5142497.73543351,5337944.63729925,5513947.67181467,5665748.98968002,5787979.00044524,5880342.76009716,5948535.78061875,6000765.10403715,6043442.84390706,6079500.12635008,6109305.85754793,6132661.54591697,6150019.89294542,6162677.91563745,6172234.6830605,6179928.46230127,6186347.90311449,6191604.48354904,6195692.80053067,6198708.64691923,6200886.4042695,6202509.16844788,6203797.66428115,6204864.80064007,6205740.02756483,6206425.91794806,6206936.81008664,6207308.32981386,6207585.34410119,6207804.52189428,6207985.41074821,6208133.61684898,6208249.8867376,6208336.59782823,6208399.579777,6208446.28107964,6208482.91965714,6208513.00420236,6208537.6927871,6208557.18641369,6208571.84183228,6208582.54745334,6208590.4868545,6208596.6906999,6208601.76369695,6208605.9219087,6208609.21113329,6208611.691137,6208613.50505591,6208614.84645014,6208615.88778912,6208616.73513977,6208617.42992925,6208617.98211034,6208618.40112961,6208618.70906203,6208618.93679841,6208619.1128848,6208619.25551468,6208619.37227802,6208619.46524648,6208619.53604313,6208619.58820246,6208619.62673282,6208619.656372,6208619.68026436,6208619.6998096,6208619.71542377,6208619.72737743,6208619.73622193,6208619.74275817
2,California,113340.311315585,116827.392276415,120488.272085833,124404.135684736,128362.202002505,132524.326452327,136885.646557646,141504.061267754,146390.484569974,151535.493711589,156949.744235295,162655.243390485,168640.701920319,174919.411175259,181502.921112819,188410.490661221,195661.592353906,203272.816450256,211260.987922542,219644.799190093,228439.679728068,237661.597984651,247326.712895243,257452.449759498,268057.388871816,279160.692459832,290782.023299842,302941.704235498,315660.097929931,328957.583406057,342854.475923523,357371.105031452,372527.86415122,388345.164656858,404843.37334429,422042.770002486,439963.408532652,458624.976733369,478046.647119357,498246.943492916,519243.618805487,541053.530367328,563692.511211591,587175.242062281,611515.111104437,636724.063907475,662812.444823388,689788.834956142,717659.890981022,746430.186922704,776102.060838082,806675.468991836,838147.848161798,870513.987097895,903765.908331274,937892.762193113,972880.735334902,1008712.97605803,1045369.53868083,1082827.34911514,1121060.19341562,1160038.73067387,1199730.53122869,1240100.14082918,1281109.17108605,1322716.41622381,1364877.99580033,1407547.52270899,1450676.29538552,1494213.51273127,1538106.50985258,1582301.01233239,1626741.40641216,1671371.02218041,1716132.42664349,1760967.7234008,1805818.85555838,1850627.90848913,1895337.40908391,1939890.61823311,1984231.81343221,2028306.55861355,2072061.95856392,2115446.89558859,2158412.24641618,2200911.07769746,2242898.81882338,2284333.4111642,2325175.43320308,2365388.20139657,2404937.84693327,2443793.36887597,2481926.66445606,2519312.5375396,2555928.68649851,2591755.67289777,2626776.87254858,2660978.4105805,2694349.08225182,2726880.26125194
3,Arizona,22166.3137222622,26067.0141863016,30448.7925808343,35058.1969092498,39954.5205695898,45157.1619171174,51597.8813052419,60102.371753468,72602.4241603925,90747.5582821048,115512.714779576,147302.251622431,186589.311588559,234061.603905269,291663.709944076,360910.396377374,445315.43678024,550121.186744398,681075.951144563,842732.778844615,1037635.67623798,1264711.85273896,1519747.62931917,1795146.11085151,2081356.79753339,2368124.05292991,2644730.25119105,2899614.19197175,3121395.67909851,3300989.52273933,3434701.01711127,3525252.88298639,3580624.09319348,3611152.63590654,3626442.86536592,3633527.84075963,3636657.89011776,3638025.53982406,3638637.83632133,3638925.83253035,3639069.64661616,3639145.63588208,3639187.54727195,3639211.18981368,3639224.51877175,3639231.85632676,3639235.72409122,3639237.65317944,3639238.56315752,3639238.97448594,3639239.1572889,3639239.23969274,3639239.27837845,3639239.29753879,3639239.30752815,3639239.3129389,3639239.31592868,3639239.31758181,3639239.3184803,3639239.31895313,3639239.31919158,3639239.31930645,3639239.31935967,3639239.31938381,3639239.31939481,3639239.31939998,3639239.31940252,3639239.31940383,3639239.31940453,3639239.3194049,3639239.31940511,3639239.31940522,3639239.31940528,3639239.31940531,3639239.31940532,3639239.31940533,3639239.31940533,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534,3639239.31940534
4,Massachusetts,97898.5267163714,99974.9939253925,101822.177750289,103423.998723505,105061.390332402,106835.470340876,108697.012002992,111113.297820386,114803.678005488,119520.946655082,124441.56005377,129239.253479054,134058.143608443,139049.377097835,144439.923783855,151095.452738458,160040.189245896,171204.294472679,183611.868826413,196500.974857364,209676.124734749,223269.875446048,237911.134893673,255126.57212155,276560.749053487,302492.795149985,331759.128010094,362932.458892419,395139.014704389,428284.612409948,463425.84265137,502929.202820298,549223.036473072,602899.651813397,662331.999104814,724959.297895622,788700.302606337,852830.790816943,918537.812787583,988623.55120194,1065653.37302196,1149763.63625338,1238283.19614668,1327335.15114016,1413812.64715488,1496624.40557074,1576972.64908535,1657385.39402707,1739664.71618958,1823222.99163875,1905292.06395639,1982650.42352601,2053308.18550029,2117198.91841665,2175839.35430372,2231217.39712828,2284472.90186229,2335269.64960907,2382297.64459071,2424340.4037311,2461029.14480541,2492947.45730314,2521245.51986937,2547041.09474472,2570923.63785574,2592853.37407809,2612472.20131051,2629525.36100355,2644093.2342202,2656569.45747461,2667481.63066152,2677275.86090045,2686177.20164192,2694196.67564832,2701255.84345656,2707322.07510893,2712470.90539226,2716867.24945049,2720701.59230201,2724123.141619,2727204.61584939,2729953.63987117,2732354.93294141,2734410.29303209,2736154.41491013,2737646.38853834,2738948.86230933,2740108.38662911,2741147.05118646,2742068.0957249,2742869.29109386,2743554.37676054,2744136.87307355,2744636.77326662,2745073.97556699,2745462.66231831,2745809.45513068,2746115.6403998,2746381.29339897,2746608.49564084
5,Wisconsin,19160.2269738138,20361.7045710189,21704.7115343568,23141.5370255328,24976.0916488615,27066.3424118492,29594.4502511348,32289.6053129383,35528.6938841366,39499.6062286174,44232.8011661257,49703.8103541276,56186.3662741174,63768.2078187394,72693.7726581831,82894.2809414863,94664.3820083917,108414.89938624,124491.266563011,143118.980826825,164694.912478435,189560.029117199,218131.987928274,250567.242016207,287118.660526526,328181.481051992,374148.459047071,425239.787106346,481627.453146085,543327.3142468,610235.040123323,681887.422778241,757622.143032861,836749.152100316,918566.870616521,1002267.72343296,1087000.13818657,1171862.70992313,1255956.66555269,1338302.30809513,1417935.14900821,1494065.59608411,1566141.02753994,1633790.54778296,1696800.44338463,1755072.52012975,1808606.01637947,1857436.8860213,1901642.05572957,1941382.42795576,1976913.35163665,2008546.61577641,2036618.65693037,2061463.38349424,2083399.50526378,2102712.46065998,2119656.28312493,2134470.51129627,2147389.9383133,2158639.24401653,2168426.58335458,2176938.61418485,2184339.58615117,2190769.61611022,2196347.38773432,2201176.93566641,2205352.92365325,2208961.51969038,2212079.9097918,2214775.7456693,2217107.43112691,2219124.26337484,2220867.49371651,2222372.44799229,2223670.41852465,2224789.40534934,2225754.26460179,2226586.69685357,2227305.38206089,2227926.09461703,2228462.01756686,2228924.33509948,2229322.81878113,2229666.13607439,2229961.95930602,2230216.99389847,2230437.02254209,2230626.94637353,2230790.87085165,2230932.2647144,2231054.13144032,2231159.11769821,2231249.56194462,2231327.51172727,2231394.73816167,2231452.74898438,2231502.81163592,2231545.99534727,2231583.21992473,2231615.2911226
6,Texas,67581.8824059578,75797.5529493757,85958.9120778244,97941.519465964,111242.275704918,125779.393090611,140853.040869489,156701.824563794,174745.14999958,194614.723009923,216643.188548,243650.555838757,282571.978742971,339923.190260366,419731.630205992,523156.11351087,650113.536144942,798664.654899292,966035.409320175,1150368.49895585,1351147.70424906,1568902.19442887,1805900.47483783,2071635.80725435,2385250.74346021,2771500.59247179,3250205.69649173,3827151.14753735,4489300.01190917,5206884.01696912,5941849.17019306,6659839.01328816,7338887.37458937,7971201.39364616,8561881.03254271,9126701.75229366,9687251.73869257,10260218.4301544,10845498.603921,11421817.7188741,11955552.9869797,12417198.6036572,12793503.3151957,13088204.0530879,13314997.3748495,13490154.5747496,13628367.0694559,13741339.1311919,13837378.347273,13921218.7026142,13994346.1506486,14056283.7316631,14106371.798813,14144984.6424756,14173653.4616752,14194500.372706,14209625.3246898,14220765.2304629,14229215.4649297,14235881.2239378,14241353.296381,14245971.026422,14249886.0124253,14253141.3394515,14255753.6073648,14257767.4693795,14259267.9036797,14260362.5274413,14261157.4873103,14261741.9142574,14262183.1573469,14262528.5053502,14262808.9104916,14263042.6627355,14263238.9326367,14263401.5108442,14263532.3524226,14263634.0231911,14263710.5232419,14263766.824718,14263807.9469987,14263838.2350851,14263861.0573175,14263878.8192732,14263893.117166,14263904.9205493,14263914.7532135,14263922.8700879,14263929.4156764,14263934.5353718,14263938.4219583,14263941.3071954,14263943.4278734,14263944.9941296,14263946.1729444,14263947.0859661,14263947.8153401,14263948.4122817,14263948.9059832,14263949.3120603
7,Nebraska,14205.8168455919,14563.3075050723,14936.1159856555,15376.8648272581,15809.0826791737,16271.0362109677,16750.2172053056,17253.09295776,17800.0034618163,18377.1078555199,18994.8035741127,19645.3134241488,20331.0606733266,21057.298972639,21824.3727549708,22638.4673827982,23499.526256343,24409.9122064453,25371.5731825434,26386.2294619698,27457.4608598424,28587.5844170419,29779.6591544798,31036.1903150665,32359.5935994567,33752.6389739112,35217.8940076504,36758.2368465296,38376.374952644,40074.9574097969,41856.5723832481,43723.6507575564,45678.6043436861,47723.697987608,49861.0725704021,52092.6878134682,54420.2733433986,56845.3317567648,59369.089108072,61992.4883478634,64716.1513583689,67540.3463308414,70464.961951979,73489.473788218,76612.9258322719,79833.9070600876,83150.5339901067,86560.4359575352,90060.7422858239,93648.0770056024,97318.5571506848,101067.798191028,104890.924988694,108782.588409594,112736.988418687,116747.902710324,120808.721651387,124912.488698273,129051.945944283,133219.584220523,137407.69682436,141608.436285439,145813.873165213,150016.056040553,154207.07169542,158379.10451217,162524.494153552,166635.790605996,170705.805794036,174727.661039594,178694.829752558,182601.174868194,186440.980659405,190208.978699111,193900.367870453,197510.828451166,201036.530413721,204474.136182243,207820.798178281,211074.15155789,214232.302600449,217293.813249747,220257.682331983,223123.323985638,225890.543834095,228559.513417313,231130.743374201,233605.05583517,235983.556446388,238267.606405127,240458.794841156,242558.911833779,244569.922309056,246493.941018198,248333.208756699,250090.069945245,251766.951658196,253366.344153756,254890.782931943,256342.832322204
8,Utah,10005.8676241987,10590.690310773,11324.9547147314,12217.890647206,13194.271146323,14265.8758109685,15398.1947922731,16584.1669427959,17951.224619491,19593.5663778958,21410.5886518992,23619.9549186684,26272.9390489646,29490.7659004609,33382.1872035812,37977.3130557666,43327.9935931692,49438.6022217484,56308.0346877159,64049.4674252236,72824.0155204158,82660.8804599583,93801.4590795613,106447.013193665,120868.103570374,137348.440803304,156101.870674977,177292.838460539,200970.685796108,227070.356150721,255510.303071119,286200.538503907,318917.352266601,353518.280082509,389843.63935431,427780.074038497,467231.819653286,508051.435286201,550019.588717445,592794.254943552,635910.34028438,678865.035415741,721181.054372148,762383.491697047,802123.91929964,840160.088998918,876376.29097429,910751.979361317,943304.375729164,974051.59148755,1002976.88334554,1030023.52009022,1055130.64952285,1078265.35762852,1099419.55113116,1118644.06983071,1136037.0407477,1151738.85163256,1165912.79954857,1178720.61803019,1190306.60485701,1200786.39297869,1210246.49353762,1218755.98488055,1226378.26776881,1233173.64493278,1239208.61400602,1244554.66099484,1249287.40606253,1253482.38923439,1257209.61476655,1260529.939299,1263492.80736424,1266136.54758623,1268491.5289359,1270583.64435207,1272435.85895005,1274070.75212949,1275510.87092723,1276778.8393981,1277896.638254,1278884.49898462,1279760.0799211,1280537.93526491,1281229.54519596,1281844.00131157,1282388.86129985,1282870.65305826,1283295.5202147,1283669.42837941,1283998.25823032,1284287.69479921,1284543.00334549,1284768.8346657,1284969.08742145,1285146.89083845,1285304.73697278,1285444.67319129,1285568.43971401,1285677.62860138
9,Oregon,4269.458089682,4368.32286488423,4464.14463336009,4571.96942957694,4720.6649611464,4889.7715574357,5063.51507214346,5259.82032152326,5504.38413066884,5797.68401390713,6125.86823147166,6500.57418204372,6949.47550004823,7473.673577846,8060.78541937807,8724.90336213874,9502.40823889601,10416.8829743021,11474.6501765934,12696.187399479,14120.9173954686,15775.6548448197,17670.6943608817,19834.6318790975,22328.7759580792,25221.5563165763,28571.7367819821,32446.3222923396,36931.6180219494,42112.156960674,48059.5765235209,54860.5682498267,62644.7499265863,71574.9569991434,81825.3680041904,93582.1543542359,107048.454023317,122426.541762881,139901.704334088,159662.184310741,181933.913562464,206985.259190573,235102.019442546,266562.690341622,301615.757426274,340443.915878581,383133.324494152,429681.180648344,480030.996705892,534089.531497972,591706.083489812,652633.878574937,716492.186275343,782737.777417636,850667.50726443,919472.751418867,988325.772442867,1056448.00378693,1123133.09033136,1187738.45664534,1249672.01509043,1308392.54465821,1363433.58497245,1414445.94413757,1461234.24907438,1503761.76985647,1542120.80662072,1576487.76980248,1607083.88934517,1634151.78426382,1657947.75278693,1678742.71440391,1696822.02235891,1712478.04084084,1725996.85444156,1737645.09360165,1747661.86579669,1756257.1127266,1763614.7679739,1769897.79002637,1775252.31498587,1779809.56190891,1783685.89496092,1786982.42694678,1789785.3452451,1792167.33435929,1794189.76937455,1795905.043625,1797358.4547636,1798589.39153763,1799631.93759442,1800515.21872939,1801263.78998415,1801898.18845297,1802435.61086105,1802890.59004608,1803275.54930284,1803601.1793625,1803876.66231316,1804109.81434847
