id,Country,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13
0,Washington,15756.576993045,16122.7859819974,16511.4136454648,16911.6506689667,17287.3304592507,17633.0410117503,18023.0054921607,18456.9099244159,18934.2284941334,19451.3855365102,19994.9093077727,20551.9013153031,21132.9702453706,21746.9392848364,22401.0662257303,23100.4085347916,23845.311794966,24632.3261194619,25461.6046244346,26335.8113676257,27259.2659238416,28237.0401869492,29273.4735982478,30371.1908959767,31532.4142381963,32759.7497268957,34056.6002761822,35427.2505846987,36876.5089274089,38409.1223299247,40029.6639641443,41742.6651527561,43552.8445762332,45465.3241061829,47485.7053345562,49619.9638638894,51874.3269759536,54255.2078887566,56769.2153682126,59423.2224245391,62224.4441077654,65180.4702000454,68299.2551747204,71589.0885293658,75058.5702299783,78716.6072298211,82572.4299687936,86635.612314237,90916.0817980343,95424.1158267127,100170.327379104,105165.647710636,110421.312005756,115948.848166727,121760.065115413,127867.036358034,134282.076305692,141017.70945014,148086.634211329,155501.683054321,163275.779206598,171421.889089594,179952.969085038,188881.9056118,198221.448289555,207984.136579967,218182.220456626,228827.575456301,239931.612177698,251505.180178119,263558.466369099,276100.888326028,289140.983242234,302686.293468663,316743.249676342,331317.052725087,346411.555397482,362029.145295721,378170.630380929,394835.128812924,412019.964881701,429720.572895042,447930.410909551,466640.886183185,485841.294195504,505518.773022798,525658.274755574,546242.55549252,567252.185233464,588665.578728432,610459.048030238,632606.877154139,655081.41887758,677853.213322024,700891.127554189,724162.515035076,747633.393344334,771268.638228458,795032.191677353,818887.281436284
1,Illinois,71545.17643184,82598.8807592085,96417.7304225612,112540.811391767,130357.43486423,148072.087124944,164407.386158073,186115.132310057,221560.65123437,273426.526858162,342689.683598809,428786.833637636,528630.01269618,636613.945402414,753519.530586401,893872.103266834,1077766.45920567,1321107.07970088,1631940.62092492,2007214.49750202,2430864.78948325,2882266.47615633,3355662.64838897,3868151.2213562,4445387.88722009,5100289.43774072,5818434.21824258,6556418.55302852,7259215.40215096,7890656.16138702,8450276.59546953,8960144.92539605,9438669.13941426,9885153.55015537,10282701.932212,10613375.5706303,10872418.2686691,11070519.9397222,11225384.1134143,11352127.3137022,11458857.1205808,11547695.2908212,11618503.2153313,11672157.638519,11711554.7855362,11740653.747773,11763031.2679708,11781039.2981048,11795783.9966133,11807623.5756451,11816747.6301876,11823511.4914403,11828453.5542747,11832138.5982934,11835007.0123539,11837319.1031906,11839189.7284646,11840663.9972933,11841782.2593912,11842606.7191325,11843213.7474923,11843673.5383994,11844035.768411,11844327.6401559,11844561.0790887,11844742.3309291,11844878.4479151,11844978.8604418,11845053.6311078,11845111.1056313,11845156.7323993,11845193.3460525,11845222.2788913,11845244.4676829,11845261.0363044,11845273.3143613,11845282.5710946,11845289.7715608,11845295.5056624,11845300.0755269,11845303.6446959,11845306.3559898,11845308.376782,11845309.8851845,11845311.0360804,11845311.9388489,11845312.6572913,11845313.2250586,11845313.6638618,11845313.9950486,11845314.2422497,11845314.4283983,11845314.5719088,11845314.6850227,11845314.7747249,11845314.8449854,11845314.8988164,11845314.9393064,11845314.9696511,11845314.9927116
2,California,59419.6768144759,62534.9291003366,65751.9029919119,69076.1898713555,72454.0396381744,75918.3719518253,79322.9746609738,82676.8738708917,86319.31152709,90252.3665223674,94476.6983421837,98993.6841085814,103796.444834917,108883.292825808,114230.515592893,119816.831489322,125672.948848765,131828.236804511,138310.554744534,145146.410607756,152359.760989109,159972.893012511,168003.170874645,176463.625167704,185370.95914964,194745.129320441,204608.916153042,214987.534805729,225908.079866267,237399.125400791,249489.852042906,262209.303376717,275586.877485061,289652.723877183,304438.048223559,319975.334729438,336298.464698046,353442.759249662,371444.878801672,390342.606088244,410174.703591191,430980.826646053,452801.474742926,475677.965872323,499652.416343247,524767.713651404,551067.460681634,578595.874928669,607397.656007053,637517.831312426,669001.586661567,701894.086226608,736240.283364374,772084.722177051,809471.326640168,848443.172179414,889042.23719379,931309.13401471,975282.820243844,1021000.29242921,1068496.26461022,1117802.83455126,1168949.14032234,1221961.00945876,1276860.60292675,1333666.05641062,1392391.1219056,1453044.81315832,1515631.05905297,1580148.36953604,1646589.51902476,1714941.25240766,1785184.01877848,1857291.7379841,1931231.60493114,2006963.93639137,2084442.06476636,2163612.28290784,2244413.84362421,2326779.0169187,2410633.20730023,2495895.13269405,2582477.06557488,2670285.13597506,2759219.69501085,2849175.73654897,2940043.37363104,3031708.3653082,3124052.68863747,3216955.14977675,3310292.02740876,3403937.74114521,3497765.53712793,3591648.18276601,3685458.66243504,3779070.86601909,3872360.26239383,3965204.55032192,4057484.27974607,4149083.43710263
3,Arizona,9447.9075327734,9922.29093173893,10380.054833236,10821.7536645306,11247.9253237171,11659.0915309573,12055.7581831925,12438.4157112253,12807.5394381592,13163.5899382719,13507.0133954746,13838.2419605912,14157.6941067572,14465.7749823101,14762.8767606009,15049.3789862197,15325.6489171784,15592.041862648,15848.9015158943,16096.5602820977,16335.3396007875,16565.5502626553,16787.492720549,17001.4573944809,17207.7249705116,17406.566693401,17598.2446529406,17783.0120639053,17961.1135395841,18132.7853588663,18298.2557268799,18457.7450291925,18611.4660795992,18759.6243615372,18902.4182631741,19040.0393062325,19172.6723686168,19300.4959009216,19423.6821369043,19542.3972980134,19656.8017920666,19767.0504061821,19873.2924940638,19975.6721577517,20074.3284239458,20169.3954150174,20261.0025148214,20349.2745294265,20434.3318428787,20516.2905681163,20595.2626931534,20671.356222648,20744.6753149732,20815.3204149066,20883.3883820528,20948.9726151141,21012.1631721213,21073.0468867368,21131.7074807395,21188.2256728005,21242.6792836545,21295.143337774,21345.6901616471,21394.38947876,21441.3085013848,21486.5120192659,21530.0624853032,21572.0200983225,21612.442883023,21651.3867671925,21688.9056562732,21725.0515053651,21759.874388746,21793.4225669897,21825.742551759,21856.8791683486,21886.8756160529,21915.7735264277,21943.613019517,21970.432758111,21996.2700001019,22021.1606489998,22045.1393026708,22068.2393003572,22090.4927680373,22111.9306621819,22132.582811961,22152.4779599535,22171.6438014121,22190.1070221318,22207.8933349702,22225.0275150673,22241.5334338072,22257.4340915678,22272.7516492991,22287.5074589714,22301.7220929326,22315.4153722123,22328.6063938109,22341.3135570076
4,Massachusetts,73223.5559471486,78105.4432895491,83497.6579175356,89071.2104813971,94481.2927588794,99309.2469786762,103001.322179539,107435.750773777,115912.097635388,127536.611575,141388.553052809,156497.69956143,171827.387208823,186185.1239721,199213.170082957,213961.430397697,234832.778488731,262818.426031325,297056.069640727,335645.000827019,376049.773421253,415664.029814333,454097.335099857,495825.87357696,547521.207667516,612837.728315704,691632.456334561,780634.008560857,874564.678050129,968247.322922192,1060597.16054933,1157406.93858919,1267916.3222618,1398330.60863011,1548675.09570218,1712920.46172087,1881457.33805631,2045652.27196535,2203313.15203423,2360644.61378677,2527452.2559571,2709677.4500505,2905348.58778706,3105397.49820668,3298178.67434312,3475444.12406518,3636578.21547187,3787911.18085666,3937310.87234244,4088436.36062717,4238689.07038454,4381331.92038481,4509751.06265204,4621123.04725148,4717483.43691563,4803833.2173418,4884810.72316714,4962269.60761347,5035075.72798732,5100708.21241486,5157288.00761751,5204782.28441427,5244915.95428593,5280118.6755054,5312293.90019347,5342154.43383711,5369377.733927,5393282.68963087,5413505.61919457,5430305.03753489,5444435.0346181,5456766.14716039,5467919.3557919,5478113.68102824,5487261.84711812,5495196.41197283,5501866.17324983,5507406.16880944,5512080.80722304,5516164.77173499,5519841.71309833,5523172.39537935,5526133.02733307,5528684.45171788,5530826.27843536,5532611.65324537,5534126.31560056,5535452.94982447,5536643.97750628,5537715.7377746,5538661.98121216,5539474.30118497,5540156.66904605,5540728.12144518,5541215.61484386,5541643.60336134,5542026.88894249,5542369.88185462,5542671.08297052,5542929.00720515
5,Wisconsin,8928.37349832029,9793.09174884979,10859.5301009557,12120.1364676692,13557.256029608,15146.4574215514,16683.7922718887,18166.0788046741,20122.807313076,22681.300962715,25961.1872547912,30057.4422818715,35033.1011116156,40916.2621037275,47526.0548179333,54700.8098048625,62823.6192575421,72346.3103279884,83768.6582748398,97602.1451972666,114329.831736733,134367.261269481,157857.727450414,184724.027663486,215225.169530434,249955.374395865,289810.514416065,335909.226189001,389470.477241464,451656.367266706,523238.233161979,604379.693721592,694991.084560884,795009.945620374,904571.134368822,1024031.53111602,1153838.98513384,1294269.60592798,1444972.39762352,1604566.85653575,1770807.8340823,1941067.51018348,2112864.66663803,2284217.04175383,2453706.8905718,2620286.36608454,2782885.27365343,2940061.34528307,3090064.15710393,3231217.33571693,3362335.79833984,3482942.26195609,3593212.2785019,3693726.90740841,3785150.57348513,3867982.4098826,3942529.00303093,4009047.21742284,4067910.72322288,4119688.67871192,4165112.68762238,4204974.3445966,4240007.23985788,4270804.29892147,4297811.80172604,4321383.50275078,4341846.6003071,4359541.106109,4374822.42187778,4388039.08579657,4399502.89075881,4409467.13726553,4418125.31819434,4425627.66088528,4432102.88593874,4437673.56865902,4442460.80300101,4446580.57122613,4450136.59271523,4453214.37324613,4455880.25195246,4458185.53715597,4460172.75135679,4461880.68210694,4463346.6125564,4464606.00854401,4465690.8573402,4466628.00810256,4467438.66958121,4468139.31489029,4468743.34789319,4469262.63402679,4469708.34027817,4470091.04052963,4470420.35763135,4470704.51156286,4470950.11661496,4471162.35449119,4471345.39890922,4471502.85845971
6,Texas,34403.464379475,35897.9781064581,37381.215862126,38853.1873291311,40313.9038307302,41763.3783030764,43201.6252673594,44628.660801813,46044.5025136079,47449.1695106489,48842.6823732921,50225.0631260026,51596.3352089661,52956.523449674,54305.6540344965,55643.7544802593,56970.853605841,58286.9815038043,59592.1695120766,60886.4501856944,62169.8572686243,63442.4256656748,64704.1914145123,65955.191657792,67195.4646154183,68425.0495569447,69643.9867741253,70852.3175536283,72050.0841499232,73237.3297583505,74414.0984883843,75580.4353370975,76736.3861628378,77881.9976591235,79017.3173287679,80142.3934582385,81257.2750922603,82362.0120086694,83456.6546935234,84541.2543164752,85615.862706417,86680.5323273985,87735.3162548266,88780.2681519496,89815.4422466325,90840.8933084263,91856.6766259358,92862.8479844901,93859.4636441185,94846.580317835,95824.2551502354,96792.5456964072,97751.5099011577,98701.206078559,99641.6928918143,100573.029333446,101495.274705805,102408.488601909,103312.730886598,104208.061678022,105094.541329451,105972.230411412,106841.189694151,107701.48013042,108553.162838591,109396.299086093,110230.950273173,111057.177916976,111875.043635954,112684.609134587,113485.936188428,114279.08662946,115064.122331774,115841.105197554,116610.097143377,117371.160086825,118124.355933391,118869.746563707,119607.39382106,120337.359499213,121059.705330522,121774.492974345,122481.784005748,123181.639904489,123874.122044292,124559.291682411,125237.209949454,125907.937839502,126571.536200487,127228.065724846,127877.586940437,128520.160201719,129155.84568119,129784.703361079,130406.793025294,131022.174251611,131630.906404119,132233.048625888,132828.659831897,133417.798702175
7,Nebraska,6942.66577912224,7609.63615900552,8336.89375719097,9125.1051814759,9976.99583104948,10907.1248966815,11922.8324451742,13031.798426415,14235.2060289151,15545.9676502239,16973.2333551286,18531.1281159905,20239.2004913766,22150.275881081,24289.51766326,26588.0539459567,29099.7539960904,31843.9985693315,34842.4487341548,38119.0307663002,41698.6255385585,45608.0934923167,49876.4238864052,54535.7846745671,59620.3041188862,65166.7105122099,71213.8941419028,77802.3419888082,84969.9021744929,92754.9002620886,101208.051716552,110377.97000797,120315.076193869,131071.229170244,142699.279164436,155252.696823642,168784.993378257,183349.02187518,198996.042498882,215774.813745657,233730.496313509,252903.496967187,273328.279058734,295032.579976726,318036.230914394,342348.60480036,367967.633685073,394878.462264308,423052.241750636,452445.128492993,482997.537194865,514633.72569606,547261.772232266,580774.00566088,615047.906965793,649947.500221897,685325.215360535,721024.177950668,756880.820354795,792727.759201264,828396.94140866,863722.807289257,898545.380897276,932713.16406948,966085.722661287,998535.873972154,1029951.40817396,1060236.30431968,1089311.42929623,1117114.73585576,1143600.998563,1168741.14484735,1192521.25087813,1214941.28035052,1236013.64307072,1255761.64124724,1274217.87144982,1291422.63889721,1307422.43027709,1322268.48055745,1336015.45890815,1348720.28953471,1360441.1152074,1371236.40471524,1381164.20032152,1390281.49751644,1398643.74677165,1406304.46542257,1413314.94698483,1419724.05512282,1425578.09007157,1430920.7159661,1435792.93847755,1440233.12321742,1444277.04647717,1447957.97096664,1451306.74026211,1454351.88664759,1457119.74791592,1459634.58948449
8,Utah,5688.10013484485,6140.95339778243,6715.33824204017,7402.34601040896,8199.02328229154,9113.6129248675,10159.0822049368,11328.9613559675,12614.4404338986,13941.3434894654,15326.5422930323,17055.9187665099,19139.296876631,21689.5532807951,24785.4259710485,28507.6319805064,32941.3031457706,38179.1824386896,44300.4518007057,51372.0697576801,59383.0387482012,68349.2435830593,78552.0847860671,90204.5822285702,103621.121844595,119136.210799693,137112.642478909,157929.032632047,181971.353584905,209599.450714436,241118.195656928,276686.118296097,316343.651200364,360232.939101879,408446.208421911,461112.644345648,518347.621442387,580236.058602806,646796.377485305,717946.394912211,793453.985267631,872894.389016703,955577.746573159,1040570.63799008,1126901.61723261,1213596.89119814,1299803.87201679,1384821.28836374,1468107.35974892,1549249.83473363,1627922.24014499,1703831.38385967,1776675.94404431,1846106.20246321,1911737.50919372,1973252.24574365,2030437.81421865,2083231.75141489,2131714.96640446,2176083.30489069,2216603.29023487,2253568.61169634,2287263.40868188,2317938.72368485,2345797.67023001,2371000.52900787,2393696.28915322,2414038.83445739,2432201.1655327,2448374.50486597,2462760.42067336,2475558.99436374,2486957.90349585,2497124.21890037,2506200.21971581,2514301.9513216,2521522.4673179,2527941.0457754,2533629.5348009,2538657.61798459,2543094.31197054,2547007.28755759,2550460.86648161,2553513.92500508,2556218.27551365,2558617.90077726,2560748.83806534,2562640.07847847,2564315.77718597,2565797.05780467,2567103.54362499,2568254.0420936,2569266.63712547,2570158.38250005,2570944.88586879,2571639.94956878,2572255.37952576,2572800.94536626,2573284.56597993,2573712.78921046
9,Oregon,2870.00777900004,2980.41239580412,3090.54495670139,3200.40326138643,3309.9851364041,3419.28843525586,3528.31103850098,3637.05085385249,3745.50581626799,3853.67388803542,3961.55305885359,4069.14134590768,4176.43679393963,4283.43747531347,4390.14149007565,4496.54696601029,4602.65205868953,4708.45495151883,4813.95385577739,4919.14701065365,5024.03268327596,5128.60916873832,5232.87479012143,5336.82789850883,5440.46687299846,5543.79012070935,5646.79607678383,5749.48320438493,5851.84999468935,5953.89496687581,6055.61666810888,6157.01367351843,6258.08458617457,6358.82803705833,6459.2426850279,6559.32721678067,6659.08034681099,6758.50081736383,6857.58739838419,6956.33888746251,7054.75410977601,7152.83191802605,7250.57119237161,7347.97084035877,7445.02979684649,7541.74702392858,7638.12151085186,7734.15227393082,7829.83835645852,7925.17882861402,8020.17278736628,8114.81935637465,8209.11768588593,8303.06695262809,8396.66635970083,8489.91513646277,8582.81253841563,8675.35784708517,8767.55036989923,8859.38944006271,8950.87441642961,9042.00468337229,9132.77965064784,9223.19875326178,9313.26145132901,9402.96722993218,9492.31559897745,9581.30609304783,9669.93827125396,9758.21171708256,9846.12603824259,9933.68086650904,10020.8758575646,10107.7106908392,10194.1850693472,10280.298719523,10366.0513910544,10451.4428567138,10536.4729121881,10621.1413759063,10705.4480888658,10789.3929144566,10872.9757382841,10956.1964679902,11039.055033073,11121.5513847052,11203.6854955506,11285.4573595797,11366.8669918838,11447.9144284882,11528.5997261633,11608.922962236,11688.8842343985,11768.4836605173,11847.7213784406,11926.5975458047,12005.1123398402,12083.2659571763,12161.0586136456,12238.4905440873
