id,Country,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05
0,Washington,340259,354172,382191,438125,547661,754286,1117689,1683368,2412522,3148333,3723595,4087786,4287901,4389269,4438488
1,Illinois,1192744,1271557,1519551,2246604,3890035,6033246,7368490,7842602,7974816,8009035,8017720,8019913,8020467,8020606,8020641
2,California,3576852,3643705,3732486,3835530,3967641,4129316,4325560,4566616,4855770,5201469,5609943,6084449,6627836,7237472,7906499
3,Arizona,818433,855788,965233,1269322,2000709,3264921,4524169,5218867,5478542,5560544,5585004,5592175,5594266,5594875,5595052
4,Massachusetts,581078,601236,628675,666251,717101,784723,872844,984513,1121175,1281389,1459966,1648055,1834621,2008884,2162689
5,Wisconsin,618960,629913,639454,656813,674199,695256,726527,756273,800433,850380,906378,983203,1060757,1159151,1270687
6,Texas,2653002,2734602,2851896,3021219,3262759,3599959,4058700,4660122,5411683,6295938,7264780,8245983,9162790,9956517,10599164
7,Nebraska,201161,207527,224360,267620,370990,579537,882155,1155190,1310023,1374918,1398533,1406671,1409423,1410347,1410657
8,Utah,372244,390853,442553,574400,846433,1216272,1500641,1633870,1681315,1696470,1701139,1702562,1702993,1703124,1703164
9,Oregon,155890,163320,179274,213197,283776,424196,680009,1077784,1562384,1999054,2294584,2456933,2535854,2571915,2587921
10,Florida,1914152,2006682,2119999,2272114,2487375,2764255,3126546,3594079,4169300,4860528,5657969,6531860,7445732,8352031,9204901
11,New York,1656630,1857929,2313471,3284383,5023278,7321298,9345653,10558220,11120300,11349343,11437699,11471056,11483546,11488209,11489948
12,Rhode Island,126577,136494,166611,244082,377257,494951,548778,565672,570293,571507,571823,571905,571926,571931,571933
13,Georgia,1007133,1062726,1187223,1454364,1977475,2836780,3899164,4818614,5390904,5675366,5800716,5852975,5874255,5882836,5886283
14,New Hampshire,75494,79174,84051,90569,99189,110428,124853,142966,165106,191288,221062,253436,286960,319948,350810
15,North Carolina,861960,909881,1007442,1198255,1543415,2086549,2774291,3433995,3913309,4193985,4337637,4406048,4437503,4451731,4458119
16,New Jersey,789218,848196,983548,1280592,1871510,2842497,4013974,4980497,5549129,5817713,5931155,5976770,5994747,6001774,6004513
17,Colorado,427915,446033,485256,567669,730300,1014388,1416722,1840308,2163101,2351850,2445202,2487500,2505897,2513755,2517086
18,Maryland,381744,393010,413512,450326,514866,623409,793694,1033356,1322898,1613255,1853654,2022424,2127436,2187889,2221132
19,Nevada,293867,300339,313410,339316,388800,476958,615852,796443,979094,1121152,1210135,1258395,1282514,1294072,1299499
20,Tennessee,776020,811804,922045,1242468,2032455,3361031,4563821,5154772,5359825,5422583,5441077,5446467,5448032,5448487,5448619
21,Hawaii,27743,28835,31185,36328,47498,71366,120751,216286,378848,601704,828519,996815,1093877,1141777,1163583
22,Indiana,663850,688197,741024,855189,1087852,1509632,2131229,2806096,3325687,3626415,3771978,3836279,3863525,3874866,3879551
23,Kentucky,405946,423841,451802,495704,563354,664474,809353,1004433,1246120,1516013,1784066,2020557,2208076,2344433,2437418
24,Minnesota,484294,498007,527750,590760,717720,949303,1302575,1713801,2060892,2280384,2394284,2447266,2470643,2480716,2485011
25,Oklahoma,425152,444459,497955,639524,971989,1568276,2238903,2675199,2863397,2929525,2951016,2957820,2959957,2960625,2960835
26,Pennsylvania,933511,975183,1058264,1219526,1516475,2013247,2722178,3528971,4234999,4720414,5000178,5145026,5215831,5249465,5265223
27,South Carolina,524505,599470,781084,1174113,1810755,2461193,2863893,3038651,3102475,3124271,3131542,3133948,3134743,3135005,3135091
28,District of Columbia,40471,42360,46307,54357,70014,97799,139790,189656,233918,263845,280454,288658,292476,294202,294973
29,Kansas,296786,304413,317769,340754,379047,439514,527276,640014,763728,877607,966348,1026783,1064210,1086028,1098298
30,Missouri,497383,519571,581982,753971,1176094,1965777,2870869,3445522,3680916,3759297,3783522,3790834,3793026,3793681,3793877
31,Vermont,15433,17477,21553,28256,40464,61233,94160,142619,203221,264913,313957,344545,360527,368022,371352
32,Virginia,570982,570982,570982,570982,570982,570982,570982,570982,570982,570982,570982,570982,570982,570982,570982
33,Connecticut,281961,296162,322671,370718,453140,581910,755904,949054,1120711,1244903,1321743,1364710,1387373,1398958,1404784
34,Iowa,364592,378129,409421,478467,616001,840465,1106507,1320479,1443231,1500065,1523712,1533106,1536769,1538186,1538734
35,Louisiana,430604,451315,515012,701590,1176818,2040637,2914332,3380818,3545309,3594154,3607886,3611686,3612733,3613021,3613100
36,Ohio,969702,1014018,1124637,1392835,1998833,3170769,4862541,6467199,7462562,7921643,8103640,8171353,8195943,8204794,8207970
37,Michigan,646418,664534,698443,761147,874417,1070605,1386690,1840199,2391356,2937695,3377598,3674962,3852570,3950822,4002864
38,South Dakota,112668,118958,145052,232550,388641,485723,511238,516077,516932,517080,517106,517111,517112,517112,517112
39,Arkansas,322120,333331,341623,359533,379010,400534,436574,472119,520407,581601,644715,726860,812683,902953,1001668
40,Delaware,86590,90621,98281,112360,136719,174710,225164,279256,325096,356630,375276,385316,390449,393003,394257
41,Mississippi,294933,302002,312562,327128,348726,379199,422223,482129,563324,670432,805914,968539,1151538,1342416,1525807
42,New Mexico,185305,190771,199910,215323,240799,281523,343413,430419,540075,660383,773483,865092,930616,973379,999631
43,North Dakota,100115,105562,135384,251858,410336,459861,466725,467531,467623,467634,467635,467635,467635,467635,467635
44,Wyoming,54499,56144,59631,66833,80897,105564,141479,181407,214036,234435,245082,250111,252373,253369,253802
45,Alaska,58526,60203,62801,66805,72902,81992,95154,113404,137239,166023,197627,228847,256587,278980,295681
46,Maine,44551,46787,51095,59292,74527,101643,146345,211356,290185,366671,426016,464388,486308,497943,503877
47,Alabama,494597,512107,542371,592703,675247,803560,987541,1223631,1487442,1741879,1957056,2121596,2238812,2318380,2370700
48,Idaho,171482,175308,181168,190179,203867,224251,253787,294877,348914,414895,488442,562435,629477,684631,726473
49,Montana,100169,104763,116703,146024,208820,310168,414753,481040,510576,521595,525424,526722,527157,527303,527352
50,Puerto Rico,100424,103506,108838,117785,133370,159678,203902,276534,391604,563943,800630,1088527,1388676,1652408,1849401
51,Virgin Islands,2670,2848,3228,4050,5782,9258,15593,25291,36676,46390,52595,55842,57363,58038,58331
52,Guam,7750,7817,7960,8199,8656,9511,11040,13823,18680,26711,38936,54954,71918,85645,94097
53,West Virginia,131620,135367,141520,151498,167338,191661,227151,275227,334110,397812,457956,507752,544622,569697,585773
54,Northern Mariana Islands,144,153,195,385,1241,4789,15511,29561,35381,36565,36765,36798,36803,36804,36804
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
