id,Country,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07
0,Washington,21643.5850779339,21917.5609760279,22205.2463451879,22541.4698557939,22902.9059772546,23276.6294138665,23664.8671448776,24058.9691200224,24461.4969649144,24884.2985900891,25330.4615755159,25798.8384509342,26289.0761556213,26798.4230261602,27325.3175123943,27871.7635990729,28440.2075639775,29032.2635552819,29649.0849942608,30290.7773826414,30956.9260189805,31647.6857318099,32363.7911545586,33106.2083593548,33875.9554114907,34673.7944933704,35500.1311296806,36355.2360321386,37239.426634413,38153.1161734269,39096.8027967188,40070.9754008669,41076.0105339071,42112.1515075602,43179.542201612,44278.2679337307,45408.3852558857,46569.9200291724,47762.8379942246,48987.0162579847,50242.2306735911,51528.157846173,52844.3856943256,54190.4221214453,55565.6947664593,56969.5440888328,58401.2156559805,59859.8558792526,61344.5128316698,62854.1405559721,64387.6037060181,65943.6806710674,67521.0653277227,69118.3686677632,70734.1216854874,72366.7801377092,74014.7307777842,75676.2982425045,77349.7519853681,79033.3131112677,80725.1613547828,82423.4425321389,84126.2765953218,85831.7661545522,87538.0051975642,89243.0877560479,90945.1163911122,92642.2104861009,94332.5143715637,96014.2052683278,97685.5009726764,99344.6671704634,100990.024273868,102619.953712053,104232.903645915,105827.394097109,107402.021481517,108955.462528644,110486.477564639,111993.913143675,113476.704027369,114933.874527346,116364.539236341,117767.903177554,119143.261402802,120489.998071149,121807.585042691,123095.580026643,124353.624326945,125581.440230916,126778.82808672,127945.663114235,129081.891992382,130187.529264548,131262.653602465,132307.403967411,133321.97570555,134306.616611634,135261.622992273,136187.335756998
1,Illinois,124364.311040667,132040.212892216,140045.45405337,147689.488102352,155338.681233726,163387.533189789,171595.678579516,183158.55978109,202175.390467216,227942.400833537,257419.885160687,288106.197362612,318908.336613903,349227.97537199,380848.491169804,419656.568537179,470051.63958914,529771.108184341,592152.74062444,651079.716514621,703361.496110863,749242.167835122,792798.236096306,839034.542320416,888543.01144305,936678.292872312,978205.505645336,1011024.81373351,1036093.16622367,1056003.74380583,1073581.12707551,1090324.12515354,1105792.47461299,1118763.57368261,1128667.92660594,1135848.22222671,1141096.05621366,1145237.39936113,1148854.03034278,1152127.87090529,1154944.14909602,1157166.75289622,1158801.99845203,1159975.10836055,1160847.62411488,1161556.29175002,1162177.16943381,1162722.34694324,1163173.12079164,1163518.90886629,1163770.92821964,1163954.06389416,1164094.62105326,1164211.78756934,1164314.03886056,1164401.42622048,1164471.61742327,1164524.55304539,1164563.18353652,1164591.86067916,1164614.55433973,1164633.76101224,1164650.33192424,1164664.1381077,1164674.97904574,1164683.07685528,1164689.03706805,1164693.57175206,1164697.24946766,1164700.37728066,1164703.03321464,1164705.19563207,1164706.8649352,1164708.10810692,1164709.03598179,1164709.75918875,1164710.35558705,1164710.86127838,1164711.28312311,1164711.61984207,1164711.87680378,1164712.06872997,1164712.21446716,1164712.33045785,1164712.42696468,1164712.5081154,1164712.57462427,1164712.62686748,1164712.6664936,1164712.69632209,1164712.71938615,1164712.73803842,1164712.75359243,1164712.76652335,1164712.77694965,1164712.78504258,1164712.79117437,1164712.79584199,1164712.7995126,1164712.80251242
2,California,113263.223192887,116598.522743728,120032.111932959,123642.26533363,127218.516085645,130920.781421804,134742.29854999,138737.399118771,142901.814843627,147212.432466252,151666.602766982,156272.744626589,161007.505621658,165872.190310482,170866.501543485,175997.486715955,181270.378996357,186686.00142672,192244.089968732,197944.965367642,203784.902217893,209760.049076955,215866.217004171,222099.969201491,228458.292060837,234937.928212932,241535.253285925,248246.406736279,255066.757147929,261990.987122994,269013.146926338,276126.863025572,283325.482695494,290602.113141493,297949.64306546,305360.783957177,312828.035561632,320343.671268759,327899.736757143,335488.081613762,343100.410413648,350728.335454146,358363.42771117,365997.268156527,373621.488178223,381227.802616019,388808.037629821,396354.158063828,403858.296479324,411312.783284243,418710.177000292,426043.294149982,433305.236830472,440489.416859642,447589.57592021,454599.801922465,461514.542140888,468328.613586945,475037.210942732,481635.912317322,488120.682842157,494487.876023023,500734.232754238,506856.87799428,512853.315220964,518721.418865797,524459.424970503,530065.920329713,535539.830362434,540880.40591816,546087.209186405,551160.098855417,556099.214658387,560904.961446155,565577.992928222,570119.195225744,574529.670376072,578810.719917908,582963.828670748,586990.648805285,590892.984285493,594672.775749594,598332.085886025,601873.085351719,605298.039272413,608609.294357506,611809.266654653,614900.429961771,617885.304906717,620766.448698026,623546.445543963,626227.897732023,628813.417356833,631305.618681067,633707.111111296,636020.492768448,638248.344630698,640393.22522506,642457.665842716,644444.166252206
3,Arizona,19997.4039165502,20692.2482906218,21344.577513923,21956.4280278363,22529.8146589894,23066.7189727631,23569.0795075641,24038.7837409847,24477.6616329663,24887.4805897671,25269.9416949537,25626.6770589421,25959.2481460497,26269.1449469376,26557.7858741865,26826.5182691044,27076.6194183637,27309.2979894235,27525.6958037043,27726.8898759984,27913.8946575147,28087.6644282065,28249.0957915908,28399.0302321265,28538.2567013865,28667.5142047664,28787.4943653509,28898.8439458553,29002.1673133047,29098.0288343785,29186.9551921507,29269.4376173649,29345.9340294287,29416.8710840397,29482.6461257986,29543.629045368,29600.1640417158,29652.5712907834,29701.1485225548,29746.1725090019,29787.9004657662,29826.5713707164,29862.4072027246,29895.6141041279,29926.3834704173,29954.8929707149,29981.3075025859,30005.7800846837,30028.4526906518,30049.4570276164,30068.9152624937,30086.9406992201,30103.638409885,30119.1058226187,30133.4332689513,30146.7044932261,30158.9971265188,30170.3831273789,30180.9291915852,30190.6971329792,30199.7442373201,30208.1235909907,30215.8843862678,30223.0722047683,30229.7292805782,30235.894744475,30241.6048505645,30246.8931865643,30251.7908688858,30256.3267235896,30260.5274542155,30264.4177974223,30268.0206673069,30271.3572892127,30274.4473237824,30277.3089819555,30279.9591315645,30282.4133961356,30284.686246458,30286.7910854464,30288.7403267826,30290.5454677888,30292.2171569532,30293.7652564955,30295.1989003361,30296.5265478042,30297.7560333954,30298.8946128685,30299.9490059495,30300.9254358916,30301.8296661206,30302.6670341815,30303.4424831826,30304.1605909213,30304.8255968636,30305.4414271321,30306.0117176526,30306.5398355909,30307.0288992096,30307.4817962579
4,Massachusetts,97716.3799951887,99468.1138433352,100947.598339957,102188.420480319,103461.675418559,104851.417703924,106306.075284886,108165.1491235,110856.088915283,114094.469469088,117246.871158172,120157.007495518,123013.39022828,125950.991025148,129107.73356878,132969.543008357,137979.573089443,143850.22152728,149874.972699967,155690.600869041,161342.507026171,167003.457338056,173009.394851147,179994.526569157,188408.284735131,197923.215863794,207729.175301927,217254.867492946,226380.516362677,235294.321800478,244475.078036277,254606.638145451,266046.696636012,278383.83516688,290757.155317972,302509.283809037,313451.998787895,323797.700693294,334055.948557536,344797.85805117,356209.057037398,367869.472682356,379080.657416427,389353.690131168,398598.883410813,407056.845617987,415148.997602137,423247.075623185,431416.420291312,439374.536400912,446733.917098476,453269.898545666,459001.717217624,464128.480443582,468914.729968256,473554.03963514,478066.058556147,482316.828240702,486147.478977935,489487.645957624,492379.918054431,494941.114781543,497301.950955159,499546.496887108,501679.90338979,503649.44884352,505399.727939098,506914.363718345,508222.012748441,509377.984213652,510437.818566135,511434.00800633,512367.425307084,513218.88306543,513970.44341291,514619.851254686,515181.652790027,515679.3315928,516134.705242036,516559.588046882,516953.898365601,517310.899339169,517625.0521198,517896.880766777,518132.989507411,518342.843194514,518534.697708679,518712.734295829,518876.798018032,519024.58530101,519154.479598851,519267.166502003,519365.492868267,519453.178130448,519533.293681572,519607.306931312,519675.131706948,519736.003893948,519789.495217816,519836.041884639
5,Wisconsin,19136.7798753251,20286.7345070598,21548.8071418006,22875.0304937257,24559.1725320005,26453.2200491095,28726.1451273332,31103.5508394085,33920.0809125191,37311.0693026529,41253.8532405342,45673.8404776619,50770.2229796457,56547.046052287,63137.7422912375,70370.3580702979,78379.3123330434,87344.676550207,97326.9124463377,108242.163180242,120123.299969918,132913.755493191,146588.902985885,160904.161864628,175713.895560433,190971.274373875,206601.136826738,222417.700193734,238265.616188864,253968.862191389,269383.047867502,284282.258805281,298495.660487218,311958.384020354,324652.040215952,336536.086742917,347587.798173627,357792.218077469,367157.236097518,375671.452083869,383342.658511496,390221.961835895,396382.444122628,401887.180920328,406794.307622028,411155.908199411,415022.945790888,418434.632383073,421428.065803922,424047.553191249,426340.659767199,428348.898540039,430107.795007166,431647.355628665,432994.05442884,434168.970212485,435190.253371811,436076.284198137,436845.496405282,437514.139365205,438095.975365905,438602.470359453,439043.432833747,439426.767820145,439759.092783813,440046.683967079,440295.658607699,440511.487051253,440698.835576494,440861.596390937,441003.062087243,441125.911995197,441232.365807568,441324.450151511,441404.101877968,441473.073989531,441532.879909296,441584.790770204,441629.878365496,441669.021871506,441702.947110315,441732.299678042,441757.685568745,441779.657242788,441798.697462959,441815.215423263,441829.556434702,441842.005681729,441852.798555876,441862.140512392,441870.221067301,441877.213400042,441883.270393804,441888.522888949,441893.081665366,441897.038774196,441900.47031589,441903.441814811,441906.012724088,441908.23727728
6,Texas,64399.6946207928,66075.4348413397,67702.6478680409,69281.8315780235,70813.5489897864,72298.4227955361,73737.1299860347,75130.3965952713,76478.9925888031,77783.7269162494,79045.4427451731,80265.0128904991,81443.3354507048,82581.3296593001,83679.9319576015,84740.092292502,85762.770640853,86748.9337602033,87699.5521639758,88615.5973177091,89498.0390517283,90347.843184532,91165.9693502873,91953.3690230813,92710.9837299952,93439.743444613,94140.5651522551,94814.3515780106,95461.9900685297,96084.3516185135,96682.2900328841,97256.6412157406,97808.222577376,98337.8325508512,98846.2502098823,99334.234980086,99802.526435945,100251.844176187,100682.887770615,101096.33677179,101492.850785305,101873.069592774,102237.613321994,102587.082659096,102922.059097841,103243.105221556,103550.765013518,103845.564191909,104128.010565758,104398.59440858,104657.788846675,104906.050259323,105143.818688341,105371.518254697,105589.557580098,105798.330211657,105998.215047947,106189.576764902,106372.766240214,106548.120975004,106715.965511691,106876.611847123,107030.359840123,107177.497612757,107318.301944676,107453.038660031,107581.963006496,107705.320026036,107823.344917133,107936.263388207,108044.292002074,108147.638511302,108246.502184374,108341.074122626,108431.537567946,108518.068201253,108600.834431825,108679.997677537,108755.712636127,108828.127547592,108897.384447864,108963.619413917,109026.962800452,109087.539468353,109145.469005083,109200.86593721,109253.839935259,109304.496011083,109352.934707957,109399.252283596,109443.540886292,109485.88872439,109526.380229286,109565.09621216,109602.114014634,109637.507653569,109671.347960162,109703.702713579,109734.636769263,109764.21218214
7,Nebraska,14363.943200398,14884.0672301762,15411.6141753773,15974.4725721612,16571.8508652217,17203.0912446105,17880.5214015416,18601.1914702429,19385.5704214369,20233.608598939,21148.5302202181,22124.3449730995,23179.1075390878,24304.8283691045,25525.032641072,26825.1077795824,28205.2646805862,29671.7182627232,31227.8112524224,32876.9997422622,34622.8031306205,36467.3289813947,38412.8114441769,40459.0502574779,42605.4372327646,44850.5630173904,47193.1074161023,49629.3689782358,52155.787928061,54765.8447566456,57453.7024888157,60212.8236093009,63035.4316141751,65912.8103909947,68835.3531100322,71792.6359167956,74773.6353220545,77766.827953004,80760.508225383,83742.9406702333,86702.5407702412,89627.9814970967,92508.4709894916,95333.8264689845,98094.7454767157,100782.799283188,103390.501876476,105911.39044662,108340.062969926,110672.192049689,112904.516600663,115034.807014268,117061.815135027,118985.20148259,120805.453438496,122523.79649479,124142.105362138,125662.808811569,127088.800248824,128423.345664545,129670.002639962,130832.546493194,131914.902570601,132921.085836278,133855.147778417,134721.130437057,135523.02746739,136264.751677428,136950.108839683,137582.777110321,138166.29143275,138704.032174294,139199.217616736,139654.899589503,140073.961970674,140459.121372901,140812.929572612,141137.777352119,141435.89944173,141709.380295201,141960.160474197,142190.043445861,142400.702634689,142593.688587333,142770.436137517,142932.271481065,143080.419095254,143216.008445893,143340.080444712,143453.593623022,143557.430004512,143652.400668746,143739.251001912,143818.66563613,143891.27308224,143957.650063608,144018.325560677,144073.784577389,144124.471641911,144170.794054893
8,Utah,9994.55165350006,10556.2455343018,11251.3719763208,12085.0139284623,12979.4273674154,13942.8776517012,14938.4639908039,15956.6810461146,17117.457331913,18503.8215751939,20007.9262485035,21817.2213609297,23952.7097466639,26491.9425233984,29488.6772778611,32911.9352624472,36743.3159179822,40914.7447819718,45352.5346921337,50083.5544395292,55164.3786132567,60524.5799680199,66261.9675898381,72411.6011126928,79036.1231846432,86173.5415852496,93778.3695081829,101760.92276648,109964.412556229,118202.4786453,126351.289516662,134346.896942038,142095.517656534,149606.755945466,156894.870504198,164000.018484673,170954.156868641,177744.300771753,184323.329520396,190608.568967489,196507.039671855,201962.574342479,206963.344982615,211506.565769794,215632.897573014,219391.538032324,222839.057939856,226025.007511676,228978.843216843,231712.316713497,234221.361561926,236495.548103891,238533.0623918,240344.723373169,241945.085998609,243358.96630702,244612.883348915,245733.643612118,246744.510940811,247661.918603632,248495.844387635,249250.611239871,249927.496356121,250528.671945831,251058.827866704,251523.611853509,251930.84844646,252288.80543809,252605.702732496,252888.785868356,253143.517599261,253373.544954287,253580.873607248,253766.475885409,253931.237639315,254076.479024609,254203.755395969,254315.10299394,254412.710361999,254498.779239663,254575.300442767,254643.850143405,254705.54528908,254761.066944596,254810.78969924,254854.99924048,254894.040053645,254928.307926438,254958.305937755,254984.585721393,255007.712490047,255028.211270397,255046.515488197,255062.947627894,255077.718894287,255090.954938594,255102.744489033,255113.178415138,255122.356575601,255130.40211617
9,Oregon,4238.37015977979,4291.11108416641,4343.22360844066,4394.70879242205,4445.56791449639,4495.80246559605,4545.41414314256,4594.40484496127,4642.77666317698,4690.53187809953,4737.67295210794,4784.20252354112,4830.12340060325,4875.43855529128,4920.15111735171,4964.26436827365,5007.78173532461,5050.70678563522,5093.04322033883,5134.7948687714,5175.96568273705,5216.55973084393,5256.58119291518,5296.03435447906,5334.92360134233,5373.25341425034,5411.0283636373,5448.2531044697,5484.93237118563,5521.07097273254,5556.67378770561,5591.74575958869,5626.29189209954,5660.31724464083,5693.82692785814,5726.82609930597,5759.31995922257,5791.31374641417,5822.8127342491,5853.8222267618,5884.34755486709,5914.39407268421,5943.96715397066,5973.07218866519,6001.71457953947,6029.89973895765,6057.63308574303,6084.92004215094,6111.76603094655,6138.17647258671,6164.15678250439,6189.71236849441,6214.84862819909,6239.57094669217,6263.8846941597,6287.79522367594,6311.30786907287,6334.42794290141,6357.16073448272,6379.51150804755,6401.4855009621,6423.08792203826,6444.32394992643,6465.19873158911,6485.71738085317,6505.88497703896,6525.70656366436,6545.18714722169,6564.3316960257,6583.14513913059,6601.63236531419,6619.79822212733,6637.64751500651,6655.18500644808,6672.41541524183,6689.3434157623,6705.97363731603,6722.31066354265,6738.35903186837,6754.12323300987,6769.60771052688,6784.81686042187,6799.75503078498,6814.42652148268,6828.83558388847,6842.9864206541,6856.88318551958,6870.52998316069,6883.93086907233,6897.08984948627,6910.01088132195,6922.69787216886,6935.15468029916,6947.38511470926,6959.39293518898,6971.18185241711,6982.75552808213,6994.11757502687,7005.27155741597,7016.220990925
