id,Country,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08
0,Washington,325557,341472,359244,378560,398932,419741,440312,459995,478247,494686,509106,521462,531841,540411
1,Illinois,1179751,1259472,1373708,1516186,1669824,1810277,1920223,1996165,2044132,2072733,2089199,2098489,2103670,2106541
2,California,3427342,3511990,3571618,3612735,3640680,3659485,3672057,3680425,3685977,3689654,3692086,3693694,3694755,3695456
3,Arizona,785875,808559,823539,833086,839037,842694,844923,846273,847089,847581,847877,848055,848163,848227
4,Massachusetts,546280,567892,586254,601595,614206,624449,632683,639247,644445,648541,651755,654268,656229,657756
5,Wisconsin,606291,617848,629707,640965,650229,659963,667965,675352,682344,688059,693570,698288,702389,706195
6,Texas,2477154,2574923,2654942,2717867,2765795,2801418,2827412,2846129,2859475,2868925,2875584,2880260,2883535,2885826
7,Nebraska,193525,195565,196941,197858,198465,198864,199126,199298,199410,199484,199532,199563,199583,199597
8,Utah,354947,362196,367488,371239,373842,375622,376827,377637,378180,378542,378782,378943,379049,379120
9,Oregon,149543,159425,172808,190246,211828,236886,263889,290726,315309,336188,352801,365341,374433,380835
10,Florida,1788505,1857286,1917577,1968298,2009505,2042039,2067148,2086189,2100435,2110987,2118744,2124416,2128546,2131545
11,New York,1568210,1828611,2162799,2473309,2683392,2795986,2848741,2871881,2881735,2885877,2887610,2888333,2888634,2888760
12,Rhode Island,117231,118834,119722,120206,120469,120610,120686,120727,120749,120761,120767,120770,120772,120773
13,Georgia,950548,990197,1024456,1053330,1077147,1096453,1111880,1124066,1133605,1141019,1146750,1151160,1154543,1157131
14,New Hampshire,69370,73186,76709,79868,82624,84971,86931,88539,89841,90882,91707,92356,92865,93260
15,North Carolina,796082,837365,874620,906625,932955,953854,969972,982128,991143,997744,1002534,1005985,1008461,1010230
16,New Jersey,724162,751472,774277,792802,807509,818978,827799,834512,839581,843386,846229,848346,849918,851084
17,Colorado,405680,415932,425564,434416,442385,449426,455546,460789,465225,468939,472021,474561,476640,478335
18,Maryland,368549,385348,402591,419651,435918,450888,464220,475749,485466,493481,499974,505158,509248,512446
19,Nevada,287084,294711,301649,308192,313489,318355,322551,326053,329166,331767,333973,335872,337449,338790
20,Tennessee,740061,750405,757179,761536,764310,766064,767169,767862,768296,768568,768739,768845,768912,768953
21,Hawaii,27354,29817,34212,41750,53816,71127,92350,113775,131460,143735,151250,155498,157791,158998
