id,Country,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07
0,Washington,22315.4959466482,22988.8968304639,23905.6409407291,24793.5657822578,25535.8913961874,27148.617997444,28227.5579223834,30411.500684094,32227.461994705,34416.6129165593,37107.0138029154,39579.9648347928,43896.6525401864,47320.7485895393,53120.4889080177,58572.7192866241,64739.5678197356,73117.6783801157,80403.7998436075,92519.2547377063,103113.532634228,118122.151256024,134273.692602542,151535.813923638,175457.798131566,197245.067246573,230015.44810581,261315.231241515,301411.329923278,347798.843680674,395409.828508295,460978.620858227,522807.471811427,607915.647190033,694897.553121197,797247.531857404,919504.491786507,1042281.47941456,1204273.23602461,1360761.0258541,1558104.92183587,1764906.12291527,1990367.29917975,2255168.36567357,2510911.08373318,2823799.0225658,3120365.65030656,3456127.21999321,3795576.47102723,4129598.12591425,4491781.25809068,4812277.38259923,5158597.38741414,5459240.238325,5753701.63526722,6021694.73003262,6250645.05274946,6469101.85768866,6639485.3191252,6799435.83160163,6923912.42416101,7030734.0816535,7119221.19482504,7187399.76574109,7247331.51556354,7291124.5910489,7329462.83363446,7358322.45413085,7381836.43320057,7400957.51945024,7415276.67424217,7427617.61965762,7436562.8755232,7444201.83323065,7449958.46078219,7454546.00970502,7458271.79607856,7461033.90246516,7463392.79947066,7465109.67376275,7466555.1726323,7467656.71941373,7468525.22239359,7469235.53097466,7469761.83082446,7470209.54340767,7470538.08709228,7470811.44532608,7471021.69786494,7471185.79023437,7471320.37379209,7471420.01756332,7471504.28280254,7471566.65563834,7471618.02856111,7471657.9684346,7471688.94348777,7471714.45615665,7471733.38740947,7471749.31137783
1,Illinois,133352.380930164,157252.567311295,188187.336795808,223677.507235975,262881.354063892,317836.352288028,406052.488970708,541502.562750039,739812.801279717,1015346.71454773,1377709.20888237,1859764.61525933,2507557.1611403,3357272.51682259,4423807.14359847,5672006.68006129,7026415.45217888,8395874.02888129,9672120.39807765,10749751.4403758,11560233.8045131,12093386.2827313,12399361.6957559,12553652.2615154,12622743.0866682,12651181.0318791,12662512.9386093,12667120.8049641,12669116.9254093,12670053.4782934,12670524.8058888,12670773.1442533,12670905.3954273,12670974.0248899,12671007.8224728,12671023.3456617,12671029.9804401,12671032.6870714,12671033.7877628,12671034.2538506,12671034.465076,12671034.5675116,12671034.6196647,12671034.6468169,12671034.6608518,12671034.6678692,12671034.6712023,12671034.6726918,12671034.6733221,12671034.6735823,12671034.6736914,12671034.6737395,12671034.673762,12671034.6737732,12671034.6737789,12671034.6737818,12671034.6737832,12671034.6737839,12671034.6737842,12671034.6737844,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845,12671034.6737845
2,California,117712.385492689,127665.161824432,137940.063231708,149059.497582763,162418.47615534,176439.529396855,195472.954972815,221586.773312537,251727.779243979,285115.515534663,323505.893070554,367861.55398152,420430.540648158,490467.729942765,579336.629417836,681344.389503313,798813.778527689,936102.141299324,1096252.09168184,1291604.87336466,1538143.3648809,1832772.07123024,2172970.86748658,2569209.55769402,3029551.64102628,3569212.98008959,4220248.11012143,4999808.07112296,5899390.49622035,6923286.87471518,8085028.62068037,9393652.52017913,10875908.5315565,12556901.7080887,14415086.4410083,16406234.3207125,18500188.2853052,20661414.1052159,22853547.6292507,25048159.057624,27189855.1105197,29197036.3313835,31008335.6290503,32594424.6925722,33946316.3708296,35074890.5037025,35999968.1562721,36739403.0488095,37314772.2631271,37754924.142657,38089501.0161427,38343855.7076595,38538197.263206,38687191.5280577,38800870.7464881,38886882.4520801,38951691.9643069,39000519.6128906,39037355.3538475,39065197.1889832,39086195.8806502,39101899.1377702,39113544.3270547,39122163.4526219,39128567.4631162,39133358.6114747,39136968.7084441,39139695.4896856,39141747.8045699,39143285.8529202,39144437.5650046,39145301.5992764,39145951.4870894,39146440.857844,39146808.1513683,39147081.9807958,39147285.1774584,39147436.0459382,39147548.5713357,39147632.9944589,39147696.5959298,39147744.4943656,39147780.43752,39147807.338467,39147827.4796468,39147842.5933134,39147853.9575899,39147862.4998916,39147868.8966254,39147873.6630504,39147877.2069352,39147879.8468418,39147881.8219061,39147883.3058418,39147884.4226485,39147885.2617174,39147885.8902599,39147886.3605072,39147886.7127277,39147886.9771043
3,Arizona,20948.0042286453,23320.6176071942,26806.2659550418,31767.0933328988,38815.5793663407,49160.636745312,63912.3443626054,84961.0058828608,115084.471831414,158660.837995904,220949.274792051,309070.958040478,432576.842516849,602032.551124767,828319.836782508,1117153.38057513,1464858.05631154,1853000.22090971,2247549.38281628,2608370.82224415,2905033.39441231,3128602.3129493,3288274.63996581,3400610.08190753,3480568.73335571,3538494.94347403,3580545.24568398,3610218.52450588,3630083.32567633,3642589.63854801,3650060.59847437,3654384.3586488,3656888.950569,3658401.34391328,3659387.4617051,3660094.5542802,3660650.50699695,3661121.47620364,3661541.84348757,3661929.67418751,3662294.84868408,3662643.3875912,3662979.59790198,3663306.81982426,3663627.57355386,3663943.60190141,3664256.00099145,3664565.40268295,3664872.14615295,3665176.40528485,3665478.26670591,3665777.77248094,3666074.9421062,3666369.78385325,3666662.30067608,3666952.49317412,3667240.36089856,3667525.90280923,3667809.11746198,3668090.00318472,3668368.55828616,3668644.78125178,3668918.67089214,3669190.22643662,3669459.44758339,3669726.33452171,3669990.88793898,3670253.10901984,3670512.99944119,3670770.56136489,3671025.79742923,3671278.71073996,3671529.30486095,3671777.583805,3672023.55202437,3672267.21440134,3672508.57623866,3672747.6432499,3672984.42154976,3673218.91764439,3673451.13842163,3673681.09114133,3673908.78342566,3674134.22324938,3674357.41893027,3674578.37911945,3674797.11279186,3675013.62923672,3675227.93804808,3675440.04911543,3675649.97261431,3675857.71899714,3676063.29898393,3676266.72355324,3676468.00393313,3676667.15159222,3676864.17823088,3677059.09577244,3677251.91635455,3677442.65232068
4,Massachusetts,100556.828903018,105864.317655477,111390.124715004,117733.390917551,124311.228067254,132454.547538962,141717.736189427,151428.858467135,164063.47057668,179961.517964139,199795.227232636,223299.410324516,251474.412437767,288164.472073598,335018.352845481,390348.208639836,454972.765494558,531291.393827391,622577.078031362,730642.598330412,856313.603539102,1003814.6426747,1179115.31710846,1384099.68856916,1618849.60891729,1883867.58460645,2182000.91401127,2513751.78470627,2872904.84947975,3251428.61339087,3643365.41379154,4041479.75916618,4435387.14264448,4813190.77860671,5166088.32743979,5488123.68414465,5773605.40758153,6018249.96299057,6221676.45995102,6386822.58562177,6517943.96069149,6619536.90031944,6696542.33369608,6754087.63395711,6796730.46966044,6828096.99914035,6851033.27497176,6867776.35541249,6880028.60284086,6889013.32847553,6895595.87257671,6900409.77840766,6903929.52216315,6906502.59013079,6908378.64952266,6909740.13749663,6910724.95850761,6911436.92047357,6911951.78767606,6912324.08245107,6912593.51023199,6912789.03150277,6912931.38746288,6913035.1908173,6913110.85862512,6913165.99130646,6913206.1579119,6913235.39122762,6913256.61446336,6913271.98209468,6913283.09755449,6913291.13953188,6913296.96087549,6913301.17754508,6913304.2366231,6913306.46086683,6913308.08078341,6913309.26088328,6913310.1201313,6913310.7454439,6913311.20020924,6913311.53048065,6913311.76990523,6913311.94326198,6913312.06876897,6913312.15968175,6913312.22558084,6913312.27339523,6913312.30813722,6913312.3334145,6913312.35181571,6913312.36520762,6913312.37494817,6913312.38202849,6913312.38717068,6913312.39090094,6913312.39360425,6913312.39556271,6913312.39698202,6913312.39801124
5,Wisconsin,19528.4676703548,21341.5206017264,24176.4961850096,27802.3966819531,32729.4840741826,38923.638888804,47520.5704586796,59071.2219660272,74813.6611045013,95810.7730219351,123869.487716906,160849.431029451,209817.82315522,274572.396050629,360007.228680246,471478.723756693,615151.697408908,797338.823214805,1024220.93191757,1300604.84432665,1628126.66974044,2002887.88772507,2414336.01551068,2845538.95569607,3275586.37241214,3683479.52370941,4052083.56299261,4370586.93530458,4635194.21388118,4848094.38884967,5015457.93795266,5145275.70478038,5245656.1420227,5323717.82811992,5385119.81731199,5434019.83357576,5473309.0063987,5504943.50993854,5530295.97251385,5550415.73917307,5566187.92620546,5578397.21035142,5587745.98075637,5594847.62683752,5600221.33044096,5604290.59265739,5607388.8310217,5609769.08005528,5611617.01148283,5613064.92433998,5614205.62045925,5615104.91016758,5615811.35790766,5616362.86511467,5616790.29269964,5617119.2744462,5617371.05409078,5617563.04948914,5617709.30270159,5617820.92582243,5617906.51944783,5617972.58405724,5618023.91925353,5618064.01245208,5618095.39626135,5618119.94313753,5618139.08378725,5618153.94545391,5618165.43311948,5618174.27619367,5618181.06146921,5618186.25786706,5618190.23709287,5618193.2901521,5618195.6412673,5618197.45999795,5618198.87266003,5618199.97278867,5618200.83008353,5618201.49741777,5618202.01573455,5618202.41722318,5618202.72734358,5618202.96627186,5618203.14997948,5618203.29108546,5618203.39950603,5618203.48295991,5618203.54737299,5618203.59723679,5618203.63592873,5618203.66598889,5618203.6893438,5618203.7074731,5618203.72152579,5618203.73239949,5618203.74079779,5618203.74727294,5618203.75225895,5618203.75609651
6,Texas,67047.8374010361,73083.2877430259,80307.6800343489,87695.157592876,96036.0337756744,106486.458760341,120650.534753257,140868.100367232,166841.029536172,198271.531294165,235566.703469584,283669.09675957,350151.385314555,442214.126513891,565022.547705554,719192.481516314,908898.892957304,1144841.25203134,1447033.05459793,1837398.45600608,2329128.59927429,2926522.2410847,3628127.81625373,4439778.72021496,5371215.6219385,6420559.23925682,7555844.16989192,8714618.05314244,9830979.41387884,10856357.1289831,11762896.83037,12530268.1795675,13143941.3763551,13604082.07015,13929400.8633987,14149796.3820433,14294670.8655029,14387427.6061072,14445055.7034163,14479814.8229135,14500374.1992203,14512499.2817618,14519739.540284,14524147.5677176,14526880.3296487,14528593.1459791,14529670.4063842,14530347.180101,14530771.4884086,14531037.0695961,14531202.7275228,14531305.4282968,14531368.7282485,14531407.8302083,14531432.4022769,14531448.3609649,14531459.1795763,14531466.8494616,14531472.5184865,14531476.8672231,14531480.3154869,14531483.131058,14531485.4885281,14531487.5034363,14531489.2536291,14531490.7929562,14531492.1597214,14531493.3818332,14531494.4800579,14531495.4702582,14531496.3649781,14531497.1745189,14531497.9076212,14531498.5718774,14531499.1739824,14531499.7198948,14531500.2149493,14531500.6639411,14531501.0711924,14531501.440607,14531501.7757148,14531502.079711,14531502.3554895,14531502.6056728,14531502.8326382,14531503.0385415,14531503.2253379,14531503.3948009,14531503.5485389,14531503.6880115,14531503.8145423,14531503.9293323,14531504.033471,14531504.1279467,14531504.213656,14531504.2914125,14531504.3619539,14531504.4259499,14531504.4840078,14531504.5366786
7,Nebraska,14823.8531117717,16001.318989463,17091.29822759,18453.5998782026,19897.1661718562,21555.6173022052,23534.7651070013,25581.034088704,28089.5450049007,31063.3338583146,34359.5512554488,38700.3795296678,43599.7831180149,49362.9180442355,56849.6773477566,65089.7058779008,74710.3563989654,86011.7861017064,98558.6061902021,113673.729031497,130798.977179668,150228.906619308,173566.580188136,199626.12569342,229982.048506466,265477.57629299,304609.034535543,349830.460709983,400393.409133917,455487.686921991,517091.549354403,582888.55528575,653638.345659578,729559.139415379,807586.59976454,889023.009562706,971754.170613269,1053477.81285033,1134702.81324256,1212363.90482976,1285706.74765132,1354445.9330209,1416904.45816785,1473578.56839095,1524254.52247443,1568894.81997229,1608286.66271485,1642585.45269443,1672330.85873777,1698119.48126482,1720292.50195773,1739357.0018329,1755711.52988603,1769681.26532602,1781615.46365999,1791782.50696829,1800426.57610587,1807771.97662545,1813999.27404898,1819274.1112252,1823738.68672478,1827511.86378366,1830699.71843872,1833391.24683761,1835662.14468821,1837577.95281568,1839193.44592015,1840555.34660253,1841703.36255335,1842670.79879919,1843485.98826355,1844172.81533897,1844751.39492058,1845238.77581444,1845649.29720457,1845995.05658236,1846286.27207881,1846531.53743596,1846738.10206017,1846912.07459312,1847058.59522508,1847181.99719728,1847285.92856295,1847373.46096806,1847447.18260659,1847509.27234748,1847561.56553173,1847605.60818989,1847642.7020656,1847673.94371602,1847700.25664898,1847722.41853487,1847741.08438961,1847756.80580816,1847770.04732022,1847781.20016772,1847790.59383503,1847798.50582593,1847805.16986586,1847810.78280251
8,Utah,10497.9703053771,11666.3737526832,13092.0673291787,14903.0398777012,17628.3126810148,21132.2779662611,25389.4140235902,31824.3049519946,40122.2672524831,51287.1723383081,66645.1109323527,87508.3273362447,114790.764592244,151651.190537458,201551.504427429,266338.236012371,351335.231959863,462807.061442738,605085.897779681,782421.260420058,1000795.06801595,1259354.13444551,1550912.76297975,1864176.44032084,2178354.25632221,2466940.03733127,2708818.8929848,2892563.19778546,3018115.88736077,3096884.78672803,3143465.94700726,3169882.28226438,3184604.05611749,3192845.92949113,3197484.08007562,3200123.16045256,3201663.22838378,3202582.25873894,3203138.57577755,3203479.00392773,3203686.22288856,3203808.89525668,3203879.58491682,3203919.558179,3203941.81859696,3203954.20297587,3203961.18907252,3203965.17385927,3203967.47477437,3203968.82983903,3203969.63796603,3203970.12153235,3203970.4116919,3203970.58470697,3203970.685671,3203970.74350451,3203970.77627008,3203970.79467149,3203970.80503419,3203970.81095429,3203970.81437133,3203970.8163618,3203970.81753715,3203970.81823532,3203970.818649,3203970.81889383,3203970.81903787,3203970.81912124,3203970.81916891,3203970.81919602,3203970.81921139,3203970.81922013,3203970.81922517,3203970.8192281,3203970.81922981,3203970.81923082,3203970.81923141,3203970.81923177,3203970.81923197,3203970.81923209,3203970.81923216,3203970.8192322,3203970.81923222,3203970.81923224,3203970.81923224,3203970.81923225,3203970.81923225,3203970.81923225,3203970.81923225,3203970.81923225,3203970.81923225,3203970.81923225,3203970.81923225,3203970.81923225,3203970.81923225,3203970.81923225,3203970.81923225,3203970.81923225,3203970.81923225,3203970.81923225
9,Oregon,4298.48536481901,4410.94067407349,4531.13610155636,4645.00743762547,4772.4018480399,4950.09004697658,5186.51024934746,5420.48445189921,5703.20764199207,6081.6161036371,6529.65972572556,7075.69524705065,7773.38115101917,8574.82870961394,9563.92339693793,10813.522434328,12271.3270099186,14048.3147594609,16307.4030859011,18985.3027384729,22228.4229781538,26282.903037051,31140.3439030166,37040.115218265,44366.744628805,53132.9425384112,63722.4530920414,76784.6999861143,92457.701816684,111296.306123711,134283.253813343,161736.152189827,194474.186285908,233882.528881437,280419.147623209,335047.541221803,399410.695036199,473778.809017381,558705.275502772,655302.204974303,762668.17673223,879694.851117766,1005476.57554219,1136616.13289589,1269360.41742255,1400365.29413333,1524672.31721438,1638114.51101595,1738214.73809385,1822815.78345017,1891519.69278552,1945639.43093314,1986859.60441665,2017431.37004667,2039787.89872808,2055902.69938263,2067419.90281826,2075659.90426204,2081545.33881127,2085744.44463311,2088750.76567418,2090899.88365944,2092430.08946989,2093518.60294152,2094289.77733043,2094833.28669065,2095216.19664581,2095485.81822654,2095675.51964762,2095809.44597629,2095904.26181662,2095971.43358549,2096019.13172586,2096053.02685401,2096077.06096498,2096094.08457535,2096106.12532787,2096114.61731804,2096120.60232691,2096124.82278629,2096127.79877009,2096129.90061047,2096131.38839916,2096132.44220684,2096133.18919028,2096133.71899546,2096134.09431446,2096134.35987037,2096134.54762594,2096134.6801858,2096134.77371001,2096134.8397285,2096134.88634766,2096134.91929315,2096134.94260832,2096134.95911869,2096134.97081237,2096134.97909654,2096134.98496197,2096134.98911095
