id,Country,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09
0,Washington,22869.9822298607,23643.5695605409,24306.5637331714,25572.0537832676,26408.8340554538,28007.7421706287,29333.0303432519,31062.5219729166,33124.2105618452,35238.5511729086,38204.2465465325,40598.7579857114,44629.5301922845,48340.9206774535,53130.2341287627,59016.0974676526,64332.172630241,72451.2827051465,79482.2212397491,89428.5278729248,99627.6373987554,111145.30135723,125595.830931999,138992.239059327,157640.992630409,174594.179786016,196347.304939202,219209.143396515,242810.313841263,271797.858326744,297631.940646846,330387.998270687,360045.475161145,393190.109994225,426802.641257236,457939.773146699,492728.74060254,521342.7752371,552927.211617935,579252.011749429,604532.100996226,627719.799159228,646395.613677945,664858.735448362,678448.059122647,691531.516387202,701527.83012534,710011.11994221,717230.408752483,722570.280199437,727493.392264898,730961.123805731,734094.170342579,736448.974464765,738352.434996417,739955.964991824,741114.325760809,742160.623848674,742897.707718808,743543.736763047,744033.208385831,744419.373437141,744744.94198797,744978.818957755,745187.620661112,745336.410840121,745464.399814184,745562.976077989,745639.694691221,745704.831243915,745751.675310038,745793.123441184,745823.050190331,745848.341510093,745868.073897259,745883.254663703,745896.176457048,745905.498516606,745913.667879874,745919.650551253,745924.633685818,745928.575722445,745931.584470528,745934.152762244,745936.014476724,745937.629497265,745938.827305326,745939.810852395,745940.596674968,745941.192580818,745941.701128092,745942.071972021,745942.390459587,745942.629765586,745942.823943097,745942.980608428,745943.098918413,745943.199792961,745943.273832697,745943.33675705
1,Illinois,133383.488312785,152501.892398667,175474.291374326,200095.166405625,224799.546018494,257717.155526086,309283.685061893,382270.69386205,475458.10546931,582680.122741309,692646.343766694,806267.681943467,922515.233563174,1029677.01317787,1116976.40246619,1178676.7160758,1218137.09878971,1241972.61248927,1254994.3607052,1261387.19128621,1264349.20428391,1265679.61534192,1266293.98763043,1266601.61688017,1266765.55958153,1266855.8505413,1266905.7642179,1266932.85991217,1266947.48490953,1266955.25846137,1266959.16037257,1266961.0102352,1266961.864188,1266962.25873561,1266962.4496562,1266962.54824874,1266962.60130591,1266962.63033331,1266962.64609631,1266962.65450589,1266962.65894349,1266962.66122745,1266962.66234923,1266962.66288078,1266962.66313039,1266962.66324982,1266962.66330972,1266962.66334121,1266962.66335816,1266962.66336733,1266962.66337223,1266962.66337479,1266962.66337612,1266962.66337679,1266962.66337711,1266962.66337727,1266962.66337734,1266962.66337738,1266962.6633774,1266962.66337741,1266962.66337741,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742,1266962.66337742
2,California,124619.007982099,134051.422842746,144747.714281909,157282.770984237,169883.591341511,182112.536394788,203051.175708894,230231.433771749,257592.587302344,291793.057499351,329758.755400943,368057.715866307,415714.282956934,482095.331574425,559715.948735649,645537.650142484,745594.15805269,851564.276109939,966516.092201682,1106627.93055044,1273055.58838724,1451424.57680413,1641899.89923849,1841590.53346715,2039198.30107817,2242818.13158141,2458898.01367305,2673363.92155212,2872897.49038392,3054338.05328016,3212153.00561596,3345825.13885054,3462112.56035896,3561917.08279585,3642651.94276841,3705431.2772951,3753587.53407291,3789961.38402268,3817755.82293476,3839761.16536919,3857129.96311547,3870404.01984918,3880386.3243244,3887880.59933815,3893492.80179434,3897772.61741486,3901116.84343872,3903697.37835074,3905630.05073231,3907057.61693439,3908110.76532759,3908891.87000023,3909484.79435011,3909944.05235537,3910296.28948842,3910560.98447777,3910758.30700329,3910905.53295562,3911016.19105817,3911100.90449893,3911166.34201519,3911216.10225892,3911253.18963478,3911280.62433121,3911300.96776465,3911316.22590083,3911327.88268137,3911336.84690878,3911343.65535671,3911348.75442797,3911352.55764729,3911355.40526982,3911357.56025451,3911359.21150867,3911360.47602207,3911361.43009284,3911362.14050415,3911362.66795067,3911363.06184638,3911363.35965434,3911363.58737338,3911363.76127814,3911363.89254606,3911363.9907324,3911364.06412501,3911364.11932913,3911364.16127094,3911364.19333327,3911364.21771223,3911364.23602343,3911364.24966894,3911364.25984557,3911364.26749332,3911364.27329939,3911364.27772951,3911364.28109294,3911364.2836224,3911364.28551502,3911364.28693407,3911364.28800561
3,Arizona,21634.2456033419,23506.3486800716,26433.9667393201,30845.781282261,36750.286820161,45481.0959590534,57406.9204688792,73501.5559172388,94499.7011047073,121513.28583381,153844.880975567,189794.685273691,227206.937996256,262207.394944201,292474.399223875,316150.616582704,333551.334807271,346069.756778223,355053.88683962,361586.702592318,366294.218067698,369652.57757194,371941.082101298,373424.050231339,374335.473591403,374877.995175833,375202.026183092,375400.294581182,375529.013537454,375618.863407245,375686.869772277,375742.09312481,375789.295408369,375831.096248421,375868.952141113,375903.785401133,375936.208294295,375966.69513898,375995.609516207,376023.219006221,376049.707312631,376075.194216728,376099.75997882,376123.460350414,376146.337382625,376168.425203184,376189.753428131,376210.349026917,376230.237234383,376249.442069819,376267.986568497,376285.892914099,376303.182489481,376319.875920722,376335.993122829,376351.553345128,376366.575211238,376381.076749417,376395.07541696,376408.588120008,376421.631230786,376434.220603252,376446.371587749,376458.099045103,376469.417360275,376480.340455705,376490.881804388,376501.054442706,376510.870983014,376520.343625974,376529.484172629,376538.304036214,376546.814253701,376555.025497094,376562.948084446,376570.591990636,376577.966857874,376585.082005951,376591.946442238,376598.568871428,376604.957705024,376611.121070582,376617.066820706,376622.8025418,376628.335562582,376633.672962356,376638.821579065,376643.788017101,376648.5786549,376653.199652317,376657.656957781,376661.956315245,376666.103270925,376670.103179843,376673.961212161,376677.682359339,376681.27144009,376684.733106159,376688.071847924,376691.291999817
4,Massachusetts,105212.804873878,109574.836888483,114362.745064382,119211.200681008,125195.616982224,131679.561597961,137784.97505053,146003.433572435,156046.18113412,168030.725555293,181223.190172233,196165.930165989,214840.391194277,237321.910374254,261178.296451039,286239.497916209,312913.441489591,341583.082676054,371291.57030403,400993.641478897,431072.13847784,462083.304126182,492516.532560494,521087.369845919,547281.33839906,571379.631770793,593112.406155726,611757.857650879,627178.827876467,639907.159131257,650339.331753288,658725.079655404,665316.501923612,670497.328824261,674598.459255647,677820.592767891,680298.997129434,682193.878160369,683652.750739004,684782.293065905,685648.261706364,686304.297869682,686801.577759598,687181.795330239,687472.381678661,687693.322159079,687861.188614465,687989.707104838,688088.40030764,688163.736851132,688220.853775902,688264.269943991,688297.444876457,688322.786628107,688342.025989885,688356.596098894,688367.669779861,688376.115136818,688382.545201526,688387.433950838,688391.159528818,688394.008822842,688396.185343125,688397.841107653,688399.098795956,688400.056641082,688400.787205558,688401.343302725,688401.765470306,688402.08616829,688402.330362245,688402.516434606,688402.658071055,688402.765923347,688402.848198618,688402.911004298,688402.958856697,688402.995247727,688403.022930598,688403.044017629,688403.060077208,688403.072290689,688403.081574187,688403.088638462,688403.094019569,688403.09811824,688403.101239322,688403.103617622,688403.105431188,688403.106813443,688403.107865583,688403.108666023,688403.109275291,688403.109739231,688403.110092335,688403.110360938,688403.110565315,688403.110720942,688403.110839484,688403.110929768
5,Wisconsin,19992.214540609,22220.9336501724,25162.7221151838,28558.123561203,32601.0541352851,37585.6047868753,44872.8400395221,54917.615203094,67929.9770239866,83977.5844669942,103494.950827128,126753.616932436,154646.668184706,187704.756643432,225227.499301137,265375.079331289,306157.290393908,345671.924199105,382546.742621679,415851.633442193,444745.532663508,468715.5557247,487935.813922372,503053.252037666,514866.573159954,524150.724309773,531521.41213031,537412.671493928,542138.594201121,545933.951116834,548979.104557303,551419.093640255,553369.974384127,554914.206301281,556117.599674236,557041.862851387,557746.59890238,558283.865806693,558696.377180813,559015.661780177,559264.452195978,559459.349887401,559612.682939823,559733.576463626,559829.076752451,559904.551975637,559963.940555224,560010.297554473,560046.166904081,560073.745172819,560094.910082122,560111.206316529,560123.804927401,560133.582266354,560141.201128198,560147.160824772,560151.833923185,560155.50613276,560158.39434226,560160.660971407,560162.432764941,560163.811271449,560164.87872764,560165.702967901,560166.339729671,560166.832324205,560167.214128814,560167.510939309,560167.742417342,560167.923332519,560168.065000061,560168.176022894,560168.26293611,560168.330858444,560168.383837567,560168.425045263,560168.457009834,560168.4817763,560168.500957873,560168.515823714,560168.527369239,560168.536359475,560168.543372547,560168.548851174,560168.553133338,560168.556478459,560168.559090198,560168.561128748,560168.562718008,560168.563954557,560168.564914974,560168.565659846,560168.566237418,560168.566685906,560168.567034889,560168.567306845,560168.567518985,560168.567684495,560168.567813576,560168.567914248
6,Texas,69715.1418277054,75115.5808650726,82060.456309091,88867.0037805154,95826.9472040964,106058.032302911,119134.194885726,138147.119082365,161653.792029534,189036.680233205,220304.219180583,258452.069748155,310153.063383071,376568.163422984,457891.802047499,547447.716782095,642482.876053505,743539.98411736,851653.427715856,965557.793439122,1074651.34226722,1171074.85495181,1250593.74188423,1315093.21397343,1366921.81104664,1406759.49268588,1435358.96407236,1454200.1995279,1466096.21388839,1473484.34348644,1478120.45014609,1481012.18261653,1482780.42619568,1483842.44551421,1484476.72232251,1484864.52569132,1485109.15461091,1485268.34422894,1485372.93050713,1485440.94529922,1485484.42023879,1485511.89834286,1485529.46113787,1485540.93955097,1485548.64629842,1485553.93909234,1485557.67285432,1485560.40281589,1485562.48315779,1485564.13205897,1485565.47827384,1485566.60000127,1485567.54751939,1485568.35638624,1485569.05323771,1485569.65834422,1485570.18711361,1485570.65126006,1485571.05994493,1485571.42056558,1485571.73926963,1485572.02124583,1485572.27091999,1485572.49210359,1485572.68810878,1485572.86183634,1485573.01583939,1485573.15237152,1485573.27342444,1485573.38075958,1485573.47593556,1485573.5603323,1485573.63517215,1485573.70153825,1485573.76039063,1485573.81258032,1485573.85886183,1485573.89990411,1485573.93630033,1485573.96857647,1485573.99719896,1485574.02258141,1485574.04509059,1485574.06505177,1485574.08275339,1485574.09845121,1485574.11237207,1485574.12471712,1485574.13566474,1485574.14537311,1485574.15398252,1485574.16161736,1485574.16838795,1485574.17439213,1485574.17971665,1485574.18443844,1485574.18862574,1485574.19233904,1485574.19563201,1485574.19855222
7,Nebraska,15221.9158962477,16218.0669354013,17197.8662239821,18337.631157597,19595.1617486087,21009.4738672724,22598.567890017,24371.7806012705,26380.8375571423,28560.4845857157,31056.5272101906,34074.6449482562,37339.8248142112,41211.7607036619,45871.8866832267,50816.5635461179,56199.2286586174,62007.1895433971,68175.968041607,74793.305666588,81586.4264829074,88670.7476432073,96000.2095756615,103265.623434499,110693.627576394,118028.077371882,125001.249122154,131730.581900782,137968.472496828,143636.953089613,148765.698392527,153313.309612923,157362.277276219,160920.787808936,164020.895121172,166741.19396852,169098.175531194,171137.921062853,172908.451879996,174430.810438028,175740.382468514,176866.79150673,177831.814840273,178659.114516943,179367.433401715,179973.677702411,180492.815843594,180936.535134748,181315.880306445,181640.167725766,181917.014555929,182153.42876264,182355.241682744,182527.389645031,182674.255916983,182799.522270963,182906.35004371,182997.45987054,183075.155840355,183141.420911225,183197.935738608,183246.129769763,183287.232173884,183322.284525641,183352.175753989,183377.667271775,183399.405783836,183417.943742826,183433.752957426,183447.235141552,183458.733204667,183468.539370784,183476.902757271,183484.035868638,183490.119704705,183495.308666908,183499.734463027,183503.509338086,183506.729056915,183509.475296799,183511.817696864,183513.815664424,183515.519863293,183516.973500549,183518.213427774,183519.271071167,183520.173234866,183520.942779586,183521.599202265,183522.159133984,183522.636760089,183523.044179848,183523.391714114,183523.688166189,183523.941045074,183524.156755917,183524.340762139,183524.497723978,183524.631616553,183524.745830601
8,Utah,11213.6617766617,12269.960189728,13611.2934163986,15617.665351289,18393.8365166581,21895.6678084985,26117.3198439259,32409.5550337657,39904.0256321881,50074.122077532,63289.3912439644,79454.3361764792,99086.7211337314,123189.809787158,150763.875872141,179817.00698624,210104.101874803,239032.785419534,263804.738782642,283330.267045495,297553.809811462,306786.923343312,312449.334713785,315822.508433615,317736.086359881,318818.442651991,319448.746315828,319813.450194355,320024.018523597,320152.091415022,320230.946498156,320279.072178275,320308.76705785,320327.022003663,320337.708056084,320343.89008297,320347.468100528,320349.484007396,320350.628577214,320351.300685778,320351.694826981,320351.92552698,320352.065829681,320352.151490576,320352.202997352,320352.234189108,320352.253024951,320352.263968664,320352.270295924,320352.273976122,320352.276074492,320352.277280908,320352.277996079,320352.278419344,320352.278668807,320352.278819975,320352.278911509,320352.278965968,320352.278998548,320352.27901801,320352.279029289,320352.279035824,320352.279039647,320352.27904185,320352.279043129,320352.279043891,320352.279044343,320352.279044611,320352.279044772,320352.279044869,320352.279044926,320352.27904496,320352.27904498,320352.279044992,320352.279044999,320352.279045003,320352.279045005,320352.279045006,320352.279045007,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008,320352.279045008
9,Oregon,4429.41594341268,4537.48276967784,4635.17879226369,4775.53457674952,4932.18929285766,5092.8135358931,5349.76222574349,5611.82308790853,5881.61447120236,6295.71660362589,6777.13393852523,7289.60995578566,8029.72350405645,8888.16264603556,9825.27826245404,11102.6553000372,12619.0243102585,14302.6778192417,16529.5764244227,19174.5395985284,22128.0762275317,25894.640155884,30370.2821584041,35371.33927313,41515.0287991338,48663.7902905116,56526.0206374367,65774.3628862497,76175.332606006,87204.4689123929,99403.6884627816,112325.262918776,125178.962597039,138221.325722658,150851.686122125,162274.490198005,172643.246554842,181614.054876716,188866.291889226,194730.027209338,199296.452427586,202664.476119557,205173.912757765,207013.165767474,208316.163438842,209258.357288666,209939.76204527,210421.670776647,210768.964238024,211020.280488153,211198.280324229,211325.61739148,211417.013191142,211481.274360059,211526.721867583,211559.089460077,211581.819437867,211597.888354173,211609.371128339,211617.49873904,211623.274756469,211627.416335919,211630.357381605,211632.44384047,211633.932890739,211634.986332806,211635.729849096,211636.258140259,211636.631809974,211636.895904939,211637.084000127,211637.217686619,211637.312552617,211637.380242492,211637.428416918,211637.462577036,211637.48687691,211637.504125629,211637.516327508,211637.524988474,211637.531137111,211637.535494713,211637.538594672,211637.540802606,211637.542372545,211637.543491449,211637.544289348,211637.544857017,211637.545261366,211637.545549615,211637.545754811,211637.545901146,211637.546005741,211637.546080524,211637.546134129,211637.546172672,211637.546200414,211637.546220432,211637.546234924,211637.546245434
