id,Country,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13
0,Washington,175999,185332,190638,193646,195348,196311,196855,197162,197336,197434,197489,197520,197538,197548,197554
1,Illinois,772203,812939,842550,864218,879284,890243,897977,903483,907409,910188,912167,913570,914566,915274,915775
2,California,1312672,1392303,1451784,1495793,1528145,1551813,1569064,1581606,1590706,1597300,1602073,1605526,1608022,1609825,1611128
3,Arizona,353956,380579,405743,429213,451034,471299,490050,507367,523323,537995,551460,563797,575083,585392,594795
4,Massachusetts,244581,258898,270169,279473,286419,292028,296368,299746,302401,304456,306062,307312,308283,309040,309628
5,Wisconsin,434443,458593,477534,492305,503775,512653,519506,524785,528846,531965,534359,536195,537603,538681,539507
6,Texas,1306335,1366423,1411301,1444576,1469114,1487135,1500328,1509966,1516995,1522114,1525840,1528549,1530519,1531951,1532991
7,Nebraska,137963,148140,155856,161655,165993,169225,171628,173410,174729,175704,176425,176957,177350,177640,177854
8,Utah,210611,223667,232874,239268,243665,246668,248710,250095,251031,251663,252090,252378,252572,252703,252791
9,Oregon,81210,86639,90187,92472,93937,94874,95472,95853,96096,96251,96349,96412,96452,96477,96493
10,Florida,1040321,1075943,1102764,1122122,1136140,1146299,1153630,1158925,1162744,1165497,1167481,1168911,1169941,1170683,1171217
11,New York,684192,717978,745564,767171,784122,797425,807815,815930,822257,827186,831022,834007,836328,838132,839534
12,Rhode Island,62195,67011,70835,73757,75986,77688,78981,79962,80705,81267,81692,82014,82256,82440,82578
13,Georgia,494223,513592,528632,540223,549112,555905,561080,565014,568000,570264,571978,573275,574255,574997,575557
14,New Hampshire,23855,26596,28810,30593,32025,33174,34094,34830,35419,35889,36264,36564,36803,36993,37145
15,North Carolina,383843,404554,420951,433792,443769,451472,457391,461923,465382,468017,470021,471542,472697,473572,474235
16,New Jersey,357771,380132,399351,415562,429225,440729,450388,458491,465276,470954,475700,479664,482974,485735,488037
17,Colorado,253871,272079,283009,289474,293270,295488,296782,297535,297973,298227,298375,298461,298511,298540,298557
18,Maryland,209272,221593,231785,240149,246973,252513,256994,260606,263510,265841,267707,269201,270394,271347,272107
19,Nevada,162893,171986,177411,180614,182493,183592,184233,184607,184824,184951,185025,185068,185093,185107,185116
20,Tennessee,394760,418594,439137,457130,472047,484965,495864,505091,512934,519544,525139,529860,533842,537201,540030
21,Hawaii,18585,18879,19060,19166,19228,19265,19286,19299,19306,19311,19313,19315,19316,19316,19317
22,Indiana,394642,655473,1453224,3194892,5055097,5944180,6213730,6283780,6301237,6305540,6306598,6306858,6306922,6306937,6306941
23,Kentucky,196042,213658,228567,241105,251599,260349,267619,273642,278621,282730,286114,288898,291186,293064,294605
24,Minnesota,342974,369889,388407,400934,409314,414879,418556,420977,422568,423612,424297,424745,425039,425231,425357
25,Oklahoma,208312,220400,228651,234239,238006,240537,242233,243369,244128,244635,244974,245200,245351,245451,245519
26,Pennsylvania,402698,440401,472078,499533,521845,540758,556405,569338,580082,588919,596213,602217,607151,611207,614536
27,South Carolina,225699,233832,240179,245113,248939,251900,254188,255953,257314,258362,259169,259790,260268,260635,260917
28,District of Columbia,22164,22164,22164,22164,22164,22164,22164,22164,22164,22164,22164,22164,22164,22164,22164
29,Kansas,168513,178467,185708,190891,194587,197225,199100,200434,201380,202052,202529,202866,203106,203276,203396
30,Missouri,321397,335075,343038,347631,350270,351782,352648,353143,353425,353587,353679,353732,353762,353779,353789
31,Vermont,4703,4925,5051,5119,5151,5170,5179,5183,5186,5187,5188,5188,5188,5189,5189
32,Virginia,244503,244503,244503,244503,244503,244503,244503,244503,244503,244503,244503,244503,244503,244503,244503
33,Connecticut,128895,138150,145608,151397,155848,159313,161980,164041,165629,166852,167795,168520,169078,169507,169838
34,Iowa,242887,255453,265251,272854,278729,283254,286731,289397,291439,293001,294195,295106,295802,296333,296738
35,Louisiana,246860,253717,256947,258458,259164,259494,259648,259720,259753,259769,259776,259780,259781,259782,259782
36,Ohio,461150,504247,536905,561542,580068,593963,604364,612138,617943,622274,625502,627909,629701,631037,632031
37,Michigan,420527,445938,459798,467328,471416,473635,474839,475492,475847,476039,476143,476200,476230,476247,476256
39,Arkansas,166603,172437,175403,176903,177661,178045,178238,178336,178385,178410,178423,178429,178432,178434,178435
40,Delaware,38173,40496,42300,43647,44655,45411,45976,46399,46716,46952,47128,47260,47359,47432,47487
41,Mississippi,161181,167065,170439,172354,173436,174046,174390,174584,174693,174754,174788,174808,174819,174825,174828
42,New Mexico,105978,115545,122889,128435,132595,135698,138003,139709,140969,141898,142582,143085,143455,143727,143926
46,Maine,12819,13490,13836,14014,14105,14151,14174,14186,14192,14196,14197,14198,14198,14199,14199
47,Alabama,264412,276253,284280,289662,293249,295629,297205,298245,298932,299384,299682,299878,300008,300093,300149
