id,Country,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19
0,Washington,352114,352865,353051,353098,353110,353113,353114,353114,353114,353114,353114,353114,353114,353114
1,Illinois,1212014,1212014,1212014,1212014,1212014,1212014,1212014,1212014,1212014,1212014,1212014,1212014,1212014,1212014
2,California,3628990,3630208,3631078,3631240,3631285,3631308,3631311,3631313,3631313,3631313,3631313,3631313,3631313,3631313
3,Arizona,833878,833878,833878,833878,833878,833878,833878,833878,833878,833878,833878,833878,833878,833878
4,Massachusetts,605141,605846,605994,606028,606034,606035,606036,606036,606036,606036,606036,606036,606036,606036
5,Wisconsin,626364,626364,626364,626364,626364,626364,626364,626364,626364,626364,626364,626364,626364,626364
6,Texas,2738352,2738537,2738539,2738539,2738539,2738539,2738539,2738539,2738539,2738539,2738539,2738539,2738539,2738539
7,Nebraska,205103,205103,205103,205103,205103,205103,205103,205103,205103,205103,205103,205103,205103,205103
8,Utah,379081,379081,379081,379081,379081,379081,379081,379081,379081,379081,379081,379081,379081,379081
9,Oregon,160610,161327,161911,162260,162471,162625,162717,162777,162817,162842,162858,162869,162876,162880
10,Florida,1985507,1986548,1986728,1986749,1986752,1986752,1986752,1986752,1986752,1986752,1986752,1986752,1986752,1986752
11,New York,1757166,1759156,1759524,1759578,1759585,1759586,1759586,1759586,1759586,1759586,1759586,1759586,1759586,1759586
12,Rhode Island,131750,131750,131750,131750,131750,131750,131750,131750,131750,131750,131750,131750,131750,131750
13,Georgia,1036585,1036607,1036607,1036607,1036607,1036607,1036607,1036607,1036607,1036607,1036607,1036607,1036607,1036607
14,New Hampshire,79070,79070,79070,79070,79070,79070,79070,79070,79070,79070,79070,79070,79070,79070
15,North Carolina,887311,887311,887311,887311,887311,887311,887311,887311,887311,887311,887311,887311,887311,887311
16,New Jersey,844398,844398,844398,844398,844398,844398,844398,844398,844398,844398,844398,844398,844398,844398
17,Colorado,445430,446286,446900,447097,447175,447220,447234,447241,447244,447245,447245,447246,447246,447246
18,Maryland,394716,394716,394716,394716,394716,394716,394716,394716,394716,394716,394716,394716,394716,394716
19,Nevada,299817,299817,299817,299817,299817,299817,299817,299817,299817,299817,299817,299817,299817,299817
20,Tennessee,794137,794137,794137,794137,794137,794137,794137,794137,794137,794137,794137,794137,794137,794137
21,Hawaii,28643,28643,28643,28643,28643,28643,28643,28643,28643,28643,28643,28643,28643,28643
22,Indiana,673528,673528,673528,673528,673528,673528,673528,673528,673528,673528,673528,673528,673528,673528
23,Kentucky,417412,417412,417412,417412,417412,417412,417412,417412,417412,417412,417412,417412,417412,417412
24,Minnesota,498926,498926,498926,498926,498926,498926,498926,498926,498926,498926,498926,498926,498926,498926
25,Oklahoma,432793,432793,432793,432793,432793,432793,432793,432793,432793,432793,432793,432793,432793,432793
26,Pennsylvania,973370,973370,973370,973370,973370,973370,973370,973370,973370,973370,973370,973370,973370,973370
27,South Carolina,534869,534869,534869,534869,534869,534869,534869,534869,534869,534869,534869,534869,534869,534869
28,District of Columbia,42730,42730,42730,42730,42730,42730,42730,42730,42730,42730,42730,42730,42730,42730
29,Kansas,300441,300441,300441,300441,300441,300441,300441,300441,300441,300441,300441,300441,300441,300441
30,Missouri,572074,572074,572074,572074,572074,572074,572074,572074,572074,572074,572074,572074,572074,572074
31,Vermont,17047,17047,17047,17047,17047,17047,17047,17047,17047,17047,17047,17047,17047,17047
32,Virginia,597141,597141,597141,597141,597141,597141,597141,597141,597141,597141,597141,597141,597141,597141
33,Connecticut,293955,293955,293955,293955,293955,293955,293955,293955,293955,293955,293955,293955,293955,293955
34,Iowa,343851,343851,343851,343851,343851,343851,343851,343851,343851,343851,343851,343851,343851,343851
35,Louisiana,438557,438557,438557,438557,438557,438557,438557,438557,438557,438557,438557,438557,438557,438557
36,Ohio,992223,992223,992223,992223,992223,992223,992223,992223,992223,992223,992223,992223,992223,992223
37,Michigan,676494,676494,676494,676494,676494,676494,676494,676494,676494,676494,676494,676494,676494,676494
38,South Dakota,114791,114791,114791,114791,114791,114791,114791,114791,114791,114791,114791,114791,114791,114791
39,Arkansas,327456,327456,327456,327456,327456,327456,327456,327456,327456,327456,327456,327456,327456,327456
40,Delaware,90751,90751,90751,90751,90751,90751,90751,90751,90751,90751,90751,90751,90751,90751
41,Mississippi,301250,301250,301250,301250,301250,301250,301250,301250,301250,301250,301250,301250,301250,301250
42,New Mexico,188664,188664,188664,188664,188664,188664,188664,188664,188664,188664,188664,188664,188664,188664
43,North Dakota,101150,101150,101150,101150,101150,101150,101150,101150,101150,101150,101150,101150,101150,101150
44,Wyoming,55352,55352,55352,55352,55352,55352,55352,55352,55352,55352,55352,55352,55352,55352
45,Alaska,60691,60691,60691,60691,60691,60691,60691,60691,60691,60691,60691,60691,60691,60691
46,Maine,47395,47395,47395,47395,47395,47395,47395,47395,47395,47395,47395,47395,47395,47395
47,Alabama,508717,508717,508717,508717,508717,508717,508717,508717,508717,508717,508717,508717,508717,508717
48,Idaho,176007,176007,176007,176007,176007,176007,176007,176007,176007,176007,176007,176007,176007,176007
49,Montana,102344,102344,102344,102344,102344,102344,102344,102344,102344,102344,102344,102344,102344,102344
50,Puerto Rico,103278,103278,103278,103278,103278,103278,103278,103278,103278,103278,103278,103278,103278,103278
51,Virgin Islands,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767,2767
52,Guam,7773,7773,7773,7773,7773,7773,7773,7773,7773,7773,7773,7773,7773,7773
53,West Virginia,136019,136019,136019,136019,136019,136019,136019,136019,136019,136019,136019,136019,136019,136019
54,Northern Mariana Islands,157,157,157,157,157,157,157,157,157,157,157,157,157,157
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
