place,week_ahead,quantile,value
Washington,1,point,8823
Washington,1,0.025,7721.72170159537
Washington,1,0.1,7741.52616215119
Washington,1,0.25,8321.11540677106
Washington,1,0.5,8823
Washington,1,0.75,11830.7718759856
Washington,1,0.9,15191.4154371951
Washington,1,0.975,15282.4847511608
Washington,2,point,7773
Washington,2,0.025,6571.32903845492
Washington,2,0.1,6593.30769052418
Washington,2,0.25,7219.29823579443
Washington,2,0.5,7773
Washington,2,0.75,11273.9522634466
Washington,2,0.9,15509.5149175811
Washington,2,0.975,15636.4831002225
Washington,3,point,6809
Washington,3,0.025,5534.76181437472
Washington,3,0.1,5558.34542112872
Washington,3,0.25,6215.65117704469
Washington,3,0.5,6809
Washington,3,0.75,10766.1181675573
Washington,3,0.9,15946.3518969617
Washington,3,0.975,16118.3066695665
Washington,4,point,5965
Washington,4,0.025,4540.24627523776
Washington,4,0.1,4567.1053218445
Washington,4,0.25,5290.80584627118
Washington,4,0.5,5965
Washington,4,0.75,10824.5374113918
Washington,4,0.9,17881.6939158859
Washington,4,0.975,18146.7522744507
Washington,5,point,5225
Washington,5,0.025,3716.06163832389
Washington,5,0.1,3744.80114250873
Washington,5,0.25,4499.13097748259
Washington,5,0.5,5225
Washington,5,0.75,10903.3127693211
Washington,5,0.9,20066.3088729649
Washington,5,0.975,20456.5468272913
Washington,6,point,4572
Washington,6,0.025,3028.10535377346
Washington,6,0.1,3057.67055247176
Washington,6,0.25,3823.15703709493
Washington,6,0.5,4572
Washington,6,0.75,10652.1649886857
Washington,6,0.9,20862.9903725147
Washington,6,0.975,21313.821645695
Washington,7,point,3999
Washington,7,0.025,2441.42345535343
Washington,7,0.1,2471.34331141463
Washington,7,0.25,3236.92714183839
Washington,7,0.5,3999
Washington,7,0.75,10445.7221763044
Washington,7,0.9,21773.3827104398
Washington,7,0.975,22296.2694784574
Illinois,1,point,18846
Illinois,1,0.025,16491.4407179978
Illinois,1,0.1,16541.3639476182
Illinois,1,0.25,16591.0551304997
Illinois,1,0.5,18846
Illinois,1,0.75,19780.0619970474
Illinois,1,0.9,28619.3720777078
Illinois,1,0.975,28842.5054826663
Illinois,2,point,16052
Illinois,2,0.025,13534.6821261541
Illinois,2,0.1,13589.1242527597
Illinois,2,0.25,13641.1313892161
Illinois,2,0.5,16052
Illinois,2,0.75,17078.941476595
Illinois,2,0.9,27431.2131657599
Illinois,2,0.975,27721.3379266075
Illinois,3,point,13529
Illinois,3,0.025,10911.9305060847
Illinois,3,0.1,10968.8597526843
Illinois,3,0.25,11022.1751651689
Illinois,3,0.5,13529
Illinois,3,0.75,14625.5764210703
Illinois,3,0.9,26398.3430786219
Illinois,3,0.975,26763.6399749079
Illinois,4,point,11425
Illinois,4,0.025,8589.02568224456
Illinois,4,0.1,8651.40336016314
Illinois,4,0.25,8708.24300055611
Illinois,4,0.5,11425
Illinois,4,0.75,12664.2011439858
Illinois,4,0.9,27243.4090724765
Illinois,4,0.975,27758.7885647391
Illinois,5,point,9625
Illinois,5,0.025,6718.18150111208
Illinois,5,0.1,6781.95770540235
Illinois,5,0.25,6838.73166246077
Illinois,5,0.5,9625
Illinois,5,0.75,10951.3819491655
Illinois,5,0.9,28135.7441459481
Illinois,5,0.975,28827.2633002124
Illinois,6,point,8102
Illinois,6,0.025,5178.11493918208
Illinois,6,0.1,5242.16259129185
Illinois,6,0.25,5298.4815652103
Illinois,6,0.5,8102
Illinois,6,0.75,9466.49551987855
Illinois,6,0.9,27935.0623644056
Illinois,6,0.975,28714.1550533585
Illinois,7,point,6814
Illinois,7,0.025,3917.35113536846
Illinois,7,0.1,3980.08173232774
Illinois,7,0.25,4035.52203182523
Illinois,7,0.5,6814
Illinois,7,0.75,8198.13405475886
Illinois,7,0.9,27859.1710092354
Illinois,7,0.975,28734.2616516677
California,1,point,87823
California,1,0.025,76372.899017444
California,1,0.1,76588.0262074123
California,1,0.25,76972.4812815884
California,1,0.5,87823
California,1,0.75,98037.2021336932
California,1,0.9,125547.038270803
California,1,0.975,128058.253687853
California,2,point,68734
California,2,0.025,56740.552841313
California,2,0.1,56967.9986359518
California,2,0.25,57380.9172376014
California,2,0.5,68734
California,2,0.75,79947.739473454
California,2,0.9,112150.329066381
California,2,0.975,115351.080822307
California,3,point,53508
California,3,0.025,41391.001225483
California,3,0.1,41621.23208554
California,3,0.25,42045.0986400582
California,3,0.5,53508
California,3,0.75,65345.4801954496
California,3,0.9,101503.312625072
California,3,0.975,105401.663278336
California,4,point,41497
California,4,0.025,28796.2718657497
California,4,0.1,29039.646979184
California,4,0.25,29495.4936440531
California,4,0.5,41497
California,4,0.75,54769.6772137149
California,4,0.9,98950.5568048108
California,4,0.975,104223.730592021
California,5,point,32090
California,5,0.025,19921.7199474412
California,5,0.1,20153.4082559387
California,5,0.25,20597.7700918427
California,5,0.5,32090
California,5,0.75,45797.4796449262
California,5,0.9,95939.1812266252
California,5,0.975,102593.591812349
California,6,point,24760
California,6,0.025,12990.639564307
California,6,0.1,13213.3073625523
California,6,0.25,13647.0362169998
California,6,0.5,24760
California,6,0.75,38601.7184181484
