id,Country,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30
0,"Afghanistan",223,307,431,613,880,1267,1819,2589,3630,4982,6644,8558,10600,12606,14423
1,"Albania",31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2,"Algeria",596,643,690,736,780,823,865,905,944,982,1019,1054,1088,1121,1153
3,"Andorra",51,52,52,52,52,52,52,52,52,52,52,52,52,52,52
4,"Angola",3,4,5,7,9,10,12,15,17,20,24,28,32,37,43
5,"Antigua and Barbuda",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6,"Argentina",459,595,815,1231,1997,3415,5985,10474,17849,28864,43191,58760,72586,82751,89194
7,"Armenia",81,109,151,207,276,356,446,542,639,732,815,886,944,989,1024
8,"Australia",102,105,107,109,110,110,111,111,112,112,112,112,112,112,112
9,"Austria",638,650,660,669,677,684,690,696,701,706,710,713,716,719,722
10,"Azerbaijan",49,61,74,90,109,131,156,185,218,255,297,342,391,444,500
11,"Bahamas",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,"Bahrain",13,14,16,18,20,22,23,24,25,26,26,27,27,27,27
13,"Bangladesh",475,660,930,1317,1868,2651,3764,5337,7546,10622,14848,20553,28075,37682,49460
14,"Barbados",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
15,"Belarus",200,234,266,296,324,349,371,390,406,419,430,439,447,453,458
16,"Belgium",9275,9489,9642,9756,9837,9897,9940,9971,9993,10010,10021,10030,10036,10041,10044
18,"Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Bolivia",257,381,555,816,1192,1734,2499,3550,4941,6692,8762,11035,13336,15478,17321
20,"Bosnia and Herzegovina",144,154,161,166,169,172,173,175,175,176,177,177,177,177,177
21,"Brazil",23191,32452,46020,66130,94495,133929,186839,254469,335768,426519,519737,607573,683778,745243,791937
22,"Brunei",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,"Bulgaria",132,155,174,191,205,218,229,239,247,254,261,266,271,275,279
24,"Burkina Faso",52,53,54,54,54,55,55,55,55,55,55,55,55,55,55
25,"Cabo Verde",3,4,4,5,5,6,6,7,8,8,9,10,10,11,12
26,"Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Cameroon",168,215,297,439,691,1130,1880,3135,5139,8111,12048,16469,20504,23444,25200
28,"Canada",6540,7132,7712,8279,8834,9372,9889,10384,10853,11295,11710,12096,12454,12784,13087
29,"Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Chad",62,74,84,92,98,104,108,112,115,117,119,120,122,123,123
31,"Chile",708,1057,1640,2612,4081,6072,8366,10557,12296,13479,14200,14609,14832,14951,15014
32,"China",4638,4638,4638,4638,4638,4638,4638,4638,4638,4638,4638,4638,4638,4638,4638
33,"Colombia",729,932,1183,1458,1748,2056,2381,2722,3079,3451,3835,4231,4636,5049,5467
34,"Congo (Brazzaville)",17,20,24,29,35,43,53,66,83,103,129,161,201,250,309
35,"Congo (Kinshasa)",68,89,118,159,216,295,406,559,772,1067,1473,2029,2785,3804,5158
36,"Costa Rica",10,12,14,15,17,18,20,21,22,24,25,26,27,28,30
37,"Cote d'Ivoire",30,35,40,46,54,64,75,89,105,125,148,176,209,249,295
38,"Croatia",100,102,103,104,104,105,105,105,105,105,106,106,106,106,106
39,"Diamond Princess",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
40,"Cuba",82,84,86,87,87,87,88,88,88,88,88,88,88,88,88
41,"Cyprus",17,17,17,18,18,18,18,18,18,19,19,19,19,19,19
42,"Czechia",317,336,357,380,404,431,460,491,524,560,599,641,686,734,785
43,"Denmark",567,585,599,609,617,622,627,630,632,634,635,637,637,638,638
44,"Djibouti",12,26,82,299,1090,3001,4766,5077,5084,5084,5084,5084,5084,5084,5084
45,"Dominican Republic",467,508,548,587,626,665,703,740,776,811,845,877,909,938,967
46,"Ecuador",3155,3415,3909,4577,5510,6773,8449,10599,13252,16372,19844,23482,27061,30369,33253
47,"Egypt",741,892,1112,1401,1791,2315,3015,3947,5181,6803,8913,11623,15047,19282,24386
48,"El Salvador",36,47,60,75,92,110,131,153,179,206,236,268,302,337,375
49,"Equatorial Guinea",13,21,35,56,88,132,187,248,307,357,394,420,436,446,453
50,"Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Estonia",64,66,68,69,71,73,75,76,78,80,82,84,86,88,90
52,"Eswatini",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
53,"Ethiopia",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
54,"Fiji",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"Finland",309,318,324,328,331,332,333,334,335,335,335,335,336,336,336
56,"France",28435,28825,29088,29266,29385,29464,29517,29552,29576,29591,29602,29609,29613,29616,29618
57,"Gabon",12,16,20,23,26,29,31,33,35,37,38,40,41,41,42
58,"Gambia",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,"Georgia",12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
60,"Germany",8309,8557,8774,8987,9187,9374,9546,9706,9853,9989,10114,10230,10336,10433,10523
61,"Ghana",32,36,41,46,52,60,68,78,89,102,117,134,153,174,197
62,"Greece",171,179,185,189,193,196,198,200,201,203,204,204,205,205,206
63,"Guatemala",59,98,170,302,541,966,1690,2842,4491,6540,8678,10537,11901,12776,13287
64,"Guinea",20,25,30,35,40,45,49,54,58,62,66,70,74,78,82
65,"Guyana",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
66,"Haiti",27,40,69,133,277,589,1216,2321,3866,5443,6592,7232,7534,7665,7720
67,"Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"Honduras",178,223,279,349,436,545,679,844,1045,1286,1571,1902,2279,2698,3154
69,"Hungary",484,504,524,544,563,582,601,620,638,656,673,691,708,725,741
70,"Iceland",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
71,"India",4027,5323,7134,9603,12992,17636,23985,32638,44384,60238,81474,109633,146470,193818,253313
72,"Indonesia",1405,1744,2188,2778,3560,4596,5963,7763,10122,13198,17179,22284,28754,36832,46728
73,"Iran",7428,7953,8593,9345,10223,11236,12391,13688,15121,16675,18327,20048,21800,23544,25241
74,"Iraq",155,185,223,269,325,394,479,584,711,866,1054,1283,1559,1890,2286
75,"Ireland",1609,1653,1678,1694,1704,1710,1714,1717,1718,1719,1720,1720,1720,1720,1720
76,"Israel",281,286,288,290,291,291,292,292,292,292,292,292,292,292,292
