id,Country,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30
0,Washington,1108,1153,1193,1230,1263,1293,1320,1345,1368,1388,1406,1423,1438,1451
1,Illinois,5493,6099,6711,7280,7777,8194,8531,8796,8998,9150,9263,9346,9407,9451
2,California,4266,4828,5430,6076,6759,7475,8217,8980,9756,10536,11314,12079,12826,13546
3,Arizona,919,1037,1154,1268,1378,1484,1583,1675,1761,1839,1910,1973,2030,2081
4,Massachusetts,6929,7380,7731,7999,8198,8345,8452,8530,8586,8626,8654,8675,8689,8700
5,Wisconsin,564,624,704,809,945,1113,1311,1531,1761,1985,2188,2363,2505,2615
6,Texas,1752,1955,2125,2263,2375,2465,2538,2597,2644,2682,2711,2735,2754,2770
7,Nebraska,171,191,206,219,228,236,241,245,248,250,252,253,254,254
8,Utah,112,129,147,167,189,212,236,262,289,316,344,372,399,426
9,Oregon,156,161,164,166,168,168,169,169,170,170,170,170,170,170
10,Florida,2520,2839,3189,3580,4008,4476,4981,5521,6095,6696,7320,7960,8609,9259
11,New York,30603,31238,31800,32282,32692,33037,33323,33560,33755,33914,34044,34149,34234,34303
12,Rhode Island,715,799,862,907,938,959,974,984,990,995,997,999,1001,1001
13,Georgia,2027,2251,2470,2691,2908,3121,3327,3524,3712,3888,4054,4207,4348,4478
14,New Hampshire,249,285,316,342,364,383,398,410,420,429,436,441,445,449
15,North Carolina,907,1055,1255,1516,1853,2280,2805,3429,4142,4920,5728,6523,7267,7928
16,New Jersey,11741,12241,12650,12976,13236,13439,13597,13720,13814,13887,13942,13984,14017,14041
17,Colorado,1471,1606,1734,1854,1964,2063,2153,2232,2302,2364,2417,2463,2503,2537
18,Maryland,2577,2880,3174,3451,3707,3937,4140,4316,4467,4594,4701,4788,4860,4919
19,Nevada,400,423,450,480,513,549,587,629,674,721,770,821,872,923
20,Tennessee,373,412,451,492,532,573,613,653,692,730,766,800,833,864
21,Hawaii,17,17,17,17,17,17,17,17,17,17,17,17,17,17
22,Indiana,2195,2413,2623,2822,3006,3174,3325,3457,3573,3673,3758,3830,3891,3941
23,Kentucky,425,448,463,474,481,485,488,490,492,493,493,494,494,494
24,Minnesota,1050,1240,1438,1638,1835,2020,2189,2339,2467,2575,2664,2736,2793,2838
25,Oklahoma,334,361,390,423,459,498,541,587,637,689,743,800,859,918
26,Pennsylvania,5769,6356,6897,7385,7815,8190,8514,8790,9024,9220,9385,9522,9635,9729
27,South Carolina,494,576,689,841,1039,1287,1582,1911,2255,2590,2893,3150,3357,3515
28,District of Columbia,476,518,558,594,626,653,676,695,711,723,733,741,748,753
29,Kansas,211,216,221,226,230,235,239,242,245,248,251,253,255,257
30,Missouri,813,852,897,939,982,1024,1066,1106,1146,1185,1223,1260,1295,1329
31,Vermont,54,55,55,56,56,56,56,57,57,57,57,57,57,57
32,Virginia,1336,1480,1594,1679,1738,1778,1805,1822,1833,1840,1845,1848,1849,1851
33,Connecticut,3981,4232,4425,4573,4686,4772,4835,4881,4915,4940,4957,4970,4979,4986
34,Iowa,544,626,707,783,854,916,970,1016,1054,1086,1111,1131,1147,1160
35,Louisiana,2896,3126,3366,3619,3879,4139,4397,4646,4884,5107,5314,5502,5671,5822
36,Ohio,2302,2653,3010,3376,3744,4114,4482,4846,5202,5549,5885,6207,6514,6806
37,Michigan,5768,6102,6386,6650,6887,7099,7286,7451,7595,7721,7831,7926,8009,8080
38,South Dakota,56,62,68,72,77,80,84,86,89,91,93,94,96,97
39,Arkansas,141,181,245,346,495,705,975,1288,1609,1899,2131,2299,2412,2484
40,Delaware,371,411,445,473,495,513,526,536,544,549,554,557,559,560
41,Mississippi,724,824,937,1055,1177,1302,1428,1552,1673,1788,1896,1996,2088,2171
42,New Mexico,377,435,491,544,594,641,686,727,764,799,830,859,885,908
43,North Dakota,63,77,96,119,149,185,227,274,324,375,424,469,507,539
44,Wyoming,14,17,19,22,24,27,29,32,35,37,40,42,45,48
45,Alaska,10,10,10,10,10,10,10,10,10,10,10,10,10,10
46,Maine,88,101,118,140,167,200,237,278,321,363,403,439,470,495
47,Alabama,619,703,792,885,978,1071,1160,1244,1322,1392,1455,1510,1557,1598
48,Idaho,84,90,97,104,113,123,134,146,159,174,190,208,227,248
49,Montana,16,16,16,16,16,16,16,16,16,16,16,16,16,16
50,Puerto Rico,131,135,140,146,152,160,169,179,191,204,218,233,250,267
51,Virgin Islands,6,6,6,6,6,6,6,6,6,6,6,6,6,6
52,Guam,5,5,5,5,5,5,5,5,5,5,5,5,5,5
53,West Virginia,81,98,130,187,287,452,703,1038,1416,1766,2037,2217,2324,2384
54,Northern Mariana Islands,2,2,2,2,2,2,2,2,2,2,2,2,2,2
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
