id,Country,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06
0,"Afghanistan",312,370,433,499,569,643,720,800,883,967,1052,1137,1223,1308
1,"Albania",34,37,39,41,43,45,47,48,50,52,53,55,56,57
2,"Algeria",703,742,769,788,802,812,820,825,829,831,833,834,835,836
3,"Andorra",51,51,51,51,51,51,51,51,51,51,51,51,51,51
4,"Angola",5,6,7,9,11,13,17,21,26,32,41,51,63,79
5,"Antigua and Barbuda",3,9,50,363,2454,9589,15381,16383,16466,16473,16473,16473,16473,16473
6,"Argentina",632,757,926,1157,1468,1883,2429,3136,4027,5119,6408,7865,9434,11034
7,"Armenia",181,221,253,278,298,312,323,331,338,342,345,348,350,351
8,"Australia",103,104,105,107,109,112,116,120,126,133,142,153,167,185
9,"Austria",681,693,703,711,717,722,726,729,731,733,734,736,737,737
10,"Azerbaijan",87,117,161,223,310,430,592,804,1071,1392,1754,2136,2513,2858
11,"Bahamas",11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,"Bahrain",25,33,41,49,57,64,70,74,78,81,84,85,86,87
13,"Bangladesh",865,1158,1535,2026,2662,3485,4544,5898,7617,9776,12454,15723,19640,24226
14,"Barbados",7,7,7,7,7,7,7,7,7,7,7,7,7,7
15,"Belarus",271,304,335,363,388,409,427,442,454,465,473,480,486,490
16,"Belgium",9619,9736,9825,9893,9944,9983,10012,10034,10050,10063,10072,10079,10084,10088
17,"Benin",3,3,3,3,3,3,3,3,3,3,3,3,3,3
18,"Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Bolivia",427,564,755,1020,1375,1836,2407,3075,3806,4550,5251,5867,6373,6768
20,"Bosnia and Herzegovina",160,167,173,180,186,192,198,204,210,215,220,226,230,235
21,"Brazil",35636,43637,53204,64628,77957,93094,109982,128320,147666,167484,187127,205979,223502,239296
22,"Brunei",2,2,2,2,2,2,2,2,2,2,2,2,2,2
23,"Bulgaria",147,152,154,156,157,157,157,158,158,158,158,158,158,158
24,"Burkina Faso",53,54,54,54,54,54,54,54,54,54,54,54,54,54
25,"Cabo Verde",4,4,4,4,4,4,4,4,4,4,4,4,4,4
26,"Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0
