id,Country,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27
0,Washington,31808,35690,40205,45489,51586,58496,66233,74722,83854,93466,103346,113256,122951,132203
1,Illinois,141099,144807,148130,151063,153639,155895,157861,159569,161049,162328,163430,164379,165194,165894
2,California,219542,272207,338884,417054,500786,582129,653897,711971,755730,786951,808363,822651,832012,838071
3,Arizona,72957,99339,128427,157295,182543,202358,216606,226211,232407,236291,238682,240137,241017,241547
4,Massachusetts,108315,109199,109818,110250,110550,110758,110903,111003,111072,111120,111154,111177,111192,111203
5,Wisconsin,27332,30172,33372,36897,40684,44644,48670,52646,56463,60026,63268,66148,68654,70794
6,Texas,153402,213703,300167,413812,545797,678583,793785,881325,941279,979442,1002605,1016258,1024167,1028702
7,Nebraska,18707,19437,20027,20499,20872,21165,21393,21571,21708,21813,21895,21957,22005,22042
8,Utah,20879,24667,28651,32747,36813,40726,44378,47688,50612,53134,55267,57040,58494,59671
9,Oregon,8162,9648,11309,13172,15238,17503,19959,22586,25359,28243,31197,34177,37135,40026
10,Florida,129215,175633,238578,317099,404477,490141,564125,621238,661586,688322,705291,715767,722124,725942
11,New York,392245,396263,399913,403195,406117,408697,410957,412925,414628,416094,417350,418424,419338,420114
12,Rhode Island,16782,17079,17331,17535,17702,17837,17947,18036,18107,18165,18211,18248,18278,18302
13,Georgia,76455,92069,112126,135675,160531,183943,203715,218911,229757,237092,241874,244916,246821,248003
14,New Hampshire,5701,5822,5912,5979,6029,6066,6093,6113,6128,6139,6147,6153,6158,6161
15,North Carolina,61172,69704,77852,85568,92738,99313,105260,110576,115277,119395,122972,126057,128700,130953
16,New Jersey,170939,172369,173460,174285,174908,175375,175725,175986,176181,176327,176435,176516,176576,176620
17,Colorado,32193,34090,36268,38729,41459,44429,47588,50871,54202,57497,60679,63678,66442,68937
18,Maryland,66727,68674,70223,71443,72397,73137,73708,74148,74486,74744,74941,75091,75206,75293
19,Nevada,16169,19724,23936,28641,33556,38342,42690,46397,49388,51696,53415,54663,55551,56175
20,Tennessee,40315,45963,51993,58315,64802,71309,77695,83825,89585,94892,99691,103960,107701,110935
21,Hawaii,882,943,994,1036,1070,1098,1121,1140,1155,1168,1178,1187,1194,1200
22,Indiana,44521,46401,48046,49474,50704,51756,52650,53407,54043,54577,55024,55397,55707,55965
23,Kentucky,15286,17011,18990,21218,23677,26330,29124,31994,34865,37662,40318,42780,45009,46986
24,Minnesota,35098,37315,39393,41345,43158,44834,46373,47778,49054,50208,51247,52179,53012,53754
25,Oklahoma,13199,16484,20310,24594,29180,33860,38407,42616,46343,49511,52114,54193,55816,57059
26,Pennsylvania,89372,92219,94855,97255,99428,101395,103167,104760,106189,107467,108608,109625,110530,111334
27,South Carolina,32621,42505,54186,67242,80835,94012,105911,115982,124047,130221,134787,138077,140404,142027
28,District of Columbia,10243,10404,10523,10611,10674,10721,10755,10779,10797,10810,10819,10826,10831,10835
29,Kansas,13865,16223,19607,24204,30005,36672,43550,49887,55137,59113,61921,63807,65033,65811
30,Missouri,20633,23346,26502,30177,34377,39106,44334,49997,55998,62212,68492,74685,80645,86248
31,Vermont,1207,1244,1279,1310,1337,1362,1384,1403,1420,1436,1450,1462,1473,1482
32,Virginia,61350,64017,65790,66848,67441,67760,67928,68016,68062,68085,68097,68104,68107,68109
33,Connecticut,46145,46376,46512,46590,46635,46661,46676,46685,46690,46693,46694,46695,46696,46696
34,Iowa,28511,31435,34636,37985,41322,44489,47357,49846,51926,53611,54941,55970,56753,57342
35,Louisiana,55540,61215,67806,75433,83403,91877,100357,108492,116069,122794,128586,133417,137335,140448
36,Ohio,49959,56402,64519,74443,86140,99341,113527,127984,141936,154707,165838,175130,182612,188461
37,Michigan,70057,73237,77489,83172,90622,100197,112183,126695,143571,162291,181987,201581,220002,236416
38,South Dakota,6616,6893,7118,7298,7441,7554,7643,7713,7767,7810,7843,7869,7889,7904
39,Arkansas,19901,24653,29974,35635,41382,46942,52071,56599,60442,63597,66116,68084,69593,70736
40,Delaware,11152,11542,11897,12222,12516,12780,13017,13227,13412,13576,13719,13845,13954,14049
41,Mississippi,25882,29563,33443,37170,40669,43879,46736,49227,51353,53136,54611,55815,56788,57569
42,New Mexico,11702,13105,14816,16833,19110,21561,24066,26493,28725,30680,32322,33651,34695,35497
43,North Dakota,3472,3644,3799,3937,4059,4167,4262,4344,4416,4479,4532,4579,4619,4653
44,Wyoming,1429,1740,2185,2803,3641,4729,6072,7625,9292,10939,12442,13712,14718,15475
45,Alaska,857,960,1067,1177,1289,1403,1518,1635,1753,1872,1991,2110,2229,2346
46,Maine,3148,3327,3500,3665,3823,3973,4115,4248,4374,4491,4601,4703,4797,4885
47,Alabama,35543,41011,46737,52474,58100,63459,68435,72944,76941,80416,83384,85884,87962,89673
48,Idaho,5662,9010,15734,26724,39624,49789,55481,58058,59111,59522,59680,59740,59763,59772
49,Montana,888,1170,1616,2321,3410,5043,7387,10540,14428,18736,22966,26648,29527,31594
50,Puerto Rico,7181,7863,8529,9177,9802,10399,10967,11503,12006,12475,12910,13312,13681,14019
51,Virgin Islands,84,106,158,286,579,1178,2143,3209,3970,4356,4516,4578,4601,4609
52,Guam,243,266,287,306,323,337,350,362,372,381,388,395,401,406
53,West Virginia,2829,3211,3701,4328,5123,6121,7357,8860,10651,12735,15088,17662,20378,23136
54,Northern Mariana Islands,30,30,30,30,30,30,30,30,30,30,30,30,30,30
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
