id,Country,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11
0,"Afghanistan",34877,36747,38555,40301,41984,43603,45158,46650,48078,49444,50748,51991,53176,54303
1,"Albania",3478,4147,4915,5789,6777,7886,9121,10483,11969,13572,15281,17079,18944,20851
2,"Algeria",20079,26677,37174,53717,79507,118968,177679,261451,374054,513727,670458,827443,967509,1079985
3,"Andorra",855,855,855,855,855,855,855,855,855,855,855,855,855,855
4,"Angola",479,653,892,1214,1651,2242,3043,4125,5588,7562,10222,13798,18590,24986
5,"Antigua and Barbuda",68,68,68,68,68,68,68,68,68,68,68,68,68,68
6,"Argentina",97127,117542,138746,160370,182016,203283,223796,243234,261342,277949,292958,306345,318147,328442
7,"Armenia",32504,35940,38810,41106,42881,44217,45201,45917,46431,46797,47057,47240,47369,47460
8,"Australia",10257,13785,21169,36385,66745,123551,217940,346976,482026,587931,653195,687502,704017,711628
9,"Austria",19236,20711,22970,26390,31478,38852,49141,62760,79566,98581,118071,136097,151232,162931
10,"Azerbaijan",24204,28010,31693,35206,38513,41589,44415,46986,49300,51366,53196,54805,56211,57434
11,"Bahamas",104,104,104,104,104,104,104,104,104,104,104,104,104,104
12,"Bahrain",32569,35211,37273,38814,39926,40711,41255,41628,41881,42052,42167,42244,42296,42330
13,"Bangladesh",183549,201493,216679,229490,240270,249320,256905,263251,268554,272980,276671,279747,282308,284440
14,"Barbados",98,99,99,100,100,101,101,101,101,101,102,102,102,102
15,"Belarus",65116,66243,67050,67626,68036,68327,68534,68681,68785,68859,68911,68948,68974,68993
16,"Belgium",63023,64407,66290,68835,72237,76724,82537,89892,98929,109634,121779,134895,148321,161329
17,"Benin",1199,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199,1199
18,"Bhutan",85,89,92,95,98,100,102,104,106,107,109,110,111,112
19,"Bolivia",48367,58321,68836,79526,89981,99824,108762,116615,123319,128900,133450,137097,139981,142236
20,"Bosnia and Herzegovina",5867,6847,7912,9061,10284,11570,12903,14264,15635,16994,18322,19601,20816,21954
21,"Brazil",1871680,2125944,2354409,2550324,2711691,2840226,2939897,3015584,3072145,3113910,3144477,3166703,3182787,3194388
22,"Brunei",141,141,141,141,141,141,141,141,141,141,141,141,141,141
23,"Bulgaria",6930,8341,10001,11943,14203,16814,19806,23202,27017,31251,35888,40892,46209,51763
24,"Burkina Faso",1026,1061,1095,1127,1157,1186,1214,1240,1264,1288,1310,1331,1351,1370
25,"Cabo Verde",1829,2284,2819,3433,4119,4862,5641,6430,7200,7926,8588,9174,9679,10103
26,"Cambodia",145,147,148,150,151,151,152,152,153,153,153,153,154,154
27,"Cameroon",12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592
28,"Canada",109305,111086,112750,114304,115753,117102,118356,119521,120602,121603,122529,123386,124178,124909
29,"Central African Republic",4291,4506,4652,4750,4816,4861,4891,4911,4925,4934,4940,4944,4947,4949
30,"Chad",884,902,933,982,1060,1187,1391,1719,2247,3094,4449,6609,10029,15390
31,"Chile",313351,325890,334391,340019,343690,346061,347582,348554,349173,349567,349818,349977,350078,350142
32,"China",84947,84999,85032,85055,85071,85081,85088,85092,85095,85098,85099,85100,85100,85101
33,"Colombia",144539,173240,202598,231942,260605,287975,313550,336968,358013,376611,392801,406714,418536,428485
34,"Congo (Brazzaville)",2027,2681,3496,4535,5846,7493,9544,12076,15165,18879,23270,28356,34110,40448
35,"Congo (Kinshasa)",7772,7982,8103,8173,8214,8237,8251,8259,8263,8266,8267,8268,8269,8269
36,"Costa Rica",8007,12836,20236,30817,44528,60157,75527,88556,98258,104800,108916,111395,112848,113686
37,"Cote d'Ivoire",12335,13865,15310,16691,18003,19249,20432,21553,22616,23621,24573,25472,26321,27123
38,"Croatia",3677,4234,4816,5422,6049,6695,7356,8029,8709,9394,10079,10759,11431,12091
39,"Diamond Princess",712,712,712,712,712,712,712,712,712,712,712,712,712,712
40,"Cuba",2403,2436,2467,2496,2525,2552,2578,2603,2627,2650,2672,2694,2714,2734
41,"Cyprus",1010,1015,1020,1024,1028,1031,1033,1035,1037,1039,1040,1041,1042,1043
42,"Czechia",13536,14484,15425,16329,17206,18054,18872,19661,20420,21150,21850,22522,23165,23780
43,"Denmark",13089,13114,13125,13130,13133,13134,13134,13134,13134,13134,13134,13134,13134,13134
44,"Djibouti",4878,4967,5039,5103,5159,5206,5247,5283,5313,5340,5362,5382,5399,5413
45,"Dominican Republic",45343,55591,68407,84003,102244,122653,144364,166249,187133,206039,222349,235844,246624,254997
46,"Ecuador",70402,80923,93775,109148,127131,147582,170121,194109,218703,242969,266015,287118,305805,321864
47,"Egypt",84630,93565,102058,110102,117730,124945,131766,138207,144282,150008,155399,160472,165241,169722
48,"El Salvador",10125,13160,17062,21989,28101,35500,44205,54101,64925,76268,87633,98515,108489,117269
49,"Equatorial Guinea",6460,14331,26825,37767,43143,45018,45588,45754,45802,45815,45819,45820,45821,45821
50,"Eritrea",250,272,294,311,325,337,346,354,361,366,371,375,378,380
51,"Estonia",2000,2009,2019,2031,2045,2062,2081,2104,2130,2162,2198,2241,2291,2349
52,"Eswatini",1338,1904,2802,4186,6223,9021,12525,16424,20227,23477,25953,27677,28802,29505
53,"Ethiopia",5847,5847,5847,5847,5847,5847,5847,5847,5847,5847,5847,5847,5847,5847
54,"Fiji",31,211,2799,24819,43239,44075,44094,44095,44095,44095,44095,44095,44095,44095
55,"Finland",7292,7321,7344,7362,7376,7386,7394,7401,7406,7409,7412,7415,7416,7418
56,"France",206157,207165,207692,207969,208113,208189,208229,208250,208261,208267,208270,208272,208272,208273
57,"Gabon",5750,5796,5813,5819,5821,5822,5823,5823,5823,5823,5823,5823,5823,5823
58,"Gambia",70,85,103,123,147,175,208,246,291,343,403,473,555,649
59,"Georgia",975,1000,1024,1048,1071,1094,1116,1138,1159,1180,1200,1220,1239,1258
