id,Country,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25
0,Washington,1441,1468,1500,1538,1580,1628,1681,1736,1793,1850,1904,1955,2000,2040,2074
1,Illinois,7555,7901,8282,8693,9130,9584,10047,10508,10956,11382,11778,12141,12466,12752,13001
2,California,7841,8740,9725,10777,11843,12869,13813,14644,15347,15924,16383,16741,17015,17223,17378
3,Arizona,2740,3320,3857,4396,4879,5282,5592,5817,5973,6078,6147,6192,6221,6240,6252
4,Massachusetts,8431,8540,8661,8794,8938,9094,9260,9434,9615,9799,9985,10170,10350,10525,10691
5,Wisconsin,840,868,903,942,985,1028,1070,1108,1140,1167,1188,1205,1217,1226,1232
6,Texas,4065,5070,6329,7925,9745,11739,13749,15610,17200,18456,19387,20045,20491,20787,20980
7,Nebraska,305,319,338,360,385,412,440,467,492,514,532,547,558,567,573
8,Utah,244,277,310,340,365,386,402,415,425,432,437,441,444,445,447
9,Oregon,261,287,317,350,387,427,469,513,557,601,644,685,722,756,787
10,Florida,5044,5965,7020,8118,9153,10030,10709,11194,11522,11734,11867,11950,12000,12031,12050
11,New York,32503,32650,32825,33032,33273,33545,33842,34156,34478,34794,35094,35370,35615,35827,36005
12,Rhode Island,995,1016,1047,1090,1148,1223,1315,1421,1532,1641,1738,1819,1883,1929,1963
13,Georgia,3186,3405,3670,3964,4251,4502,4701,4846,4945,5010,5052,5077,5093,5103,5109
14,New Hampshire,397,403,409,416,422,430,437,444,452,459,467,474,482,489,496
15,North Carolina,1661,1809,1966,2132,2300,2464,2618,2758,2883,2989,3079,3154,3214,3262,3300
16,New Jersey,15729,15879,16011,16134,16244,16342,16428,16505,16573,16632,16684,16730,16770,16805,16835
17,Colorado,1763,1813,1878,1960,2061,2182,2321,2473,2631,2789,2937,3071,3185,3279,3354
18,Maryland,3379,3468,3587,3738,3918,4120,4329,4529,4705,4851,4964,5048,5108,5150,5179
19,Nevada,657,734,815,896,972,1039,1093,1135,1167,1190,1206,1217,1225,1230,1234
20,Tennessee,848,982,1149,1356,1591,1838,2080,2297,2479,2621,2727,2804,2857,2894,2919
21,Hawaii,24,28,33,37,42,46,51,56,61,67,72,78,83,89,94
22,Indiana,2822,2897,2988,3096,3221,3361,3510,3665,3818,3963,4096,4213,4312,4394,4460
23,Kentucky,673,734,813,914,1039,1189,1361,1549,1746,1938,2118,2277,2411,2520,2606
24,Minnesota,1588,1651,1720,1798,1883,1974,2070,2167,2263,2355,2441,2520,2590,2652,2704
25,Oklahoma,455,496,549,617,697,780,859,926,977,1014,1039,1056,1066,1073,1077
26,Pennsylvania,7048,7231,7459,7739,8068,8439,8837,9242,9632,9987,10296,10552,10758,10919,11041
27,South Carolina,1154,1368,1606,1864,2123,2365,2577,2750,2886,2988,3062,3115,3151,3177,3195
28,District of Columbia,581,598,618,640,665,692,721,751,781,810,838,864,887,908,926
29,Kansas,310,325,342,359,375,391,404,416,425,433,439,444,448,450,452
30,Missouri,1140,1201,1285,1393,1532,1699,1893,2102,2313,2513,2690,2837,2954,3043,3109
31,Vermont,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
32,Virginia,2050,2182,2268,2305,2316,2319,2319,2320,2320,2320,2320,2320,2320,2320,2320
33,Connecticut,4412,4480,4571,4692,4851,5054,5305,5602,5938,6297,6658,7001,7308,7569,7781
34,Iowa,796,841,889,939,990,1040,1087,1130,1168,1201,1228,1251,1269,1284,1295
35,Louisiana,3551,3703,3842,3949,4022,4067,4093,4107,4115,4119,4121,4123,4123,4124,4124
36,Ohio,3145,3276,3423,3581,3745,3910,4068,4214,4344,4457,4552,4629,4692,4741,4780
37,Michigan,6380,6483,6631,6829,7092,7431,7850,8340,8881,9439,9975,10456,10862,11187,11436
38,South Dakota,119,130,139,148,155,161,167,172,176,180,183,186,188,190,191
39,Arkansas,365,406,444,477,504,525,541,553,562,568,572,575,577,578,579
40,Delaware,522,527,531,534,536,538,540,542,543,544,544,545,546,546,546
41,Mississippi,1369,1516,1705,1921,2135,2315,2448,2536,2589,2621,2638,2648,2654,2657,2658
42,New Mexico,574,609,647,686,725,762,796,825,849,868,883,895,904,911,916
43,North Dakota,92,100,110,123,139,158,179,202,224,244,262,276,287,296,302
44,Wyoming,25,27,30,34,37,41,45,48,52,56,60,64,68,71,75
45,Alaska,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
46,Maine,116,118,120,122,124,126,128,129,131,132,134,135,136,137,138
47,Alabama,1320,1547,1839,2171,2493,2768,2977,3121,3214,3271,3305,3325,3337,3343,3347
48,Idaho,124,147,177,209,240,268,290,307,318,325,329,332,334,335,336
49,Montana,40,55,79,116,170,246,337,433,517,579,617,639,650,656,658
50,Puerto Rico,182,200,226,258,296,342,392,445,497,546,588,623,651,673,689
51,Virgin Islands,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
52,Guam,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
53,West Virginia,102,109,116,125,135,146,159,173,188,203,219,234,249,263,276
54,Northern Mariana Islands,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
