id,Country,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11
0,Afghanistan,53105,53117,53124,53125,53125,53125,53125,53125,53126,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127,53127
1,Albania,61008,61367,61715,62056,62388,62711,63026,63329,63622,63908,64185,64454,64717,64970,65218,65457,65691,65917,66138,66353,66562,66765,66964,67156,67345,67528,67707,67880,68051,68217,68379,68536,68691,68842,68990,69134,69276,69413,69549,69682,69813,69940,70065,70186,70307,70425,70541,70654,70766,70877,70984,71090,71195,71298,71399,71499,71597,71694,71789,71884,71977,72068,72157,72248,72335,72423,72508,72592,72676,72759,72841,72921,73001,73081,73159,73237,73313,73389,73464,73538,73612,73684,73757,73828,73899,73968,74038,74107,74175,74242,74310,74377,74444,74511,74578,74644
2,Algeria,101120,101332,101539,101736,101930,102120,102309,102500,102696,102889,103082,103275,103471,103670,103871,104072,104277,104483,104690,104897,105104,105309,105515,105721,105925,106132,106335,106539,106743,106946,107148,107352,107552,107753,107952,108148,108341,108531,108718,108902,109086,109265,109441,109616,109787,109956,110124,110288,110448,110609,110766,110919,111071,111221,111368,111513,111657,111796,111934,112071,112205,112336,112465,112594,112719,112842,112963,113082,113199,113314,113428,113539,113647,113755,113861,113964,114065,114164,114263,114358,114452,114545,114637,114725,114812,114899,114982,115063,115145,115225,115304,115382,115459,115535,115610,115683
3,Andorra,8348,8380,8414,8446,8478,8510,8541,8572,8602,8632,8661,8688,8716,8743,8770,8796,8821,8846,8870,8894,8918,8940,8963,8985,9006,9027,9049,9068,9089,9107,9126,9145,9163,9180,9199,9215,9232,9248,9264,9280,9295,9310,9324,9338,9352,9366,9379,9392,9405,9418,9429,9442,9453,9465,9476,9486,9497,9506,9517,9526,9536,9546,9555,9563,9573,9581,9589,9597,9606,9613,9620,9628,9635,9642,9650,9656,9663,9669,9675,9681,9688,9693,9698,9704,9709,9714,9720,9725,9729,9734,9739,9743,9746,9747,9748,9748
4,Angola,17864,17914,17963,18011,18060,18108,18158,18207,18256,18304,18353,18402,18452,18500,18549,18598,18646,18695,18743,18791,18840,18887,18934,18983,19031,19080,19128,19177,19224,19273,19321,19369,19416,19465,19513,19561,19609,19657,19705,19753,19801,19849,19897,19946,19993,20041,20089,20135,20183,20230,20277,20325,20372,20420,20467,20514,20561,20608,20656,20703,20750,20797,20844,20891,20937,20984,21031,21077,21124,21171,21218,21265,21312,21358,21405,21451,21498,21544,21589,21636,21682,21728,21774,21821,21867,21912,21960,22005,22051,22098,22145,22193,22243,22292,22341,22390
5,Antigua and Barbuda,163,163,164,164,164,164,165,165,165,166,166,166,166,167,167,167,167,168,168,168,168,169,169,169,169,169,170,170,170,170,171,171,171,171,171,172,172,172,172,172,173,173,173,173,173,174,174,174,174,174,174,175,175,175,175,175,175,176,176,176,176,176,176,177,177,177,177,177,177,177,178,178,178,178,178,178,178,179,179,179,179,179,179,179,179,180,180,180,180,180,180,180,180,180,180,180
6,Argentina,1676171,1683463,1690774,1698102,1705479,1712857,1720190,1727437,1734619,1741784,1748926,1756041,1763117,1770150,1777137,1784088,1791003,1797882,1804722,1811521,1818283,1825003,1831684,1838327,1844929,1851492,1858013,1864495,1870937,1877337,1883696,1890017,1896294,1902532,1908729,1914883,1920996,1927070,1933100,1939090,1945038,1950945,1956810,1962633,1968415,1974156,1979854,1985512,1991127,1996702,2002234,2007725,2013175,2018583,2023949,2029276,2034559,2039801,2045004,2050165,2055284,2060363,2065401,2070398,2075355,2080271,2085147,2089982,2094778,2099533,2104249,2108924,2113560,2118156,2122714,2127231,2131710,2136150,2140552,2144914,2149238,2153523,2157772,2161981,2166153,2170287,2174384,2178444,2182470,2186458,2190412,2194329,2198211,2202056,2205867,2209642
7,Armenia,160853,161020,161172,161316,161453,161593,161737,161880,162020,162157,162292,162427,162561,162694,162825,162955,163087,163222,163358,163498,163639,163781,163925,164070,164215,164360,164508,164659,164810,164962,165116,165272,165428,165587,165747,165907,166068,166231,166392,166551,166708,166865,167019,167174,167325,167475,167622,167770,167914,168060,168202,168342,168484,168622,168758,168893,169029,169161,169292,169423,169551,169680,169804,169927,170048,170166,170281,170394,170505,170612,170717,170820,170921,171019,171116,171209,171302,171391,171479,171566,171649,171731,171810,171889,171966,172040,172113,172184,172254,172321,172388,172453,172516,172578,172638,172697
8,Australia,28546,28565,28582,28601,28620,28637,28655,28673,28690,28709,28726,28743,28760,28778,28796,28813,28831,28847,28865,28881,28898,28914,28930,28947,28964,28980,28997,29013,29030,29045,29062,29077,29092,29108,29124,29139,29154,29170,29185,29201,29216,29232,29246,29261,29276,29290,29306,29321,29337,29351,29366,29381,29395,29410,29424,29439,29453,29467,29481,29494,29507,29522,29536,29550,29564,29578,29592,29605,29619,29632,29646,29659,29673,29686,29698,29711,29724,29737,29749,29762,29776,29789,29802,29814,29827,29839,29852,29864,29876,29888,29899,29909,29917,29925,29931,29936
9,Austria,372190,373840,375466,377070,378649,380205,381742,383239,384692,386119,387519,388891,390237,391555,392844,394105,395342,396554,397740,398902,400040,401153,402245,403314,404361,405386,406390,407373,408336,409278,410201,411106,411991,412859,413708,414539,415348,416136,416905,417651,418381,419095,419795,420480,421150,421807,422448,423077,423692,424295,424885,425463,426028,426581,427122,427652,428172,428680,429177,429664,430140,430606,431063,431509,431946,432374,432792,433203,433604,433997,434381,434757,435125,435486,435838,436183,436521,436852,437174,437491,437801,438104,438401,438691,438975,439253,439525,439792,440052,440306,440555,440798,441034,441266,441492,441711
