forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,point,NA,413
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.01,220
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.025,248
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.05,252
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.1,258
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.15,268
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.2,286
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.25,302
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.3,304
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.35,316
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.4,354
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.45,382
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.5,413
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.55,420
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.6,455
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.65,477
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.7,540
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.75,676
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.8,747
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.85,793
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.9,821
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.95,904
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.975,954
2021-01-31,1 wk ahead inc death,2021-02-06,GM01,GM01,quantile,0.99,998
2021-01-31,1 wk ahead cum death,2021-02-06,GM01,GM01,point,NA,7452
2021-01-31,1 wk ahead cum death,2021-02-06,GM01,GM01,quantile,0.01,7259
2021-01-31,1 wk ahead cum death,2021-02-06,GM01,GM01,quantile,0.025,7287
